Gene,Protein_Acc,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage,logpval,logadjpval,TF_1639
NUDT4B,A0A024RBG1,B5r_IKZF3-IgG,-0.09328697198577036,0.23803267080861742,-0.39190826901562087,7,0.706783875140002,0.8786563267350761,NA,0.125,0,0.15071336722639686,0.0561809594976013,NA
RBM47,A0AV96,B5r_IKZF3-IgG,0.05005324946475916,0.1632973935632479,0.3065159116907318,9,0.7661845360535318,0.9115586314519651,NA,0.3125,0.3125,0.11566661765494175,0.04021539228916219,NA
TMEM129,A0AVI4,B5r_IKZF3-IgG,0.09092725689311011,0.08567284610056969,1.061331110517472,9,0.3161885578670174,0.6025680934435416,NA,0,0,0.5000538502328021,0.21999386836174306,NA
UBA6,A0AVT1,B5r_IKZF3-IgG,-0.13383509833216856,0.06604221537323772,-2.026508311021961,9,0.07334701011654543,0.27083024611533363,NA,0.5416666666666667,0.03125,1.1346175848384357,0.5673028356018585,NA
ESYT2,A0FGR8,B5r_IKZF3-IgG,0.09033588332534581,0.039419074412943365,2.2916794640841127,9,0.0476435787609919,0.21257191334577694,NA,0.40384615384615385,0,1.3219956238102524,0.6724941183863251,NA
MED19,A0JLT2,B5r_IKZF3-IgG,0.10131420053784627,0.1439333001166836,0.7038968776211832,9,0.4993023168687496,0.7476106159856678,NA,0.4,0,0.3016364187216202,0.1263245403172006,NA
ARHGAP10,A1A4S6,B5r_IKZF3-IgG,0.007387336406424953,0.10575388169746835,0.0698540449565531,9,0.9458373233956432,0.9772778763042107,NA,0.42500000000000004,0,0.02418355242150864,0.009981932712111273,NA
ILVBL,A1L0T0,B5r_IKZF3-IgG,0.5270506896612357,0.1643746877771766,3.2063981187644672,9,0.010720683086092864,0.08152657655873306,NA,0,0,1.9697775419688563,1.0887007940658526,NA
C1orf226,A1L170,B5r_IKZF3-IgG,-0.05530199991664823,0.09755674842119516,-0.5668700608786724,9,0.5846608698502616,0.809559702653119,NA,0,0,0.23309597162668358,0.09175111778558649,NA
NBAS,A2RRP1,B5r_IKZF3-IgG,0.11661313919694827,0.07933420528479887,1.4698973636695944,9,0.17566089686562103,0.4414479060635975,NA,0.5113636363636364,0.045454545454545456,0.7553249042162712,0.3551205388451197,NA
DENND3,A2RUS2,B5r_IKZF3-IgG,0.43827406269511215,0.09421179545619868,4.652008387833733,9,0.001198702601060031,0.0164904850881939,NA,0.25,0.09375,2.9212885522968235,1.7827665688535261,NA
WDR91,A4D1P6,B5r_IKZF3-IgG,-0.4973073252028072,0.23002611937194878,-2.161960244169788,9,0.05887927264063331,0.2401887716814324,NA,0.0625,0.0625,1.230037563652053,0.6194472988097731,NA
DENND11,A4D1U4,B5r_IKZF3-IgG,0.2959878299545392,0.3223147381487429,0.9183192542003641,9,0.3824028766859515,0.6478900430214598,NA,0,0,0.417478849334913,0.188498694377971,NA
TRAPPC13,A5PLN9,B5r_IKZF3-IgG,0.24299855377654292,0.11527672119602722,2.107958582230368,9,0.06428248604622677,0.2515907487337326,NA,0,0,1.1919073357780117,0.5993053324149984,NA
CNOT1,A5YKK6,B5r_IKZF3-IgG,0.301065508777759,0.18247910296113407,1.6498629371379718,9,0.13336934999142036,0.379523473339251,NA,0.5108695652173914,0.15217391304347827,0.874943965464556,0.42076135803873915,NA
CCDC88B,A6NC98,B5r_IKZF3-IgG,0.12522679959625727,0.09134158473434424,1.370972487071075,9,0.2035972178754113,0.474932198460137,NA,0.08333333333333337,0,0.6912281608618611,0.323368386030665,NA
DDTL,A6NHG4,B5r_IKZF3-IgG,0.05680200050870296,0.27551339215203285,0.2061678383944352,8,0.8418099183321148,0.9381859061692935,NA,0.125,0,0.07478596163440726,0.027711095497664165,NA
SMCHD1,A6NHR9,B5r_IKZF3-IgG,0.10553479289846912,0.04253224114991087,2.4812892536393014,9,0.03491750171552632,0.1755623626864407,NA,0.49709302325581395,0.020348837209302327,1.4569568368443258,0.755568583131353,NA
CCDC69,A6NI79,B5r_IKZF3-IgG,0.06526668668870797,0.11882111132249687,0.5492852739911276,9,0.5961731172938141,0.8156496093155109,NA,0.25,0,0.22462761111817617,0.08849636749816542,NA
USP27X,A6NNY8,B5r_IKZF3-IgG,0.4956989650490841,0.21709911589708275,2.283284125781855,9,0.04830235436083319,0.21398236801427467,NA,0,0,1.3160317002837099,0.669622010714276,NA
POM121C,A8CG34,B5r_IKZF3-IgG,0.2455201100180702,0.0551476372135896,4.4520513012580825,9,0.001595461740602211,0.020195589189348113,NA,0.48124999999999996,0.075,2.797113605788593,1.6947434721325134,NA
PHF20L1,A8MW92,B5r_IKZF3-IgG,-0.14619198198406025,0.0792718550371142,-1.8441852018678608,9,0.0982556233507994,0.31987654087928663,NA,0.4852941176470589,0.051470588235294115,1.0076425847659187,0.495017609057053,NA
SNRPGP15,A8MWD9,B5r_IKZF3-IgG,-0.2215032581457281,0.08646514931405298,-2.561763437673584,9,0.030598475392280555,0.1620737426526946,NA,0,0,1.514300212250938,0.790287338912871,NA
EVPLL,A8MZ36,B5r_IKZF3-IgG,-1.297123816683812,0.7568954367814614,-1.7137424188994428,5,0.14724499705770588,0.4056917095567668,NA,0.25,0,0.8319594523109317,0.3918038671552673,NA
MYO9A,B2RTY4,B5r_IKZF3-IgG,0.3871124089870471,0.21512653231545636,1.799463807743597,8,0.10964282345562948,0.34151325985157543,NA,0.25,0.125,0.9600197892998931,0.4665924294097599,NA
EIF3CL,B5ME19,B5r_IKZF3-IgG,-0.06036394276505154,0.05869910095505174,-1.0283623050934738,9,0.33062299006477947,0.6118301198676582,NA,0.4807692307692307,0.019230769230769232,0.48066695079141136,0.21336914688332145,NA
GPR89A,B7ZAQ6,B5r_IKZF3-IgG,0.25126058167057874,0.2801620996215614,0.8968400151554319,9,0.39316149876952333,0.6560549495055272,NA,0.45833333333333337,0.4583333333333333,0.40542901802868736,0.18305978369202186,NA
IGLL5,B9A064,B5r_IKZF3-IgG,0.09930633172221628,0.09680630810831609,1.0258250073032733,9,0.3317543255684732,0.6127788521689,NA,0.44999999999999996,0.05,0.47918340589149344,0.21269623120970826,NA
WASH3P,C4AMC7,B5r_IKZF3-IgG,-0.3677502744952191,0.16431091859605484,-2.2381365623017633,5,0.07539077842477915,0.2753455424965916,NA,0.125,0,1.1226817724877236,0.5601219498157217,NA
RASA4B,C9J798,B5r_IKZF3-IgG,0.5320753423354284,0.11208739846634043,4.746968433701397,9,0.0010486368703044313,0.01478540669091159,NA,0.09999999999999998,0.1,2.9793748764637464,1.830166725166298,NA
NACA,E9PAV3,B5r_IKZF3-IgG,-0.31931416254646755,0.2749753826997986,-1.1612463610790764,8,0.27901621000421084,0.5642992465730899,NA,0.16666666666666663,0.041666666666666664,0.5543705647877736,0.24849052957998172,NA
C11orf98,E9PRG8,B5r_IKZF3-IgG,-0.2685213789311885,0.16093440917060464,-1.6685143985990727,9,0.12955773170418472,0.3719621253709999,NA,0.28125,0.03125,0.8875366642198993,0.4295012794186076,NA
AGPS,O00116,B5r_IKZF3-IgG,0.30629963406660565,0.15805226371455755,1.937964233272754,9,0.08458515758671181,0.29243140868983614,NA,0.375,0.175,1.0727058372411626,0.5339759836700055,NA
KIF2A,O00139,B5r_IKZF3-IgG,-0.12776177612321327,0.04819492020691827,-2.6509386378208664,9,0.02643549567499237,0.14528108764975417,NA,0.44999999999999996,0.025,1.5778125420057656,0.837790917456537,NA
DDX39A,O00148,B5r_IKZF3-IgG,0.2181064607290786,0.039499113270467456,5.521806508303355,9,3.6962055256184456e-4,0.00674855589516142,NA,0.355,0.015,3.4322438880578985,2.1707891507038997,NA
PDLIM1,O00151,B5r_IKZF3-IgG,0.03329134641088505,0.12863917802151947,0.2587963241285317,9,0.8016140689075817,0.9227707457550245,NA,0.421875,0.046875,0.09603466922719012,0.03490618220312571,NA
ACOT7,O00154,B5r_IKZF3-IgG,-0.44145078442810454,0.9701698249152684,-0.45502423708824324,2,0.6937128803199115,0.8695002947888293,NA,0.625,0,0.15882024178426304,0.06073026642131452,NA
MYO1C,O00159,B5r_IKZF3-IgG,0.055086548543473966,0.050789337014815736,1.084608537563794,9,0.3062927526912045,0.5919667737378304,NA,0.4818181818181818,0,0.5138632790780338,0.22770266893125973,NA
SNAP23,O00161,B5r_IKZF3-IgG,0.15004663636108712,0.0880228868090572,1.704632076957148,9,0.1224573509545237,0.3620797015201374,NA,0.33333333333333337,0,0.9120151396273497,0.4411958213992083,NA
AIP,O00170,B5r_IKZF3-IgG,0.01499689067424372,0.15776665214538182,0.09505741847411517,9,0.9263520264648575,0.9711914521074992,NA,0.25,0.20833333333333334,0.03322394409706688,0.012695148672938061,NA
