GENE	TF	ENHANCER_LIST
ABCF1	0	2_MACS_peak_24100_lociStitched,1_MACS_peak_24098_lociStitched
ABHD12	0	1_MACS_peak_17220_lociStitched,1_MACS_peak_17221_lociStitched
ACADS	0	2_MACS_peak_6777_lociStitched
ACBD3	0	3_MACS_peak_2673_lociStitched
ACO2	0	3_MACS_peak_18748_lociStitched
ACSS1	0	2_MACS_peak_17212_lociStitched
ACTG1	0	2_MACS_peak_12371_lociStitched
ACTR3	0	5_MACS_peak_15933_lociStitched
ACTR3C	0	1_MACS_peak_26810_lociStitched,1_MACS_peak_26809_lociStitched
ADA	0	2_MACS_peak_17496_lociStitched
ADAMTSL4	0	2_MACS_peak_1762_lociStitched
ADRB2	0	4_MACS_peak_23133_lociStitched
ADRBK1	0	1_MACS_peak_4777_lociStitched
AFTPH	0	2_MACS_peak_15405_lociStitched
AGER	0	1_MACS_peak_24188_lociStitched
AGPAT1	0	1_MACS_peak_24188_lociStitched
AHNAK	0	3_MACS_peak_4535_lociStitched,2_MACS_peak_4533_lociStitched,1_MACS_peak_4540_lociStitched,2_MACS_peak_4531_lociStitched,4_MACS_peak_4541_lociStitched
AIF1	0	2_MACS_peak_24147_lociStitched
AK7	0	2_MACS_peak_8345_lociStitched
ALDH3B1	0	1_MACS_peak_4837_lociStitched
ALDH8A1	0	3_MACS_peak_25109_lociStitched
ALDOA	0	1_MACS_peak_10061_lociStitched
ALKBH4	0	2_MACS_peak_26342_lociStitched,2_MACS_peak_26347_lociStitched,2_MACS_peak_26344_lociStitched
AMH	0	2_MACS_peak_13078_lociStitched
ANAPC1	0	3_MACS_peak_15886_lociStitched
ANG	0	2_MACS_peak_7543_lociStitched
ANKDD1A	0	2_MACS_peak_9080_lociStitched
ANKRD12	0	7_MACS_peak_12530_lociStitched,2_MACS_peak_12524_lociStitched
ANKRD13D	0	1_MACS_peak_4777_lociStitched
ANKRD16	0	6_MACS_peak_2977_lociStitched
ANKRD34A	0	2_MACS_peak_1660_lociStitched,1_MACS_peak_1659_lociStitched
ANKRD36BP2	0	2_MACS_peak_15690_lociStitched
ANKRD55	0	5_MACS_peak_22308_lociStitched
ANP32A	0	3_MACS_peak_9150_lociStitched
ANP32B	0	2_MACS_peak_28867_lociStitched
APOBEC3A	0	2_MACS_peak_18663_lociStitched
APOBEC3B	0	2_MACS_peak_18663_lociStitched
APOBEC3C	0	2_MACS_peak_18663_lociStitched
APOBEC3D	0	2_MACS_peak_18663_lociStitched
APOLD1	0	3_MACS_peak_5693_lociStitched
APOM	0	2_MACS_peak_24147_lociStitched
ARF6	0	1_MACS_peak_7804_lociStitched
ARHGAP26	0	1_MACS_peak_23072_lociStitched
ARHGAP27	0	2_MACS_peak_11616_lociStitched,2_MACS_peak_11613_lociStitched,2_MACS_peak_11618_lociStitched
ARHGAP31	0	3_MACS_peak_19812_lociStitched
ARHGAP4	0	3_MACS_peak_30260_lociStitched,4_MACS_peak_30267_lociStitched
ARHGEF2	0	5_MACS_peak_1939_lociStitched
ARID1A	0	8_MACS_peak_512_lociStitched
ARID5A	1	1_MACS_peak_15731_lociStitched
ARL6IP6	0	3_MACS_peak_16198_lociStitched
ARPC1B	0	1_MACS_peak_26250_lociStitched
ARPC5L	0	2_MACS_peak_29118_lociStitched
ASAP3	0	2_MACS_peak_407_lociStitched
ASB16	0	1_MACS_peak_11575_lociStitched
ASB2	0	1_MACS_peak_8308_lociStitched
ATAT1	0	2_MACS_peak_24100_lociStitched
ATG2B	0	2_MACS_peak_8345_lociStitched
ATG4D	0	2_MACS_peak_13367_lociStitched
ATP13A1	0	1_MACS_peak_13780_lociStitched
ATP2A1	0	1_MACS_peak_10031_lociStitched
ATP2C1	0	3_MACS_peak_20009_lociStitched
ATP5B	0	5_MACS_peak_6156_lociStitched,3_MACS_peak_6163_lociStitched
ATP6V1G2	0	4_MACS_peak_24135_lociStitched
ATXN2L	0	1_MACS_peak_10026_lociStitched
ATXN3	0	1_MACS_peak_8270_lociStitched
ATXN7L3	0	1_MACS_peak_11575_lociStitched
AVPR2	0	3_MACS_peak_30260_lociStitched
AXL	0	3_MACS_peak_14135_lociStitched
B2M	0	2_MACS_peak_8816_lociStitched,2_MACS_peak_8812_lociStitched
BAT1	0	4_MACS_peak_24135_lociStitched
BAT2	0	2_MACS_peak_24147_lociStitched
BAT3	0	2_MACS_peak_24147_lociStitched
BAT5	0	1_MACS_peak_24153_lociStitched,2_MACS_peak_24147_lociStitched
BAZ2A	0	5_MACS_peak_6156_lociStitched,3_MACS_peak_6163_lociStitched
BCL2	0	2_MACS_peak_12868_lociStitched,2_MACS_peak_12866_lociStitched
BCL2L1	0	1_MACS_peak_17255_lociStitched,3_MACS_peak_17256_lociStitched
BCL9L	0	3_MACS_peak_5270_lociStitched
BCLAF1	1	1_MACS_peak_25130_lociStitched
BEST2	0	1_MACS_peak_13474_lociStitched
BIRC2	0	2_MACS_peak_5135_lociStitched
BIRC3	0	2_MACS_peak_5135_lociStitched
BOD1	0	5_MACS_peak_23416_lociStitched
BOLA1	0	3_MACS_peak_1729_lociStitched,3_MACS_peak_1734_lociStitched
BRCA1	1	1_MACS_peak_11546_lociStitched
BRD2	0	3_MACS_peak_24200_lociStitched
BRSK1	0	1_MACS_peak_14565_lociStitched
BTG2	0	3_MACS_peak_2446_lociStitched,2_MACS_peak_2436_lociStitched,4_MACS_peak_2442_lociStitched
BTN1A1	0	2_MACS_peak_23986_lociStitched
BUD31	0	1_MACS_peak_26250_lociStitched
BZRAP1	0	1_MACS_peak_11831_lociStitched
C11ORF2	0	1_MACS_peak_4660_lociStitched
C12ORF5	0	6_MACS_peak_5508_lociStitched
C12ORF73	0	3_MACS_peak_6518_lociStitched
C14ORF102	0	1_MACS_peak_8225_lociStitched
C14ORF129	0	2_MACS_peak_8345_lociStitched
C14ORF145	0	3_MACS_peak_8160_lociStitched
C14ORF159	0	2_MACS_peak_8237_lociStitched
C14ORF4	0	2_MACS_peak_8133_lociStitched
C14ORF48	0	1_MACS_peak_8308_lociStitched,1_MACS_peak_8310_lociStitched
