Tf	In_Degree	Out_Degree	Total_Connections
ARF1	145	62	207
ARF4	142	107	249
ARID3A	130	139	269
ARNT	147	105	252
ATF4	145	147	292
ATF5	149	149	298
BCL6B	144	153	297
BHLHE40	139	131	270
CAMTA2	148	51	199
CEBPB	130	137	267
CHD2	146	149	295
CREB3L2	150	141	291
CREB3L4	152	125	277
CST6	147	65	212
CTCF	139	153	292
CTCFL	144	153	297
CTF1	129	137	266
CUX1	146	123	269
DBP	141	142	283
DDIT3	134	147	281
DMRTC2	144	116	260
DUX4	100	138	238
E2F1	139	145	284
E2F2	142	151	293
E2F3	147	152	299
E2F4	150	146	296
E2F6	138	152	290
ELF1	148	152	300
ETV3	152	127	279
FIZ1	146	152	298
FLI1	150	153	303
FOSB	137	83	220
FOSL1	152	129	281
FOSL2	132	133	265
FOXH1	137	140	277
FOXJ1	149	151	300
FOXO3	143	153	296
FOXR1	149	148	297
GFI1	141	151	292
GLI1	142	151	293
GMEB2	130	100	230
HES5	143	125	268
HES7	142	153	295
HINFP	147	148	295
ID1	140	150	290
IKZF1	143	152	295
IKZF3	148	153	301
IRF1	152	153	305
IRF2	153	137	290
IRF3	145	152	297
IRF4	149	149	298
IRF5	135	142	277
IRF6	137	145	282
IRF7	134	151	285
IRF9	145	148	293
JUNB	150	138	288
KLF1	147	153	300
KLF10	142	153	295
KLF13	152	138	290
KLF16	136	152	288
KLF9	142	152	294
LHX3	139	145	284
MAF	137	153	290
MAFF	152	153	305
MAZ	148	153	301
MEF2C	150	150	300
MEF2D	151	149	300
MLX	152	96	248
MLXIP	140	103	243
MXI1	138	147	285
MYBL2	140	115	255
MYC	139	140	279
NFATC2	145	148	293
NFE2L1	144	136	280
NFE2L2	136	136	272
NFE2L3	145	149	294
NFIC	123	150	273
NFIL3	148	126	274
NFIX	147	151	298
NHLH1	119	147	266
NR1D1	119	153	272
NR1I3	150	110	260
NR3C1	144	151	295
PBX1	135	137	272
PHOX2A	117	119	236
PLAGL2	132	153	285
POU2F1	128	152	280
PPARD	138	143	281
PRDM1	153	151	304
PRDM10	115	125	240
RARA	148	153	301
RARG	151	153	304
RUNX1	152	143	295
RUNX2	152	152	304
RXRA	137	153	290
RXRB	138	153	291
SIN3A	136	153	289
SMAD7	153	143	296
SNAPC4	144	126	270
SOX11	140	152	292
SOX15	148	153	301
SOX4	137	153	290
SP1	140	153	293
SP3	120	153	273
SREBF1	151	149	300
TBX6	124	138	262
TCF3	135	153	288
TFAP2A	134	153	287
THAP1	148	153	301
USF1	144	145	289
XBP1	151	127	278
ZBED6	136	138	274
ZBTB11	150	152	302
ZBTB24	141	153	294
ZBTB3	128	152	280
ZBTB32	139	118	257
ZBTB38	152	145	297
ZBTB7A	123	151	274
ZBTB7B	153	149	302
ZFP1	136	152	288
ZFP62	148	153	301
ZFPM1	117	131	248
ZNF114	142	116	258
ZNF175	143	151	294
ZNF217	152	113	265
ZNF276	123	153	276
ZNF283	133	153	286
ZNF334	146	149	295
ZNF335	144	151	295
ZNF407	112	153	265
ZNF48	149	146	295
ZNF490	137	136	273
ZNF516	137	120	257
ZNF524	146	152	298
ZNF580	146	150	296
ZNF581	146	149	295
ZNF592	129	90	219
ZNF595	146	153	299
ZNF652	150	152	302
ZNF681	139	153	292
ZNF688	133	131	264
ZNF689	128	150	278
ZNF718	146	152	298
ZNF740	151	153	304
ZNF76	138	151	289
ZNF764	133	121	254
ZNF768	133	153	286
ZNF771	132	131	263
ZNF775	135	151	286
ZNF780A	140	152	292
ZNF784	146	151	297
ZNF785	133	123	256
ZNF791	137	144	281
