From	To
ARID5A	ARID5A
ARID5A	ATF5
ARID5A	BCL6B
ARID5A	BHLHE22
ARID5A	BHLHE40
ARID5A	BHLHE41
ARID5A	CAMTA1
ARID5A	CAMTA2
ARID5A	CEBPB
ARID5A	CREB3L1
ARID5A	CREB3L4
ARID5A	CTCF
ARID5A	DDIT3
ARID5A	E2F2
ARID5A	E2F4
ARID5A	ETV6
ARID5A	FERD3L
ARID5A	FIZ1
ARID5A	FLI1
ARID5A	FOSL1
ARID5A	FOXH1
ARID5A	FOXO3
ARID5A	FOXP2
ARID5A	GFI1
ARID5A	GLI1
ARID5A	GMEB2
ARID5A	GZF1
ARID5A	HINFP
ARID5A	HSF4
ARID5A	IRF2
ARID5A	IRF3
ARID5A	IRF4
ARID5A	IRF5
ARID5A	IRX2
ARID5A	JUNB
ARID5A	JUND
ARID5A	KLF10
ARID5A	KLF13
ARID5A	KLF16
ARID5A	KLF2
ARID5A	KLF6
ARID5A	KLF9
ARID5A	MAF
ARID5A	MAZ
ARID5A	MEF2D
ARID5A	MNX1
ARID5A	MXI1
ARID5A	MYC
ARID5A	MZF1
ARID5A	NFAT5
ARID5A	NFE2L1
ARID5A	NFE2L2
ARID5A	NFE2L3
ARID5A	NFIC
ARID5A	NFKB2
ARID5A	NR3C1
ARID5A	POU2F1
ARID5A	PRDM1
ARID5A	PRDM10
ARID5A	RAD21
ARID5A	RARA
ARID5A	RORA
ARID5A	RUNX2
ARID5A	RUNX3
ARID5A	RXRB
ARID5A	SMAD2
ARID5A	SMAD7
ARID5A	SP3
ARID5A	SREBF1
ARID5A	SREBF2
ARID5A	STAT1
ARID5A	TBX6
ARID5A	TCF4
ARID5A	TFAP2A
ARID5A	TGIF1
ARID5A	THAP1
ARID5A	TWIST1
ARID5A	ZBTB1
ARID5A	ZBTB3
ARID5A	ZBTB32
ARID5A	ZBTB38
ARID5A	ZBTB7B
ARID5A	ZFP62
ARID5A	ZFP91
ARID5A	ZNF114
ARID5A	ZNF131
ARID5A	ZNF217
ARID5A	ZNF22
ARID5A	ZNF251
ARID5A	ZNF267
ARID5A	ZNF34
ARID5A	ZNF497
ARID5A	ZNF517
ARID5A	ZNF524
ARID5A	ZNF579
ARID5A	ZNF580
ARID5A	ZNF581
ARID5A	ZNF584
ARID5A	ZNF688
ARID5A	ZNF689
ARID5A	ZNF764
ARID5A	ZNF768
ARID5A	ZNF775
ARID5A	ZNF784
ARID5A	ZNF785
ARID5A	ZNF837
ATF5	ARID5A
ATF5	ATF5
ATF5	BCL6B
ATF5	BHLHE22
ATF5	BHLHE40
ATF5	BHLHE41
ATF5	CAMTA1
ATF5	CAMTA2
ATF5	CEBPB
ATF5	CREB3L1
ATF5	CREB3L4
ATF5	CTCF
ATF5	DBP
ATF5	DDIT3
ATF5	E2F2
ATF5	E2F4
ATF5	ETV6
ATF5	FERD3L
ATF5	FIZ1
ATF5	FLI1
ATF5	FOSL1
ATF5	FOXH1
ATF5	FOXO3
ATF5	FOXP2
ATF5	GFI1
ATF5	GLI1
ATF5	GMEB2
ATF5	GZF1
ATF5	HINFP
ATF5	HSF4
ATF5	IRF2
ATF5	IRF3
ATF5	IRF4
ATF5	IRF5
ATF5	IRX2
ATF5	JUNB
ATF5	JUND
ATF5	KLF10
ATF5	KLF13
ATF5	KLF16
ATF5	KLF2
ATF5	KLF6
ATF5	KLF9
ATF5	MAF
ATF5	MAZ
ATF5	MEF2D
ATF5	MNX1
ATF5	MXI1
ATF5	MYC
ATF5	MZF1
ATF5	NFAT5
ATF5	NFE2L1
ATF5	NFE2L2
ATF5	NFE2L3
ATF5	NFIC
ATF5	NFKB2
ATF5	NR3C1
ATF5	POU2F1
ATF5	PRDM1
ATF5	PRDM10
ATF5	RAD21
ATF5	RARA
ATF5	RORA
ATF5	RUNX2
ATF5	RUNX3
ATF5	RXRB
ATF5	SMAD2
ATF5	SMAD7
ATF5	SREBF1
ATF5	SREBF2
ATF5	STAT1
ATF5	TBX6
ATF5	TCF4
ATF5	TFAP2A
ATF5	TGIF1
ATF5	THAP1
ATF5	THAP11
ATF5	TWIST1
ATF5	USF2
ATF5	ZBTB1
ATF5	ZBTB3
ATF5	ZBTB32
ATF5	ZBTB38
ATF5	ZBTB7B
ATF5	ZFP62
ATF5	ZFP91
ATF5	ZNF114
ATF5	ZNF131
ATF5	ZNF217
ATF5	ZNF22
ATF5	ZNF251
ATF5	ZNF267
ATF5	ZNF276
ATF5	ZNF335
ATF5	ZNF34
ATF5	ZNF497
ATF5	ZNF517
ATF5	ZNF524
ATF5	ZNF579
ATF5	ZNF580
ATF5	ZNF581
ATF5	ZNF584
ATF5	ZNF623
ATF5	ZNF688
ATF5	ZNF689
ATF5	ZNF764
ATF5	ZNF768
ATF5	ZNF775
ATF5	ZNF784
ATF5	ZNF785
ATF5	ZNF837
BCL6B	ARID5A
BCL6B	ATF5
BCL6B	BCL6B
BCL6B	BHLHE22
BCL6B	BHLHE40
BCL6B	BHLHE41
BCL6B	CAMTA1
BCL6B	CAMTA2
BCL6B	CEBPB
BCL6B	CREB3L1
BCL6B	CREB3L4
BCL6B	CTCF
BCL6B	DBP
BCL6B	DDIT3
BCL6B	E2F2
BCL6B	E2F4
BCL6B	ETV6
BCL6B	FERD3L
BCL6B	FIZ1
BCL6B	FLI1
BCL6B	FOSL1
BCL6B	FOXH1
BCL6B	FOXO3
BCL6B	FOXP2
BCL6B	GFI1
BCL6B	GLI1
BCL6B	GMEB2
BCL6B	GZF1
BCL6B	HINFP
BCL6B	HSF4
BCL6B	IRF2
BCL6B	IRF3
BCL6B	IRF4
BCL6B	IRF5
BCL6B	IRX2
BCL6B	JUNB
BCL6B	JUND
BCL6B	KLF10
BCL6B	KLF13
BCL6B	KLF16
BCL6B	KLF2
BCL6B	KLF6
BCL6B	KLF9
BCL6B	MAF
BCL6B	MAZ
BCL6B	MEF2D
BCL6B	MNX1
BCL6B	MXI1
BCL6B	MYC
BCL6B	MZF1
BCL6B	NFAT5
BCL6B	NFE2L1
BCL6B	NFE2L2
BCL6B	NFE2L3
BCL6B	NFIC
BCL6B	NFKB2
BCL6B	NR3C1
BCL6B	POU2F1
BCL6B	PRDM1
BCL6B	PRDM10
BCL6B	RAD21
BCL6B	RARA
BCL6B	RORA
BCL6B	RUNX2
BCL6B	RUNX3
BCL6B	RXRB
BCL6B	SMAD2
BCL6B	SMAD7
BCL6B	SP3
BCL6B	SREBF1
BCL6B	SREBF2
BCL6B	STAT1
BCL6B	TBX6
BCL6B	TCF4
BCL6B	TFAP2A
BCL6B	TGIF1
BCL6B	THAP1
BCL6B	THAP11
BCL6B	TWIST1
BCL6B	USF2
BCL6B	ZBTB1
BCL6B	ZBTB3
BCL6B	ZBTB32
BCL6B	ZBTB38
BCL6B	ZBTB7A
BCL6B	ZBTB7B
BCL6B	ZFP62
BCL6B	ZFP91
BCL6B	ZNF114
BCL6B	ZNF131
BCL6B	ZNF217
BCL6B	ZNF22
BCL6B	ZNF251
BCL6B	ZNF267
BCL6B	ZNF276
BCL6B	ZNF335
BCL6B	ZNF34
BCL6B	ZNF497
BCL6B	ZNF517
BCL6B	ZNF524
BCL6B	ZNF579
BCL6B	ZNF580
BCL6B	ZNF581
BCL6B	ZNF584
BCL6B	ZNF623
BCL6B	ZNF688
BCL6B	ZNF689
BCL6B	ZNF764
BCL6B	ZNF768
BCL6B	ZNF775
BCL6B	ZNF784
BCL6B	ZNF785
BCL6B	ZNF837
BHLHE22	ARID5A
BHLHE22	ATF5
BHLHE22	BCL6B
BHLHE22	BHLHE22
BHLHE22	BHLHE40
BHLHE22	BHLHE41
BHLHE22	CAMTA2
BHLHE22	CEBPB
BHLHE22	CREB3L1
BHLHE22	CREB3L4
BHLHE22	CTCF
BHLHE22	DDIT3
BHLHE22	E2F2
BHLHE22	E2F4
BHLHE22	ETV6
BHLHE22	FERD3L
BHLHE22	FIZ1
BHLHE22	FLI1
BHLHE22	FOSL1
BHLHE22	FOXH1
BHLHE22	FOXO3
BHLHE22	FOXP2
BHLHE22	GFI1
BHLHE22	GLI1
BHLHE22	GMEB2
BHLHE22	GZF1
BHLHE22	HINFP
BHLHE22	HSF4
BHLHE22	IRF2
BHLHE22	IRF3
BHLHE22	IRF4
BHLHE22	IRF5
BHLHE22	IRX2
BHLHE22	JUNB
BHLHE22	KLF10
BHLHE22	KLF13
BHLHE22	KLF16
BHLHE22	KLF2
BHLHE22	KLF6
BHLHE22	KLF9
BHLHE22	MAF
BHLHE22	MAZ
BHLHE22	MEF2D
BHLHE22	MNX1
BHLHE22	MYC
BHLHE22	MZF1
BHLHE22	NFAT5
BHLHE22	NFE2L1
BHLHE22	NFE2L2
BHLHE22	NFE2L3
BHLHE22	NFIC
BHLHE22	NFKB2
BHLHE22	NR3C1
BHLHE22	PRDM1
BHLHE22	PRDM10
BHLHE22	RAD21
BHLHE22	RARA
BHLHE22	RORA
BHLHE22	RUNX2
BHLHE22	RUNX3
BHLHE22	SMAD7
BHLHE22	SP3
BHLHE22	SREBF2
BHLHE22	STAT1
BHLHE22	TBX6
BHLHE22	TCF4
BHLHE22	TFAP2A
BHLHE22	THAP1
BHLHE22	THAP11
BHLHE22	TWIST1
BHLHE22	USF2
BHLHE22	ZBTB1
BHLHE22	ZBTB3
BHLHE22	ZBTB32
BHLHE22	ZBTB38
BHLHE22	ZBTB7A
BHLHE22	ZBTB7B
BHLHE22	ZFP62
BHLHE22	ZFP91
BHLHE22	ZNF114
BHLHE22	ZNF131
BHLHE22	ZNF217
BHLHE22	ZNF22
BHLHE22	ZNF251
BHLHE22	ZNF267
BHLHE22	ZNF276
BHLHE22	ZNF335
BHLHE22	ZNF34
BHLHE22	ZNF497
BHLHE22	ZNF517
BHLHE22	ZNF524
BHLHE22	ZNF579
BHLHE22	ZNF580
BHLHE22	ZNF581
BHLHE22	ZNF584
BHLHE22	ZNF623
BHLHE22	ZNF689
BHLHE22	ZNF775
BHLHE22	ZNF784
BHLHE22	ZNF837
BHLHE40	ARID5A
BHLHE40	ATF5
BHLHE40	BCL6B
BHLHE40	BHLHE22
BHLHE40	BHLHE40
BHLHE40	BHLHE41
BHLHE40	CAMTA2
BHLHE40	CEBPB
BHLHE40	CREB3L1
BHLHE40	CREB3L4
BHLHE40	CTCF
BHLHE40	DBP
BHLHE40	DDIT3
BHLHE40	E2F2
BHLHE40	E2F4
BHLHE40	ETV6
BHLHE40	FERD3L
BHLHE40	FIZ1
BHLHE40	FLI1
BHLHE40	FOSL1
BHLHE40	FOXH1
BHLHE40	FOXP2
BHLHE40	GFI1
BHLHE40	GLI1
BHLHE40	GZF1
BHLHE40	HINFP
BHLHE40	HSF4
BHLHE40	IRF2
BHLHE40	IRF3
BHLHE40	IRF4
BHLHE40	IRX2
BHLHE40	JUNB
BHLHE40	JUND
BHLHE40	KLF10
BHLHE40	KLF13
BHLHE40	KLF16
BHLHE40	KLF2
BHLHE40	KLF6
BHLHE40	KLF9
BHLHE40	MAF
BHLHE40	MAZ
BHLHE40	MEF2D
BHLHE40	MNX1
BHLHE40	MXI1
BHLHE40	MYC
BHLHE40	MZF1
BHLHE40	NFE2L1
BHLHE40	NFE2L2
BHLHE40	NFE2L3
BHLHE40	NFKB2
BHLHE40	NR3C1
BHLHE40	RAD21
BHLHE40	RARA
BHLHE40	RORA
BHLHE40	RUNX2
BHLHE40	RUNX3
BHLHE40	RXRB
BHLHE40	SMAD2
BHLHE40	SMAD7
BHLHE40	SREBF2
BHLHE40	TBX6
BHLHE40	TCF4
BHLHE40	TGIF1
BHLHE40	THAP1
BHLHE40	TWIST1
BHLHE40	USF2
BHLHE40	ZBTB1
BHLHE40	ZBTB32
BHLHE40	ZBTB38
BHLHE40	ZBTB7A
BHLHE40	ZBTB7B
BHLHE40	ZFP62
BHLHE40	ZFP91
BHLHE40	ZNF114
BHLHE40	ZNF131
BHLHE40	ZNF217
BHLHE40	ZNF22
BHLHE40	ZNF251
BHLHE40	ZNF267
BHLHE40	ZNF335
BHLHE40	ZNF34
BHLHE40	ZNF497
BHLHE40	ZNF517
BHLHE40	ZNF524
BHLHE40	ZNF580
BHLHE40	ZNF581
BHLHE40	ZNF584
BHLHE40	ZNF623
BHLHE40	ZNF688
BHLHE40	ZNF689
BHLHE40	ZNF764
BHLHE40	ZNF768
BHLHE40	ZNF775
BHLHE40	ZNF784
BHLHE40	ZNF785
BHLHE40	ZNF837
BHLHE41	ARID5A
BHLHE41	ATF5
BHLHE41	BCL6B
BHLHE41	BHLHE40
BHLHE41	BHLHE41
BHLHE41	CAMTA2
BHLHE41	CREB3L1
BHLHE41	CREB3L4
BHLHE41	CTCF
BHLHE41	DBP
BHLHE41	DDIT3
BHLHE41	E2F4
BHLHE41	FERD3L
BHLHE41	FIZ1
BHLHE41	FOSL1
BHLHE41	FOXH1
BHLHE41	FOXO3
BHLHE41	FOXP2
BHLHE41	GFI1
BHLHE41	GLI1
BHLHE41	GZF1
BHLHE41	HINFP
BHLHE41	HSF4
BHLHE41	IRF2
BHLHE41	IRF3
BHLHE41	IRF4
BHLHE41	IRX2
BHLHE41	JUNB
BHLHE41	JUND
BHLHE41	KLF10
BHLHE41	KLF13
BHLHE41	KLF16
BHLHE41	KLF2
BHLHE41	KLF6
BHLHE41	KLF9
BHLHE41	MAZ
BHLHE41	MEF2D
BHLHE41	MXI1
BHLHE41	MYC
BHLHE41	NFE2L1
BHLHE41	NFE2L3
BHLHE41	RARA
BHLHE41	RORA
BHLHE41	RUNX3
BHLHE41	SMAD2
BHLHE41	SMAD7
BHLHE41	SREBF1
BHLHE41	STAT1
BHLHE41	TBX6
BHLHE41	TCF4
BHLHE41	THAP1
BHLHE41	TWIST1
BHLHE41	ZBTB1
BHLHE41	ZBTB7A
BHLHE41	ZBTB7B
BHLHE41	ZFP62
BHLHE41	ZNF131
BHLHE41	ZNF217
BHLHE41	ZNF22
BHLHE41	ZNF251
BHLHE41	ZNF267
BHLHE41	ZNF276
BHLHE41	ZNF335
BHLHE41	ZNF34
BHLHE41	ZNF517
BHLHE41	ZNF524
BHLHE41	ZNF580
BHLHE41	ZNF581
BHLHE41	ZNF623
BHLHE41	ZNF775
BHLHE41	ZNF784
CAMTA1	ARID5A
CAMTA1	BHLHE22
CAMTA1	BHLHE40
CAMTA1	BHLHE41
CAMTA1	CAMTA2
CAMTA1	CEBPB
CAMTA1	CREB3L1
CAMTA1	DBP
CAMTA1	ETV6
CAMTA1	FERD3L
CAMTA1	FOSL1
CAMTA1	FOXH1
CAMTA1	FOXO3
CAMTA1	FOXP2
CAMTA1	GMEB2
CAMTA1	GZF1
CAMTA1	IRF2
CAMTA1	JUNB
CAMTA1	JUND
CAMTA1	KLF2
CAMTA1	MAZ
CAMTA1	MNX1
CAMTA1	MXI1
CAMTA1	MYC
CAMTA1	NFE2L3
CAMTA1	NR3C1
CAMTA1	POU2F1
CAMTA1	PRDM1
CAMTA1	RAD21
