Tf	In_Degree	Out_Degree	Total_Connections
AIRE	37	36	73
BATF	39	34	73
BHLHE41	40	25	65
CEBPD	38	33	71
CREB3L2	40	33	73
DDIT3	33	36	69
ETS1	37	41	78
ETV6	40	41	81
FLI1	40	41	81
FOSL1	36	33	69
FOXH1	27	40	67
FOXO3	30	41	71
HBP1	34	37	71
HES1	41	39	80
HIVEP2	36	38	74
IKZF1	39	38	77
IRF4	40	40	80
JUNB	37	38	75
KLF13	38	31	69
KLF2	38	41	79
MEF2D	38	39	77
MYBL2	39	34	73
NFE2L3	40	40	80
NFKB2	31	40	71
OVOL1	34	34	68
PRDM1	39	39	78
PRDM10	31	30	61
RELA	30	41	71
RREB1	37	41	78
RUNX2	37	41	78
SIN3A	36	41	77
ZBTB1	37	30	67
ZBTB38	38	37	75
ZFP91	37	39	76
ZNF16	32	39	71
ZNF217	41	26	67
ZNF250	37	41	78
ZNF434	37	11	48
ZNF652	32	41	73
ZNF75A	37	41	78
ZNF775	41	40	81
