Tf	In_Degree	Out_Degree	Total_Connections
ARF1	115	56	171
ARID3B	112	107	219
ARID5A	116	116	232
ATF4	120	117	237
ATF5	119	116	235
ATF6	109	84	193
BCL6B	110	122	232
BHLHE22	114	119	233
CAMTA1	113	35	148
CAMTA2	113	24	137
CHD2	119	117	236
CREB3L4	114	95	209
CTCFL	116	122	238
CUX1	115	110	225
DBP	112	120	232
E2F1	119	112	231
E2F2	116	120	236
E2F3	109	120	229
E2F4	112	107	219
E2F6	108	121	229
ELF2	119	109	228
ETS1	115	122	237
ETV6	117	120	237
FEZF1	97	118	215
FHL1	105	62	167
FIZ1	117	122	239
FLI1	117	122	239
FOSB	112	71	183
FOXH1	112	116	228
FOXO3	120	121	241
FOXO4	110	121	231
FOXR1	116	120	236
HDAC1	112	118	230
HEY1	107	89	196
HSF4	112	107	219
ID1	113	119	232
IKZF3	121	122	243
IRF1	114	122	236
IRF2	122	115	237
IRF3	107	122	229
IRF4	115	117	232
JUNB	120	111	231
KLF1	119	122	241
KLF10	119	121	240
KLF13	120	105	225
KLF16	109	117	226
KLF3	109	119	228
KLF6	104	117	221
KLF9	117	119	236
LTF	112	108	220
MAF	107	122	229
MAFF	112	122	234
MAFG	112	120	232
MAZ	119	122	241
MEF2D	118	120	238
MLX	116	90	206
MNX1	111	108	219
MYBL2	110	94	204
MYC	121	115	236
MZF1	99	122	221
NFATC2	111	122	233
NFE2	107	101	208
NFE2L1	110	98	208
NFE2L2	107	110	217
NFE2L3	117	120	237
NFIX	119	121	240
NFKB1	113	122	235
NR1D1	91	122	213
NR3C1	121	121	242
PBX2	106	105	211
PLAGL1	118	122	240
POU2F1	100	122	222
PRDM1	119	122	241
PRDM5	119	122	241
RARA	118	122	240
RARG	115	122	237
RELB	112	111	223
RUNX2	111	121	232
RUNX3	118	122	240
RXRA	105	122	227
SMAD7	121	117	238
SNAI3	116	116	232
SOX11	107	122	229
SP1	111	122	233
SP3	95	121	216
SREBF1	120	120	240
STAT1	112	122	234
TBX6	98	117	215
TCF3	108	122	230
TCF4	107	118	225
TCFL5	116	92	208
XBP1	117	102	219
ZBTB33	115	71	186
ZBTB38	120	120	240
ZBTB7B	122	119	241
ZFP62	110	122	232
ZFP91	111	118	229
ZNF114	109	104	213
ZNF189	110	122	232
ZNF217	120	91	211
ZNF22	118	119	237
ZNF267	110	122	232
ZNF296	104	122	226
ZNF341	120	122	242
ZNF398	93	121	214
ZNF425	93	122	215
ZNF524	117	122	239
ZNF579	99	122	221
ZNF580	117	119	236
ZNF581	117	119	236
ZNF688	118	97	215
ZNF689	119	121	240
ZNF710	108	119	227
ZNF740	115	121	236
ZNF764	118	93	211
ZNF768	118	122	240
ZNF775	120	121	241
ZNF784	117	120	237
ZNF785	118	105	223
ZNF786	93	118	211
ZNF846	112	115	227
ZXDA	115	117	232
