From	To
ARF1	ARF1
ARF1	ARID5A
ARF1	ATF4
ARF1	ATF6
ARF1	CAMTA2
ARF1	CHD2
ARF1	CREB3L4
ARF1	CUX1
ARF1	E2F4
ARF1	ETS1
ARF1	FIZ1
ARF1	FOSB
ARF1	FOXO3
ARF1	FOXR1
ARF1	HSF4
ARF1	IKZF3
ARF1	IRF2
ARF1	JUNB
ARF1	KLF10
ARF1	KLF13
ARF1	KLF16
ARF1	KLF6
ARF1	KLF9
ARF1	LTF
ARF1	MAF
ARF1	MAFG
ARF1	MAZ
ARF1	MEF2D
ARF1	MLX
ARF1	MNX1
ARF1	MYC
ARF1	POU2F1
ARF1	PRDM1
ARF1	PRDM5
ARF1	RARA
ARF1	RELB
ARF1	RUNX2
ARF1	RUNX3
ARF1	SOX11
ARF1	SP3
ARF1	SREBF1
ARF1	XBP1
ARF1	ZBTB38
ARF1	ZBTB7B
ARF1	ZFP62
ARF1	ZNF217
ARF1	ZNF296
ARF1	ZNF524
ARF1	ZNF579
ARF1	ZNF580
ARF1	ZNF581
ARF1	ZNF689
ARF1	ZNF775
ARF1	ZNF784
ARF1	ZNF846
ARF1	ZXDA
ARID3B	ARF1
ARID3B	ARID3B
ARID3B	ARID5A
ARID3B	ATF4
ARID3B	ATF5
ARID3B	ATF6
ARID3B	BCL6B
ARID3B	BHLHE22
ARID3B	CAMTA1
ARID3B	CHD2
ARID3B	CREB3L4
ARID3B	CTCFL
ARID3B	CUX1
ARID3B	DBP
ARID3B	E2F1
ARID3B	E2F2
ARID3B	E2F3
ARID3B	E2F6
ARID3B	ELF2
ARID3B	ETS1
ARID3B	ETV6
ARID3B	FEZF1
ARID3B	FHL1
ARID3B	FIZ1
ARID3B	FLI1
ARID3B	FOSB
ARID3B	FOXH1
ARID3B	FOXO3
ARID3B	FOXO4
ARID3B	FOXR1
ARID3B	HDAC1
ARID3B	HEY1
ARID3B	ID1
ARID3B	IKZF3
ARID3B	IRF1
ARID3B	IRF2
ARID3B	IRF3
ARID3B	IRF4
ARID3B	JUNB
ARID3B	KLF1
ARID3B	KLF10
ARID3B	KLF13
ARID3B	KLF3
ARID3B	KLF9
ARID3B	LTF
ARID3B	MAF
ARID3B	MAZ
ARID3B	MEF2D
ARID3B	MLX
ARID3B	MNX1
ARID3B	MYBL2
ARID3B	MYC
ARID3B	NFATC2
ARID3B	NFE2
ARID3B	NFE2L2
ARID3B	NFE2L3
