Tf	In_Degree	Out_Degree	Total_Connections
ARID3B	56	46	102
BCL6B	60	63	123
CAMTA1	55	22	77
CAMTA2	53	16	69
CEBPB	52	52	104
CHD2	53	60	113
CREB3L4	44	43	87
CST6	60	19	79
CUX1	61	50	111
DDIT3	54	57	111
E2F2	56	61	117
E2F3	51	63	114
E2F6	54	63	117
FLI1	59	62	121
FOSL1	54	50	104
FOXN3	56	44	100
GMEB2	45	35	80
IKZF1	58	61	119
IRF2	61	55	116
IRF4	58	59	117
JUN	45	61	106
KLF10	52	63	115
KLF13	59	44	103
KLF2	60	61	121
KLF6	60	55	115
MAF	60	61	121
MAZ	52	63	115
MEF2C	62	60	122
MEF2D	60	60	120
MXI1	61	61	122
MYBL2	57	49	106
MYC	60	53	113
NFIL3	57	54	111
NR3C1	58	61	119
POU2F1	50	62	112
PRDM1	63	61	124
RARA	58	63	121
RARG	59	63	122
RFX5	53	62	115
RORA	60	62	122
RUNX2	60	61	121
SIN3A	47	63	110
SMAD3	58	63	121
SMAD7	63	55	118
SREBF1	55	60	115
SREBF2	59	58	117
SRF	46	63	109
TBX6	48	53	101
TCF3	55	63	118
TCF4	55	61	116
TGIF1	54	55	109
XBP1	60	42	102
ZBTB38	61	60	121
ZBTB7B	60	59	119
ZFP91	52	54	106
ZNF217	58	43	101
ZNF22	53	58	111
ZNF341	51	63	114
ZNF398	47	60	107
ZNF425	47	63	110
ZNF740	59	63	122
ZNF775	58	62	120
ZNF786	47	57	104
