From	To
AIRE	AIRE
AIRE	ARF1
AIRE	ARID3B
AIRE	ARID5A
AIRE	ATF3
AIRE	ATF4
AIRE	ATF6
AIRE	BARX2
AIRE	BHLHE41
AIRE	CHD2
AIRE	CREB3L2
AIRE	CTCF
AIRE	CTCFL
AIRE	E2F2
AIRE	E2F3
AIRE	ELK3
AIRE	ETS1
AIRE	ETV3
AIRE	FLI1
AIRE	FOSL2
AIRE	FOXO3
AIRE	FOXP2
AIRE	HBP1
AIRE	HES1
AIRE	HES6
AIRE	HEY1
AIRE	HIVEP2
AIRE	IKZF3
AIRE	IRF1
AIRE	IRF2
AIRE	IRF4
AIRE	IRF5
AIRE	JUN
AIRE	JUND
AIRE	KLF13
AIRE	KLF2
AIRE	KLF3
AIRE	KLF6
AIRE	KLF7
AIRE	MEF2C
AIRE	MEF2D
AIRE	MLX
AIRE	MNT
AIRE	MXI1
AIRE	MYC
AIRE	NFE2L2
AIRE	NFE2L3
AIRE	NFIL3
AIRE	NFKB1
AIRE	NR3C1
AIRE	NRF1
AIRE	POU2F1
AIRE	PRDM1
AIRE	PRDM10
AIRE	PRDM15
AIRE	RARA
AIRE	RARG
AIRE	RUNX1
AIRE	RUNX2
AIRE	SIN3A
AIRE	SMAD7
AIRE	TCF3
AIRE	TCF4
AIRE	USF1
AIRE	VDR
AIRE	XBP1
AIRE	ZBTB38
AIRE	ZBTB7B
AIRE	ZEB1
AIRE	ZFP91
AIRE	ZNF124
AIRE	ZNF189
AIRE	ZNF212
AIRE	ZNF217
AIRE	ZNF22
AIRE	ZNF334
AIRE	ZNF436
AIRE	ZNF443
AIRE	ZNF490
AIRE	ZNF709
AIRE	ZNF710
AIRE	ZNF740
AIRE	ZNF775
AIRE	ZNF791
AIRE	ZXDA
ARF1	AIRE
ARF1	ARF1
ARF1	ARID5A
ARF1	ATF4
ARF1	BHLHE41
ARF1	CAMTA2
ARF1	ETV3
ARF1	FLI1
ARF1	FOXO3
ARF1	GFI1
ARF1	HES1
ARF1	IRF2
ARF1	IRF5
ARF1	KLF6
ARF1	KLF7
ARF1	KLF9
ARF1	MAZ
ARF1	MEF2C
ARF1	MLX
ARF1	MNT
ARF1	MXI1
ARF1	MYC
ARF1	POU2F1
ARF1	PRDM1
ARF1	RARA
ARF1	RUNX1
ARF1	RUNX2
ARF1	SP3
ARF1	XBP1
ARF1	ZBTB38
ARF1	ZBTB7B
ARF1	ZNF367
ARF1	ZNF775
ARF1	ZXDA
ARID3A	AIRE
ARID3A	ARF1
ARID3A	ARID3A
ARID3A	ARID3B
ARID3A	ARID5A
ARID3A	ATF6
ARID3A	BARX2
ARID3A	BHLHE41
ARID3A	CHD2
ARID3A	CREB3L2
ARID3A	CTCF
ARID3A	CTCFL
ARID3A	ELK3
ARID3A	ETS1
ARID3A	ETV3
ARID3A	FLI1
ARID3A	FOXD4L5
ARID3A	FOXO3
ARID3A	FOXP2
ARID3A	GFI1
ARID3A	HBP1
ARID3A	HES1
ARID3A	HES6
ARID3A	HEY1
ARID3A	HEY2
ARID3A	HIVEP2
ARID3A	IKZF3
ARID3A	IRF1
ARID3A	IRF2
ARID3A	IRF4
ARID3A	JUN
ARID3A	JUND
ARID3A	KLF13
ARID3A	KLF2
ARID3A	KLF3
ARID3A	KLF6
ARID3A	KLF7
ARID3A	KLF9
ARID3A	MAFF
ARID3A	MEF2C
ARID3A	MLX
ARID3A	MNT
ARID3A	MXI1
ARID3A	MYBL2
ARID3A	MYC
ARID3A	MYNN
ARID3A	NFE2L2
ARID3A	NFE2L3
ARID3A	NFIL3
ARID3A	NFKB1
ARID3A	NRF1
ARID3A	POU2F1
ARID3A	PRDM1
ARID3A	PRDM10
ARID3A	PRDM15
ARID3A	RARA
ARID3A	RARG
ARID3A	RUNX1
ARID3A	RUNX2
ARID3A	SIN3A
ARID3A	SMAD7
ARID3A	SREBF2
ARID3A	TCF3
ARID3A	TCF4
ARID3A	USF1
ARID3A	VDR
