GENE	TF	ENHANCER_LIST
AANAT	0	2_MACS_peak_13394_lociStitched
ABCA7	0	1_MACS_peak_14354_lociStitched,2_MACS_peak_14352_lociStitched
ABCF1	0	3_MACS_peak_26359_lociStitched
ABHD12	0	4_MACS_peak_18675_lociStitched
ABHD2	0	2_MACS_peak_10340_lociStitched
ABR	0	5_MACS_peak_11832_lociStitched
ACAP1	0	2_MACS_peak_12038_lociStitched
ACBD3	0	1_MACS_peak_3002_lociStitched
ACOXL	0	2_MACS_peak_17011_lociStitched,2_MACS_peak_17022_lociStitched
ACSS1	0	1_MACS_peak_18668_lociStitched
ACTR3	0	4_MACS_peak_17131_lociStitched
ACTR3C	0	5_MACS_peak_29439_lociStitched,1_MACS_peak_29438_lociStitched,4_MACS_peak_29433_lociStitched
ADA	0	2_MACS_peak_18991_lociStitched
ADAM15	0	2_MACS_peak_1943_lociStitched
ADAMTS4	0	2_MACS_peak_2145_lociStitched,2_MACS_peak_2143_lociStitched
ADAMTSL4	0	2_MACS_peak_1817_lociStitched
ADAR	0	1_MACS_peak_1922_lociStitched
ADCK3	0	2_MACS_peak_3029_lociStitched
ADCY10	0	2_MACS_peak_2274_lociStitched
ADM	0	3_MACS_peak_4846_lociStitched,4_MACS_peak_4849_lociStitched
ADORA2A	0	1_MACS_peak_20006_lociStitched
ADRB2	0	2_MACS_peak_25424_lociStitched
ADRBK1	0	2_MACS_peak_5532_lociStitched,2_MACS_peak_5529_lociStitched
ADRM1	0	1_MACS_peak_19328_lociStitched
AEN	0	6_MACS_peak_10323_lociStitched
AFF1	0	4_MACS_peak_23408_lociStitched
AGAP1	0	2_MACS_peak_18247_lociStitched
AGBL3	0	5_MACS_peak_29253_lociStitched
AGK	0	2_MACS_peak_29347_lociStitched,1_MACS_peak_29355_lociStitched
AGPAT3	0	1_MACS_peak_19731_lociStitched
AIRE	1	1_MACS_peak_19748_lociStitched,1_MACS_peak_19750_lociStitched
AKAP13	0	3_MACS_peak_10296_lociStitched
AKAP2	0	3_MACS_peak_31685_lociStitched,2_MACS_peak_31700_lociStitched,3_MACS_peak_31702_lociStitched
AKNA	0	2_MACS_peak_31759_lociStitched
AKR1D1	0	1_MACS_peak_29288_lociStitched
AKT3	0	1_MACS_peak_3211_lociStitched
ALDH3B1	0	1_MACS_peak_5590_lociStitched
ALDH8A1	0	4_MACS_peak_27449_lociStitched
ALDOA	0	2_MACS_peak_11156_lociStitched
ALDOB	0	2_MACS_peak_31637_lociStitched
ALG1	0	4_MACS_peak_10722_lociStitched
ALG1L	0	3_MACS_peak_21842_lociStitched
ALKBH4	0	1_MACS_peak_28884_lociStitched,3_MACS_peak_28887_lociStitched,1_MACS_peak_28886_lociStitched,1_MACS_peak_28897_lociStitched
ALOX12	0	1_MACS_peak_12021_lociStitched
ALOX5	0	2_MACS_peak_3713_lociStitched
AMH	0	3_MACS_peak_14426_lociStitched,3_MACS_peak_14423_lociStitched
AMHR2	0	9_MACS_peak_7050_lociStitched
AMZ2	0	1_MACS_peak_13230_lociStitched,2_MACS_peak_13225_lociStitched
ANAPC1	0	5_MACS_peak_17059_lociStitched
