GENE	TF	ENHANCER_LIST
AASDHPPT	0	1_MACS_peak_7046_lociStitched
ABCF1	0	2_MACS_peak_31108_lociStitched
ABP1	0	1_MACS_peak_34856_lociStitched
ACSS1	0	1_MACS_peak_21980_lociStitched
ACTR3C	0	1_MACS_peak_34836_lociStitched
ADAM17	0	6_MACS_peak_18687_lociStitched
ADAM19	0	3_MACS_peak_30110_lociStitched
ADAMTSL4	0	4_MACS_peak_2317_lociStitched,3_MACS_peak_2321_lociStitched
ADM	0	3_MACS_peak_5731_lociStitched
ADM2	0	3_MACS_peak_24280_lociStitched
ADORA2A	0	1_MACS_peak_23543_lociStitched
ADRB2	0	5_MACS_peak_29940_lociStitched
ADRBK1	0	1_MACS_peak_6487_lociStitched,3_MACS_peak_6484_lociStitched
AFF1	0	3_MACS_peak_27510_lociStitched
AFF4	0	1_MACS_peak_29662_lociStitched
AFG3L1P	0	2_MACS_peak_14393_lociStitched
AKAP2	0	7_MACS_peak_37604_lociStitched
AKAP5	0	2_MACS_peak_10751_lociStitched
AKR1D1	0	6_MACS_peak_34664_lociStitched
AKT1S1	0	1_MACS_peak_18443_lociStitched,1_MACS_peak_18440_lociStitched,2_MACS_peak_18445_lociStitched
ALDH1A3	0	2_MACS_peak_12959_lociStitched
ALDH3B1	0	2_MACS_peak_6545_lociStitched
ALG2	0	1_MACS_peak_37490_lociStitched
ALKBH3	0	3_MACS_peak_6016_lociStitched
ALKBH4	0	1_MACS_peak_34157_lociStitched
ALOX5	0	1_MACS_peak_4505_lociStitched
ALPK1	0	5_MACS_peak_27737_lociStitched
AMBRA1	0	1_MACS_peak_6060_lociStitched
AMIGO3	0	1_MACS_peak_25048_lociStitched
AMZ2	0	2_MACS_peak_15827_lociStitched,2_MACS_peak_15834_lociStitched
ANK3	0	5_MACS_peak_4602_lociStitched
ANKDD1A	0	1_MACS_peak_12219_lociStitched
ANKRD11	0	4_MACS_peak_14363_lociStitched
ANKRD13D	0	1_MACS_peak_6487_lociStitched,3_MACS_peak_6484_lociStitched
ANKRD28	0	2_MACS_peak_24515_lociStitched
ANKRD36BP2	0	3_MACS_peak_19946_lociStitched,1_MACS_peak_19945_lociStitched,2_MACS_peak_19931_lociStitched,3_MACS_peak_19936_lociStitched
ANKRD44	0	4_MACS_peak_21097_lociStitched
ANP32A	0	1_MACS_peak_12321_lociStitched
ANP32B	0	1_MACS_peak_37473_lociStitched
AP1G1	0	1_MACS_peak_14054_lociStitched
APEH	0	1_MACS_peak_25048_lociStitched
APOBEC3A	0	1_MACS_peak_23901_lociStitched
APOBEC3B	0	1_MACS_peak_23901_lociStitched
APOBEC3H	0	2_MACS_peak_23919_lociStitched
APOLD1	0	4_MACS_peak_7732_lociStitched
ARAP1	0	2_MACS_peak_6621_lociStitched
ARCN1	0	1_MACS_peak_7243_lociStitched
ARF1	1	1_MACS_peak_3670_lociStitched
ARFGAP3	0	1_MACS_peak_24084_lociStitched
ARHGAP26	0	3_MACS_peak_29893_lociStitched
ARHGAP30	0	2_MACS_peak_2725_lociStitched
ARHGAP9	0	2_MACS_peak_8479_lociStitched
ARHGEF1	0	2_MACS_peak_18126_lociStitched
ARHGEF17	0	2_MACS_peak_6696_lociStitched
ARHGEF2	0	6_MACS_peak_2516_lociStitched
ARHGEF35	0	4_MACS_peak_34776_lociStitched
ARHGEF5	0	2_MACS_peak_34786_lociStitched
ARID2	0	1_MACS_peak_8130_lociStitched
ARID3A	1	1_MACS_peak_16945_lociStitched,3_MACS_peak_16946_lociStitched,1_MACS_peak_16951_lociStitched
ARID5B	0	5_MACS_peak_4630_lociStitched,4_MACS_peak_4617_lociStitched
ARIH1	0	1_MACS_peak_12380_lociStitched
ARPC5L	0	2_MACS_peak_37819_lociStitched
ARPP19	0	1_MACS_peak_12013_lociStitched
ARRDC3	0	3_MACS_peak_29166_lociStitched
ARSG	0	2_MACS_peak_15827_lociStitched,2_MACS_peak_15834_lociStitched
ARTN	0	2_MACS_peak_1085_lociStitched
ASB5	0	1_MACS_peak_28236_lociStitched
ASB9P1	0	1_MACS_peak_12872_lociStitched
ASCL3	0	1_MACS_peak_5718_lociStitched
ATAT1	0	2_MACS_peak_31108_lociStitched
ATF5	1	2_MACS_peak_18445_lociStitched
ATG10	0	1_MACS_peak_29048_lociStitched
ATG13	0	1_MACS_peak_6060_lociStitched
ATG16L2	0	3_MACS_peak_6633_lociStitched
ATG4D	0	1_MACS_peak_17347_lociStitched
ATHL1	0	2_MACS_peak_5552_lociStitched,4_MACS_peak_5555_lociStitched,1_MACS_peak_5559_lociStitched
ATN1	0	2_MACS_peak_7623_lociStitched
ATOX1	0	2_MACS_peak_30044_lociStitched
ATP10B	0	6_MACS_peak_30167_lociStitched
ATP13A3	0	4_MACS_peak_26677_lociStitched
ATP1A3	0	1_MACS_peak_18128_lociStitched
ATP1B2	0	2_MACS_peak_14654_lociStitched
ATP2A3	0	2_MACS_peak_14518_lociStitched,1_MACS_peak_14524_lociStitched
ATP5D	0	3_MACS_peak_16991_lociStitched
ATP5I	0	1_MACS_peak_26809_lociStitched
ATP5O	0	1_MACS_peak_22942_lociStitched
ATP6V1A	0	1_MACS_peak_25631_lociStitched
ATPIF1	0	4_MACS_peak_718_lociStitched
ATXN1	0	2_MACS_peak_30863_lociStitched
ATXN1L	0	1_MACS_peak_14054_lociStitched
AURKC	0	4_MACS_peak_18575_lociStitched
AXL	0	2_MACS_peak_18068_lociStitched
B2M	0	2_MACS_peak_11900_lociStitched,1_MACS_peak_11897_lociStitched
B4GALNT4	0	1_MACS_peak_5559_lociStitched
B4GALT1	0	2_MACS_peak_36804_lociStitched
BACH1	1	3_MACS_peak_22860_lociStitched
BAD	0	1_MACS_peak_6259_lociStitched,3_MACS_peak_6250_lociStitched
BAG1	0	1_MACS_peak_36810_lociStitched
BAX	0	1_MACS_peak_18393_lociStitched
BCL2	0	1_MACS_peak_16826_lociStitched,3_MACS_peak_16821_lociStitched,3_MACS_peak_16857_lociStitched,4_MACS_peak_16836_lociStitched
BCL6	1	2_MACS_peak_26623_lociStitched
BCLAF1	1	2_MACS_peak_32372_lociStitched
BEST2	0	1_MACS_peak_17469_lociStitched
BET1L	0	1_MACS_peak_5548_lociStitched
BFSP2	0	4_MACS_peak_25956_lociStitched
BHLHA15	1	3_MACS_peak_34038_lociStitched
BHLHE41	1	3_MACS_peak_7877_lociStitched
