Tf	In_Degree	Out_Degree	Total_Connections
ARF1	49	14	63
BACH1	74	50	124
BCL6B	81	87	168
BCLAF1	72	94	166
BHLHE41	83	27	110
BRCA1	77	14	91
CAMTA2	70	15	85
CEBPB	69	61	130
CEBPG	64	83	147
CHD2	86	74	160
CREB1	63	77	140
CREM	64	65	129
ELF2	58	65	123
ERF	76	61	137
ESRRA	88	90	178
FIZ1	55	81	136
FOS	81	82	163
FOSB	80	41	121
FOXN3	67	58	125
FOXO3	70	93	163
FOXP2	71	73	144
HAP1	65	6	71
HBP1	76	79	155
HIVEP2	81	63	144
IRF1	89	95	184
IRF2	70	75	145
IRF3	72	93	165
ISL2	82	84	166
JUN	73	76	149
JUNB	85	79	164
JUND	66	94	160
KLF10	73	92	165
KLF13	89	46	135
KLF2	80	75	155
KLF6	84	47	131
KLF7	55	89	144
LHX6	68	72	140
MEF2A	63	91	154
MNT	69	22	91
MXI1	82	70	152
MYC	76	50	126
MYNN	63	42	105
MZF1	75	93	168
NFE2L2	67	59	126
NFKB1	54	93	147
NFKB2	67	69	136
NR1D2	70	36	106
NR3C1	77	80	157
NR4A2	63	84	147
NR4A3	79	55	134
POU6F1	59	86	145
PRDM1	80	94	174
PRDM10	61	33	94
RARA	78	95	173
RELA	82	94	176
RELB	52	47	99
RFX1	67	85	152
RFX3	75	80	155
RUNX1	74	58	132
SF1	74	48	122
SIN3A	86	94	180
SP3	55	88	143
TBX6	74	58	132
TCF12	66	85	151
TCF3	50	95	145
TGIF2	72	59	131
TP53	71	73	144
USF1	75	57	132
XBP1	76	71	147
ZBTB1	68	35	103
ZBTB3	68	81	149
ZBTB32	53	52	105
ZBTB5	64	83	147
ZFP91	80	66	146
ZNF143	63	72	135
ZNF460	67	94	161
ZNF48	56	74	130
ZNF483	61	76	137
ZNF490	53	43	96
ZNF524	55	82	137
ZNF526	76	87	163
ZNF542	65	65	130
ZNF543	67	82	149
ZNF574	71	93	164
ZNF580	80	76	156
ZNF581	80	61	141
ZNF592	62	28	90
ZNF672	41	85	126
ZNF689	67	83	150
ZNF692	41	84	125
ZNF771	56	56	112
ZNF775	63	85	148
ZNF784	80	88	168
ZNF791	53	64	117
ZNF805	67	86	153
