Tf	In_Degree	Out_Degree	Total_Connections
ABI3	40	9	49
ARF1	23	7	30
ARID5A	27	39	66
ATF3	40	57	97
BCL6B	50	51	101
BCLAF1	39	53	92
BHLHE41	36	15	51
CAMTA2	44	5	49
CEBPB	35	27	62
CHD2	38	44	82
ELF2	32	33	65
ESRRA	30	51	81
ETV5	33	24	57
FOSB	45	20	65
HBP1	42	43	85
HIVEP2	45	35	80
IRF2	37	38	75
JUN	35	41	76
JUNB	46	44	90
JUND	33	54	87
KLF13	28	19	47
KLF2	53	37	90
KLF6	46	22	68
KLF7	27	53	80
KLF9	40	38	78
MEF2A	37	52	89
MYBL2	38	30	68
MYNN	35	22	57
NFE2L1	44	36	80
NFE2L2	32	32	64
NFKB2	39	32	71
NR4A2	46	41	87
POU5F1	35	50	85
PRDM10	28	18	46
RFX1	38	49	87
RFX3	41	43	84
SMAD2	30	25	55
SMAD4	27	36	63
SP2	37	55	92
SP3	33	52	85
SP6	37	0	37
TBP	40	57	97
USF1	34	30	64
VEZF1	44	27	71
XBP1	38	30	68
ZBTB4	46	13	59
ZFP91	39	45	84
ZNF16	39	50	89
ZNF250	39	56	95
ZNF335	33	37	70
ZNF483	34	38	72
ZNF580	37	44	81
ZNF581	37	33	70
ZNF595	28	56	84
ZNF623	14	45	59
ZNF718	28	51	79
ZNF784	37	44	81
