GENE	TF	ENHANCER_LIST
AANAT	0	8_MACS_peak_9092_lociStitched
AASS	0	1_MACS_peak_19711_lociStitched
ABCA7	0	5_MACS_peak_9615_lociStitched
ABCD2	0	3_MACS_peak_4462_lociStitched
ABCF1	0	2_MACS_peak_17844_lociStitched
ABHD11	0	2_MACS_peak_19271_lociStitched
ACAA1	0	1_MACS_peak_14095_lociStitched
ACADVL	0	3_MACS_peak_8239_lociStitched,1_MACS_peak_8242_lociStitched
ACBD3	0	3_MACS_peak_2070_lociStitched
ACBD5	0	1_MACS_peak_2431_lociStitched
ACO2	0	2_MACS_peak_13731_lociStitched
ACTR8	0	1_MACS_peak_14409_lociStitched
ADA	0	3_MACS_peak_12830_lociStitched
ADAM10	0	1_MACS_peak_6736_lociStitched
ADAM15	0	1_MACS_peak_1317_lociStitched
ADAM19	0	6_MACS_peak_17294_lociStitched
ADAMTS4	0	1_MACS_peak_1481_lociStitched
ADAMTSL4	0	5_MACS_peak_1198_lociStitched
ADAT3	0	1_MACS_peak_9671_lociStitched,1_MACS_peak_9664_lociStitched
ADCY10	0	1_MACS_peak_1563_lociStitched
ADM2	0	6_MACS_peak_13851_lociStitched
ADNP	0	1_MACS_peak_12924_lociStitched
ADORA2A	0	6_MACS_peak_13454_lociStitched
ADRB2	0	4_MACS_peak_17204_lociStitched
ADRBK1	0	6_MACS_peak_3708_lociStitched
AEN	0	5_MACS_peak_7096_lociStitched
AFF1	0	2_MACS_peak_15792_lociStitched
AFTPH	0	1_MACS_peak_11271_lociStitched
AGAP2	0	2_MACS_peak_4709_lociStitched
AGER	0	4_MACS_peak_17913_lociStitched
AGPAT1	0	4_MACS_peak_17913_lociStitched
AHNAK	0	7_MACS_peak_3540_lociStitched
AHSG	0	2_MACS_peak_15243_lociStitched
AK1	0	4_MACS_peak_21545_lociStitched
AKAP13	0	1_MACS_peak_7086_lociStitched
AKAP2	0	7_MACS_peak_21361_lociStitched
AKAP5	0	2_MACS_peak_5945_lociStitched
AKAP6	0	2_MACS_peak_5763_lociStitched
AKAP8	0	1_MACS_peak_10069_lociStitched,2_MACS_peak_10065_lociStitched
AKAP8L	0	1_MACS_peak_10069_lociStitched
AKT1S1	0	1_MACS_peak_10688_lociStitched,2_MACS_peak_10686_lociStitched
ALDH16A1	0	1_MACS_peak_10668_lociStitched,4_MACS_peak_10658_lociStitched
ALDH1A3	0	7_MACS_peak_7224_lociStitched
ALDH4A1	0	2_MACS_peak_242_lociStitched
ALG2	0	1_MACS_peak_21310_lociStitched
ALKBH4	0	3_MACS_peak_19560_lociStitched
ALOX5	0	1_MACS_peak_2528_lociStitched
ALOXE3	0	5_MACS_peak_8274_lociStitched
AMH	0	3_MACS_peak_9693_lociStitched,2_MACS_peak_9689_lociStitched
ANAPC16	0	7_MACS_peak_2702_lociStitched,6_MACS_peak_2696_lociStitched
ANG	0	1_MACS_peak_5654_lociStitched
ANKDD1A	0	3_MACS_peak_6798_lociStitched
ANKHD1	0	2_MACS_peak_17126_lociStitched
ANKHD1-EIF4EBP3	0	2_MACS_peak_17126_lociStitched
ANKRD11	0	2_MACS_peak_8103_lociStitched
ANKRD12	0	2_MACS_peak_9331_lociStitched
ANKRD13D	0	6_MACS_peak_3708_lociStitched
ANKRD16	0	4_MACS_peak_2260_lociStitched
ANKRD28	0	1_MACS_peak_13979_lociStitched
