From	To
AIRE	AIRE
AIRE	BACH1
AIRE	BBX
AIRE	BCL6B
AIRE	BCLAF1
AIRE	BHLHE41
AIRE	CEBPG
AIRE	CHD2
AIRE	CREB3L2
AIRE	CREM
AIRE	ESRRA
AIRE	FOSB
AIRE	FOSL1
AIRE	FOXN3
AIRE	FOXO3
AIRE	GMEB2
AIRE	HAP1
AIRE	HBP1
AIRE	HES7
AIRE	HIVEP2
AIRE	IRF2
AIRE	IRF4
AIRE	IRF7
AIRE	JUN
AIRE	JUNB
AIRE	JUND
AIRE	KLF13
AIRE	KLF2
AIRE	KLF6
AIRE	KLF7
AIRE	KLF9
AIRE	MEF2C
AIRE	MXI1
AIRE	MYC
AIRE	MYNN
AIRE	MZF1
AIRE	NFE2L2
AIRE	NFKB1
AIRE	NR3C1
AIRE	NR4A2
AIRE	NR4A3
AIRE	PAX5
AIRE	POU2F2
AIRE	PRDM1
AIRE	PRDM10
AIRE	RARA
AIRE	RAX2
AIRE	RELB
AIRE	RFX3
AIRE	RFX7
AIRE	RUNX1
AIRE	SF1
AIRE	SIN3A
AIRE	SP3
AIRE	SREBF2
AIRE	TBX6
AIRE	TCF4
AIRE	TP53
AIRE	XBP1
AIRE	ZBTB1
AIRE	ZBTB20
AIRE	ZBTB32
AIRE	ZBTB38
AIRE	ZBTB5
AIRE	ZFP62
AIRE	ZFP91
AIRE	ZNF143
AIRE	ZNF460
AIRE	ZNF48
AIRE	ZNF483
AIRE	ZNF490
AIRE	ZNF543
AIRE	ZNF574
AIRE	ZNF580
AIRE	ZNF581
AIRE	ZNF689
AIRE	ZNF771
AIRE	ZNF775
AIRE	ZNF784
AIRE	ZNF791
AIRE	ZNF805
ARF1	BHLHE41
ARF1	CHD2
ARF1	ERF
ARF1	FOSB
ARF1	GMEB2
ARF1	KLF15
ARF1	KLF6
ARF1	KLF9
ARF1	MXI1
ARF1	PAX4
ARF1	PAX5
ARF1	RELB
ARF1	RUNX1
ARF1	SPI1
ARF1	TBX6
ARF1	TCF12
ARF1	ZBTB32
ARF1	ZBTB38
ARF1	ZNF526
ARF1	ZNF689
ARF4	BCLAF1
ARF4	BHLHE41
ARF4	CHD2
ARF4	CREB3L2
ARF4	ESRRA
ARF4	FOSL1
ARF4	FOXN3
ARF4	FOXO3
ARF4	HBP1
ARF4	IRF2
ARF4	IRF4
ARF4	JUN
ARF4	JUND
ARF4	KLF13
ARF4	KLF15
ARF4	KLF7
ARF4	KLF9
ARF4	MEF2A
ARF4	MEF2C
ARF4	MYNN
ARF4	NR4A2
ARF4	RUNX1
ARF4	SIN3A
ARF4	TCF12
ARF4	TP53
ARF4	ZBTB20
ARF4	ZBTB38
ARF4	ZBTB5
ARF4	ZFP91
ARF4	ZNF16
ARF4	ZNF250
ARF4	ZNF592
ARF4	ZNF655
BACH1	ARF1
BACH1	ARF4
BACH1	BACH1
BACH1	BHLHE41
BACH1	CREB1
BACH1	CREB3L2
BACH1	CREM
BACH1	ESRRA
BACH1	FIZ1
BACH1	FOSL1
BACH1	GABPA
BACH1	GMEB2
BACH1	HBP1
BACH1	HES7
BACH1	IRF4
BACH1	JUNB
BACH1	KLF13
BACH1	KLF15
BACH1	KLF2
BACH1	KLF6
BACH1	KLF9
BACH1	MEF2A
BACH1	MEF2C
BACH1	MYNN
BACH1	MZF1
BACH1	NFKB2
BACH1	NR1D2
BACH1	POU2F2
BACH1	PRDM1
BACH1	PRDM10
BACH1	RARA
BACH1	RAX2
BACH1	RELA
BACH1	RELB
BACH1	RFX3
BACH1	RUNX1
BACH1	SIN3A
BACH1	SREBF2
BACH1	TBX6
BACH1	TCF12
BACH1	TCF4
BACH1	TP53
BACH1	XBP1
