From	To
ARF1	ARF1
ARF1	ARID3A
ARF1	BCL11A
ARF1	BHLHE41
ARF1	CAMTA2
ARF1	CHD2
ARF1	CUX1
ARF1	ESR1
ARF1	FLI1
ARF1	FOXN3
ARF1	FOXR1
ARF1	GZF1
ARF1	HIVEP2
ARF1	IKZF1
ARF1	IRF1
ARF1	IRF2
ARF1	IRF4
ARF1	KLF10
ARF1	KLF16
ARF1	KLF6
ARF1	MAF
ARF1	MNT
ARF1	NR1D1
ARF1	PAX5
ARF1	PPARD
ARF1	PRDM1
ARF1	RARA
ARF1	RERE
ARF1	RFX1
ARF1	RUNX1
ARF1	SMAD3
ARF1	SMAD7
ARF1	SP3
ARF1	TCF12
ARF1	THRA
ARF1	XBP1
ARF1	ZBTB1
ARF1	ZBTB32
ARF1	ZBTB38
ARF1	ZBTB7B
ARF1	ZFP62
ARF1	ZNF217
ARF1	ZNF283
ARF1	ZNF689
ARF1	ZNF76
ARF4	ARF4
ARF4	ARID3A
ARF4	ARID3B
ARF4	ATF4
ARF4	BCL11A
ARF4	BCLAF1
ARF4	BHLHE41
ARF4	CEBPB
ARF4	CHD2
ARF4	CREB1
ARF4	CREB3L2
ARF4	CTCF
ARF4	CTCFL
ARF4	CUX1
ARF4	ELF2
ARF4	ESR1
ARF4	ESRRA
ARF4	ESRRG
ARF4	ETS1
ARF4	ETV6
ARF4	FLI1
ARF4	FOXN3
ARF4	FOXO3
ARF4	FOXR1
ARF4	HBP1
ARF4	HEY1
ARF4	HIVEP2
ARF4	IKZF1
ARF4	IRF1
ARF4	IRF2
ARF4	IRF4
ARF4	JUNB
ARF4	JUND
ARF4	KLF13
ARF4	KLF2
ARF4	KLF3
ARF4	KLF7
ARF4	MAF
ARF4	MEF2B
ARF4	MEF2C
ARF4	MEF2D
ARF4	MNT
ARF4	MXD1
ARF4	NFE2L1
ARF4	NFE2L2
ARF4	NR1D1
ARF4	NR4A2
ARF4	PAX5
ARF4	PBX2
ARF4	PRDM1
ARF4	PRDM10
ARF4	PRDM14
ARF4	PRDM5
ARF4	RARA
ARF4	RERE
ARF4	RREB1
ARF4	RUNX1
ARF4	RXRB
ARF4	SIN3A
ARF4	SMAD3
ARF4	SMAD7
ARF4	SP100
ARF4	SP3
ARF4	TCF12
ARF4	TFEB
ARF4	THRA
ARF4	XBP1
ARF4	ZBTB20
ARF4	ZBTB38
ARF4	ZBTB7A
ARF4	ZBTB7B
ARF4	ZFP91
ARF4	ZNF217
ARF4	ZNF283
ARF4	ZNF689
ARF4	ZNF860
ARID3A	ARF1
ARID3A	ARF4
ARID3A	ARID3B
ARID3A	ATF4
ARID3A	BACH1
ARID3A	BCL11A
ARID3A	BCL6B
ARID3A	BCLAF1
ARID3A	BHLHE41
ARID3A	BRCA1
ARID3A	CAMTA2
ARID3A	CEBPB
ARID3A	CHD2
ARID3A	CREB3L2
ARID3A	CTCFL
ARID3A	CUX1
ARID3A	ELF1
ARID3A	ELF2
ARID3A	ELK4
ARID3A	ESR1
ARID3A	ESRRG
ARID3A	ETS1
ARID3A	ETV6
ARID3A	FLI1
ARID3A	FOSB
ARID3A	FOXD4L5
ARID3A	FOXN3
ARID3A	FOXO3
