Tf	In_Degree	Out_Degree	Total_Connections
ARF1	26	13	39
ATF4	24	32	56
BACH2	31	26	57
E2F2	29	31	60
E2F3	25	33	58
ESR1	25	34	59
FOSB	31	13	44
FOSL1	31	19	50
FOXO1	27	33	60
FOXO3	29	34	63
HIVEP2	29	28	57
IRF2	29	28	57
IRF4	30	28	58
ISX	25	31	56
JUNB	31	28	59
JUND	19	34	53
KLF2	27	31	58
KLF6	32	24	56
KLF9	29	33	62
MEF2D	31	28	59
MNT	26	19	45
NR3C1	29	29	58
POU2F1	27	34	61
PRDM1	27	33	60
RFX3	23	29	52
RUNX2	29	31	60
SP3	20	33	53
SRF	27	34	61
TCFL5	23	22	45
XBP1	34	21	55
ZBTB1	24	21	45
ZBTB38	30	24	54
ZBTB7B	33	27	60
ZNF687	25	19	44
