From	To
ARF1	ARF1
ARF1	ATF4
ARF1	FOXO1
ARF1	KLF6
ARF1	KLF9
ARF1	MNT
ARF1	POU2F1
ARF1	RUNX2
ARF1	SP3
ARF1	XBP1
ARF1	ZBTB1
ARF1	ZBTB38
ARF1	ZBTB7B
ATF4	ARF1
ATF4	ATF4
ATF4	BACH2
ATF4	E2F2
ATF4	E2F3
ATF4	ESR1
ATF4	FOSB
ATF4	FOSL1
ATF4	FOXO1
ATF4	FOXO3
ATF4	HIVEP2
ATF4	IRF2
ATF4	IRF4
ATF4	ISX
ATF4	JUNB
ATF4	JUND
ATF4	KLF2
ATF4	KLF6
ATF4	KLF9
ATF4	MEF2D
ATF4	MNT
ATF4	NR3C1
ATF4	POU2F1
ATF4	PRDM1
ATF4	RFX3
ATF4	RUNX2
ATF4	TCFL5
ATF4	XBP1
ATF4	ZBTB1
ATF4	ZBTB38
ATF4	ZBTB7B
ATF4	ZNF687
BACH2	ARF1
BACH2	ATF4
BACH2	BACH2
BACH2	E2F2
BACH2	FOSB
BACH2	FOXO3
BACH2	HIVEP2
BACH2	IRF2
BACH2	IRF4
BACH2	ISX
BACH2	JUNB
BACH2	KLF2
BACH2	KLF6
BACH2	KLF9
BACH2	MEF2D
BACH2	NR3C1
BACH2	POU2F1
BACH2	PRDM1
BACH2	RFX3
BACH2	SP3
BACH2	SRF
BACH2	TCFL5
BACH2	XBP1
BACH2	ZBTB38
BACH2	ZBTB7B
BACH2	ZNF687
E2F2	ATF4
E2F2	BACH2
E2F2	E2F2
E2F2	E2F3
E2F2	ESR1
E2F2	FOSB
E2F2	FOSL1
E2F2	FOXO1
E2F2	FOXO3
E2F2	HIVEP2
E2F2	IRF2
E2F2	IRF4
E2F2	ISX
E2F2	JUNB
E2F2	JUND
E2F2	KLF2
E2F2	KLF6
E2F2	KLF9
E2F2	MEF2D
E2F2	MNT
E2F2	NR3C1
E2F2	POU2F1
E2F2	RFX3
E2F2	RUNX2
E2F2	SP3
E2F2	SRF
E2F2	XBP1
E2F2	ZBTB1
E2F2	ZBTB38
E2F2	ZBTB7B
E2F2	ZNF687
E2F3	ARF1
E2F3	ATF4
E2F3	BACH2
E2F3	E2F2
E2F3	E2F3
E2F3	ESR1
E2F3	FOSB
E2F3	FOSL1
E2F3	FOXO1
E2F3	FOXO3
E2F3	HIVEP2
E2F3	IRF2
E2F3	IRF4
E2F3	ISX
E2F3	JUNB
E2F3	JUND
E2F3	KLF2
E2F3	KLF6
E2F3	KLF9
E2F3	MEF2D
E2F3	MNT
E2F3	NR3C1
E2F3	POU2F1
E2F3	PRDM1
E2F3	RFX3
E2F3	RUNX2
E2F3	SP3
E2F3	SRF
E2F3	XBP1
E2F3	ZBTB1
E2F3	ZBTB38
E2F3	ZBTB7B
E2F3	ZNF687
ESR1	ARF1
ESR1	ATF4
ESR1	BACH2
ESR1	E2F2
ESR1	E2F3
ESR1	ESR1
ESR1	FOSB
ESR1	FOSL1
ESR1	FOXO1
ESR1	FOXO3
ESR1	HIVEP2
ESR1	IRF2
ESR1	IRF4
ESR1	ISX
ESR1	JUNB
ESR1	JUND
ESR1	KLF2
ESR1	KLF6
ESR1	KLF9
ESR1	MEF2D
ESR1	MNT
ESR1	NR3C1
ESR1	POU2F1
ESR1	PRDM1
ESR1	RFX3
ESR1	RUNX2
ESR1	SP3
ESR1	SRF
ESR1	TCFL5
ESR1	XBP1
ESR1	ZBTB1
ESR1	ZBTB38
ESR1	ZBTB7B
ESR1	ZNF687
FOSB	BACH2
FOSB	E2F2
FOSB	FOSB
FOSB	FOSL1
FOSB	FOXO3
FOSB	HIVEP2
