From	To
ARF1	ARF1
ARF1	ARID5A
ARF1	ATF4
ARF1	CAMTA2
ARF1	CREB3L4
ARF1	CUX1
ARF1	FLI1
ARF1	FOXR1
ARF1	GFI1
ARF1	GMEB2
ARF1	HES1
ARF1	IRF2
ARF1	KLF10
ARF1	KLF16
ARF1	KLF6
ARF1	KLF9
ARF1	MAF
ARF1	MAFF
ARF1	MAZ
ARF1	MNT
ARF1	NR1I3
ARF1	PBX4
ARF1	POU2F1
ARF1	PRDM1
ARF1	RARA
ARF1	RUNX1
ARF1	RUNX2
ARF1	SMAD7
ARF1	SP3
ARF1	SREBF1
ARF1	USF1
ARF1	XBP1
ARF1	ZBTB1
ARF1	ZBTB38
ARF1	ZBTB7B
ARF1	ZFP62
ARF1	ZNF132
ARF1	ZNF217
ARF1	ZNF219
ARF1	ZNF367
ARF1	ZNF497
ARF1	ZNF584
ARF1	ZNF837
ARID3A	ARID3A
ARID3A	ARID5A
ARID3A	ARNT
ARID3A	ATF4
ARID3A	ATF5
ARID3A	ATF6
ARID3A	CAMTA2
ARID3A	CEBPB
ARID3A	CHD2
ARID3A	CREB3L4
ARID3A	CTCF
ARID3A	CTCFL
ARID3A	CUX1
ARID3A	DMRTC2
ARID3A	E2F2
ARID3A	E2F3
ARID3A	ETV3
ARID3A	FIZ1
ARID3A	FLI1
ARID3A	FOSB
ARID3A	FOSL2
ARID3A	FOXO3
ARID3A	FOXP2
ARID3A	FOXR1
ARID3A	GFI1
ARID3A	GMEB2
ARID3A	HES1
ARID3A	HINFP
ARID3A	IKZF3
ARID3A	IRF1
ARID3A	IRF2
ARID3A	IRF4
ARID3A	JUNB
ARID3A	JUND
ARID3A	KLF1
ARID3A	KLF10
ARID3A	KLF13
ARID3A	KLF2
ARID3A	KLF6
ARID3A	KLF9
ARID3A	MAF
ARID3A	MAFF
ARID3A	MEF2C
ARID3A	MEF2D
ARID3A	MNT
ARID3A	MYBL2
ARID3A	NFATC2
ARID3A	NFE2L2
ARID3A	NFE2L3
ARID3A	NFIX
ARID3A	NR1I3
ARID3A	NR3C1
ARID3A	PBX4
ARID3A	POU2F1
ARID3A	PRDM1
ARID3A	PRDM10
ARID3A	RARA
ARID3A	RARG
ARID3A	RUNX1
ARID3A	RUNX2
ARID3A	RUNX3
ARID3A	RXRB
ARID3A	SF1
ARID3A	SIN3A
ARID3A	SMAD2
ARID3A	SMAD7
ARID3A	SOX11
