From	To
ARF1	ARF1
ARF1	ATF4
ARF1	ETV3
ARF1	FOXO1
ARF1	GFI1
ARF1	HMX1
ARF1	IKZF1
ARF1	IRF2
ARF1	KLF6
ARF1	KLF9
ARF1	MAZ
ARF1	MNT
ARF1	MYC
ARF1	POU2F1
ARF1	PRDM1
ARF1	RARA
ARF1	RUNX1
ARF1	RUNX2
ARF1	SP3
ARF1	SREBF1
ARF1	XBP1
ARF1	ZBTB1
ARF1	ZBTB38
ARF1	ZBTB7B
ARF1	ZNF595
ARF1	ZNF689
ARF1	ZNF718
ARF1	ZXDA
ATF4	ARF1
ATF4	BACH2
ATF4	CAMTA1
ATF4	CEBPB
ATF4	CREB3L2
ATF4	DDIT3
ATF4	E2F2
ATF4	E2F3
ATF4	E2F6
ATF4	E4F1
ATF4	EHF
ATF4	ESRRA
ATF4	ETV3
ATF4	FLI1
ATF4	FOS
ATF4	FOXO3
ATF4	FOXP2
ATF4	GFI1
ATF4	GLI1
ATF4	HES7
ATF4	HIVEP2
ATF4	HMX1
ATF4	IKZF1
ATF4	IKZF3
ATF4	IRF2
ATF4	IRF3
ATF4	IRF4
ATF4	JUN
ATF4	JUNB
ATF4	JUND
ATF4	KLF13
ATF4	KLF2
ATF4	KLF6
ATF4	KLF9
ATF4	LHX3
ATF4	MAFB
ATF4	MAX
ATF4	MAZ
ATF4	MEF2C
ATF4	MEF2D
ATF4	MNT
ATF4	MYBL2
ATF4	MYC
ATF4	NFE2L2
ATF4	NFE2L3
ATF4	NFIC
ATF4	NFIL3
ATF4	NR3C1
ATF4	OLIG1
ATF4	OLIG2
ATF4	POU2F1
ATF4	PRDM1
ATF4	PRDM10
ATF4	RARA
ATF4	RARG
ATF4	RFX1
ATF4	RFX3
ATF4	RUNX1
ATF4	RUNX2
ATF4	RUNX3
ATF4	SIN3A
ATF4	SOX11
ATF4	SREBF1
ATF4	TBX2
ATF4	TBX6
ATF4	THAP1
ATF4	XBP1
ATF4	ZBTB1
ATF4	ZBTB38
ATF4	ZBTB7B
ATF4	ZFP91
ATF4	ZNF217
ATF4	ZNF335
ATF4	ZNF490
ATF4	ZNF595
ATF4	ZNF672
ATF4	ZNF687
ATF4	ZNF689
ATF4	ZNF692
ATF4	ZNF718
ATF4	ZNF740
ATF4	ZNF775
ATF4	ZNF791
ATF4	ZXDA
ATF5	ARF1
ATF5	ATF4
ATF5	ATF5
ATF5	BACH2
ATF5	CAMTA1
ATF5	CEBPB
ATF5	CREB3L2
ATF5	DDIT3
ATF5	E2F2
ATF5	E2F3
ATF5	E2F6
ATF5	EHF
ATF5	ESRRA
ATF5	ETV3
ATF5	FLI1
ATF5	FOS
ATF5	FOSL1
ATF5	FOXO1
ATF5	FOXO3
ATF5	FOXP2
ATF5	GLI1
ATF5	HES7
ATF5	HIVEP2
ATF5	HMX1
ATF5	IKZF1
ATF5	IKZF3
ATF5	IRF2
ATF5	IRF4
ATF5	JUNB
ATF5	JUND
ATF5	KLF13
ATF5	KLF2
ATF5	KLF6
ATF5	KLF9
ATF5	LHX3
ATF5	MAFB
ATF5	MAX
ATF5	MAZ
ATF5	MEF2C
ATF5	MEF2D
ATF5	MNT
ATF5	MYBL2
ATF5	MYC
ATF5	NFE2
ATF5	NFE2L2
ATF5	NFE2L3
ATF5	NFIC
ATF5	NFIL3
ATF5	NR3C1
ATF5	OLIG1
ATF5	OLIG2
ATF5	POU2F1
ATF5	PRDM1
ATF5	RARA
ATF5	RARG
ATF5	RFX1
ATF5	RFX3
ATF5	RUNX1
ATF5	RUNX2
ATF5	RUNX3
ATF5	SIN3A
ATF5	SOX11
ATF5	SREBF1
