GENE	TF	ENHANCER_LIST
AANAT	0	2_MACS_peak_12615_lociStitched,1_MACS_peak_12619_lociStitched
AARS	0	1_MACS_peak_11088_lociStitched
AASDH	0	1_MACS_peak_21198_lociStitched
ABCB9	0	4_MACS_peak_7252_lociStitched
ABCF1	0	2_MACS_peak_24261_lociStitched
ABHD12	0	2_MACS_peak_17311_lociStitched,1_MACS_peak_17313_lociStitched
ABHD4	0	2_MACS_peak_8201_lociStitched,4_MACS_peak_8203_lociStitched
ACBD3	0	2_MACS_peak_2658_lociStitched
ACTN4	0	2_MACS_peak_14250_lociStitched
ACTR3C	0	1_MACS_peak_27107_lociStitched
ACVR2A	0	3_MACS_peak_16132_lociStitched
ADA	0	3_MACS_peak_17567_lociStitched
ADAM15	0	1_MACS_peak_1603_lociStitched
ADAMTS4	0	2_MACS_peak_1754_lociStitched,1_MACS_peak_1753_lociStitched
ADAMTSL4	0	2_MACS_peak_1483_lociStitched,2_MACS_peak_1485_lociStitched
ADAR	0	1_MACS_peak_1578_lociStitched,1_MACS_peak_1579_lociStitched
ADCK4	0	1_MACS_peak_14329_lociStitched
ADCY10	0	1_MACS_peak_1885_lociStitched
ADIPOR1	0	1_MACS_peak_2350_lociStitched
ADM	0	2_MACS_peak_4510_lociStitched
ADNP	0	2_MACS_peak_17674_lociStitched,1_MACS_peak_17673_lociStitched
ADORA2A	0	1_MACS_peak_18412_lociStitched
ADRBK1	0	2_MACS_peak_5153_lociStitched,2_MACS_peak_5151_lociStitched
AFF1	0	1_MACS_peak_21470_lociStitched,1_MACS_peak_21473_lociStitched,3_MACS_peak_21476_lociStitched
AFMID	0	1_MACS_peak_12670_lociStitched
AGK	0	3_MACS_peak_27041_lociStitched
AHNAK2	0	1_MACS_peak_9085_lociStitched
AHRR	0	1_MACS_peak_22299_lociStitched
AIFM1	0	3_MACS_peak_30678_lociStitched
AKAP2	0	4_MACS_peak_29392_lociStitched,4_MACS_peak_29379_lociStitched
AKAP5	0	1_MACS_peak_8538_lociStitched
AKT1S1	0	2_MACS_peak_14582_lociStitched
ALDH8A1	0	3_MACS_peak_25246_lociStitched
ALDOA	0	2_MACS_peak_10741_lociStitched
ALKBH5	0	2_MACS_peak_11652_lociStitched
ALOX5	0	1_MACS_peak_3460_lociStitched
ALOXE3	0	3_MACS_peak_11525_lociStitched
ALPP	0	2_MACS_peak_16947_lociStitched
AMH	0	2_MACS_peak_13588_lociStitched
ANAPC1	0	5_MACS_peak_15905_lociStitched
ANAPC16	0	3_MACS_peak_3680_lociStitched
ANKDD1A	0	1_MACS_peak_9710_lociStitched
ANKRD12	0	5_MACS_peak_12907_lociStitched
ANKRD13D	0	2_MACS_peak_5153_lociStitched,2_MACS_peak_5151_lociStitched
ANKRD16	0	7_MACS_peak_3029_lociStitched
ANKRD30BL	0	1_MACS_peak_16067_lociStitched
ANKRD34A	0	1_MACS_peak_1405_lociStitched,1_MACS_peak_1404_lociStitched
ANKRD42	0	2_MACS_peak_5372_lociStitched
ANP32A	0	1_MACS_peak_9776_lociStitched
ANP32B	0	1_MACS_peak_29252_lociStitched
ANP32E	0	1_MACS_peak_1473_lociStitched
APBB1IP	0	2_MACS_peak_3296_lociStitched
APH1A	0	1_MACS_peak_1473_lociStitched
APOA2	0	2_MACS_peak_1754_lociStitched,1_MACS_peak_1753_lociStitched
APOBEC4	0	1_MACS_peak_2070_lociStitched
APOLD1	0	2_MACS_peak_6076_lociStitched
AQP10	0	1_MACS_peak_1569_lociStitched
AQP3	0	1_MACS_peak_28791_lociStitched
ARAP1	0	1_MACS_peak_5253_lociStitched
ARF1	1	3_MACS_peak_2700_lociStitched
ARFRP1	0	3_MACS_peak_17838_lociStitched,1_MACS_peak_17837_lociStitched
ARHGAP18	0	2_MACS_peak_25208_lociStitched
ARHGAP23	0	1_MACS_peak_11946_lociStitched
ARHGAP4	0	1_MACS_peak_30832_lociStitched,1_MACS_peak_30829_lociStitched
ARHGAP9	0	2_MACS_peak_6583_lociStitched,2_MACS_peak_6579_lociStitched
ARHGEF12	0	4_MACS_peak_5727_lociStitched
ARHGEF17	0	2_MACS_peak_5268_lociStitched
ARHGEF18	0	3_MACS_peak_13736_lociStitched
ARHGEF2	0	1_MACS_peak_1638_lociStitched,2_MACS_peak_1634_lociStitched
ARID1A	0	2_MACS_peak_438_lociStitched
ARID1B	0	5_MACS_peak_25460_lociStitched,2_MACS_peak_25457_lociStitched
ARID2	0	2_MACS_peak_6327_lociStitched
ARID5B	0	4_MACS_peak_3567_lociStitched,4_MACS_peak_3573_lociStitched
ARL16	0	1_MACS_peak_12765_lociStitched
ARL6IP4	0	4_MACS_peak_7252_lociStitched
ARL6IP6	0	1_MACS_peak_16185_lociStitched
ARL8A	0	1_MACS_peak_2327_lociStitched
ARMC5	0	1_MACS_peak_10803_lociStitched
ARMC7	0	1_MACS_peak_12564_lociStitched
ARPC5L	0	1_MACS_peak_29555_lociStitched
ARSI	0	4_MACS_peak_23528_lociStitched
ARTN	0	1_MACS_peak_721_lociStitched
ASAP3	0	2_MACS_peak_339_lociStitched
ASB2	0	3_MACS_peak_8940_lociStitched,3_MACS_peak_8937_lociStitched
ASB9P1	0	1_MACS_peak_10107_lociStitched
ASCC1	0	3_MACS_peak_3680_lociStitched
ASH1L	0	1_MACS_peak_1626_lociStitched
ATAD1	0	3_MACS_peak_3832_lociStitched
ATAT1	0	2_MACS_peak_24261_lociStitched
ATF4	1	1_MACS_peak_18694_lociStitched
ATF5	1	1_MACS_peak_14585_lociStitched
ATG16L2	0	1_MACS_peak_5255_lociStitched
ATG4D	0	1_MACS_peak_13807_lociStitched
ATHL1	0	1_MACS_peak_4349_lociStitched
ATMIN	0	1_MACS_peak_11204_lociStitched
ATN1	0	3_MACS_peak_5992_lociStitched
ATP13A3	0	2_MACS_peak_20606_lociStitched
ATP5B	0	3_MACS_peak_6562_lociStitched
ATP5H	0	1_MACS_peak_12564_lociStitched
ATP6V1G1	0	3_MACS_peak_29444_lociStitched
ATP8B2	0	1_MACS_peak_1569_lociStitched
ATPIF1	0	3_MACS_peak_473_lociStitched
ATXN2L	0	1_MACS_peak_10700_lociStitched
AURKB	0	1_MACS_peak_11536_lociStitched,1_MACS_peak_11535_lociStitched
AVPR2	0	1_MACS_peak_30829_lociStitched
AXL	0	2_MACS_peak_14333_lociStitched
B4GALT3	0	2_MACS_peak_1754_lociStitched,1_MACS_peak_1753_lociStitched
BACH2	1	1_MACS_peak_24881_lociStitched
BAD	0	1_MACS_peak_5014_lociStitched
BAG1	0	1_MACS_peak_28786_lociStitched
BAMBI	0	1_MACS_peak_3326_lociStitched,2_MACS_peak_3324_lociStitched
BAT5	0	1_MACS_peak_24298_lociStitched
BAX	0	1_MACS_peak_14540_lociStitched
BAZ2A	0	3_MACS_peak_6562_lociStitched
BCAS3	0	1_MACS_peak_12394_lociStitched
BCAT1	0	1_MACS_peak_6155_lociStitched
BCL2	0	1_MACS_peak_13393_lociStitched
BCL2L12	0	2_MACS_peak_14572_lociStitched
BCOR	0	1_MACS_peak_30097_lociStitched,1_MACS_peak_30092_lociStitched
BCR	0	2_MACS_peak_18376_lociStitched
BEST2	0	1_MACS_peak_13875_lociStitched
BET1L	0	1_MACS_peak_4346_lociStitched
BFSP2	0	2_MACS_peak_20079_lociStitched
BGLAP	0	2_MACS_peak_1657_lociStitched,1_MACS_peak_1656_lociStitched,1_MACS_peak_1660_lociStitched
BIN2	0	2_MACS_peak_6436_lociStitched
BIRC5	0	1_MACS_peak_12670_lociStitched
BLK	0	1_MACS_peak_27287_lociStitched
BLOC1S3	0	1_MACS_peak_14423_lociStitched
BMF	0	1_MACS_peak_9362_lociStitched,1_MACS_peak_9359_lociStitched,3_MACS_peak_9363_lociStitched
BMI1	0	4_MACS_peak_3244_lociStitched,2_MACS_peak_3248_lociStitched
BMP8B	0	2_MACS_peak_664_lociStitched
BNIPL	0	1_MACS_peak_1503_lociStitched
BOLA1	0	1_MACS_peak_1466_lociStitched,1_MACS_peak_1464_lociStitched,1_MACS_peak_1465_lociStitched
