Tf	In_Degree	Out_Degree	Total_Connections
AIRE	39	35	74
ARF1	22	9	31
ARID3A	31	42	73
ARID5A	42	37	79
ATF3	33	46	79
BCL11A	33	44	77
CAD	43	39	82
CAMTA1	42	11	53
CEBPB	37	30	67
CTCF	42	46	88
DDIT3	38	28	66
E2F3	36	41	77
FOSL1	36	28	64
FOXH1	24	34	58
FOXO3	34	45	79
FOXP2	40	37	77
HBP1	33	40	73
JUNB	43	37	80
JUND	30	46	76
KLF13	42	26	68
KLF6	40	32	72
LTF	41	28	69
MAF	44	45	89
MAZ	32	46	78
MEF2D	30	40	70
MYC	38	37	75
NFE2L2	27	28	55
NFE2L3	36	41	77
NOTCH1	31	26	57
SF1	35	27	62
SIN3A	34	46	80
SP3	23	46	69
SREBF2	34	33	67
TBX10	36	29	65
TFAP4	32	31	63
TGIF1	37	30	67
XBP1	37	25	62
ZBTB38	43	35	78
ZBTB7B	45	36	81
ZFP91	31	33	64
ZNF423	31	29	60
ZNF580	31	40	71
ZNF581	31	38	69
ZNF689	28	39	67
ZNF775	44	38	82
ZNF784	31	43	74
