From	To
AIRE	AIRE
AIRE	ARID5A
AIRE	ATF3
AIRE	BCL11A
AIRE	CAD
AIRE	CAMTA1
AIRE	CEBPB
AIRE	CTCF
AIRE	DDIT3
AIRE	E2F3
AIRE	FOSL1
AIRE	FOXP2
AIRE	HBP1
AIRE	JUNB
AIRE	JUND
AIRE	KLF13
AIRE	KLF6
AIRE	LTF
AIRE	MAF
AIRE	MYC
AIRE	NFE2L3
AIRE	SF1
AIRE	SIN3A
AIRE	SREBF2
AIRE	TGIF1
AIRE	XBP1
AIRE	ZBTB38
AIRE	ZBTB7B
AIRE	ZFP91
AIRE	ZNF423
AIRE	ZNF580
AIRE	ZNF581
AIRE	ZNF689
AIRE	ZNF775
AIRE	ZNF784
ARF1	AIRE
ARF1	ARID5A
ARF1	CAD
ARF1	KLF6
ARF1	MAF
ARF1	MAZ
ARF1	ZBTB7B
ARF1	ZNF689
ARF1	ZNF775
ARID3A	AIRE
ARID3A	ARID3A
ARID3A	ARID5A
ARID3A	ATF3
ARID3A	BCL11A
ARID3A	CAD
ARID3A	CAMTA1
ARID3A	CEBPB
ARID3A	CTCF
ARID3A	DDIT3
ARID3A	E2F3
ARID3A	FOSL1
ARID3A	FOXO3
ARID3A	FOXP2
ARID3A	HBP1
ARID3A	JUNB
ARID3A	JUND
ARID3A	KLF13
ARID3A	KLF6
ARID3A	LTF
ARID3A	MAF
ARID3A	MAZ
ARID3A	MEF2D
ARID3A	MYC
ARID3A	NFE2L2
ARID3A	NFE2L3
ARID3A	SF1
ARID3A	SIN3A
ARID3A	SP3
ARID3A	SREBF2
ARID3A	TBX10
ARID3A	TGIF1
ARID3A	XBP1
ARID3A	ZBTB38
ARID3A	ZBTB7B
ARID3A	ZFP91
ARID3A	ZNF423
ARID3A	ZNF580
ARID3A	ZNF581
ARID3A	ZNF689
ARID3A	ZNF775
ARID3A	ZNF784
ARID5A	ARID3A
ARID5A	ARID5A
ARID5A	ATF3
ARID5A	BCL11A
ARID5A	CAD
ARID5A	CAMTA1
ARID5A	CEBPB
ARID5A	CTCF
ARID5A	DDIT3
ARID5A	E2F3
ARID5A	FOSL1
ARID5A	FOXO3
ARID5A	FOXP2
ARID5A	HBP1
ARID5A	JUNB
ARID5A	KLF13
ARID5A	KLF6
ARID5A	LTF
ARID5A	MAF
ARID5A	MAZ
ARID5A	MYC
ARID5A	NFE2L2
ARID5A	NFE2L3
ARID5A	SF1
ARID5A	SP3
ARID5A	SREBF2
ARID5A	TBX10
ARID5A	XBP1
ARID5A	ZBTB38
ARID5A	ZBTB7B
ARID5A	ZFP91
ARID5A	ZNF423
ARID5A	ZNF580
ARID5A	ZNF581
ARID5A	ZNF689
ARID5A	ZNF775
ARID5A	ZNF784
ATF3	AIRE
ATF3	ARF1
ATF3	ARID3A
ATF3	ARID5A
ATF3	ATF3
ATF3	BCL11A
ATF3	CAD
ATF3	CAMTA1
ATF3	CEBPB
ATF3	CTCF
ATF3	DDIT3
ATF3	E2F3
ATF3	FOSL1
ATF3	FOXH1
ATF3	FOXO3
ATF3	FOXP2
ATF3	HBP1
ATF3	JUNB
ATF3	JUND
ATF3	KLF13
ATF3	KLF6
ATF3	LTF
ATF3	MAF
ATF3	MAZ
ATF3	MEF2D
ATF3	MYC
ATF3	NFE2L2
ATF3	NFE2L3
ATF3	NOTCH1
ATF3	SF1
ATF3	SIN3A
ATF3	SP3
ATF3	SREBF2
ATF3	TBX10
ATF3	TFAP4
ATF3	TGIF1
ATF3	XBP1
ATF3	ZBTB38
ATF3	ZBTB7B
ATF3	ZFP91
ATF3	ZNF423
ATF3	ZNF580
ATF3	ZNF581
ATF3	ZNF689
ATF3	ZNF775
ATF3	ZNF784
BCL11A	AIRE
BCL11A	ARF1
BCL11A	ARID3A
BCL11A	ARID5A
BCL11A	ATF3
BCL11A	BCL11A
BCL11A	CAD
BCL11A	CAMTA1
BCL11A	CEBPB
BCL11A	CTCF
BCL11A	DDIT3
BCL11A	E2F3
BCL11A	FOSL1
BCL11A	FOXO3
BCL11A	FOXP2
BCL11A	HBP1
BCL11A	JUNB
BCL11A	JUND
BCL11A	KLF13
BCL11A	KLF6
BCL11A	LTF
BCL11A	MAF
BCL11A	MAZ
BCL11A	MEF2D
BCL11A	MYC
BCL11A	NFE2L2
BCL11A	NFE2L3
BCL11A	NOTCH1
BCL11A	SF1
BCL11A	SIN3A
BCL11A	SREBF2
BCL11A	TBX10
BCL11A	TFAP4
BCL11A	TGIF1
BCL11A	XBP1
BCL11A	ZBTB38
BCL11A	ZBTB7B
BCL11A	ZFP91
BCL11A	ZNF423
BCL11A	ZNF580
BCL11A	ZNF581
BCL11A	ZNF689
BCL11A	ZNF775
BCL11A	ZNF784
CAD	AIRE
CAD	ARID5A
CAD	BCL11A
CAD	CAD
CAD	CAMTA1
CAD	CEBPB
CAD	CTCF
CAD	E2F3
CAD	FOSL1
CAD	FOXH1
CAD	FOXO3
CAD	FOXP2
CAD	HBP1
CAD	JUNB
CAD	KLF13
CAD	KLF6
CAD	LTF
CAD	MAF
CAD	MEF2D
CAD	MYC
CAD	NFE2L2
CAD	NFE2L3
CAD	NOTCH1
CAD	SF1
CAD	SIN3A
CAD	SP3
CAD	SREBF2
CAD	TBX10
CAD	TFAP4
CAD	TGIF1
CAD	XBP1
CAD	ZBTB38
CAD	ZBTB7B
CAD	ZNF423
CAD	ZNF580
CAD	ZNF581
CAD	ZNF689
CAD	ZNF775
CAD	ZNF784
CAMTA1	AIRE
CAMTA1	ARID3A
CAMTA1	BCL11A
CAMTA1	CEBPB
CAMTA1	FOSL1
CAMTA1	FOXP2
CAMTA1	JUNB
CAMTA1	MYC
CAMTA1	NFE2L3
CAMTA1	NOTCH1
CAMTA1	SREBF2
CEBPB	AIRE
CEBPB	ARID5A
CEBPB	ATF3
CEBPB	CAD
CEBPB	CAMTA1
CEBPB	CEBPB
CEBPB	CTCF
CEBPB	DDIT3
CEBPB	FOXP2
CEBPB	HBP1
CEBPB	KLF13
CEBPB	KLF6
CEBPB	LTF
CEBPB	MAF
CEBPB	MAZ
CEBPB	NFE2L2
CEBPB	NFE2L3
CEBPB	NOTCH1
CEBPB	SIN3A
CEBPB	SREBF2
CEBPB	TGIF1
CEBPB	XBP1
CEBPB	ZBTB38
CEBPB	ZBTB7B
CEBPB	ZFP91
CEBPB	ZNF580
CEBPB	ZNF581
CEBPB	ZNF689
CEBPB	ZNF775
CEBPB	ZNF784
CTCF	AIRE
CTCF	ARF1
CTCF	ARID3A
CTCF	ARID5A
CTCF	ATF3
CTCF	BCL11A
CTCF	CAD
CTCF	CAMTA1
CTCF	CEBPB
CTCF	CTCF
CTCF	DDIT3
CTCF	E2F3
CTCF	FOSL1
CTCF	FOXH1
CTCF	FOXO3
CTCF	FOXP2
CTCF	HBP1
CTCF	JUNB
CTCF	JUND
CTCF	KLF13
CTCF	KLF6
CTCF	LTF
CTCF	MAF
CTCF	MAZ
CTCF	MEF2D
CTCF	MYC
CTCF	NFE2L2
CTCF	NFE2L3
CTCF	NOTCH1
CTCF	SF1
CTCF	SIN3A
CTCF	SP3
CTCF	SREBF2
CTCF	TBX10
CTCF	TFAP4
CTCF	TGIF1
CTCF	XBP1
CTCF	ZBTB38
CTCF	ZBTB7B
CTCF	ZFP91
CTCF	ZNF423
CTCF	ZNF580
CTCF	ZNF581
CTCF	ZNF689
CTCF	ZNF775
CTCF	ZNF784
DDIT3	ARID3A
DDIT3	ARID5A
DDIT3	ATF3
DDIT3	BCL11A
DDIT3	CAD
DDIT3	CEBPB
DDIT3	CTCF
DDIT3	DDIT3
DDIT3	E2F3
DDIT3	FOXO3
DDIT3	FOXP2
DDIT3	JUND
DDIT3	KLF6
DDIT3	LTF
DDIT3	MAF
DDIT3	MEF2D
DDIT3	MYC
