From	To
AIRE	AIRE
AIRE	ARID3A
AIRE	ARID5A
AIRE	ATF4
AIRE	BCL6B
AIRE	BHLHE40
AIRE	CAMTA2
AIRE	CREB3L4
AIRE	CTCF
AIRE	CUX1
AIRE	DUX4
AIRE	E2F2
AIRE	E2F3
AIRE	E2F4
AIRE	ETV6
AIRE	FIZ1
AIRE	FOSL1
AIRE	FOXH1
AIRE	FOXO3
AIRE	GLI1
AIRE	HES1
AIRE	HNF1B
AIRE	HSF4
AIRE	IRF1
AIRE	IRF2
AIRE	IRF4
AIRE	IRF5
AIRE	JUNB
AIRE	KLF13
AIRE	KLF16
AIRE	KLF3
AIRE	KLF6
AIRE	KLF9
AIRE	LTF
AIRE	MAF
AIRE	MAFG
AIRE	MAZ
AIRE	MEF2D
AIRE	MNX1
AIRE	MYC
AIRE	MZF1
AIRE	NFAT5
AIRE	NFE2L1
AIRE	NFE2L2
AIRE	NFE2L3
AIRE	NFIC
AIRE	NFKB2
AIRE	NOTCH1
AIRE	NR1D1
AIRE	NR3C1
AIRE	NR4A2
AIRE	POU2F1
AIRE	PRDM1
AIRE	RARA
AIRE	RARG
AIRE	RUNX3
AIRE	RXRA
AIRE	RXRB
AIRE	SMAD3
AIRE	SMAD7
AIRE	SP3
AIRE	SREBF1
AIRE	SREBF2
AIRE	TBX6
AIRE	TCF4
AIRE	THAP11
AIRE	THRA
AIRE	XBP1
AIRE	ZBTB3
AIRE	ZBTB38
AIRE	ZBTB7B
AIRE	ZFP62
AIRE	ZFP91
AIRE	ZNF114
AIRE	ZNF131
AIRE	ZNF217
AIRE	ZNF267
AIRE	ZNF283
AIRE	ZNF497
AIRE	ZNF524
AIRE	ZNF580
AIRE	ZNF581
AIRE	ZNF584
AIRE	ZNF688
AIRE	ZNF689
AIRE	ZNF740
AIRE	ZNF764
AIRE	ZNF768
AIRE	ZNF775
AIRE	ZNF784
AIRE	ZNF785
AIRE	ZNF837
ARF1	AIRE
ARF1	ARF1
ARF1	ARID5A
ARF1	ATF4
ARF1	CAMTA2
ARF1	CREB3L4
ARF1	CUX1
ARF1	E2F4
ARF1	FOXR1
ARF1	HES1
ARF1	HNF1B
ARF1	HSF4
ARF1	IRF5
ARF1	JUNB
ARF1	KLF16
ARF1	KLF6
ARF1	KLF9
ARF1	LTF
ARF1	MAF
ARF1	MAFG
ARF1	MAZ
ARF1	MEF2D
ARF1	MNX1
ARF1	NR1D1
ARF1	POU2F1
ARF1	PRDM1
ARF1	RARA
ARF1	RUNX3
ARF1	RXRA
ARF1	SMAD3
ARF1	SP3
ARF1	SREBF1
ARF1	THRA
ARF1	ZBTB38
ARF1	ZBTB7B
ARF1	ZFP62
ARF1	ZNF217
ARF1	ZNF283
ARF1	ZNF497
ARF1	ZNF584
ARF1	ZNF689
ARF1	ZNF775
ARF1	ZNF837
ARID3A	ARID3A
ARID3A	ARID5A
ARID3A	ATF4
ARID3A	BCL6B
ARID3A	BHLHE40
ARID3A	CAMTA2
ARID3A	CREB3L4
ARID3A	CTCF
ARID3A	CUX1
ARID3A	DUX4
ARID3A	E2F2
ARID3A	E2F3
ARID3A	E2F4
ARID3A	ETV6
ARID3A	FIZ1
ARID3A	FOXH1
ARID3A	FOXO3
ARID3A	GLI1
ARID3A	HES1
ARID3A	HNF1B
ARID3A	HSF4
ARID3A	IRF1
ARID3A	IRF2
ARID3A	IRF4
ARID3A	IRF5
ARID3A	JUNB
ARID3A	KLF13
ARID3A	KLF3
ARID3A	KLF6
ARID3A	KLF9
ARID3A	LTF
ARID3A	MAF
ARID3A	MAFG
ARID3A	MAZ
ARID3A	MEF2D
ARID3A	MNX1
ARID3A	MYC
ARID3A	MZF1
ARID3A	NFAT5
ARID3A	NFE2L1
ARID3A	NFE2L2
ARID3A	NFE2L3
ARID3A	NFIC
ARID3A	NOTCH1
ARID3A	NR1D1
ARID3A	NR3C1
ARID3A	NR4A2
ARID3A	POU2F1
ARID3A	PRDM1
ARID3A	RARA
ARID3A	RARG
ARID3A	RUNX3
ARID3A	RXRA
ARID3A	RXRB
ARID3A	SMAD3
ARID3A	SMAD7
ARID3A	SP3
ARID3A	SREBF1
ARID3A	SREBF2
ARID3A	TCF4
ARID3A	THAP11
ARID3A	THRA
ARID3A	XBP1
ARID3A	ZBTB3
ARID3A	ZBTB38
ARID3A	ZBTB7A
