Sample,Number_of_Peaks,Reads,Read_length,Total_Reads_hg19,Total_Reads_dm3,Total_Reads_input_sample,Scale_factor,,,
01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02,31459,SE,76bp,33375147,1299738,33411200,25.67836518,,,
02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04,30756,SE,76bp,29183698,1137992,32466385,25.64490612,,,
03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05,25616,SE,76bp,34063557,5882112,33655866,5.791041891,,,
04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06,24671,SE,76bp,35016719,5271025,35205544,6.643246617,,,
05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07,30021,SE,76bp,33021180,3659378,41466009,9.023713866,,,
06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13,30481,SE,76bp,32873530,3587562,32301152,9.16319495,,,
07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14,32703,SE,76bp,38346428,4109816,35106423,9.330448857,,,
08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16,33638,SE,76bp,34907437,4167364,36543585,8.376383009,,,
09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17,28374,SE,76bp,30697677,2327636,34157021,13.18834947,,,
10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19,28828,SE,76bp,33204288,2398505,35788575,13.8437435,,,
11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20,30187,SE,76bp,34416348,2559067,33411200,13.44878739,,,
12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21,27864,SE,76bp,39998782,2399861,32466385,16.66712447,,,
13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22,25714,SE,76bp,35089441,7118333,33655866,4.929446403,,,
14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23,25563,SE,76bp,33021180,7149742,35205544,4.618513507,,,
15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25,29340,SE,76bp,38756792,6244350,41466009,6.206697575,,,
16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29,28819,SE,76bp,39170277,5162146,32301152,7.587983176,,,
17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33,30070,SE,76bp,40487670,5336543,35106423,7.58687225,,,
18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37,29461,SE,76bp,41192146,5067896,36543585,8.128056693,,,
