FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
/data/projects/MM_TRN/bam_files/	U266_jia	hg19	U266_H3K27ac	U266_bg	NA	U266_H3K27ac_peaks.bed	48,18,59	NA
/data/projects/MM_TRN/bam_files/	RPMI8226_jia	hg19	RPMI8226_H3K27ac	RPMI8226_bg	NA	RPMI8226_H3K27ac_peaks.bed	70,134,251	NA
/data/projects/MM_TRN/bam_files/	KMS28BM_jia	hg19	KMS28BM_H3K27ac	KMS28BM_bg	NA	KMS28BM_H3K27ac_peaks.bed	26,228,182	NA
/data/projects/MM_TRN/bam_files/	KMS12_jia	hg19	KMS12_H3K27ac	KMS12_bg	NA	KMS12_H3K27ac_peaks.bed	162,252,60	NA
/data/projects/MM_TRN/bam_files/	KMS11_jia	hg19	KMS11_H3K27ac	KMS11_bg	NA	KMS11_H3K27ac_peaks.bed	250,186,57	NA
/data/projects/MM_TRN/bam_files/	JJN3_jia	hg19	JJN3_H3K27ac	JJN3_bg	NA	JJN3_H3K27ac_peaks.bed	228,70,10	NA
/data/projects/MM_TRN/bam_files/	H929_jia	hg19	H929_H3K27ac	H929_bg	NA	H929_H3K27ac_peaks.bed	122,4,3	NA
/data/projects/MM_TRN/bam_files_jin/	EJM.jin	hg19	EJM.H3K27ac	EJM.Input	NA	EJM.H3K27ac_peaks.bed	48,18,59	NA
/data/projects/MM_TRN/bam_files_jin/	KMS-12-BM.jin	hg19	KMS-12-BM.H3K27ac	KMS-12-BM.Input	NA	KMS-12-BM.H3K27ac_peaks.bed	63,57,148	NA
/data/projects/MM_TRN/bam_files_jin/	LP-1.jin	hg19	LP-1.H3K27ac	LP-1.Input	NA	LP-1.H3K27ac_peaks.bed	69,94,210	NA
/data/projects/MM_TRN/bam_files_jin/	MM11.jin	hg19	MM11.H3K27ac	MM11.Input	NA	MM11.H3K27ac_peaks.bed	70,129,247	NA
/data/projects/MM_TRN/bam_files_jin/	MM12.jin	hg19	MM12.H3K27ac	MM12.Input	NA	MM12.H3K27ac_peaks.bed	58,162,252	NA
/data/projects/MM_TRN/bam_files_jin/	MM14.jin	hg19	MM14.H3K27ac	MM14.Input	NA	MM14.H3K27ac_peaks.bed	35,195,228	NA
/data/projects/MM_TRN/bam_files_jin/	MM1.jin	hg19	MM1.H3K27ac	MM1.Input	NA	MM1.H3K27ac_peaks.bed	24,222,193	NA
