Tf	In_Degree	Out_Degree	Total_Connections
AIRE	98	102	200
ARF1	109	44	153
ARGFX	88	82	170
ARID3B	107	98	205
ARID5A	114	104	218
ATF3	102	115	217
ATF4	112	113	225
ATF5	106	111	217
BARX2	107	90	197
BCL6B	100	115	215
BCLAF1	83	114	197
BHLHE41	114	74	188
CAMTA2	111	29	140
CTCF	113	115	228
CTCFL	110	115	225
DDIT3	102	110	212
E2F2	103	110	213
ETV6	110	114	224
FIZ1	108	115	223
FLI1	113	115	228
FOSL2	94	109	203
FOXO3	115	115	230
FOXP2	97	110	207
FOXR1	109	114	223
GZF1	111	54	165
HES1	103	113	216
HES5	93	87	180
HINFP	108	107	215
HIVEP2	107	112	219
IKZF1	109	114	223
IKZF3	112	115	227
IRF1	113	115	228
IRF2	114	101	215
IRF3	108	114	222
IRF4	114	112	226
IRF5	101	107	208
JUNB	108	110	218
KLF1	112	115	227
KLF13	114	105	219
KLF16	107	113	220
KLF2	105	114	219
KLF3	107	112	219
KLF6	101	113	214
KLF9	106	114	220
LHX8	109	102	211
MAZ	110	115	225
MEF2C	114	111	225
MEF2D	113	112	225
MEIS1	107	115	222
MNT	107	78	185
MXI1	111	114	225
MYBL2	102	92	194
MYC	112	104	216
MYNN	103	90	193
MZF1	96	114	210
NFE2L1	107	95	202
NFE2L3	109	113	222
NFIL3	110	96	206
NFIX	112	113	225
NFKB1	99	115	214
NFKB2	99	110	209
NR3C1	111	111	222
NR4A2	107	114	221
POU5F1	104	111	215
PRDM1	115	115	230
PRDM10	86	90	176
RARA	113	115	228
RARG	112	114	226
RFX3	93	113	206
RREB1	107	115	222
RUNX1	99	114	213
RUNX2	111	115	226
SIN3A	104	115	219
SMAD7	114	106	220
SOX15	110	115	225
SP3	91	115	206
STAT2	105	114	219
TCF3	109	115	224
TCF4	97	111	208
USF1	110	108	218
XBP1	113	95	208
ZBED6	103	100	203
ZBTB32	107	89	196
ZBTB38	114	104	218
ZBTB7B	115	114	229
ZFP62	112	115	227
ZFP91	107	110	217
ZNF114	108	91	199
ZNF184	99	115	214
ZNF215	105	106	211
ZNF217	114	79	193
ZNF334	108	111	219
ZNF335	94	105	199
ZNF443	99	115	214
ZNF460	104	115	219
ZNF490	102	98	200
ZNF524	108	114	222
ZNF543	104	115	219
ZNF580	108	111	219
ZNF581	108	107	215
ZNF592	109	62	171
ZNF672	107	114	221
ZNF688	101	98	199
ZNF689	100	113	213
ZNF692	107	112	219
ZNF709	99	114	213
ZNF710	104	111	215
ZNF740	112	115	227
ZNF764	101	90	191
ZNF768	101	115	216
ZNF775	114	113	227
ZNF784	108	115	223
ZNF785	101	100	201
ZNF791	102	108	210
ZNF805	104	114	218
