GENE	TF	ENHANCER_LIST
AANAT	0	4_MACS_peak_12062_lociStitched
AARS2	0	3_MACS_peak_23924_lociStitched
ABCA7	0	2_MACS_peak_12851_lociStitched
ABCF1	0	1_MACS_peak_23655_lociStitched
ABCG1	0	3_MACS_peak_17476_lociStitched
ABCG4	0	3_MACS_peak_5523_lociStitched
ABHD12	0	7_MACS_peak_16641_lociStitched
ABHD2	0	6_MACS_peak_9623_lociStitched
ABR	0	1_MACS_peak_10834_lociStitched
ACADVL	0	3_MACS_peak_10973_lociStitched
ACAP1	0	2_MACS_peak_10976_lociStitched
ACBD3	0	2_MACS_peak_2648_lociStitched
ACO2	0	1_MACS_peak_18057_lociStitched
ACOXL	0	2_MACS_peak_15120_lociStitched
ACTR3	0	1_MACS_peak_15204_lociStitched
ACTR3C	0	2_MACS_peak_26515_lociStitched
ADA	0	1_MACS_peak_16896_lociStitched
ADAM15	0	1_MACS_peak_1723_lociStitched
ADAM9	0	3_MACS_peak_26998_lociStitched
ADAMTS4	0	2_MACS_peak_1866_lociStitched,3_MACS_peak_1863_lociStitched
ADAMTSL4	0	2_MACS_peak_1615_lociStitched
ADAT3	0	4_MACS_peak_12887_lociStitched
ADCY10	0	1_MACS_peak_1984_lociStitched
ADM	0	3_MACS_peak_4375_lociStitched
ADM2	0	4_MACS_peak_18201_lociStitched
ADORA2A	0	1_MACS_peak_17732_lociStitched
ADRB2	0	1_MACS_peak_22836_lociStitched
ADRBK1	0	3_MACS_peak_4977_lociStitched
ADRM1	0	1_MACS_peak_17154_lociStitched
AEN	0	2_MACS_peak_9611_lociStitched
AFMID	0	4_MACS_peak_12112_lociStitched,4_MACS_peak_12108_lociStitched
AGBL3	0	2_MACS_peak_26366_lociStitched
AGRP	0	6_MACS_peak_10524_lociStitched
AHNAK	0	4_MACS_peak_4805_lociStitched
AIF1	0	4_MACS_peak_23685_lociStitched
AIM2	0	2_MACS_peak_1815_lociStitched
AIRE	1	1_MACS_peak_17528_lociStitched
AK1	0	2_MACS_peak_28900_lociStitched
AKAP13	0	1_MACS_peak_9589_lociStitched
AKAP2	0	2_MACS_peak_28693_lociStitched
AKNA	0	1_MACS_peak_28746_lociStitched,2_MACS_peak_28744_lociStitched
AKT1S1	0	3_MACS_peak_13815_lociStitched
ALAD	0	4_MACS_peak_28731_lociStitched
ALDH3B1	0	4_MACS_peak_5013_lociStitched
ALDH8A1	0	1_MACS_peak_24660_lociStitched
ALKBH4	0	4_MACS_peak_26014_lociStitched
ALOX12	0	2_MACS_peak_10966_lociStitched
ALOX5	0	1_MACS_peak_3318_lociStitched
AMH	0	4_MACS_peak_12909_lociStitched
AMHR2	0	1_MACS_peak_6358_lociStitched
AMZ2	0	1_MACS_peak_11935_lociStitched
AMZ2P1	0	2_MACS_peak_11894_lociStitched
ANAPC1	0	2_MACS_peak_15152_lociStitched
ANAPC16	0	4_MACS_peak_3560_lociStitched
ANKDD1A	0	3_MACS_peak_9249_lociStitched
ANKRD12	0	4_MACS_peak_12306_lociStitched
ANKRD13D	0	3_MACS_peak_4977_lociStitched
