From	To
AIRE	AIRE
AIRE	ARF1
AIRE	ARID3B
AIRE	ARID5A
AIRE	ATF3
AIRE	ATF4
AIRE	ATF5
AIRE	BARX2
AIRE	BCL6B
AIRE	BHLHE41
AIRE	CAMTA2
AIRE	CTCF
AIRE	CTCFL
AIRE	DDIT3
AIRE	E2F2
AIRE	ETV6
AIRE	FLI1
AIRE	FOXO3
AIRE	FOXP2
AIRE	FOXR1
AIRE	GZF1
AIRE	HES1
AIRE	HINFP
AIRE	HIVEP2
AIRE	IKZF1
AIRE	IKZF3
AIRE	IRF1
AIRE	IRF2
AIRE	IRF4
AIRE	IRF5
AIRE	JUNB
AIRE	KLF1
AIRE	KLF13
AIRE	KLF16
AIRE	KLF3
AIRE	KLF6
AIRE	KLF9
AIRE	LHX8
AIRE	MAZ
AIRE	MEF2C
AIRE	MEF2D
AIRE	MEIS1
AIRE	MNT
AIRE	MXI1
AIRE	MYBL2
AIRE	MYC
AIRE	MYNN
AIRE	NFE2L1
AIRE	NFE2L3
AIRE	NFIL3
AIRE	NFIX
AIRE	NFKB1
AIRE	NFKB2
AIRE	NR3C1
AIRE	NR4A2
AIRE	PRDM1
AIRE	PRDM10
AIRE	RARA
AIRE	RARG
AIRE	RREB1
AIRE	RUNX1
AIRE	RUNX2
AIRE	SIN3A
AIRE	SMAD7
AIRE	SOX15
AIRE	SP3
AIRE	STAT2
AIRE	TCF3
AIRE	USF1
AIRE	XBP1
AIRE	ZBED6
AIRE	ZBTB38
AIRE	ZBTB7B
AIRE	ZFP62
AIRE	ZFP91
AIRE	ZNF114
AIRE	ZNF217
AIRE	ZNF334
AIRE	ZNF443
AIRE	ZNF490
AIRE	ZNF592
AIRE	ZNF672
AIRE	ZNF689
AIRE	ZNF692
AIRE	ZNF709
AIRE	ZNF710
AIRE	ZNF740
AIRE	ZNF775
AIRE	ZNF791
ARF1	AIRE
ARF1	ARF1
ARF1	ARID5A
ARF1	ATF4
ARF1	BHLHE41
ARF1	CAMTA2
ARF1	CTCF
ARF1	FLI1
ARF1	FOXO3
ARF1	FOXR1
ARF1	GZF1
ARF1	HIVEP2
ARF1	IKZF1
ARF1	IKZF3
ARF1	IRF1
ARF1	IRF2
ARF1	IRF5
ARF1	JUNB
ARF1	KLF16
ARF1	KLF6
ARF1	KLF9
ARF1	MAZ
ARF1	MEF2C
ARF1	MEF2D
ARF1	MNT
ARF1	MXI1
ARF1	MYC
ARF1	MYNN
ARF1	PRDM1
ARF1	RARA
ARF1	RUNX1
ARF1	RUNX2
ARF1	SP3
ARF1	USF1
ARF1	XBP1
ARF1	ZBTB38
ARF1	ZBTB7B
ARF1	ZFP62
ARF1	ZNF217
ARF1	ZNF334
ARF1	ZNF689
ARF1	ZNF775
ARGFX	ARGFX
ARGFX	ARID3B
ARGFX	ARID5A
ARGFX	ATF3
ARGFX	ATF4
ARGFX	BARX2
ARGFX	BCLAF1
ARGFX	BHLHE41
ARGFX	CAMTA2
ARGFX	CTCF
ARGFX	CTCFL
ARGFX	ETV6
ARGFX	FIZ1
ARGFX	FLI1
ARGFX	FOXH1
ARGFX	FOXO3
ARGFX	FOXR1
ARGFX	GZF1
ARGFX	HES1
ARGFX	HINFP
ARGFX	HIVEP2
ARGFX	IKZF1
ARGFX	IKZF3
ARGFX	IRF1
ARGFX	IRF2
ARGFX	IRF4
ARGFX	KLF1
ARGFX	KLF13
ARGFX	KLF3
ARGFX	KLF6
ARGFX	KLF9
ARGFX	LHX8
ARGFX	MEF2C
ARGFX	MEF2D
ARGFX	MEIS1
ARGFX	MNT
ARGFX	MYBL2
ARGFX	MYC
ARGFX	MYNN
ARGFX	NFE2L3
ARGFX	NFIL3
ARGFX	NFIX
ARGFX	NR3C1
ARGFX	NR4A2
ARGFX	POU5F1
ARGFX	PRDM1
ARGFX	RREB1
ARGFX	RUNX1
ARGFX	RUNX2
ARGFX	SIN3A
ARGFX	SMAD7
ARGFX	SOX15
