GENE	H3k27ac_15_DMSO_compare_TSS_SIGNAL	H3k27ac_15_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	1625.7794999999999
A1BG-AS1	0.0	1625.7794999999999
A2LD1	2024.7499999999998	440.0928
A2M	0.0	19.549200000000003
A2ML1	0.0	0.0
A4GALT	0.0	2970.3921
A4GNT	0.0	1615.3909999999998
AAA1	0.0	12531.8938
AAAS	7619.673	24797.4793
AACS	1106.6535	2426.6934
AADAT	0.0	2349.2739
AAGAB	3517.8480000000004	4238.7732
AAK1	14872.199999999999	4533.6505
AAMP	3582.2956000000004	27360.0088
AANAT	0.0	33993.480899999995
AARS	8512.800000000001	14289.4129
AARS2	2740.3487999999998	19276.742299999998
AARSD1	4709.628	4917.6444
AASDH	6593.0	3031.7666
AASDHPPT	8659.455	838.9249
AASS	2910.5071	4317.0573
AATF	3720.9375	17.760299999999997
AATK	0.0	327.6072
ABAT	0.0	378.8508
ABCA1	775.1392000000001	7594.526899999999
ABCA10	0.0	780.4377
ABCA11P	4090.5214	15.051600000000002
ABCA12	0.0	572.9425
ABCA13	0.0	7300.439
ABCA17P	0.0	437.8712
ABCA2	0.0	7305.6036
ABCA3	0.0	437.8712
ABCA5	4312.0707	1844.9721
ABCA7	5001.8	42164.6442
ABCB1	0.0	18.7704
ABCB10	7562.400000000001	1732.7112000000002
ABCB11	0.0	1776.4865
ABCB5	0.0	1233.5382
ABCB6	3129.9784	5659.0207
ABCB7	2287.8404	0.0
ABCB8	6133.8	12351.4071
ABCB9	5594.3889	45692.974
ABCC1	2365.8	3571.8866
ABCC10	5491.056	2972.0182000000004
ABCC11	0.0	1510.5025
ABCC12	0.0	76.845
ABCC13	0.0	0.0
ABCC2	0.0	232.40359999999998
ABCC3	0.0	7140.2403
ABCC4	0.0	412.522
ABCC5	3386.2158	655.4036
ABCC6	0.0	4458.894700000001
ABCC6P1	0.0	6444.3443
ABCC6P2	0.0	3201.3075
ABCC8	0.0	2589.5177999999996
ABCD1	1903.2866	1779.216
ABCD2	9414.0	3579.2983
ABCD3	1743.3036	0.0
ABCD4	540.3384	1106.8515
ABCE1	6925.7758	5487.292799999999
ABCF1	3108.819	19877.908
ABCF2	4443.6	676.1475
ABCF3	7843.8	1303.4409
ABCG1	1492.4627	33482.293600000005
ABCG2	0.0	16058.298600000002
ABCG4	0.0	9973.379
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	39999.52620000001
ABHD10	4295.1762	3282.5753999999997
ABHD11	5994.761600000001	2778.8322
ABHD12	6535.2	124287.10710000001
ABHD12B	0.0	3174.0177000000003
ABHD13	3715.0428	70.756
ABHD14A	2585.1675	1034.3411
ABHD14B	3548.0195000000003	1034.3411
ABHD15	8794.112399999998	5938.6244
ABHD2	3586.3146	81075.1049
ABHD3	6706.1862	7490.8234999999995
ABHD4	4546.5903	20548.9996
ABHD5	7601.6	1167.5408
ABHD6	2169.6651	1364.7332999999999
ABHD8	0.0	7056.088299999999
ABI1	6949.5624	8706.366
ABI2	2786.9579999999996	2336.3168000000005
ABI3	0.0	11215.246
ABL1	4766.7178	1162.944
ABL2	3464.2	10313.348600000001
ABLIM1	2139.8588	654.9708
ABO	0.0	333.96310000000005
ABP1	0.0	3856.8365
ABR	6319.8	33765.9585
ABRA	0.0	1495.1628
ABT1	6140.5218	29609.8662
ABTB1	4558.081	10660.4541
ABTB2	591.957	340.2504
ACAA1	5378.0965	131.7376
ACAA2	9673.282299999999	4173.1027
ACACA	9385.5998	4699.016100000001
ACACB	0.0	12290.7608
ACAD10	2523.4248	1335.98
ACAD11	8908.7284	13034.326799999999
ACAD8	2439.9305	3070.918
ACAD9	9525.4	2575.7312000000006
ACADL	0.0	2782.9120999999996
ACADM	5244.772	4766.6642999999995
ACADS	0.0	3096.9062
ACADSB	3483.13	46.7152
ACADVL	5508.5909	7993.431600000001
ACAN	0.0	2105.2034000000003
ACAP1	1298.032	5353.7862000000005
ACAP2	6055.383	3459.4013999999997
ACAP3	4864.795800000001	1306.7254
ACAT1	2529.0467999999996	1874.3532
ACAT2	3889.2872	364.4705
ACBD3	7504.2576	70818.36380000002
ACBD4	3176.7258	90163.52940000001
ACBD5	14008.352	4076.7585
ACBD6	17210.8	275.0572
ACBD7	0.0	2470.1036
ACCN2	0.0	12507.969
ACCN3	0.0	12351.4071
ACCN4	0.0	498.55
ACCN5	0.0	10608.1639
ACCS	2357.6202000000003	0.0
ACCSL	0.0	0.0
ACD	6100.2908	18141.237500000003
ACE	0.0	87.3754
ACE2	0.0	409.5906
ACER1	0.0	1426.7660999999998
ACER2	0.0	737.112
