GENE	H3k27ac_16_DMSO_compare_TSS_SIGNAL	H3k27ac_16_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	1418.3158
A1BG-AS1	0.0	1418.3158
A2LD1	1368.375	513.0699000000001
A2M	0.0	43.4544
A2ML1	0.0	0.0
A4GALT	0.0	3514.5638
A4GNT	0.0	1471.083
AAA1	0.0	13092.9942
AAAS	6167.5650000000005	24379.595999999998
AACS	927.396	2610.1998
AADAT	0.0	2132.6328
AAGAB	3304.2987000000003	3917.8379999999997
AAK1	13270.6	4714.4368
AAMP	2990.2802	27757.5409
AANAT	0.0	33148.2488
AARS	7031.2	12509.454999999998
AARS2	2402.5247999999997	18772.6083
AARSD1	4775.1438	4499.504
AASDH	6038.599999999999	2771.3849999999998
AASDHPPT	7830.741599999999	744.0527999999999
AASS	2725.7069	3937.3836
AATF	3256.5645	20.3202
AATK	0.0	334.0924
ABAT	0.0	331.4148
ABCA1	595.3612	7000.8276
ABCA10	0.0	838.4364
ABCA11P	3088.4755999999998	1.1639
ABCA12	0.0	416.6422
ABCA13	0.0	7031.982599999999
ABCA17P	0.0	337.7973
ABCA2	0.0	5724.4236
ABCA3	0.0	337.7973
ABCA5	4124.0779999999995	2107.2108
ABCA7	4620.8	40208.83640000001
ABCB1	0.0	9.873600000000001
ABCB10	6746.400000000001	1924.2668
ABCB11	0.0	1994.935
ABCB5	0.0	1363.986
ABCB6	2333.616	6220.253699999999
ABCB7	1987.1996	0.0
ABCB8	5868.2	10101.162599999998
ABCB9	4731.1397	47018.3727
ABCC1	1791.0	3799.5818
ABCC10	4301.2716	3182.6503999999995
ABCC11	0.0	1554.4793000000002
ABCC12	0.0	127.33380000000001
ABCC13	0.0	0.0
ABCC2	0.0	199.8656
ABCC3	0.0	7119.436500000001
ABCC4	0.0	336.1325
ABCC5	3238.2590999999998	518.6793
ABCC6	0.0	4507.9107
ABCC6P1	0.0	5283.6297
ABCC6P2	0.0	2691.2956000000004
ABCC8	0.0	2545.8022
ABCD1	1713.0719000000001	1738.1896
ABCD2	9441.599999999999	3797.8252
ABCD3	1537.4111999999998	0.0
ABCD4	682.5049	803.3915999999999
ABCE1	5776.1669999999995	5364.919899999999
ABCF1	2625.3306000000002	19766.148400000002
ABCF2	3420.2	580.0089
ABCF3	6882.6	1170.0153
ABCG1	1375.2864	31890.8124
ABCG2	0.0	16512.877800000002
ABCG4	0.0	9212.2006
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	38108.429000000004
ABHD10	4233.8842	3404.0388000000003
ABHD11	4757.4846	2904.2969
ABHD12	5161.2	121480.8707
ABHD12B	0.0	3107.2678
ABHD13	3186.7742	37.2008
ABHD14A	2710.2345	873.3982000000001
ABHD14B	3689.5975	873.3982000000001
ABHD15	7685.5048	5125.3052
ABHD2	2980.6326	77616.34629999999
ABHD3	5659.3152	7633.877399999999
ABHD4	4353.5688	20143.741100000003
ABHD5	7061.6	1273.3644000000002
ABHD6	1479.2949	1208.9836
ABHD8	0.0	6908.9247000000005
ABI1	5829.054	9197.5253
ABI2	2015.2679999999998	1923.5969
ABI3	0.0	10416.56
ABL1	4165.9228	1006.272
ABL2	2633.2	10177.1728
ABLIM1	2331.6664	566.8366
ABO	0.0	267.9504
ABP1	0.0	3500.2862999999998
ABR	5294.400000000001	32903.1574
ABRA	0.0	1572.7343999999998
ABT1	5990.3004	29113.207
ABTB1	3699.81	10132.3647
ABTB2	579.3165	304.7496
ACAA1	4092.0765	126.2264
ACAA2	7625.1478	4272.6432
ACACA	7474.835800000001	4056.0811
ACACB	0.0	11467.3181
ACAD10	2233.7518	1047.21
ACAD11	7067.7432	14903.1114
ACAD8	2100.7035	2797.0546
ACAD9	8054.0	2829.556
ACADL	0.0	2813.8459000000003
