GENE	H3k27ac_19_DMSO_compare_TSS_SIGNAL	H3k27ac_19_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
BRD2	75018.5632	13039.3757	-61979.1875	0.148077230320002	-2.5243728341291
LPXN	60965.2157	18768.4169	-42196.7988	0.235388960567689	-1.69967936844756
UBE2D3	36605.8963	3431.3652	-33174.5311	0.0857042932369388	-3.41522146440801
UBE2M	36392.4288	3274.166	-33118.2628	0.0825421495469533	-3.47443896532047
RPRD2	36215.2	3443.5772	-32771.6228	0.0868301405924336	-3.39461541703605
LOC100131691	35429.6494	3274.166	-32155.4834	0.0845954324182727	-3.43575781577537
GART	33092.6166	1236.3868	-31856.2298	0.0360158081373257	-4.7423073067092
FLJ43663	41558.7354	10372.0437	-31186.6917	0.199728251332936	-2.00245156507215
NCRNA00167	32888.994	2199.8183	-30689.1757	0.062692868632661	-3.90214860962044
PRDM10	32527.9368	2199.8183	-30328.1185	0.0633446732639508	-3.88622304677371
RTP4	30861.2	647.9619	-30213.2381	0.0205642378574341	-5.5737413647144
FAIM3	47380.7617	17342.7761	-30037.9856	0.26795160909761	-1.44996653901957
SON	30320.124	1236.3868	-29083.7372	0.0391800857780512	-4.6160735917999
TOR1AIP1	36203	9304.2095	-26898.7905	0.204455724757195	-1.96015376571076
EIF4A2	28964.2664	3061.4208	-25902.8456	0.0955926653776847	-3.24200085956355
C12orf61	28724.215	3164.8146	-25559.4004	0.0992446192216523	-3.18207457438822
C7orf55	29370.2	3991.1201	-25379.0799	0.119633158641105	-2.87948749199601
USF1	55967	31019.7634	-24947.2366	0.356603259939201	-0.851388734590194
CBLL1	23967.6	283.1808	-23684.4192	0.0116771827816777	-6.40321818919118
IGF1	54559.2744	31152.4926	-23406.7818	0.363456427167112	-0.808476855637075
BRP44	24735.7848	2044.3347	-22691.4501	0.0763377736234523	-3.59689635322813
CLTC	23898.4	2310.9516	-21587.4484	0.0881727879143718	-3.37035508309253
CALM3	21535.2	17.082	-21518.118	0.000792584284114322	-8
FNBP4	24607	3368.0744	-21238.9256	0.120395547544996	-2.86907286747161
DCAF6	22477.8034	2044.3347	-20433.4687	0.0833669026600906	-3.45879773802331
C17orf49	29973.4	9771.4044	-20201.9956	0.245853629109821	-1.61704490939819
CCM2	33449.3541	13249.9644	-20199.3897	0.283729288255031	-1.33598986954909
FAM36A	35692	15701.2773	-19990.7227	0.305512279521431	-1.18471881778649
PJA2	22112.2	2557.502	-19554.698	0.10366975652969	-3.11203529646803
MIRLET7I	22624.7142	3164.8146	-19459.8996	0.122717038552484	-2.83770667607957
DCAF8	23967.0625	4743.8412	-19223.2213	0.165227860800494	-2.33692547567596
TOR3A	30490	11296.2567	-19193.7433	0.270334258009763	-1.43249137195799
