GENE	H3k27me3_23_DMSO_compare_TSS_SIGNAL	H3k27me3_23_DMSO_compare_DISTAL_SIGNAL
A4GALT	2521.1448	3212.9459999999995
AAAS	0.0	984.741
AADACL3	0.0	802.3503
AADACL4	0.0	505.302
AANAT	0.0	67505.88920000002
AARS2	0.0	28804.873
AATF	0.0	50691.61
AATK	11173.221599999999	339785.9046999999
ABCA17P	425.0881	125048.3941
ABCA2	3277.1256000000003	251617.8137
ABCA3	575.9906	125048.3941
ABCA4	0.0	1406.5511000000001
ABCA7	0.0	21553.1962
ABCB6	0.0	26991.726499999997
ABCB8	0.0	54735.2921
ABCC1	0.0	0.0
ABCC10	0.0	934.8224000000001
ABCC3	12201.0	270402.6499
ABCC8	501.982	367.1098
ABCD1	0.0	91472.35779999995
ABCD4	0.0	2417.1193999999996
ABCF1	0.0	16561.5732
ABCF2	0.0	163414.30299999999
ABCF3	0.0	27426.9636
ABCG1	2220.6255	135329.32059999995
ABCG4	2831.5218999999997	9394.5062
ABHD11	0.0	23448.2623
ABHD14A	0.0	9077.1057
ABHD14B	0.0	9077.1057
ABHD15	0.0	1634.2105999999999
ABHD8	0.0	44282.7602
ABI3	6610.155000000001	33601.938
ABL1	0.0	285226.30480000004
ABLIM2	1038.2512	107052.28830000001
ABO	4334.4668	231412.06409999996
ABP1	0.0	0.0
ABR	11059.2224	396688.2787
ABTB2	1244.9733999999999	1383.3227
ACAD8	0.0	1397.415
ACADVL	0.0	160957.56099999996
ACAN	1433.6857	986.4064
ACAP1	0.0	123459.24990000002
ACAP3	0.0	117585.09329999998
ACBD3	0.0	0.0
ACBD4	0.0	3771.1182
ACCN2	2456.476	33678.5214
ACCN3	748.2286	54735.2921
ACCN4	9583.199999999999	306124.0864
ACE	24384.03	120503.26029999997
ACER1	4474.0	49990.962299999985
ACHE	4645.0262999999995	97607.92050000001
ACIN1	0.0	561.5148
ACLY	0.0	2675.1305
ACN9	0.0	104.58739999999999
ACOT11	0.0	379.29359999999997
ACOT7	0.0	230648.5966
ACOX1	0.0	24996.4883
ACOX3	0.0	42911.88819999999
ACP1	0.0	1345.076
ACP2	0.0	23935.718
ACP5	0.0	10760.605500000001
ACPT	0.0	44125.793999999994
ACR	0.0	47487.1651
ACRBP	0.0	45163.986000000004
ACSBG1	2099.6668	2087.5384000000004
ACSBG2	0.0	78991.87709999995
ACSF3	0.0	55154.98080000001
ACSL3	0.0	2229.3034
ACSL6	5725.2	1034.8142
ACTA2	0.0	622.9784999999999
ACTB	0.0	122272.89709999999
ACTG1	0.0	819582.5247000002
ACTL6B	4099.3787999999995	248660.82839999994
ACTL8	0.0	196337.57110000015
ACTL9	0.0	174829.7117
ACTN3	1944.9139	60308.21189999999
ACTN4	0.0	5156.6945000000005
ACTR1A	0.0	91767.78629999999
ACTR3C	0.0	0.0
ACTR5	0.0	54815.308399999994
ACTRT2	7054.200000000001	512110.2403999999
ACVR1B	757.6335999999999	42503.9256
ACVRL1	0.0	89899.99309999999
ACY1	0.0	9077.1057
ACY3	0.0	26705.932299999997
ADA	0.0	55021.35980000001
ADAD2	0.0	1102.8717
ADAM11	4740.274600000001	8615.1073
ADAM15	0.0	84166.88149999997
ADAM21P1	0.0	215.93880000000001
ADAM33	7608.374099999999	36602.3035
ADAM8	0.0	267427.3473000001
ADAMTS10	0.0	63609.73749999999
ADAMTS13	1750.0208	288133.728
ADAMTS15	0.0	6634.215499999999
ADAMTS4	0.0	0.0
ADAMTS7	2618.9296	42850.1914
ADAMTS8	3775.5945	6634.215499999999
ADAMTSL2	24526.9868	503156.2587999996
ADAMTSL4	2135.964	1957.971
ADAMTSL5	4519.465200000001	219616.15550000005
ADAP1	0.0	93960.7691
ADAP2	720.3393	557.3025
ADAR	0.0	3821.4509
ADARB1	1660.3624	181022.36200000002
ADAT3	0.0	17163.36
ADCK2	0.0	3964.6913000000004
ADCK4	0.0	678.972
ADCK5	0.0	19436.1876
ADCY6	0.0	608.0963999999999
ADCY9	0.0	13561.0366
ADIPOQ	0.0	1939.0315999999998
ADIPOR1	0.0	91.9579
ADM2	0.0	4694.7046
ADNP	0.0	246.8466
ADO	0.0	2860.9218
ADORA1	10549.2	15358.616399999999
ADPRHL1	0.0	81436.0159
ADPRHL2	0.0	2960.115
ADRA2B	2769.4764	24727.569600000003
ADRA2C	0.0	563371.5865000001
ADRM1	0.0	60102.72560000001
ADSSL1	2298.8589	66953.7181
AEBP1	2812.8671999999997	3392.6056
AEN	0.0	1593.8435
AES	1556.7457	181043.89280000003
AFAP1	0.0	46022.7359
AFAP1-AS1	0.0	104427.86040000005
AFG3L1P	0.0	14501.2519
AFMID	0.0	9599.6647
AGAP2	0.0	3297.4452
AGAP3	0.0	106612.8021
AGAP9	0.0	1402.5895999999998
AGBL5	0.0	115.01249999999999
AGER	0.0	90169.65440000001
AGFG2	0.0	109192.98569999999
AGPAT1	0.0	91287.47210000001
AGPAT2	5728.9	624445.2078000001
AGPAT3	0.0	42432.172900000005
AGPAT5	0.0	1525.607
AGPAT6	0.0	922.977
AGRN	4835.9949	369573.2909
AGRP	0.0	14189.424500000001
AGTRAP	0.0	122420.40329999999
AGXT	0.0	4390.3853
AGXT2L2	0.0	6741.179300000001
AHCYL1	0.0	869.0304
AHCYL2	0.0	0.0
AHDC1	0.0	567.2716
AHNAK	376.4332	48.9448
AHNAK2	210.32999999999998	42387.9102
AHRR	0.0	2706.1542
AHSP	0.0	1212.8924000000002
AICDA	0.0	0.0
AIF1	0.0	9447.966999999999
AIF1L	6125.842900000001	444529.9779999998
AIFM3	1471.4904	64587.88070000002
AIM1	2534.3046000000004	1602.981
AIM1L	0.0	12819.39
AIM2	0.0	2313.8671999999997
AIP	0.0	53873.54109999999
AIPL1	189.8169	52832.359200000006
AIRE	33117.600000000006	241522.8468
AJAP1	151.6884	13915.959599999998
AK1	0.0	1013.9754
AKAP8	0.0	7089.100199999999
AKAP8L	0.0	11357.947299999998
AKIRIN1	0.0	0.0
AKR1D1	0.0	13937.6176
AKT1	0.0	61975.439600000005
AKT2	0.0	3164.004
ALDH16A1	0.0	203502.6332
ALDH1A3	202.8204	0.0
ALDH3A1	393.84279999999995	3009.0697999999998
ALDH3A2	0.0	2428.4618
ALDH3B2	0.0	17256.5953
ALDH4A1	0.0	156459.70369999998
ALDOA	0.0	68171.7421
ALDOC	0.0	149112.10750000004
ALG1	0.0	66215.06470000002
ALG12	0.0	22316.9158
ALG1L2	0.0	1401.008
ALG3	0.0	28297.532
ALKBH3	0.0	2892.7804
ALKBH4	0.0	17415.4731
ALKBH5	0.0	355.34999999999997
ALKBH6	0.0	28137.701100000002
ALKBH7	0.0	49990.962299999985
ALLC	0.0	2252.8615
ALMS1	0.0	3701.7676
ALOX12	0.0	48925.20360000001
ALOX12B	9660.3264	181489.57880000005
ALOX15	6393.2994	112331.34029999998
ALOX15B	4490.222	182881.93880000003
ALOXE3	2533.8564	162210.6624000001
ALPI	0.0	21588.2867
ALPL	4821.7246	202475.12490000002
ALPP	110.3648	4186.1743
ALPPL2	0.0	16422.151599999997
ALS2CL	464.04799999999994	1057.5334
ALX3	0.0	869.0304
ALX4	1752.9312	34462.603
AMAC1	0.0	500.176
AMAC1L3	0.0	89971.55539999998
AMBP	0.0	7364.5409
AMDHD2	0.0	7203.937399999999
AMFR	0.0	6142.8108999999995
AMH	0.0	25563.975
AMHR2	0.0	984.741
AMICA1	851.0215999999999	58180.048999999985
AMIGO3	0.0	13656.955800000002
AMOTL2	0.0	6226.2935
AMPD3	2226.0522	424.1979
AMZ1	5894.8122	150246.87860000008
AMZ2	0.0	7350.8349
ANAPC11	0.0	90945.4082
ANAPC2	0.0	95209.25450000002
ANGPT4	60.876000000000005	3520.8365
ANGPTL4	5371.9536	53303.94860000001
ANGPTL6	0.0	27526.5504
ANK1	0.0	922.977
ANKLE1	1203.5478	41852.720199999996
ANKRD11	0.0	2918.5437
