GENE	H3k27me3_27_DMSO_compare_TSS_SIGNAL	H3k27me3_27_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	11634.1584	1852.4882	-9781.6702	0.137357213764317	-2.65083059384289
CHST3	6096.4416	434.004	-5662.4376	0.0664585583562629	-3.81218716478834
KIF26B	6608	1540.3286	-5067.6714	0.189036141718683	-2.10097553127878
SORBS3	14126.6	10678.5818	-3448.0182	0.430498026021321	-0.403694220144153
MT1G	12217.1896	9069.0763	-3148.1133	0.426052946186301	-0.429884928209653
PTRF	5154.9066	2055.1608	-3099.7458	0.285040442201692	-1.32669501038443
CADM3	5377.8348	2357.046	-3020.7888	0.304729453620022	-1.19004552376842
C17orf102	4535.3599	2373.8843	-2161.4756	0.343580894130215	-0.933967417619254
LOC641518	3526.1808	1701.7016	-1824.4792	0.325504950149606	-1.05112837171922
WHAMML1	5620	3832.7108	-1787.2892	0.405461552891262	-0.552204987811691
HELT	6294	4611.3872	-1682.6128	0.422854055104068	-0.448776370386611
MAP6	5636	4463.7864	-1172.2136	0.441968396480147	-0.336403618314142
CCDC48	3122.8	2086.468	-1036.332	0.40052997849218	-0.581777380519109
SSTR2	3139.6	2144.8091	-994.7909	0.405874916080967	-0.549731519086966
TMEM132E	3206.9551	2373.8843	-833.0708	0.425363306458881	-0.433954533374259
GGTA1	3142.602	2383.1018	-759.5002	0.431275704644176	-0.399118990140471
NPR1	10914.4	10215.4	-699.000000000002	0.483459379643915	-0.0954871267157155
CRABP1	7661.4	7173.2361	-488.1639	0.48354648214121	-0.094983929563812
EGR4	3376.3076	3191.7338	-184.5738	0.485949098920113	-0.0811060158418564
GH2	3689.357	3552.3706	-136.9864	0.490541870147118	-0.0545872996587396
OTOP1	3864.0436	3926.4365	62.3928999999998	0.504004432281394	0.0231091924734847
LOC441617	3272.111	3716.6614	444.5504	0.531804612781495	0.183785570220856
GDF7	3586.5907	4178.7395	592.1488	0.538127728296731	0.220454709732231
LOC440461	4020.2	4650.8299	630.6299	0.536364186680985	0.210220900037769
A4GALT	2396.2736	3151.1998	754.926199999999	0.56804234518727	0.395108589973997
TNFRSF10C	3529.6	4284.7824	755.1824	0.548320031023821	0.279717243788924
PLXND1	2817.8596	3629.731	811.8714	0.562959285907514	0.365262902717204
D4S234E	2505.204	3357.5671	852.3631	0.572692851678961	0.422488144206544
C9orf44	2150	3038.8396	888.8396	0.58564916903579	0.499183866841557
RFX4	2431.7058	3566.8292	1135.1234	0.594616718915535	0.55267343820656
NCRNA00114	12524.133	13723.4648	1199.3318	0.522846505976254	0.131934034221898
FAM138E	2159.0631	3382.9482	1223.8851	0.610418856417705	0.647875678965977
HAND1	2204.7464	3527.873	1323.1266	0.615403318071317	0.678185906257035
SFRP5	8010.4	9385.4376	1375.0376	0.539522029108848	0.228549727359834
NCKAP1	8841.6	10325.0191	1483.4191	0.538697985603523	0.223765078077738
SLC26A10	9016.8	10504.5367	1487.7367	0.538105400333574	0.220325106779079
EPHA10	3285.9168	4803.3524	1517.4356	0.593793120397081	0.547745704941458
RNF39	2704.0832	4292.5682	1588.485	0.613517517822883	0.66670151428574
NTN3	4653.2	6337.8384	1684.6384	0.576636908119619	0.445767677697811
SLC6A7	1965.9341	3684.1799	1718.2458	0.652054082448602	0.906128548568721
LHX9	5496.8	7226.8129	1730.0129	0.567984341931685	0.394767555690959
KCNJ9	2370.9504	4117.6308	1746.6804	0.634596481585219	0.796348996971791
SMAD6	2572.479	4475.9506	1903.4716	0.635028063556171	0.799034813752052
CHRNB2	1637.251	3598.2756	1961.0246	0.687280549773159	1.13603017785154
ADAMTS8	3154.9053	5149.5596	1994.6543	0.620095293557084	0.706852354741354
HPCA	3224.8	5249.5763	2024.7763	0.619464620658868	0.702991297418778
ZNF595	1586.646	3627.2389	2040.5929	0.695688334048187	1.19289148704488
ZNF718	1586.646	3627.2389	2040.5929	0.695688334048187	1.19289148704488
ICAM5	3829	5951.3203	2122.3203	0.608499529407028	0.636242105536384
FAM138C	2387.3652	4519.0048	2131.6396	0.654324167399082	0.920585814183364
MIR129-2	2046.352	4196.5544	2150.2024	0.6722116480875	1.03615095327612
CAMKV	4621.6	6774.4267	2152.8267	0.594455144616325	0.551706460762422
MT1H	6800.1376	9069.0763	2268.9387	0.571488692328988	0.415391678001186
FNDC5	2944.3414	5249.5763	2305.2349	0.640667442876562	0.834256022365301
TRIM7	3355.4488	5715.127	2359.6782	0.630073230852665	0.768279814429769
ADAM11	3352.5996	5896.2623	2543.6627	0.63751220028488	0.814520512548403
CPLX3	1639.6916	4194.2878	2554.5962	0.718941139901865	1.35500136613861
BCAT1	1659.9852	4750.3617	3090.3765	0.74104596429875	1.51686698775935
TUBB4	3116.4	6227.5287	3111.1287	0.666478619426965	0.998779345391953
CLIP2	1976.624	5125.5836	3148.9596	0.721688788708457	1.37467781661327
ATP2B2	4724.8424	8033.2078	3308.3654	0.62965795510038	0.765709987927173
PLA2G3	896.649	4304.7518	3408.1028	0.827613938152968	2.26331481130772
BMP7	1846.769	5282.2104	3435.4414	0.740949034023019	1.51613834728567
PAX6	845.6918	4377.7352	3532.0434	0.838096368533532	2.37198079642273
CADM4	1181.9525	4725.861	3543.9085	0.79993401958271	1.99940513845372
SP9	2916.9915	6657.7298	3740.7383	0.695344500523477	1.19054913846213
KLHL29	720.9685	4569.6876	3848.7191	0.863727959940545	2.66408740808501
KRTAP5-11	1139.359	5010.6822	3871.3232	0.814739615077701	2.13678464179774
BSX	1299.8856	5180.689	3880.8034	0.799418156531984	1.99475931979832
C2orf54	867.5981	4775.9787	3908.3806	0.846268044053197	2.46069760376809
PDGFRA	1010.2628	5057.7372	4047.4744	0.833509756097561	2.32376144598043
ODZ4	1704.104	5759.964	4055.86	0.771692326490059	1.75704641010856
GALP	6292	10386.6163	4094.6163	0.622750479606633	0.723135160928067
MT1E	4955.5971	9069.0763	4113.4792	0.646651514893744	0.87189671918609
MRC2	3082.3642	7216.64	4134.2758	0.700712404797349	1.22728995305206
OVOL1	5543.5328	9692.6389	4149.1061	0.636159731647025	0.806083830023858
EGR1	1109.2664	5283.8503	4174.5839	0.826490512835469	2.25198371037981
FBLIM1	2993.9365	7197.9459	4204.0094	0.706243029256303	1.26554163612931
TUBB2B	1974.505	6267.447	4292.942	0.760432358742201	1.66638687000235
ADORA1	9260.4	13598.505	4338.105	0.594888731546852	0.554301635691949
KRTAP5-7	635.8985	5010.6822	4374.7837	0.887383438972191	2.97813862763878
RSPO1	4831.2	9213.1849	4381.9849	0.656004870672549	0.931318388771952
THRA	2069.8004	6469.816	4400.0156	0.757623726517739	1.64423303393002
TMEM54	789.991	5249.5763	4459.5853	0.869197417503734	2.73229286317794
YPEL4	601.4724	5087.1739	4485.7015	0.894267920999061	3.08029396962473
RAB34	3206.7955	7692.5361	4485.7406	0.705780536120215	1.26232695408394
MIR149	408.2326	4905.6505	4497.4179	0.923176217406815	3.58698115308532
SYT15	6537.136	11053.5949	4516.4589	0.62837610118861	0.75778502897916
NKX1-2	2929.8	7473.9739	4544.1739	0.71839065053115	1.35107334185673
PRM3	623.75	5187.9404	4564.1904	0.892673222923231	3.05612209018006
FAM138A	719.9589	5293.0321	4573.0732	0.880266093862439	2.87810794785922
KRTAP5-9	368.4947	5010.6822	4642.1875	0.931496080747967	3.76529126392981
CERCAM	585.2896	5266.1074	4680.8178	0.899974382185998	3.16951439604293
GPR124	1064.8273	5843.9675	4779.1402	0.8458736536798	2.45632869032301
TNFSF9	1149.5418	5946.4587	4796.9169	0.838001448844317	2.3709718279099
C1orf56	1576.2573	6378.9226	4802.6653	0.801857743028539	2.01680972136731
DLL4	1190.698	6041.6828	4850.9848	0.835365693133857	2.34314289688446
MAPK11	546.4316	5448.2003	4901.7687	0.908846513161217	3.3176669223523
FAM83C	4873.8	9910.3342	5036.5342	0.670335784695461	1.02388665912012
MT1JP	4031.8	9069.0763	5037.2763	0.692249594021432	1.16953154261837
GGT5	2008.837	7049.7372	5040.9002	0.778239162626719	1.81120897133458
SOCS1	0	5187.9404	5187.9404	1	8
TNP2	0	5187.9404	5187.9404	1	8
FAM182B	0	5223.7815	5223.7815	1	8
CA6	0	5228.8325	5228.8325	1	8
RNF19B	0	5249.5763	5249.5763	1	8
EFHD1	0	5263.4783	5263.4783	1	8
GLE1	0	5266.1074	5266.1074	1	8
MIR219-2	0	5266.1074	5266.1074	1	8
ODF2	0	5266.1074	5266.1074	1	8
URM1	0	5266.1074	5266.1074	1	8
EBF4	829.9416	6097.4307	5267.4891	0.880193879575377	2.8771197283547
VSTM2L	854.4645	6124.2873	5269.8228	0.877561987517596	2.84144950418513
DDIT3	0	5274.172	5274.172	1	8
ETF1	0	5283.8503	5283.8503	1	8
REEP2	0	5283.8503	5283.8503	1	8
IL34	0	5289.492	5289.492	1	8
LOC100130894	0	5289.492	5289.492	1	8
MTSS1L	0	5289.492	5289.492	1	8
OR4F5	0	5293.0321	5293.0321	1	8
GPR62	783.511	6109.103	5325.592	0.886326000556538	2.96293513010458
FAM153C	0	5325.9291	5325.9291	1	8
GPR89C	0	5342.2813	5342.2813	1	8
ATF7	0	5346.11	5346.11	1	8
RAB5C	0	5357.0802	5357.0802	1	8
NLRC5	437.8248	5798.9815	5361.1567	0.929799840023892	3.72737395429339
LY6G5C	0	5366.3334	5366.3334	1	8
ZNF423	0	5413.3484	5413.3484	1	8
VIPR2	0	5422.6251	5422.6251	1	8
GDF6	2109.4274	7535.6711	5426.2437	0.78129540097491	1.83688456353311
NDUFB7	0	5430.5156	5430.5156	1	8
C16orf7	0	5454.71	5454.71	1	8
LOC100128881	0	5454.71	5454.71	1	8
SPATA2L	0	5454.71	5454.71	1	8
ZNF276	0	5454.71	5454.71	1	8
BMP3	685.9836	6151.4437	5465.4601	0.899672264157017	3.1646790494227
THAP1	0	5474.5172	5474.5172	1	8
C15orf59	1939.8673	7428.8995	5489.0322	0.792943154482189	1.9371905433618
SLC35E4	0	5489.036	5489.036	1	8
SDHAP1	0	5493.6112	5493.6112	1	8
TFRC	0	5493.6112	5493.6112	1	8
DPYSL4	0	5511.1639	5511.1639	1	8
JAKMIP3	0	5511.1639	5511.1639	1	8
MIR627	0	5518.3761	5518.3761	1	8
PLA2G4D	0	5518.3761	5518.3761	1	8
PLA2G4F	0	5518.3761	5518.3761	1	8
VPS39	0	5518.3761	5518.3761	1	8
NKX2-3	4689.2688	10229.2116	5539.9428	0.685673830425785	1.12526007073236
LHX5	0	5551.1455	5551.1455	1	8
SDS	0	5551.1455	5551.1455	1	8
SDSL	0	5551.1455	5551.1455	1	8
PI4KAP2	0	5557.7531	5557.7531	1	8
COL27A1	837.1532	6413.9616	5576.8084	0.884548345586806	2.93765214957432
CDK10	0	5583.4979	5583.4979	1	8
OLIG2	2924.6	8536.1155	5611.5155	0.744815234267005	1.54534037745749
LOC149950	6613.2	12233.7672	5620.5672	0.649110653728946	0.887448289859006
ICAM4	314.0414	5951.3203	5637.2789	0.949876572967846	4.24418309882745
TCHHL1	0	5663.4251	5663.4251	1	8
RNF212	0	5663.905	5663.905	1	8
TMED11P	0	5663.905	5663.905	1	8
RABL2B	0	5672.0397	5672.0397	1	8
IGSF9B	0	5677.6287	5677.6287	1	8
C20orf54	0	5683.0092	5683.0092	1	8
C20orf4	0	5693.0422	5693.0422	1	8
FGF8	3494.1089	9208.7083	5714.5994	0.72493433188978	1.39807423147513
ABCG4	2069.6544	7793.8823	5724.2279	0.790171166494469	1.91295226441601
LOC654342	0	5731.1598	5731.1598	1	8
TCN2	0	5735.3275	5735.3275	1	8
GUK1	0	5736.5531	5736.5531	1	8
IGFBP6	0	5749.6656	5749.6656	1	8
SOAT2	0	5749.6656	5749.6656	1	8
SPRYD3	0	5749.6656	5749.6656	1	8
MIR708	0	5759.964	5759.964	1	8
TUBB2A	504.9538	6267.447	5762.4932	0.925439468969409	3.63365458934411
LOC619207	0	5769.1216	5769.1216	1	8
CYP2B6	0	5794.0514	5794.0514	1	8
CETP	0	5798.9815	5798.9815	1	8
HERPUD1	0	5798.9815	5798.9815	1	8
AKAP8	0	5806.8162	5806.8162	1	8
MAFB	0	5808.6027	5808.6027	1	8
SLC13A5	3940	9754.968	5814.968	0.712303088258403	1.30794151057274
C1orf210	0	5822.6601	5822.6601	1	8
C1orf84	0	5822.6601	5822.6601	1	8
CDC20	0	5822.6601	5822.6601	1	8
ELOVL1	0	5822.6601	5822.6601	1	8
MED8	0	5822.6601	5822.6601	1	8
MPL	0	5822.6601	5822.6601	1	8
TIE1	0	5822.6601	5822.6601	1	8
TMEM125	0	5822.6601	5822.6601	1	8
BRF2	0	5843.9675	5843.9675	1	8
LOC728024	0	5843.9675	5843.9675	1	8
PROSC	0	5843.9675	5843.9675	1	8
RAB11FIP1	0	5843.9675	5843.9675	1	8
TMEM18	0	5844.8143	5844.8143	1	8
DECR2	0	5859.3971	5859.3971	1	8
NME4	0	5859.3971	5859.3971	1	8
C3orf74	0	5880.3318	5880.3318	1	8
DUSP7	0	5880.3318	5880.3318	1	8
GAD1	569.9061	6452.2019	5882.2958	0.918841165644277	3.5009954437118
CCDC43	0	5896.2623	5896.2623	1	8
DBF4B	0	5896.2623	5896.2623	1	8
KRT18	0	5929.4101	5929.4101	1	8
C7orf40	0	5934.9066	5934.9066	1	8
SNORA9	0	5934.9066	5934.9066	1	8
SLC4A11	1804.5924	7750.1362	5945.5438	0.811130961898803	2.10254864936084
FNDC1	0	5948.3576	5948.3576	1	8
TAGAP	0	5948.3576	5948.3576	1	8
DNMT1	0	5951.3203	5951.3203	1	8
FDX1L	0	5951.3203	5951.3203	1	8
ICAM1	0	5951.3203	5951.3203	1	8
ICAM3	0	5951.3203	5951.3203	1	8
MIR4322	0	5951.3203	5951.3203	1	8
MRPL4	0	5951.3203	5951.3203	1	8
RAVER1	0	5951.3203	5951.3203	1	8
S1PR2	0	5951.3203	5951.3203	1	8
TYK2	0	5951.3203	5951.3203	1	8
ZGLP1	0	5951.3203	5951.3203	1	8
TPPP3	6210.4	12167.1451	5956.7451	0.662065854486734	0.970232595885705
C20orf29	0	5958.8275	5958.8275	1	8
C7orf68	0	5969.723	5969.723	1	8
CN5H6.4	0	5983.7749	5983.7749	1	8
GTSE1	0	5983.7749	5983.7749	1	8
LOC100134368	0	5988.2303	5988.2303	1	8
SNX27	0	5990.9444	5990.9444	1	8
AGXT2L2	0	6004.0523	6004.0523	1	8
MDS2	0	6030.0382	6030.0382	1	8
MMP17	1277.2386	7307.7894	6030.5508	0.851224876610769	2.5164069991517
CHAC1	0	6041.6828	6041.6828	1	8
RHOV	0	6041.6828	6041.6828	1	8
SPINT1	0	6041.6828	6041.6828	1	8
VPS18	0	6041.6828	6041.6828	1	8
C5orf60	548.7438	6590.6845	6041.9407	0.923138971785738	3.58622366994778
CCDC116	0	6059.9483	6059.9483	1	8
SDF2L1	0	6059.9483	6059.9483	1	8
UBE2L3	0	6059.9483	6059.9483	1	8
YDJC	0	6059.9483	6059.9483	1	8
LOC150185	0	6066.0345	6066.0345	1	8
TRNP1	1286.0214	7362.5238	6076.5024	0.851301997011012	2.51728574259956
PPYR1	0	6084.8298	6084.8298	1	8
IDH3B	0	6097.4307	6097.4307	1	8
SNORA51	0	6097.4307	6097.4307	1	8
SNORD56	0	6097.4307	6097.4307	1	8
SNORD57	0	6097.4307	6097.4307	1	8
SNORD86	0	6097.4307	6097.4307	1	8
PTPN9	0	6099.6588	6099.6588	1	8
ABHD14A	0	6109.103	6109.103	1	8
ABHD14B	0	6109.103	6109.103	1	8
ACY1	0	6109.103	6109.103	1	8
PCBP4	0	6109.103	6109.103	1	8
RPL29	0	6109.103	6109.103	1	8
TMEM171	0	6127.0184	6127.0184	1	8
TMEM174	0	6127.0184	6127.0184	1	8
CNNM3	0	6139.8092	6139.8092	1	8
MIR3127	0	6139.8092	6139.8092	1	8
C9orf144B	0	6183.2352	6183.2352	1	8
MED24	263.5414	6469.816	6206.2746	0.960860328014075	4.61762316362073
MT1M	2861.8345	9069.0763	6207.2418	0.760132772093141	1.66401537406048
AMOTL2	0	6214.6764	6214.6764	1	8
NOM1	0	6225.1	6225.1	1	8
AMFR	0	6233.2737	6233.2737	1	8
FASLG	0	6252.8969	6252.8969	1	8
LHX2	752.4361	7011.9768	6259.5407	0.903091694157584	3.220180250239
PSMG4	0	6267.447	6267.447	1	8
GPATCH3	0	6267.9256	6267.9256	1	8
KCNC1	0	6292.2559	6292.2559	1	8
MYOD1	0	6292.2559	6292.2559	1	8
PDZD3	1495.7098	7793.8823	6298.1725	0.838990799176209	2.38151185630043
BASE	0	6334.1441	6334.1441	1	8
AMDHD2	0	6337.8384	6337.8384	1	8
ATP6V0C	0	6337.8384	6337.8384	1	8
C16orf59	0	6337.8384	6337.8384	1	8
CEMP1	0	6337.8384	6337.8384	1	8
MIR3178	0	6337.8384	6337.8384	1	8
PDPK1	0	6337.8384	6337.8384	1	8
TBC1D24	0	6337.8384	6337.8384	1	8
CCM2	0	6350.2522	6350.2522	1	8
NACAD	0	6350.2522	6350.2522	1	8
RAMP3	0	6350.2522	6350.2522	1	8
SNORA5A	0	6350.2522	6350.2522	1	8
SNORA5B	0	6350.2522	6350.2522	1	8
SNORA5C	0	6350.2522	6350.2522	1	8
TBRG4	0	6350.2522	6350.2522	1	8
OR2V2	0	6356.8806	6356.8806	1	8
FAM46B	1003.1655	7362.5238	6359.3583	0.880085733042942	2.87564075440209
CDC42SE1	0	6378.9226	6378.9226	1	8
GABPB2	0	6378.9226	6378.9226	1	8
MLLT11	0	6378.9226	6378.9226	1	8
COL2A1	7321.6	13709.3934	6387.7934	0.651866183363454	0.904933875210815
SUPT4H1	0	6399.8651	6399.8651	1	8
AMBP	0	6413.9616	6413.9616	1	8
KIF12	0	6413.9616	6413.9616	1	8
POM121L9P	620.1528	7049.7372	6429.5844	0.91914449881289	3.50687384642363
NRGN	0	6440.9328	6440.9328	1	8
PIGM	0	6442.3141	6442.3141	1	8
DEFB134	0	6450.2902	6450.2902	1	8
DEFB135	0	6450.2902	6450.2902	1	8
DEFB136	0	6450.2902	6450.2902	1	8
RASD2	2509.8374	8967.3213	6457.4839	0.781318925214478	1.83708318846832
ID3	605.6757	7066.5246	6460.8489	0.921055801945108	3.5443834190024
MRPS15	0	6461.3791	6461.3791	1	8
CASC3	0	6469.816	6469.816	1	8
CSF3	0	6469.816	6469.816	1	8
GSDMA	0	6469.816	6469.816	1	8
MSL1	0	6469.816	6469.816	1	8
NR1D1	0	6469.816	6469.816	1	8
PSMD3	0	6469.816	6469.816	1	8
SNORD124	0	6469.816	6469.816	1	8
GTF2IRD1	0	6470.6144	6470.6144	1	8
CRB3	0	6488.7932	6488.7932	1	8
DENND1C	0	6488.7932	6488.7932	1	8
SLC25A23	0	6488.7932	6488.7932	1	8
IGF2BP3	684.4761	7178.5022	6494.0261	0.912949511764518	3.39061078343853
HRNR	0	6527.9816	6527.9816	1	8
USP18	0	6530.8004	6530.8004	1	8
MNX1	0	6553.2323	6553.2323	1	8
POLR3K	0	6563.4074	6563.4074	1	8
SNRNP25	0	6563.4074	6563.4074	1	8
ARRDC5	0	6570.2772	6570.2772	1	8
KDM4B	0	6570.2772	6570.2772	1	8
UHRF1	0	6570.2772	6570.2772	1	8
TNF	1046.1852	7631.5043	6585.3191	0.879439659600635	2.86682919896193
CANX	0	6590.6845	6590.6845	1	8
CBY3	0	6590.6845	6590.6845	1	8
MAML1	0	6590.6845	6590.6845	1	8
UBE2T	0	6590.7052	6590.7052	1	8
MT4	0	6590.7715	6590.7715	1	8
TMEM25	3887.9682	10479.9815	6592.0133	0.729399929622526	1.43054784594339
MT1A	2464.2	9069.0763	6604.8763	0.786339983895123	1.87983626427651
LPIN1	0	6611.7424	6611.7424	1	8
MIR4262	0	6611.7424	6611.7424	1	8
CXCL17	0	6625.8518	6625.8518	1	8
LIPE	0	6625.8518	6625.8518	1	8
SERPINH1	3171.5568	9806.5544	6634.9976	0.755622620955814	1.62855514480374
HSPA9	0	6637.0796	6637.0796	1	8
ASAP3	744.7974	7381.999	6637.2016	0.908352890445244	3.30909160040967
TMEM8A	0	6639.6479	6639.6479	1	8
CIR1	0	6657.7298	6657.7298	1	8
OLA1	0	6657.7298	6657.7298	1	8
SCRN3	0	6657.7298	6657.7298	1	8
OR7E91P	0	6675.1346	6675.1346	1	8
LPGAT1	0	6680.1362	6680.1362	1	8
NEK2	0	6680.1362	6680.1362	1	8
HNRNPAB	0	6712.2729	6712.2729	1	8
NUP93	0	6720.8548	6720.8548	1	8
INSM1	0	6727.48	6727.48	1	8
C17orf95	0	6768.6701	6768.6701	1	8
JMJD6	0	6768.6701	6768.6701	1	8
NR0B2	0	6771.022	6771.022	1	8
NUDC	0	6771.022	6771.022	1	8
C3orf54	0	6774.4267	6774.4267	1	8
CDHR4	0	6774.4267	6774.4267	1	8
MON1A	0	6774.4267	6774.4267	1	8
MST1R	0	6774.4267	6774.4267	1	8
RBM6	0	6774.4267	6774.4267	1	8
TRAIP	0	6774.4267	6774.4267	1	8
UBA7	0	6774.4267	6774.4267	1	8
CXCL16	706.0029	7488.9886	6782.9857	0.913849465249598	3.40702487886385
ZMYND15	706.0029	7488.9886	6782.9857	0.913849465249598	3.40702487886385
PROCA1	889.5712	7692.5361	6802.9649	0.896345831052474	3.11227732247805
MECOM	4999.139	11804.2402	6805.1012	0.702492043981249	1.23955363651313
LTB	808.1034	7631.5043	6823.4009	0.904248701038557	3.23935565656436
HMGN2	0	6832.5341	6832.5341	1	8
CNP	0	6844.144	6844.144	1	8
DUOX2	5657.0874	12556.9294	6899.842	0.68941022388867	1.15035235353347
DEFB130	0	6910.3219	6910.3219	1	8
LOC283335	0	6956.0757	6956.0757	1	8
TENC1	0	6956.0757	6956.0757	1	8
KCNMB3	0	6981.5266	6981.5266	1	8
MFN1	0	6981.5266	6981.5266	1	8
ZNF639	0	6981.5266	6981.5266	1	8
CHST14	0	6989.122	6989.122	1	8
MRPL42P5	0	6989.122	6989.122	1	8
HNRNPH1	0	7005.53	7005.53	1	8
RUFY1	0	7005.53	7005.53	1	8
DENND1A	0	7011.9768	7011.9768	1	8
C22orf9	0	7013.1284	7013.1284	1	8
FAM118A	0	7013.1284	7013.1284	1	8
UPK3A	0	7013.1284	7013.1284	1	8
CD83	1236.9807	8285.3483	7048.3676	0.870096832403081	2.74373935599718
PPP1R12B	0	7049.304	7049.304	1	8
SPECC1L	0	7049.7372	7049.7372	1	8
SUSD2	0	7049.7372	7049.7372	1	8
E2F2	0	7066.5246	7066.5246	1	8
TEAD3	158.7489	7238.4521	7079.7032	0.97853932859199	5.51086271818689
EXOSC10	0	7087.1211	7087.1211	1	8
IP6K1	0	7095.6275	7095.6275	1	8
SCRT2	776.7948	7872.6306	7095.8358	0.91019116714967	3.34124033734823
TGFB1I1	132.4206	7242.6889	7110.2683	0.982044930993906	5.7733259301445
SNORD63	0	7115.1481	7115.1481	1	8
MIR455	0	7124.7668	7124.7668	1	8
APOL6	0	7142.8058	7142.8058	1	8
MB	0	7142.8058	7142.8058	1	8
PHOX2A	408.6252	7557.3178	7148.6926	0.948703474277935	4.2090242089914
FLJ34208	0	7152.4276	7152.4276	1	8
PKLR	0	7158.888	7158.888	1	8
IREB2	0	7173.2361	7173.2361	1	8
RPS2P32	0	7178.5022	7178.5022	1	8
TRA2A	0	7178.5022	7178.5022	1	8
RPN1	0	7188.1774	7188.1774	1	8
FLJ37453	0	7197.9459	7197.9459	1	8
PLEKHM2	0	7197.9459	7197.9459	1	8
RSC1A1	0	7197.9459	7197.9459	1	8
SLC25A34	0	7197.9459	7197.9459	1	8
SPEN	0	7197.9459	7197.9459	1	8
TMEM82	0	7197.9459	7197.9459	1	8
UQCRHL	0	7197.9459	7197.9459	1	8
DUOXA2	5349.865	12556.9294	7207.0644	0.701238262946717	1.23090932721542
MT1L	1852.7652	9069.0763	7216.3111	0.830361464227438	2.29127555649338
MIR548W	0	7216.64	7216.64	1	8
C1orf53	0	7226.8129	7226.8129	1	8
FANCE	0	7238.4521	7238.4521	1	8
