GENE	H3k27me3_28_DMSO_compare_TSS_SIGNAL	H3k27me3_28_DMSO_compare_DISTAL_SIGNAL
A4GALT	1489.0551	2634.3322
AAAS	0.0	760.6445000000001
AADACL3	0.0	569.4010999999999
AADACL4	0.0	401.2736
AANAT	0.0	46068.4694
AARS2	0.0	18960.106899999995
AATF	0.0	34590.23419999999
AATK	5862.365599999999	211628.0901
ABCA17P	323.62199999999996	82057.35109999999
ABCA2	2434.1726	154064.64979999993
ABCA3	429.847	82057.35109999999
ABCA4	0.0	1196.5271
ABCA7	0.0	14586.252199999999
ABCB6	0.0	17647.867299999998
ABCB8	0.0	36036.035
ABCC1	0.0	0.0
ABCC10	0.0	814.1487999999999
ABCC3	6569.400000000001	173643.74820000003
ABCC8	332.5743	164.2457
ABCD1	0.0	58733.76659999999
ABCD4	0.0	1505.263
ABCF1	0.0	11311.7562
ABCF2	0.0	109551.79890000002
ABCF3	0.0	18734.8695
ABCG1	1749.8263000000002	93868.787
ABCG4	1926.5681	6876.7656
ABHD11	0.0	15929.969299999999
ABHD14A	0.0	6179.973299999999
ABHD14B	0.0	6179.973299999999
ABHD15	0.0	1139.2535
ABHD8	0.0	30380.201100000006
ABI3	3664.9848	24601.107699999997
ABL1	0.0	195422.24349999998
ABLIM2	459.1496	77157.4138
ABO	2886.6356	167798.37840000016
ABP1	0.0	0.0
ABR	7139.7508	284103.83260000014
ABTB2	647.7834	769.639
ACAD8	0.0	1103.5630999999998
ACADVL	0.0	117122.0
ACAN	967.6446000000001	665.7796000000001
ACAP1	0.0	82208.83540000001
ACAP3	0.0	72637.96719999998
ACBD3	0.0	0.0
ACBD4	0.0	2556.7758
ACCN2	1597.0144	22332.151999999995
ACCN3	510.06600000000003	36036.035
ACCN4	4338.0	202627.9714
ACE	17708.267	83778.67330000001
ACER1	3176.0	40509.54240000001
ACHE	3059.1805	73091.64340000004
ACIN1	0.0	423.0107
ACLY	0.0	1123.0342
ACN9	0.0	100.54990000000001
ACOT11	0.0	393.0324
ACOT7	0.0	146779.99519999998
ACOX1	0.0	16317.554299999998
ACOX3	0.0	32495.083099999996
ACP1	0.0	967.3584000000001
ACP2	0.0	14579.776700000002
ACP5	0.0	7748.389799999999
ACPT	0.0	33116.631099999984
ACR	0.0	39737.78029999999
ACRBP	0.0	29154.5685
ACSBG1	1452.5268999999998	1498.4718
ACSBG2	0.0	61041.3955
ACSF3	0.0	34757.41159999999
ACSL3	0.0	2038.3482
ACSL6	2966.0	880.545
ACTA2	0.0	607.0049
ACTB	0.0	82830.76209999999
ACTG1	0.0	501807.1669999999
ACTL6B	2181.793	175030.461
ACTL8	0.0	143889.85480000003
ACTL9	0.0	150348.1655
ACTN3	1009.9546	40027.855
ACTN4	0.0	3847.6733
ACTR1A	0.0	58065.823599999996
ACTR3C	0.0	0.0
ACTR5	0.0	40040.505999999994
ACTRT2	5040.0	328261.30059999996
ACVR1B	430.2256	29940.519299999996
ACVRL1	0.0	62666.35640000001
ACY1	0.0	6179.973299999999
ACY3	0.0	18694.7255
ADA	0.0	37346.9726
ADAD2	0.0	841.8881999999999
ADAM11	2399.6216	5564.67
ADAM15	0.0	55826.35699999999
ADAM21P1	0.0	150.0026
ADAM33	3724.7598000000003	25188.597
ADAM8	0.0	174232.72330000004
ADAMTS10	0.0	48624.62250000003
ADAMTS13	1402.6496	193268.21300000008
ADAMTS15	0.0	4375.7729
ADAMTS4	0.0	0.0
ADAMTS7	1264.6704000000002	27777.244199999994
ADAMTS8	2508.6384	4375.7729
ADAMTSL2	13229.857300000001	340366.88039999997
ADAMTSL4	1151.7975	1132.0807
ADAMTSL5	3193.0572	141600.2565
ADAP1	0.0	65515.638900000005
ADAP2	381.1974	498.25169999999997
ADAR	0.0	2639.7195
ADARB1	1110.3452000000002	123795.15579999998
ADAT3	0.0	11009.1008
ADCK2	0.0	3115.4262
ADCK4	0.0	587.8943999999999
ADCK5	0.0	12087.246499999997
ADCY6	0.0	517.9524
ADCY9	0.0	10362.2697
ADIPOQ	0.0	1903.451
ADIPOR1	0.0	72.75439999999999
ADM2	0.0	3097.0009
ADNP	0.0	213.10379999999998
ADO	0.0	1648.1119
ADORA1	7007.4	11597.0895
ADPRHL1	0.0	57849.2625
ADPRHL2	0.0	1799.8654999999999
ADRA2B	1581.46	15868.0465
ADRA2C	0.0	403346.94719999994
ADRM1	0.0	38867.35289999999
ADSSL1	1804.9583999999998	42399.47289999999
AEBP1	1122.2640000000001	1933.426
AEN	0.0	974.2218
AES	1344.5713999999998	137117.10100000002
AFAP1	0.0	34215.255800000006
