GENE	H3k27me3_28_DMSO_compare_TSS_SIGNAL	H3k27me3_28_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	10372.941	1516.8506	-8856.0904	0.127575877780734	-2.77367409237693
SORBS3	14492.4	8879.0057	-5613.3943	0.379908928627258	-0.706826497768107
CHST3	5058.401	544.3812	-4514.0198	0.0971626560818302	-3.2159922599481
KIF26B	5163.2	1344.5808	-3818.6192	0.206611261399585	-1.94110902913488
LMO2	3089.1763	375.4056	-2713.7707	0.108355239054964	-3.04070013184116
CADM3	3920.5036	1400.7344	-2519.7692	0.263234683357519	-1.48485555924344
PLAU	2471.258	169.8368	-2301.4212	0.0643054539352393	-3.86302463726317
TGIF1	2194.0971	84.4365	-2109.6606	0.037057386382189	-4.69961678516526
ACSL6	2966	880.545	-2085.455	0.228918418996788	-1.7520499582226
NPR1	9081.2	7043.0412	-2038.1588	0.436798303414117	-0.366684427310118
BATF3	2074.644	38.2812	-2036.3628	0.0181176314239614	-5.76008393253426
KIAA1614	2189.6633	181.859	-2007.8043	0.0766844992349429	-3.58981681659728
PDE4DIP	2205.8721	475.8264	-1730.0457	0.177434711620266	-2.21284192027545
C17orf102	3552.0941	1934.7263	-1617.3678	0.352613382424546	-0.87654031421807
C1orf95	2228.2208	660.65	-1567.5708	0.228687970400061	-1.75393413362579
C21orf63	1788.6	249.921	-1538.679	0.122599178522076	-2.83928674484185
NFATC2	1435.637	0	-1435.637	0	-8
CITED1	1759.2908	337.467	-1421.8238	0.160947058358386	-2.38217563431566
SPHK1	1744.0108	372.507	-1371.5038	0.17599993725543	-2.22706953272739
LRRN2	1351.7615	0	-1351.7615	0	-8
PTRF	3348.81	2011.4856	-1337.3244	0.375256469064878	-0.735387114887002
GRIN2A	1381.2189	67.9644	-1313.2545	0.0468984151280242	-4.34501891512785
MEGF11	1386.638	84.0366	-1302.6014	0.0571415321920974	-4.0444295983413
GSX2	1521.3085	228.9328	-1292.3757	0.130800707308187	-2.73231665826353
MATN3	1582.8138	300.0514	-1282.7624	0.159358938706818	-2.39920998242031
PCSK9	2804.184	1551.9872	-1252.1968	0.356273233705783	-0.85346435771298
