GENE	IRF4H3K27ac_31_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_31_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	2487.3192
A1BG-AS1	0.0	2487.3192
A2LD1	1573.6249999999998	309.2544
A2M	0.0	4.5408
A2ML1	0.0	0.0
A4GALT	0.0	3556.1284
A4GNT	0.0	1247.6846
AAA1	0.0	3716.357
AAAS	2864.391	9201.4796
AACS	838.674	1504.395
AADAT	0.0	2304.0
AAGAB	2279.3543999999997	1617.4487
AAK1	3670.6	1929.0432
AAMP	2983.6146	9864.523299999999
AANAT	0.0	14859.3469
AARS	2656.4	6753.2377
AARS2	1492.1388	7996.1824
AARSD1	1564.7015999999999	2545.3186000000005
AASDH	2042.4000000000003	1259.8573999999999
AASDHPPT	2875.4656000000004	330.6405
AASS	2438.9016	1374.4604
AATF	2142.7497	11.447999999999999
AATK	0.0	232.94420000000002
ABAT	0.0	206.31119999999999
ABCA1	2047.3031999999998	7464.079600000001
ABCA10	0.0	202.6188
ABCA11P	2202.655	31.3688
ABCA12	0.0	96.9839
ABCA13	0.0	1735.233
ABCA17P	0.0	336.337
ABCA2	0.0	3073.1023
ABCA3	0.0	336.337
ABCA5	2654.2824	1253.1228
ABCA7	3374.8	30630.774699999994
ABCB1	0.0	41.9232
ABCB10	4398.4	1158.5477
ABCB11	0.0	1006.0720000000001
ABCB5	0.0	380.0682
ABCB6	2260.9296000000004	3729.5950000000003
ABCB7	1175.3584	0.0
ABCB8	3750.2	7490.0078
ABCB9	1850.2067000000002	13780.216499999999
ABCC1	1477.8	2265.8831999999998
ABCC10	3004.4015999999997	1451.405
ABCC11	0.0	817.0407000000001
ABCC12	0.0	27.664199999999997
ABCC13	0.0	0.0
ABCC2	0.0	243.6984
ABCC3	0.0	1692.8447999999999
ABCC4	0.0	267.6905
ABCC5	2692.2471	835.0003999999999
ABCC6	0.0	3504.3543
ABCC6P1	0.0	3885.0567
ABCC6P2	0.0	1865.6102
ABCC8	0.0	3398.3947000000003
ABCD1	1108.7407	1868.5674000000001
ABCD2	1727.6000000000001	1099.8447999999999
ABCD3	1332.4332	0.0
ABCD4	836.087	944.7849
ABCE1	2230.7812	2262.1539999999995
ABCF1	1598.8212	5934.983200000001
ABCF2	2679.0	333.3609
ABCF3	2845.2000000000003	674.1543
ABCG1	1922.3480000000002	16478.1071
ABCG2	0.0	3106.8294000000005
ABCG4	0.0	3865.7344
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	14479.529199999999
ABHD10	1628.6956	2006.1345999999999
ABHD11	3397.5766	6064.929899999999
ABHD12	2303.7999999999997	23114.6511
ABHD12B	0.0	1150.3366
ABHD13	2903.1198	15.4056
ABHD14A	1703.0640000000003	1183.5796
ABHD14B	2391.233	1183.5796
ABHD15	4075.6681	5580.2065999999995
ABHD2	2276.0099999999998	11570.3542
ABHD3	2695.1904	2788.9157
ABHD4	1309.1661	7458.7548
ABHD5	3359.4	891.1168
ABHD6	1828.5525	913.6436000000001
ABHD8	0.0	7084.81
ABI1	2907.4848	4407.6716
ABI2	2225.112	1257.2132000000001
ABI3	0.0	3161.3512
ABL1	895.9548	502.15680000000003
ABL2	1833.0	12720.5786
ABLIM1	1340.2956000000001	407.3124
ABO	0.0	202.5061
ABP1	0.0	3093.3674
ABR	1969.4	13509.173200000001
ABRA	0.0	1070.1372000000001
ABT1	2200.6152	8494.9599
ABTB1	2032.869	3868.3357
ABTB2	762.0075	717.5496
ACAA1	3540.5241000000005	237.1808
ACAA2	2393.1394	1306.0147000000002
ACACA	3773.9199	2483.9875
ACACB	0.0	5821.6239
ACAD10	1031.9676	642.932
ACAD11	3011.1472	1050.5564
ACAD8	1525.1495	1457.9232
ACAD9	2285.2000000000003	2074.3269
ACADL	0.0	740.8604
ACADM	1681.133	846.3770999999999
ACADS	0.0	1603.4936
ACADSB	2018.0700000000002	85.785
ACADVL	1792.7255	9316.6851
ACAN	0.0	1342.5446
ACAP1	768.428	4533.2105
ACAP2	3319.9878000000003	1726.4243999999999
ACAP3	2404.2738	1112.0396
ACAT1	1606.5945	1623.1759000000002
ACAT2	1301.5271999999998	93.7743
ACBD3	3237.9104	19407.1798
ACBD4	4320.3687	21401.4493
ACBD5	3794.8860000000004	1780.4974
ACBD6	5899.6	279.6552
ACBD7	0.0	1246.5808
ACCN2	0.0	3032.2137000000002
ACCN3	0.0	7490.0078
ACCN4	0.0	1006.8243
ACCN5	0.0	2166.3498
ACCS	2768.6776	0.0
ACCSL	0.0	0.0
ACD	2757.8072	5532.927
ACE	0.0	77.6262
ACE2	0.0	125.98899999999999
ACER1	0.0	1948.0569
ACER2	0.0	354.4104
ACER3	1156.0466	2814.1319
ACHE	0.0	38.2522
ACIN1	1122.125	1534.9098000000001
ACLY	2340.2316	4803.4449
ACMSD	0.0	239.6486
ACN9	682.3543999999999	639.6852
ACO2	2946.612	8944.6054
ACOT1	0.0	0.0
ACOT11	0.0	2779.6356
ACOT12	0.0	17.515
ACOT13	2450.788	4593.080400000001
ACOT2	0.0	0.0
ACOT7	2939.4440999999997	8.7216
ACOT8	2449.0682	1299.8635
ACOT9	1173.4756	1358.0585
ACOX1	3246.2205000000004	2584.2695
ACOX2	0.0	14.1685
ACOX3	2062.8464	3929.6249000000003
ACOXL	1512.5292	8162.8213000000005
ACP1	1118.8822	1300.9479
ACP2	2933.3934	1117.1688
ACP5	0.0	3404.9775
ACP6	3679.724	3627.2203
ACPL2	1832.16	2716.5679999999998
ACPP	0.0	520.0368
ACPT	0.0	164.99280000000002
ACR	0.0	5341.2582
ACRBP	0.0	2579.9152999999997
ACRC	0.0	4539.7236
ACRV1	0.0	341.612
ACSBG1	0.0	2204.7568
ACSBG2	0.0	1674.7172
ACSF2	1075.125	2425.4710999999998
ACSF3	720.9596	3152.9398
ACSL1	0.0	3672.8498
ACSL3	1397.136	0.0
ACSL4	1314.6045000000001	698.7828000000001
ACSL5	1736.3350999999998	0.0
ACSL6	0.0	8294.391000000001
ACSM1	0.0	36.9024
ACSM3	1005.158	123.0669
ACSS1	2171.8466	7927.9752
ACSS2	1727.5657999999999	1065.6904
ACTA1	0.0	5399.136
ACTA2	1722.6313	105.3352
ACTB	2830.6	6326.3231000000005
ACTBL2	0.0	1959.7553000000003
ACTC1	0.0	242.688
ACTG1	2281.4	6871.8014
ACTG2	0.0	574.2708
ACTL6A	3152.4921999999997	2944.9641999999994
ACTL6B	0.0	2614.5233
ACTL7A	0.0	37.791000000000004
ACTL7B	0.0	37.791000000000004
ACTN1	0.0	184.38559999999998
ACTN2	0.0	0.0
ACTN3	876.8924999999999	1125.0556
ACTN4	1687.6088	6141.203100000001
ACTR10	662.2933	269.99940000000004
ACTR1A	3963.8872	6977.629399999999
ACTR1B	1559.6000000000001	518.8233
ACTR2	2731.2	1483.0486
ACTR3	3649.7999999999997	2362.4089999999997
ACTR3B	2029.3589	917.6868
ACTR3BP2	0.0	704.8943999999999
ACTR3C	3834.1086999999993	21480.4917
ACTR5	1435.138	3777.2259000000004
ACTR6	2363.7516	794.1766
ACTR8	1380.2184	922.9402
ACVR1	1864.8758	2737.5832
ACVR1B	0.0	4036.5312
ACVR1C	2139.4646000000002	418.9199
ACVR2A	1435.0584	324.87
ACVR2B	2142.5818	144.2796
ACY1	2340.1191	1183.5796
ACY3	1583.5692000000001	9183.618699999999
ACYP1	499.5134	3.5492
ACYP2	2192.188	2420.4500000000003
ADA	2751.6	11195.885
ADAD2	0.0	5281.0834
ADAL	2201.1666999999998	901.1467999999999
ADAM1	0.0	1090.5818
ADAM10	2612.0	1152.2522999999999
ADAM11	0.0	3133.8846
ADAM15	3303.7999999999997	43873.77609999999
ADAM17	2740.0	3017.6114999999995
ADAM19	0.0	4286.6896
ADAM20	0.0	0.0
ADAM21	0.0	0.0
ADAM22	1860.7640000000001	2162.0208
ADAM23	0.0	2024.3539
ADAM28	939.6239999999999	3819.0957
ADAM29	0.0	577.8696
ADAM33	0.0	908.0244
ADAM3A	0.0	284.85
ADAM5P	0.0	2406.6328
ADAM7	0.0	3236.0873
ADAM8	1801.3999999999999	6465.895300000001
ADAM9	2923.7187	12926.904400000001
ADAMDEC1	0.0	3819.0957
ADAMTS10	0.0	2069.3079
ADAMTS12	0.0	1128.5524
ADAMTS13	0.0	269.3197
ADAMTS14	0.0	4854.6299
ADAMTS15	1352.6898	724.3829999999999
ADAMTS16	0.0	722.6659
ADAMTS17	0.0	0.0
ADAMTS19	982.9947	2644.374
ADAMTS3	2373.777	75.03
ADAMTS4	0.0	14206.7387
ADAMTS6	0.0	0.0
ADAMTS7	0.0	2307.4091
ADAMTS8	0.0	724.3829999999999
ADAMTSL2	0.0	66.8136
ADAMTSL4	0.0	30187.841300000004
ADAMTSL5	0.0	6213.6706
ADAP1	0.0	6392.6291
ADAP2	0.0	2719.9040999999997
ADAR	7565.921200000001	4913.6769
ADARB1	0.0	2125.0454
ADAT1	1241.4297	336.8673
ADAT2	1514.2423	1.6835
ADAT3	4154.4254	21859.195
ADC	1129.5941	12556.5551
ADCK1	1494.9545	312.81640000000004
ADCK2	2770.4	4555.0324
ADCK3	5152.6137	4953.3272
ADCK4	5857.3359	2064.3673
ADCK5	3625.3343	9131.1844
ADCY1	727.6146	0.0
ADCY10	0.0	563.9448
ADCY2	0.0	1440.9123
ADCY3	1363.2794000000001	2119.0236999999997
ADCY4	0.0	2775.0212
ADCY5	0.0	1218.536
ADCY6	1163.6692	7070.682199999999
ADCY7	0.0	10903.988800000001
ADCY8	0.0	231.7896
ADCY9	0.0	2267.9903999999997
ADCYAP1	0.0	2151.8762
ADCYAP1R1	0.0	1336.438
ADD1	1421.4	4112.2928
ADD2	1260.9664	0.0
ADD3	1307.28	2154.1461
ADH1B	0.0	1098.6689999999999
ADH1C	0.0	1098.6689999999999
ADH4	0.0	0.0
ADH5	941.8629000000001	4.8024
ADH7	0.0	1098.6689999999999
ADHFE1	0.0	1037.816
ADI1	2215.3999999999996	4228.0229
ADIPOQ	0.0	5877.7045
ADIPOR1	2443.111	5713.1723
ADIPOR2	1785.2948999999999	4146.8533
ADK	5132.613	5989.801799999999
ADM	3336.0	14119.027699999999
ADM2	954.2547000000001	7204.172799999999
ADNP	2794.7999999999997	2024.3763
ADNP2	512.638	167.184
ADO	2374.8228000000004	3232.447
ADORA1	0.0	5720.306
ADORA2A	6962.1684000000005	15062.526800000001
ADORA2B	0.0	797.953
ADORA3	0.0	4302.5043
ADPGK	2978.0	3022.5919
ADPRH	0.0	4547.8601
ADPRHL1	0.0	494.5381
ADPRHL2	3462.5019	5343.051600000001
ADRA1A	0.0	688.3625
ADRA1B	0.0	4078.6195
ADRA1D	0.0	3235.0946
ADRA2A	0.0	318.42109999999997
ADRA2B	0.0	2298.1041
ADRB1	0.0	4557.4756
ADRB2	2964.0	6485.2366999999995
ADRB3	0.0	8713.613
ADRBK1	682.335	16423.873000000003
ADRM1	2730.2	9231.4538
ADSL	3044.7999999999997	3258.3564
ADSS	3550.644	1262.2085
ADSSL1	0.0	1602.9913999999999
AEBP1	0.0	3221.3050999999996
AEBP2	1765.917	125.316
AEN	1684.5407000000002	12230.1246
AES	0.0	1465.5613999999998
AFAP1-AS1	591.8105	1270.0805999999998
AFAP1L1	0.0	1640.0627
AFAP1L2	0.0	141.8004
AFF1	5747.0	7566.580999999999
AFF3	0.0	927.7506000000001
AFF4	3270.1011000000003	3695.2016000000003
AFG3L1P	1497.2936	2983.8278
AFG3L2	3095.2704	1628.8831
AFM	0.0	45.815000000000005
AFMID	1764.828	28212.583699999996
AFP	0.0	45.815000000000005
AFTPH	2962.2000000000003	4097.0832
AGA	2635.62	371.33
AGAP1	171.90179999999998	5180.6494
AGAP11	1303.4775000000002	284.5744
AGAP2	1234.9178	6692.617200000001
AGAP3	2598.9743	3215.3318
AGAP5	0.0	3596.1104
AGAP6	0.0	0.0
AGAP7	0.0	2850.9595
AGAP9	0.0	1456.76
AGBL1	0.0	1738.9652
AGBL2	1291.836	1119.9868999999999
AGBL3	3673.9584	4603.677600000001
AGBL5	2491.6825	8740.7446
AGER	0.0	2897.6885
AGFG1	1366.6929	3239.513
AGFG2	958.6307999999999	3866.4195
AGGF1	1948.0961	0.0
AGK	4627.6	3928.932
AGL	612.4839	702.7348999999999
AGMAT	1695.5654000000002	3890.5026
AGPAT1	2523.5129	2897.6885
AGPAT2	0.0	1941.2232000000001
AGPAT3	2426.8	14406.0859
AGPAT4	0.0	135.8929
AGPAT5	2392.6160999999997	1481.1965999999998
AGPAT6	1831.724	3039.4329000000002
AGPAT9	0.0	18.5346
AGPHD1	2280.5434	1133.7676999999999
AGPS	1790.229	0.0
AGR2	0.0	0.0
AGRN	0.0	1373.6894
AGRP	0.0	13385.6647
AGT	0.0	574.6668
AGTPBP1	2655.0	347.7758
AGTRAP	1606.4748	4561.8956
AGXT2L1	0.0	2168.8565000000003
AGXT2L2	1664.433	272.6696
AHCTF1	3197.4	460.8671
AHCY	2831.966	10274.8157
AHCYL1	888.3204	1658.3488
AHCYL2	4717.609	2170.9286
AHDC1	0.0	1599.9528
AHI1	2682.618	1790.0374
AHNAK	1413.4932999999999	24435.183699999998
AHNAK2	0.0	2780.6926
AHR	1906.4695000000002	449.60900000000004
AHRR	51.894	3648.9114
AHSA1	1356.7495999999999	3.2568
AHSA2	2932.6	449.72110000000004
AHSG	16.6404	1592.2779
AHSP	0.0	702.8755
AICDA	0.0	617.2416000000001
AIDA	4497.6681	5301.0218
AIF1	554.6862	1297.2492000000002
AIF1L	0.0	254.12449999999998
AIFM1	1568.8001	4226.0866000000005
AIFM2	1638.7494	1747.3343
AIFM3	0.0	2452.2603
AIG1	1429.8	539.4198
AIM1L	0.0	2388.9833
AIM2	2552.2	5095.9901
AIMP1	2208.1663000000003	0.0
AIMP2	3032.7742000000003	4014.4617999999996
AIP	2288.2872	8415.453300000001
AIPL1	0.0	0.0
AIRE	0.0	11894.221500000001
AK1	0.0	20126.9696
AK2	1715.9171	12391.9589
AK3	2214.2576	1580.8653
AK4	0.0	2251.4112
AK5	0.0	0.0
AK7	0.0	332.92560000000003
AKAP1	2423.4	1766.2250000000001
AKAP10	3574.3999999999996	7285.934799999999
AKAP11	2459.6	895.8190999999999
AKAP12	0.0	959.2385
AKAP13	1532.0	10099.558
AKAP14	0.0	1486.7637000000002
AKAP17A	290.4	4067.3957
AKAP2	1752.6	20161.0831
AKAP3	0.0	1194.3168
AKAP4	0.0	1259.5684
AKAP5	233.1066	1729.0505
AKAP6	0.0	792.1132
AKAP7	0.0	2235.0056
AKAP8	3176.8	12160.9714
AKAP8L	2240.979	8284.5096
AKAP9	1726.5708	902.7759
AKD1	1740.567	11.174600000000002
AKIRIN1	1816.722	581.7377
AKIRIN2	2550.1751999999997	4413.2552
AKNA	0.0	25577.7053
AKNAD1	0.0	0.0
AKR1A1	2375.706	4185.7346
AKR1B1	3901.305	112.2416
AKR1B10	0.0	112.2416
AKR1B15	0.0	406.69859999999994
AKR1C1	0.0	422.48400000000004
AKR1C2	0.0	422.48400000000004
AKR1C3	313.2684	422.48400000000004
AKR1C4	0.0	387.26599999999996
AKR1CL1	0.0	387.26599999999996
AKR1D1	0.0	12326.4049
AKR1E2	0.0	1582.8697000000002
AKR7A2	1940.756	141.8597
AKR7A2P1	0.0	465.6148
AKR7A3	0.0	320.04650000000004
AKR7L	0.0	320.04650000000004
