GENE	IRF4H3K27ac_32_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_32_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	1006.0636999999999
A1BG-AS1	0.0	1006.0636999999999
A2LD1	638.2500000000001	312.3519
A2M	0.0	27.4164
A2ML1	0.0	0.0
A4GALT	0.0	1438.2413999999999
A4GNT	0.0	1503.312
AAA1	0.0	4749.9637
AAAS	1441.3110000000001	5494.2109
AACS	326.0115	1269.4512
AADAT	0.0	1639.3663000000001
AAGAB	1252.5147	1876.1580000000001
AAK1	1734.3999999999999	2181.9479
AAMP	1390.6907	8672.5208
AANAT	0.0	8787.374200000002
AARS	1398.6000000000001	3295.6135000000004
AARS2	894.9852000000001	4637.545700000001
AARSD1	661.0905	1772.1200000000001
AASDH	1472.0	1608.817
AASDHPPT	1338.3158	540.6536
AASS	1658.0150999999998	2201.2644999999998
AATF	1077.2432999999999	13.848899999999999
AATK	0.0	95.18599999999999
ABAT	0.0	155.4768
ABCA1	1050.7988	3929.2481
ABCA10	0.0	690.444
ABCA11P	909.4694000000001	30.645599999999998
ABCA12	0.0	422.66900000000004
ABCA13	0.0	2434.3631
ABCA17P	0.0	269.95939999999996
ABCA2	0.0	1518.4715999999999
ABCA3	0.0	269.95939999999996
ABCA5	1250.8817999999999	1573.4712
ABCA7	1862.2	13465.333400000001
ABCB1	0.0	26.228399999999997
ABCB10	1771.6000000000001	1108.2614
ABCB11	0.0	1826.7852
ABCB5	0.0	868.0338
ABCB6	957.6752	2406.9217
ABCB7	605.0292000000001	0.0
ABCB8	1754.6	3209.3369
ABCB9	901.6650000000001	12774.5002
ABCC1	703.4	2285.237
ABCC10	1070.6892	1600.4905999999996
ABCC11	0.0	813.3187
ABCC12	0.0	32.8962
ABCC13	0.0	0.0
ABCC2	0.0	160.7452
ABCC3	0.0	2347.2847
ABCC4	0.0	313.13149999999996
ABCC5	1218.9561	642.4639000000001
ABCC6	0.0	2159.317
ABCC6P1	0.0	2247.2760000000003
ABCC6P2	0.0	1034.1235000000001
ABCC8	0.0	2463.2539
ABCD1	337.1182	921.0712
ABCD2	2129.4	1521.7096999999999
ABCD3	628.3452	0.0
ABCD4	514.9704	315.5319
ABCE1	1643.5642	2450.2788
ABCF1	1020.423	5456.8597
ABCF2	1013.8000000000001	212.3451
ABCF3	1276.8	498.8921
ABCG1	903.3853	12127.8281
ABCG2	0.0	2991.6927
ABCG4	0.0	4091.4466
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	11237.620100000002
ABHD10	1080.4107999999999	2444.5788000000002
ABHD11	1286.9276	3783.0107
ABHD12	866.8000000000001	13622.146100000002
ABHD12B	0.0	748.6381
ABHD13	884.9112	63.3472
ABHD14A	733.8449999999999	534.4983000000001
ABHD14B	992.9649999999999	534.4983000000001
ABHD15	1205.6405	2613.026
ABHD2	1245.0339000000001	11601.9902
ABHD3	1217.3301	1791.0794999999998
ABHD4	607.7064	6303.7048
ABHD5	1255.2	841.4086
ABHD6	805.2147	598.7375
ABHD8	0.0	3892.1236000000004
ABI1	1155.6468	5101.6289
ABI2	1049.394	690.0176
ABI3	0.0	2056.1492
ABL1	392.4167	225.5616
ABL2	996.1999999999999	9246.8553
ABLIM1	1322.2768	356.5606
ABO	0.0	109.2793
ABP1	0.0	1652.3701
ABR	741.8000000000001	7783.5907
ABRA	0.0	1236.7968
ABT1	1112.349	10269.9014
ABTB1	727.996	3073.4865
ABTB2	462.531	369.2496
ACAA1	1378.1138	92.62800000000001
ACAA2	1032.8201999999999	1958.2436
ACACA	1643.3601	2510.79
ACACB	0.0	4404.3685
ACAD10	579.8042	248.838
ACAD11	1470.9688	2880.8318
ACAD8	599.5640000000001	1759.2972999999997
ACAD9	1264.3999999999999	1824.1299999999999
ACADL	0.0	1245.4011
ACADM	1097.4305	769.6075
ACADS	0.0	1902.2168000000001
ACADSB	715.02	80.3971
ACADVL	643.2927	5360.2146
ACAN	0.0	921.9094
ACAP1	308.512	2490.3851999999997
ACAP2	1543.1886	2124.5824000000002
ACAP3	761.9439	527.1398000000002
ACAT1	986.2398	2454.1661999999997
ACAT2	640.1400000000001	101.0254
ACBD3	1413.1632	13317.4597
ACBD4	1961.3128	9766.2536
ACBD5	2359.06	1263.0068
ACBD6	2515.6	145.9744
ACBD7	0.0	1103.979
ACCN2	0.0	1936.9238
ACCN3	0.0	3209.3369
ACCN4	0.0	421.22270000000003
ACCN5	0.0	3382.1491
ACCS	800.2046	0.0
