KB528_6_MM1S	KB528_24_MM1S	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	43.0662107457514	67.6359526521884	0.651233940023065	0.00971715030427583
LOC100133331	0.793764540622798	1.09327978527073	0.461879633458999	0.0371454999385546
LOC100288069	3.12633490475782	4.84652398619961	0.632478057926924	0.0130982510842366
LINC00115	3.61738058844721	5.15799842969568	0.511865940458152	0.00115867965751465
LINC01128	4.82674254487261	3.41256646593457	-0.500192731059292	0.00296430716117756
NOC2L	119.506981814006	94.7815507021591	-0.334416735597793	0.00220603719833082
KLHL17	19.9567896449979	34.0908517151929	0.772504984004624	0.00417926808270434
PLEKHN1	2.17784885222857	8.61424887021646	1.98382117326574	1.75075398121906e-05
ISG15	12.1354358540416	16.0026827623229	0.399087860344061	0.00357905467148934
C1orf159	17.3318605101982	17.4208341790791	0.0073871768774498	0.942439126827085
SDF4	244.640426544829	289.048273361383	0.24064762716164	0.00315719992259025
B3GALT6	18.0680687469322	26.2394233454928	0.538293706518881	8.64467911884518e-05
UBE2J2	76.4733023657533	84.0409408783286	0.136136138071485	0.0441847353153279
SCNN1D	0.442572631353258	0.818348120307046	0.88680044964217	0.0602122942937898
ACAP3	28.5375889893295	24.9829804041256	-0.191917856289125	0.0158254221962585
PUSL1	54.5607269085314	37.1906297486948	-0.552923688106911	0.000614550961283357
CPSF3L	86.4769708773711	106.488311371598	0.300307188321303	0.00202937640116008
CPTP	56.3088971131627	69.3181167321454	0.299869565190204	0.0109148053736243
TAS1R3	0.337206436887496	0.889753139883106	1.39977304297357	0.0322272092856306
DVL1	29.334800948521	37.72349205432	0.362850029491405	0.00531637016745149
AURKAIP1	305.550359121748	228.714357206463	-0.417863245019475	0.000150638715448436
CCNL2	83.7832120777889	151.144760045775	0.851197863466635	0.000760521515000173
LOC148413	52.6500445709195	88.0174447386591	0.741354736454056	0.00511647015215361
MRPL20	250.088899891846	204.739219894108	-0.288653533583112	0.0117978589576813
ATAD3C	14.1970165216491	23.8994902335493	0.751392064706986	0.0015776656501808
ATAD3B	40.199775371791	36.9966307671407	-0.119793547490828	0.221855897851348
ATAD3A	63.3310938584982	34.9198290103943	-0.858867503302029	6.95168411108474e-05
