KB528_6Hr_RPMI8226	KB528_24Hr_RPMI8226	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	27.3272649072652	30.5577448364837	0.161197003655478	0.0701536708945757
LOC100288069	5.16737471279671	7.06785309715465	0.451840549531257	0.0487940609993201
LINC00115	2.60525962461215	3.73970384795626	0.521496875689357	0.0413674204962332
LINC01128	7.03850952251506	4.18916391374676	-0.748607620418974	0.000391823152066145
LOC100130417	0.170269233435045	0.773039101995257	2.18272361787203	0.0391357585124844
SAMD11	0.363461727525207	0.931271477929278	1.35739833721118	0.0124735976781866
NOC2L	389.329235624726	315.139339648955	-0.305000823125214	0.0128030787334903
KLHL17	18.5127434180911	24.7623234842252	0.419627985871925	0.0236025835154655
PLEKHN1	3.23460966389859	7.96510301115947	1.30010139428662	0.000124869443996176
HES4	31.9404152147133	45.5883879578303	0.513283327820321	0.00215469929988102
ISG15	30.1322466506716	33.0531559505466	0.133479784545858	0.2716448998413
AGRN	15.036056067705	24.0016379660175	0.674706664222098	0.000924376546724884
RNF223	0.525333275124366	0.236037180881992	-1.15421883642789	0.206777217464525
C1orf159	30.1354297488814	38.4768277447001	0.352529221156601	0.00315485039594001
TNFRSF18	233.393261963436	205.235231561097	-0.18548449977703	0.0387999574761446
TNFRSF4	0.260871825805377	0.247478258391164	-0.0760393550504282	0.857949003519414
SDF4	377.331665957862	354.750073335963	-0.089030194755929	0.1652698782925
B3GALT6	37.0469278565394	39.274669778936	0.0842452344489296	0.222580757724112
FAM132A	2.2157637304497	3.44215124262329	0.635506435202893	0.173036190174126
UBE2J2	102.56879452939	84.7976218433217	-0.274496163036727	0.0152459780951511
ACAP3	84.6942169129839	115.971641792335	0.453436702472808	0.00244201413002763
PUSL1	116.28273564022	100.467783540054	-0.210903963132063	0.0375500172853744
CPSF3L	142.555565420348	152.637615094581	0.0985861713572816	0.230232341652794
CPTP	103.445233607727	95.8365594028012	-0.110219151976795	0.139941507154026
DVL1	97.321877656142	113.126792949758	0.217104597745938	0.0090310433045562
AURKAIP1	482.688184691133	411.143152460115	-0.231450711551731	0.00808331892681262
CCNL2	108.988763459163	105.607736088453	-0.0454638830917651	0.533384115258273
LOC148413	41.7617027225096	54.9523826785796	0.396001501132715	0.00463939214282426
MRPL20	395.054894959955	321.989016569073	-0.295041660175685	0.00194308618736561
ATAD3C	13.5138979693089	16.6374729981997	0.299992456871303	0.019290768866072
ATAD3B	119.435805608059	97.4671214978421	-0.293247863428896	0.0268029545213894
ATAD3A	212.301400819458	151.163501600665	-0.490004047392911	0.000914867818133966
TMEM240	0.867296511667481	0.630997529862655	-0.458890949352445	0.122439887166522
SSU72	420.623802501757	467.358054437201	0.151997765066551	0.0188212532545587
C1orf233	29.9749905137849	42.0885453357889	0.489668351049362	0.00239872392620052
MIB2	31.4303602603252	36.3899019998057	0.211379357264209	0.0400976346599106
CDK11B	56.4934474938585	52.241067900847	-0.112899154892839	0.091362808744511
SLC35E2B	20.350246559486	32.8193923943422	0.689502255595798	0.000101198707782897
CDK11A	20.7380285631436	18.6265969667413	-0.15491463098982	0.256250479060617
SLC35E2	3.34313179559036	6.92665742878302	1.0509590931854	0.000361409151168324
NADK	122.869415279813	129.564714995938	0.0765470314053276	0.228368856895624
GNB1	334.043320616127	367.23888146601	0.136683600732561	0.0491700786095374
CALML6	0.882541064417788	0.925193636220292	0.0680919344976642	0.756458677458827
TMEM52	20.2210075517158	11.4145431252252	-0.824981768289456	0.000326995115782204
PRKCZ	7.60348989785936	12.9953747587769	0.773264585674778	0.00270182358274375
FAAP20	12.6305096449604	16.8457499301359	0.415471801529912	0.0152474247895528
SKI	24.4433394035953	17.8620905178328	-0.452540458514534	0.0361777409495367
MORN1	2.07762585850612	3.93522452075712	0.921510074488118	0.000791009551639115
RER1	100.303740439853	105.497105404007	0.0728280085862758	0.109756718244191
PEX10	45.7362792086112	63.0370976649928	0.462862109488494	0.000875148905151981
PANK4	30.6608333775253	29.6011166328425	-0.0507453115627067	0.558096397785553
LOC115110	0.680602999654507	4.90715027556365	2.85000003799052	0.00210295130387668
TNFRSF14	12.2219924611875	19.2363621430532	0.65435649545659	0.00144116401337642
FAM213B	30.555553834251	41.4418683270227	0.439654414814967	0.00557750463021478
ARHGEF16	4.66812197094837	9.29654826263549	0.993852897018519	0.000886490574634925
MEGF6	3.34619515952463	4.38707364552833	0.390737335123505	0.0402885788084989
TPRG1L	56.6653750406358	51.556329327065	-0.136317904905836	0.0402851860867838
WRAP73	53.83507196713	49.0190425840649	-0.135204046015162	0.135696537275664
TP73-AS1	0.994546221208477	2.12205183797545	1.09334957266568	0.004680886975536
SMIM1	3.68160003666195	5.20659270428045	0.500006650509031	0.0735133435778447
LRRC47	106.154576201247	93.2459385450232	-0.187053772217629	0.028785861931737
CEP104	31.0297891272463	28.2652953166042	-0.134622122218519	0.109155206535019
DFFB	8.47659984915379	8.58387479561797	0.0181433490269104	0.770251823977179
C1orf174	42.0132022264822	32.0053796881428	-0.392528327780068	0.00533373768522393
LINC01134	1.42286333293683	1.62920489529863	0.195370957744166	0.299835154407068
NPHP4	12.5087429220529	15.7206104454824	0.32972042804763	0.0138128132843233
KCNAB2	67.8485875116103	79.395460663055	0.22673774384667	0.0306437356224201
RPL22	431.608039114333	488.750839375988	0.179377443435515	0.00483320457165145
LOC102724450	22.9658034900428	38.9026939026095	0.760382802161213	0.0070402729218616
RNF207	7.98857814670112	14.3228768411654	0.842310644293106	0.00140575260959929
ICMT	94.897735056318	59.1314193611208	-0.682448747308278	0.00298581576201157
LINC00337	0.70932440784612	1.00170576341419	0.497941303266655	0.111848173457133
GPR153	1.19578264903026	3.06396098001201	1.3574427419887	0.00948177058594344
ACOT7	121.654259971307	138.165216850836	0.183607622315261	0.031916486643951
ESPN	4.55803284432842	3.06909793705264	-0.570596636487638	0.020157946562187
TNFRSF25	48.8686715758164	46.9004977009197	-0.0593066550573895	0.351622323238154
PLEKHG5	1.17878297144818	2.26680962835457	0.943365110739205	0.00347188564514172
NOL9	16.3959028506414	13.5380882720358	-0.276311318041112	0.0524617969313854
ZBTB48	31.0674384577081	30.2105366640786	-0.0403514821473825	0.511737416486111
KLHL21	82.176452806085	52.2047948768357	-0.65454273635829	0.00912210234663238
PHF13	22.8367716674468	24.8920262947163	0.124324957579251	0.148670401235947
THAP3	19.5006608347618	13.7042722844242	-0.508897293463571	0.0102573745667221
DNAJC11	84.4950165601215	67.2186248907931	-0.330005225698115	0.0215650016674437
CAMTA1	7.73581127778158	9.39103803535986	0.279732035150025	0.00823006159369056
VAMP3	56.0577661878636	41.330867613042	-0.439694607504224	0.000375485264471878
PARK7	761.65527764989	818.863652004209	0.104485063438568	0.00254238133628759
ERRFI1	1.45323385176603	1.64440561867548	0.178299328953623	0.34252462262939
RERE	28.891818868572	40.0018562580307	0.469405917968334	0.0080590634650681
ENO1	2509.45148208859	2064.58952414805	-0.281517075594212	0.0127517518745562
MIR6728	4.71823026593755	2.01738029981762	-1.22576275429477	0.00373011143192203
ENO1-AS1	2.17046678229659	4.33187571303164	0.996986507632789	0.0335969108002803
SLC2A5	3.43139643189127	1.0990328559683	-1.64256129440115	0.000231744064645709
GPR157	1.93768392191966	3.52439656521348	0.86304301024618	0.0331747157365543
H6PD	5.40441972311744	11.7851843369724	1.12476269649429	0.00338005384482338
SPSB1	11.9604891207352	7.48316927981878	-0.676555072948221	0.00310744620077158
SLC25A33	47.5843161439959	33.2178804925841	-0.518526114293997	0.0088140464000271
TMEM201	31.4071371725003	20.1135808230626	-0.642922496585064	0.00692176697203224
