DMSO_RPMI8226	KB528_1Hr_RPMI8226	KB528_3Hr_RPMI8226	KB528_6Hr_RPMI8226	KB528_24Hr_RPMI8226
WASH7P	22.3276921536931	22.1501223056143	22.1914525846016	27.3272649072652	30.5577448364837
LOC100288069	3.93523408270756	4.81113667175914	3.26918261520455	5.16737471279671	7.06785309715465
LINC00115	3.07425965300574	3.94424155894914	2.61438489018353	2.60525962461215	3.73970384795626
LINC01128	4.05569346436311	6.07430766297223	8.61835001101421	7.03850952251506	4.18916391374676
LOC100130417	1.15173244031506	1.12996569776074	0.705059084119799	0.170269233435045	0.773039101995257
SAMD11	1.12582712577205	1.06877316970604	0.704864205900326	0.363461727525207	0.931271477929278
NOC2L	364.904924401179	365.332616051845	360.59320542611	389.329235624726	315.139339648955
KLHL17	16.974826983072	13.9617637011537	10.195702845636	18.5127434180911	24.7623234842252
PLEKHN1	7.84969880227744	7.19196515772623	3.85208348620092	3.23460966389859	7.96510301115947
HES4	43.8331504846951	43.2099393770948	43.7552225577156	31.9404152147133	45.5883879578303
ISG15	45.6491432677028	37.6395083875538	36.5164677651876	30.1322466506716	33.0531559505466
AGRN	22.2659948258564	27.1729501136797	20.8510334076329	15.036056067705	24.0016379660175
RNF223	1.48783239156768	2.00972166338215	1.07790130502457	0.525333275124366	0.236037180881992
C1orf159	30.3113827353625	34.8128399061898	26.5676367627964	30.1354297488814	38.4768277447001
TNFRSF18	339.191922101126	303.725796655291	267.241689696642	233.393261963436	205.235231561097
TNFRSF4	0.471805203779325	0.443736294580799	0.582806511599405	0.260871825805377	0.247478258391164
SDF4	348.019965981841	361.19120984662	357.304340555409	377.331665957862	354.750073335963
B3GALT6	32.7945439019266	35.1439366068169	37.7715528528844	37.0469278565394	39.274669778936
FAM132A	2.18172945325759	3.64702729702977	3.0349878104108	2.2157637304497	3.44215124262329
UBE2J2	75.3474066695354	80.9302746865541	87.0077331297137	102.56879452939	84.7976218433217
ACAP3	132.301405471865	148.340905279349	104.871092286222	84.6942169129839	115.971641792335
PUSL1	110.59544105262	106.91006488463	114.892800005419	116.28273564022	100.467783540054
CPSF3L	144.819553084949	143.46341005697	138.32919100238	142.555565420348	152.637615094581
CPTP	110.173043197625	100.953462728779	73.0252424773597	103.445233607727	95.8365594028012
DVL1	97.4905159763086	94.1513476475634	83.7103473235625	97.321877656142	113.126792949758
AURKAIP1	492.074156092231	445.750277046798	474.137023699748	482.688184691133	411.143152460115
CCNL2	79.2590841202006	109.089923334984	117.191718707018	108.988763459163	105.607736088453
