KB528_3	KB528_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	74.7474935641477	78.5632929160985	0.0718301966855709	0.811306574920635
LOC729737	21.7649138200148	20.9570986173376	-0.054565309307792	0.938337792648896
LOC100133331	3.80487941252697	3.27534612033384	-0.216203360653716	0.561260037763189
LOC100288069	7.03659626456125	8.44986935384748	0.264051297031597	0.453575436210568
LINC00115	4.61158900159066	4.61411913070821	0.000791311576275998	0.996080977487141
LINC01128	8.66834852185666	4.23879905265127	-1.03210158532056	0.00349261406401083
NOC2L	146.89631968327	98.0740184435032	-0.582855354769139	0.00727211132958935
KLHL17	66.4188384378135	74.0383797588651	0.156680831334698	0.5627875228557
PLEKHN1	1.92094305335243	3.3722070101513	0.811878351199542	0.19465586788777
HES4	125.866072433652	1.05394794243882	-6.89994203276371	0.000677062470879817
ISG15	280.66981074979	186.543902413499	-0.58935869048138	0.239705335561139
AGRN	13.7075128726626	8.30559409831905	-0.72281155563974	0.162052534488624
C1orf159	51.0400505364207	31.8275600257984	-0.681353196681117	0.0336302352340413
TNFRSF18	36.4901742092391	7.36869740569322	-2.30802652260739	0.00963886309525416
TNFRSF4	19.1367525239284	4.95382641465476	-1.94973080597382	0.0124001753934989
SDF4	269.482364748769	217.632587409815	-0.308296268368643	0.0443415108127925
B3GALT6	40.2945909439237	38.7060840320817	-0.0580258327636648	0.507763280878527
FAM132A	8.11784470824227	3.45599549691379	-1.2319954043049	0.00190521988643076
UBE2J2	124.21640777394	93.4319887486602	-0.410867270167709	0.0895103329511751
SCNN1D	8.87588079777607	17.5059698360292	0.979884792200257	0.00455975176300337
ACAP3	129.376519775547	85.085950011247	-0.604582981165612	0.158053875620383
PUSL1	47.0975394991357	33.8377900665069	-0.47701634191894	0.0310841365877369
CPSF3L	225.984994472	153.095277957375	-0.561797194772932	0.0786666957147746
GLTPD1	36.0236969540371	30.873094047666	-0.222596171726541	0.0271703957231097
TAS1R3	0.762471528584713	1.2702359449068	0.73634112880978	0.0678770727145806
DVL1	94.2757738427217	83.8750603900216	-0.168645187418969	0.347680709893107
MXRA8	0.178033335220911	0.388459835705039	1.12561804197835	0.119153895761209
AURKAIP1	274.801612707629	212.671241555121	-0.369765512605047	0.128127782288046
CCNL2	420.231219443183	340.253559836319	-0.304573089683517	0.345038493728516
LOC148413	65.2118389448318	58.7605687660157	-0.150285543307747	0.130368755332376
MRPL20	204.348543906813	187.12878632703	-0.12700045563125	0.121597705661077
ATAD3B	171.425178783633	80.412541910945	-1.09208658621142	0.0384633517931222
ATAD3A	61.380099879576	31.5961618333017	-0.958021676785358	1.0956523458148e-05
TMEM240	0.605238157411523	2.41185031691633	1.99456552352376	0.000616851481327757
SSU72	159.716966141877	248.367411234265	0.636958314143978	0.000979686964578639
C1orf233	4.96426843305137	9.91621893939983	0.998208996449763	0.0390163102418187
MIB2	46.7228519475268	86.8031819243768	0.89361958964425	0.00525250594622306
MMP23B	1.1609825769323	0.674523132612678	-0.783406495567474	0.194500761286873
MMP23A	0.503979881558092	0.644680737512148	0.355218733950612	0.644904428544388
CDK11B	99.4613284121939	66.5507882447181	-0.579679946110479	0.0653201877988445
SLC35E2B	47.7211808235627	51.0318292916305	0.0967676157847347	0.753879421081695
CDK11A	141.78296084308	98.8248389799075	-0.520738558647323	0.169064149324205
SLC35E2	36.1967543823113	46.7839924166465	0.370154640118626	0.30882444669117
NADK	51.5490999298944	53.5540350843196	0.0550480427058616	0.763155001631031
GNB1	222.393073123919	259.115648255911	0.220484290815662	0.19256207570251
CALML6	1.22382146992562	1.87781381170674	0.617660910315206	0.255076526800257
TMEM52	4.81254559832003	0.481788186199868	-3.32032928694957	0.0433440790124387
PRKCZ	23.3228943246629	22.8274133314772	-0.0309794441370181	0.704426045013354
C1orf86	12.0609175121524	18.2111225821076	0.594480194832527	0.00198238678159863
SKI	84.0634962084874	36.930377515683	-1.18667144918653	0.000111281549504837
MORN1	2.55397127690394	6.36658609242441	1.31777767414016	3.58265937925449e-05
LOC100129534	2.09206739189228	6.74084425846325	1.68799996741337	0.0463865694449558
RER1	122.173047656687	140.796859506279	0.20468910452929	0.171765799629772
PEX10	17.6713349814422	17.9323611474354	0.0211544274024556	0.790965903279509
PLCH2	9.52255408849633	12.3377932259449	0.373663890384039	0.552645654036637
PANK4	46.7226752590147	46.8866060583853	0.00505296888812785	0.968082501305246
LOC115110	2.47961195761731	7.10858522144271	1.51944809125058	0.00349792949177503
LOC100133445	1.84846113141126	5.25183860907156	1.50649787484607	0.0104646715013067
TNFRSF14	236.608538436188	274.144875633785	0.212436369956123	0.450364422044661
FAM213B	14.930418997563	29.4161099917713	0.978351823247395	0.00291961691900638
MEGF6	27.4859132712779	32.7378723118353	0.252268145301156	0.148488127794161
TPRG1L	111.006140767604	86.7282712712261	-0.356065229350351	0.0523810888167589
