GNE781_0	Lenalidomide_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	34.4344129481236	32.4121034288123	-0.0873184321799984	0.168460961633492
LOC100133331	0.710462812232232	0.896999116768749	0.336347428162005	0.291450654134259
LOC100288069	5.36811805780707	5.29227469495395	-0.0205284537230485	0.968331608707433
LINC00115	3.0033722088186	2.71516838481796	-0.145541608127302	0.572587158479371
LINC01128	4.63293866020875	6.13262031514956	0.404576051809295	0.125072032188399
NOC2L	107.261958628848	119.380876760585	0.154433251754196	0.37241866674473
KLHL17	10.7092433402195	9.24079789496896	-0.212767218948274	0.123322877735251
PLEKHN1	4.42248049260808	5.68624353175232	0.362620109158047	0.0381014085190492
ISG15	18.9875584098274	19.112462816584	0.0094592920410955	0.982506461994949
AGRN	0.509241851737855	0.34523490274114	-0.560772664905244	0.0524245527168295
C1orf159	17.156131024785	16.9771188833965	-0.0151325934199799	0.84977478707736
SDF4	219.501738282872	206.027008475743	-0.0913988893610737	0.621752901336592
B3GALT6	26.4506792816275	17.6796840098691	-0.58121228318251	0.179970331522834
UBE2J2	73.9324369529138	67.56884280673	-0.129849320539385	0.500543576804991
SCNN1D	0.455419755481163	0.305979660445901	-0.573761119908907	0.102065351089879
ACAP3	26.8449386469321	21.4649585049219	-0.322666723842334	0.161531887344708
PUSL1	51.6218552390626	51.5091727973284	-0.00315261987922364	0.991201101107974
CPSF3L	70.8517717197341	68.5351432749473	-0.0479599703616804	0.679278030830579
CPTP	48.2568342839939	50.2043816722425	0.0570800074785845	0.614622975557395
TAS1R3	0.610530163877226	0.325632235602264	-0.906819050150988	0.151680106773762
DVL1	34.3873053694838	26.6542753894801	-0.36750910678309	0.00833543716035695
AURKAIP1	317.065779574328	239.06337100754	-0.40738907892813	0.465410560189525
CCNL2	69.101418794903	66.8295243415894	-0.0482297265702741	0.65356023802011
LOC148413	79.7638261927938	69.2426488505674	-0.204073700570063	0.0961921404543788
MRPL20	255.953403846104	246.188826445332	-0.0561159074338053	0.839619715282327
ATAD3C	31.6340793536486	20.3250730009751	-0.638219075726263	0.0564948067886822
ATAD3B	44.0752690387478	38.2818828062755	-0.203307588687875	0.443857230278699
ATAD3A	56.2927659161805	63.576239964226	0.175538158878515	0.20591988099654
SSU72	277.613207670909	186.118020741139	-0.57685845687058	0.1253482224071
MIB2	12.2095603431046	8.06789391461826	-0.597747231843823	0.00964827040372462
CDK11B	28.473012248349	32.6145699366548	0.195921476591641	0.0812287779447984
SLC35E2B	40.6740521325562	39.7425506623072	-0.0334242585510783	0.898872636666974
CDK11A	10.8681419853863	11.7060507495338	0.107149119654172	0.173126043430386
SLC35E2	9.16058877949246	8.5860043682385	-0.0934534210180549	0.477250594637819
NADK	60.945477444038	60.0166719734743	-0.0221558460796209	0.683510340911548
GNB1	172.080477415148	162.220838532896	-0.0851242755528062	0.581830281042752
TMEM52	2.51045060821521	2.59454186524769	0.0475334742111294	0.883441406047338
FAAP20	10.5817932566363	7.22226378043673	-0.551061118012394	0.306692148555045
SKI	11.3981198765632	12.119834514673	0.0885741292388161	0.551062340279044
MORN1	0.726135364885998	0.839033041732665	0.208489108184914	0.103582066537503
RER1	97.5765930244027	94.4085113386178	-0.0476181804383406	0.382475113565748
PEX10	23.9282189536606	29.8617477474186	0.319585589032411	0.0114558066399274
PANK4	23.7816207920417	25.3425832363474	0.0917165470587408	0.371352776848721
LOC115110	15.4653276905245	8.1784641353164	-0.919135558052065	0.0182194511181921
TNFRSF14	51.1702145709195	43.2199413755616	-0.243607167684757	0.0198466258988991
FAM213B	8.54639418151125	12.7075046111243	0.572292989848297	0.00473725381187924
TPRG1L	57.4455751865864	89.6224465985361	0.641664339227289	0.0062329701020812
WRAP73	37.9609043113022	44.1547979442866	0.218055851475436	0.118630192686339
TP73	7.82964787367883	9.44976038351762	0.271330321552138	0.109373682383362
TP73-AS1	1.69882252068829	1.39877190752697	-0.280374412393268	0.0719383019829591
LRRC47	62.4838821155677	64.1605518104306	0.0382024589690068	0.695929347961713
CEP104	23.8816874742503	21.2554119925312	-0.168074557756356	0.298943150495977
DFFB	7.73688234311995	6.6616761493077	-0.215867114010913	0.146985271082931
C1orf174	31.7504969642166	33.6480085377796	0.0837419478775741	0.327310481410034
LINC01134	2.34358578979325	2.2806007013903	-0.0393037326517525	0.900441551860029
NPHP4	8.08228433804944	9.82434604543112	0.281598271003859	0.12253573871677
KCNAB2	66.639694459779	63.3255535182142	-0.0735940036698169	0.58933245538132
RPL22	556.303149556399	520.63900709305	-0.0955878687799785	0.362941282004056
RNF207	1.69431067751288	1.34576924366803	-0.332267383751643	0.199567829594618
ICMT	46.7907187079928	68.0470545087535	0.540310325703653	0.0228941048800103
