GNE781_24	CCS1477_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	33.7517381238947	34.9252372121632	0.0493081154530528	0.690486037070862
LOC100133331	0.937802268944666	1.18377407195056	0.336038088407837	0.140974953462711
LOC100288069	7.46344088955806	8.35799783498041	0.163316471654387	0.652778479501381
LINC00115	3.34184790780963	2.26735175189871	-0.559637850880521	0.143078362529925
LINC01128	4.95778973273526	7.7046503016475	0.636032391371156	0.000912788731864995
NOC2L	118.792966336049	110.138011126109	-0.109136955887371	0.0611860429894576
KLHL17	11.9085158199661	12.7812872168345	0.10203952023868	0.457869345271045
PLEKHN1	5.38902004326252	5.3781469383447	-0.00291378036637804	0.983812184269946
ISG15	19.2473022686704	22.0637440610338	0.197021377196147	0.118094066108244
AGRN	0.297654778412506	0.983561037698242	1.72437453094365	0.000340416029415756
C1orf159	20.4467129667347	12.5097618088852	-0.70881461251739	0.0212650808511823
SDF4	208.100469439246	210.599649659065	0.0172228168333325	0.66176192974948
B3GALT6	25.803407936395	18.0836622167178	-0.512874744420758	0.00393197997779585
UBE2J2	81.6682182346856	80.7855106853429	-0.0156781915118107	0.857053697549798
SCNN1D	0.357719734752129	0.927218404305828	1.37407949119092	0.104125671310071
ACAP3	23.791388397119	31.6327429584024	0.41097919540363	0.0493717479583774
PUSL1	41.0007131560154	40.3242548275385	-0.0240011304908039	0.80001603354427
CPSF3L	80.8317329388529	77.933319753924	-0.0526815050497691	0.515200342540581
CPTP	51.5972127561998	56.3145082472854	0.126213515771692	0.0471899517836165
TAS1R3	0.389684622914506	0.473167552439391	0.280044140563975	0.569847026215045
DVL1	28.7259782634139	23.352810784283	-0.298759819068136	0.126322121520643
AURKAIP1	251.004264159595	217.144913705789	-0.209053713239378	0.158025115719093
CCNL2	72.0502757761155	118.674054705798	0.719928700561876	0.0470383454452643
LOC148413	71.9310570800826	69.2039847958861	-0.0557596944624133	0.56994016506891
MRPL20	258.806824692675	188.888832514702	-0.45433825222558	0.0456905430416195
ATAD3C	20.7839337342108	16.7585762211455	-0.31056915069857	0.026305116142992
ATAD3B	39.1478612597851	29.5832581101464	-0.404152541470356	0.0572775708013162
ATAD3A	55.4033998042023	36.3407798646148	-0.608385129508438	0.00520119243658844
SSU72	246.211107390948	132.899186513534	-0.889563574207433	0.00203506082619999
MIB2	12.0881709334314	9.53574252427738	-0.342178779208929	0.0974429497773099
CDK11B	34.196533578096	42.7349125280609	0.321565079474847	0.0117242291351883
SLC35E2B	48.3948162144973	42.4449054716211	-0.189261120223011	0.368461923151674
CDK11A	14.7470610403972	17.0638086089267	0.2105122226436	0.0588560110055381
SLC35E2	11.3051500962603	11.6663873565995	0.0453777349631476	0.814190120165875
NADK	65.2171611146961	45.403829269951	-0.522437665611179	0.011907414878469
GNB1	216.694936146457	181.167636724813	-0.25834018065595	0.077909371168112
TMEM52	1.27265254813798	11.6277679479482	3.19166368314096	2.08572464008258e-05
FAAP20	9.77111924760834	7.36122603842247	-0.408577755047312	0.000909721663670799
SKI	13.6175005873366	40.6609275901137	1.57818119808614	0.000154878266697261
MORN1	1.16628194430493	1.10628719122969	-0.0761906402204912	0.70364331864765
RER1	110.492872296334	97.6168446483508	-0.178751282713389	0.027182909571433
PEX10	32.6293301183009	26.1394976163414	-0.319937955369832	0.0173161418958492
PANK4	24.1887074124146	31.9094505565602	0.399650090158185	0.0152711122157108
LOC115110	12.8329566031123	4.66647948637466	-1.45944713458367	0.00124801331763443
TNFRSF14	36.2208561564383	26.75431953709	-0.437048811587367	0.0140725601396094
FAM213B	8.40659242426001	11.8392146774755	0.493980352926767	0.000292293922183202
TPRG1L	77.0529550329041	122.646265513602	0.670581114343485	0.000636145601516115
