JQ1_0	Lenalidomide_0	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	31.9145098738609	35.0583560044595	0.135545853400793	0.0728160606762277
LOC100133331	0.747742776670771	0.822181536834463	0.13691490593561	0.333747711368069
LOC100288069	5.93345025491116	6.53975427998785	0.140365165299662	0.411521406444723
LINC00115	2.87172230365375	3.24276478415904	0.175308133966217	0.392194722521244
LINC01128	4.87598312045849	5.03857350926163	0.0473222126726205	0.383876197453024
NOC2L	96.5380740320228	96.0408303654564	-0.00745016769435553	0.72313621710237
KLHL17	9.26107410645057	9.96755867915277	0.106060665350231	0.233162942205817
PLEKHN1	4.31916088920105	4.48868667470003	0.0555423367536116	0.24811069659497
ISG15	12.6659559084462	12.5734495816588	-0.0105754485035331	0.950446971310745
AGRN	0.353765745952748	0.362884598128154	0.0367164628917495	0.854388317259903
C1orf159	18.0333827763431	15.8828084911355	-0.183204008026867	0.0834337216926371
SDF4	194.683587489226	184.024212636233	-0.0812356662906537	0.243979235648848
B3GALT6	20.9247349080994	18.2451912166106	-0.197693074634088	0.0538907914695708
UBE2J2	68.0984207618832	66.3951585168046	-0.0365432965601717	0.351355399700228
SCNN1D	0.254724438756219	0.17710624357884	-0.524322308468339	0.210438379007102
ACAP3	22.2664431547207	23.5608507334896	0.0815205126487885	0.0947335474094189
PUSL1	40.8351965987909	39.6116342867165	-0.04388894868133	0.567530438354064
CPSF3L	73.533397367063	73.6280614658132	0.00185607625444475	0.965330485043773
CPTP	43.2422451947299	40.4656171992164	-0.0957448314113225	0.148686939190912
TAS1R3	0.566520355069644	0.674836686827659	0.252410613450753	0.45020462865614
DVL1	32.2482984765221	31.724363698327	-0.0236318133902855	0.594816669721757
AURKAIP1	225.114211349784	212.243798356606	-0.084934736634107	0.0615422009584305
CCNL2	65.5197361076956	80.9538366618739	0.305169909810041	0.0479679910440473
LOC148413	73.4757095415654	72.5798760052943	-0.0176977936533882	0.371602600538165
MRPL20	227.719774127025	218.817842304952	-0.0575291942390935	0.22600155641304
ATAD3C	27.3519839488596	25.8327137849835	-0.0824462714653814	0.229764829540212
ATAD3B	35.1610229546662	38.5608606993244	0.133160209627793	0.112660365865167
ATAD3A	51.5274386619325	49.3092079028117	-0.063483802702626	0.0906595974692403
SSU72	234.767536347175	226.238552590676	-0.0533881310418076	0.283080296503244
MIB2	10.3305418952473	10.6390191034253	0.0424492096455593	0.538892678101774
CDK11B	28.1182082102247	27.3247164246632	-0.041298140090613	0.285550133114897
SLC35E2B	45.7572884292237	47.0920811942828	0.0414829219860256	0.234303318558474
CDK11A	9.61188541983794	10.7510523139118	0.161586522054713	0.0942904428975152
SLC35E2	9.41691553303669	10.0736458888083	0.0972594287799457	0.352231996754797
NADK	58.5676208459896	58.1871188410069	-0.00940347776165064	0.537167492199833
GNB1	186.321187538743	180.921590003948	-0.0424271598073557	0.203692782779293
TMEM52	2.48618984722665	2.02734242011056	-0.294346683833313	0.342295317070036
FAAP20	7.82647008654652	7.29959803632221	-0.100544744463733	0.135219038874167
SKI	11.6055948649828	11.0978512398235	-0.0645401026734732	0.206002737109776
MORN1	0.817360185598868	0.810439832311767	-0.0122668870983506	0.953500653069104
RER1	94.1989329792357	93.9196655522996	-0.00428344704925394	0.934635003350186
PEX10	24.2950188374743	24.3910577201363	0.00569177100564654	0.918259920239413
PANK4	22.3198904658504	22.7109758015963	0.025059747121976	0.663282688146337
LOC115110	14.0383592588558	15.8701703286634	0.176943282468143	0.0356175859886874
TNFRSF14	46.7978684714547	46.3099408075732	-0.0151209070523885	0.720648304931801
FAM213B	8.72307971149564	8.07354567563857	-0.111635169069374	0.275998274740262
TPRG1L	63.4782569499054	63.6278196438629	0.00339517137561238	0.842756654660928
WRAP73	40.3081280901665	40.5107324431122	0.00723338353559512	0.887636707705394
TP73	8.11117598134754	7.59414106704962	-0.09502429725103	0.17805069135808
TP73-AS1	1.51550081456564	1.82601356129268	0.268902852299258	0.0393112830641863
LRRC47	55.9802138681333	57.7321853625191	0.0444588387394827	0.276464508060008
CEP104	24.6357073565998	24.9122881320282	0.0161066397826899	0.661833823042415
DFFB	8.58546755773646	8.93294535764178	0.0572392326858557	0.30394411273137
C1orf174	32.1407574245054	32.8623545320101	0.0320319228867361	0.385361096852949
LINC01134	2.16288703353452	2.61592720946901	0.274364081049907	0.0341818362139581
NPHP4	7.83216053676874	7.74949770059547	-0.0153075341310208	0.74931621312951
KCNAB2	68.0588697348918	69.7344627001478	0.0350886183196781	0.123913933578357
RPL22	576.64114737834	561.920183290164	-0.0373085663139017	0.112930752769026
RNF207	1.78385777951801	1.87469062131591	0.0716519294274378	0.539062662980732
ICMT	50.3967995643432	49.579822307387	-0.0235790178029282	0.266746389001073
LINC00337	0.468025048268355	0.636137537090601	0.442752975744073	0.497775706931277
GPR153	0.479133963317663	0.514257265298752	0.102061188678978	0.771181886573275
ACOT7	41.9514002666312	39.9924765518801	-0.0689903427380181	0.107261957170051
PLEKHG5	0.655972644095285	0.643103978892495	-0.0285836361790235	0.900333669861869
NOL9	12.0058936794498	12.6458212351564	0.074917933365994	0.475368560961027
ZBTB48	17.2466893080448	18.066612013329	0.0670065392989845	0.174783600201232
KLHL21	30.3231486970956	29.8144319873514	-0.0244087165749957	0.429118170214307
PHF13	17.2640502420283	17.2054055703938	-0.00490906842487307	0.957105984831426
THAP3	11.3426598406026	10.4751293472818	-0.11479093178414	0.126800111160621
DNAJC11	45.3009795803515	46.7951586866829	0.0468170326179967	0.28257903684901
CAMTA1	6.28827119789877	6.22934001656147	-0.0135841175677021	0.746467822711576
VAMP3	39.7954547266532	40.8890191536139	0.0391097944118809	0.57769198162055
PER3	0.382119058413399	0.23832250714805	-0.681107008852764	0.0926372736985036
PARK7	397.576295615389	387.270014820532	-0.037891940719419	0.220228731194033
ERRFI1	0.835721809214896	0.977411876678159	0.225943849795025	0.227140845957732
RERE	10.5189929575688	10.7169597343743	0.0268990956218556	0.419791976218857
ENO1	586.400047293906	557.7328934406	-0.0723108604420123	0.0119011359775583
H6PD	2.52853558503456	2.63919253534973	0.0617945203262181	0.236707412653868
SLC25A33	15.2872560250123	14.9066885757754	-0.0363696665684016	0.693959278687159
TMEM201	9.03946686764345	8.78496428755394	-0.0412012660207192	0.390650621457616
PIK3CD	2.39845996159508	2.35033526030009	-0.0292417935889937	0.850993063151653
CLSTN1	69.3238146448568	65.4032760209706	-0.0839881416133741	0.0564544259547851
CTNNBIP1	20.2202196300508	18.6213429568338	-0.118841545040786	0.0732105989807105
LZIC	30.0376725654526	32.0494627272185	0.093527140290587	0.0750732668931025
NMNAT1	7.93154459687116	8.36947565862666	0.0775353966902229	0.24049647164113
UBE4B	39.3740676365398	40.862760897349	0.0535409218123302	0.0319933807305483
KIF1B	13.4559693431218	14.2251736769963	0.0801999428888754	0.0628023393212002
RNU6-2	2.12596123233352	2.25841304687274	0.0871940793399553	0.543537248761554
PGD	136.308773303823	133.22370284103	-0.0330276358909667	0.442715668619475
APITD1	4.96884665959465	5.25871714466939	0.0817998788905946	0.411352725916712
DFFA	23.8139585646783	24.9655871584029	0.0681333794503206	0.23308734309569
PEX14	20.106033060305	19.1446891791911	-0.0706842268850523	0.235485096706651
TARDBP	98.9021206615813	107.985480012719	0.126763976456213	0.0649679394416281
SRM	214.03096417717	199.896130051729	-0.098568986486407	0.150835170439714
EXOSC10	75.5222395375046	76.3175824688614	0.0151139244235801	0.613448611435052
MTOR	21.936484930971	22.9959446372646	0.0680470935815316	0.06504893470293
UBIAD1	26.2016956896273	25.2672046035271	-0.0523941185058248	0.203431646550034
PTCHD2	1.05574968425391	1.1024444683744	0.0624381714354698	0.531611828985727
FBXO2	4.01449283659269	4.34037632545581	0.112602395593723	0.261492855792542
FBXO44	11.6398048449596	11.2016279378641	-0.0553584548973625	0.584343183449026
FBXO6	7.84363093308729	8.15213007176958	0.0556554167923787	0.500943154397762
MAD2L2	72.8231054372725	68.8880865894108	-0.080141756950372	0.23430884126898
AGTRAP	86.6957453990982	79.3726335494537	-0.12731952053546	0.130830509360753
C1orf167	2.48025720266498	2.42579601370453	-0.0320314971679588	0.415177720438068
MTHFR	15.3148735187874	15.9183731826012	0.0557594514625223	0.00481926215560881
CLCN6	5.88814987569061	6.69076159426831	0.184356045020027	0.105770089337838
NPPA-AS1	1.00457300921874	1.70832034130008	0.765996113589027	0.0809935520066651
KIAA2013	96.3852126351691	92.5673903439899	-0.058307775844334	0.195009916344664
PLOD1	27.9766163760978	26.4103847635089	-0.0831161669430556	0.184944347010364
MFN2	60.1088441061467	60.0882958870292	-0.000493269874979573	0.934143740832461
MIIP	30.4089996214782	29.4429877549972	-0.0465742784968813	0.314460727214929
TNFRSF1B	9.90843810398958	9.54096734149988	-0.0545221132060523	0.236184045248008
VPS13D	5.80223723078456	6.17630542536851	0.0901348143913194	0.154604864006798
DHRS3	0.587239210236348	0.550285799377315	-0.0937672017215043	0.66866530618839
PRDM2	15.7720079929419	17.3570212594794	0.138153032954629	0.0418403894771329
KAZN	2.77874818443279	2.67602710654437	-0.0543423709442862	0.132960852779446
TMEM51	1.41218453516001	1.37282270749582	-0.0407833016205668	0.838279348098539
EFHD2	31.90171173975	30.1548469760906	-0.0812439221742586	0.20604383657453
CASP9	8.20318228297442	7.75018148338963	-0.0819535930686412	0.124191200062992
DNAJC16	12.8814210184323	13.4913760347879	0.0667457478987199	0.0819231827760569
AGMAT	16.3674586634822	16.7894978436947	0.0367287460611992	0.465215048268273
DDI2	6.35164798816662	6.95015518337135	0.129914231012458	0.455252033937054
RSC1A1	7.35859969877338	8.67584486530984	0.237573000659096	0.0497698016406395
PLEKHM2	61.2838743269972	60.5135728348884	-0.0182487397867053	0.581703132242596
SLC25A34	1.83853605321034	2.16786466573397	0.237717228037972	0.174393911854931
UQCRHL	33.1103673829215	33.203459013562	0.00405052549049293	0.961174994710189
FLJ37453	3.3452838103808	3.28834273408282	-0.0247679381722546	0.871831784210187
SPEN	22.6241466179034	24.6950250556751	0.12635705767076	0.13724783509205
ZBTB17	18.4209819045431	17.0678467038467	-0.110068906274331	0.193941484463181
ARHGEF19	4.72848459666255	5.18888227643973	0.134045907824988	0.0667693866039031
RSG1	5.37983749953283	4.79610506607571	-0.165699332615051	0.339788604023889
FBXO42	12.8003112374491	13.0634623199052	0.0293584276902862	0.284118403292924
SZRD1	101.811306517476	97.3058897288143	-0.065298750688133	0.0565536645912834
NECAP2	104.704780619133	101.431097037136	-0.0458272887093233	0.139387867690833
CROCCP3	1.44890846406667	1.5405717222674	0.0884993951205386	0.215253296165266
NBPF1	5.70611852466122	5.78376201824598	0.0194984774353014	0.788585712414136
CROCCP2	78.3323050144987	83.9898702743565	0.100607928070682	0.0931165900247867
MST1P2	3.36645432181903	4.31217225127028	0.357184918650312	0.00451227481817412
MST1L	0.852515036386171	1.19356401104778	0.485478755217991	0.0578964676329009
CROCC	8.04823384689487	9.03040441201298	0.166118373674356	0.000106448580260093
ATP13A2	15.5617569148697	14.8151864324268	-0.0709281679906004	0.107571663474219
SDHB	160.903232745364	157.85467446745	-0.0275963288310304	0.68009520056983
RCC2	137.5130037003	133.25934764363	-0.0453313150869257	0.217261037876601
ALDH4A1	9.95662845786291	10.1023274332753	0.0209585072303034	0.774453149205292
IFFO2	9.26035024101165	9.66722688212597	0.0620353414429834	0.423622501258458
UBR4	23.4847568086548	25.5066947581561	0.119151307703435	0.0291155283293178
EMC1	29.0264502352827	29.2524755644107	0.0111905719581288	0.725663236983527
MRTO4	72.1110496637928	69.3391344341718	-0.0565505149413452	0.108479229628562
AKR7A3	0.539927236784112	0.896008202014617	0.7307469429147	0.187514211445114
LOC100506730	4.81318354693953	4.47183258667965	-0.106125261792927	0.308131000501553
AKR7A2	37.8270333387404	35.0406352143478	-0.110388706302607	0.0493972458811424
PQLC2	8.34382508090575	8.78446695584062	0.0742458320467196	0.0852534455847591
CAPZB	135.367988466562	128.59874998647	-0.0740099944363832	0.0724696100874128
MINOS1	46.8812821419006	45.5087369371725	-0.0428684802461828	0.315304920032493
RPS14P3	3.46342895825209	2.92064134403889	-0.245915876122227	0.243180347597612
TMCO4	24.9221239559689	24.7371149930641	-0.0107497720005751	0.700551497768477
OTUD3	4.61021902034704	5.26745370841265	0.192270439132264	0.0859466845899104
MUL1	37.9922783380188	36.6763088625117	-0.050857778699984	0.327562794576542
PINK1	28.0204011594179	27.0865904883852	-0.0488988041148768	0.400575237210467
PINK1-AS	6.14299564126541	6.51094928560599	0.0839255416256304	0.298425716722662
DDOST	415.193209125421	405.24840235087	-0.0349763491766239	0.249273817360742
HP1BP3	148.106939305385	155.21328758312	0.0676128325323091	0.280857179710963
EIF4G3	20.6458537405837	21.7074708185647	0.0723395668199161	0.121813365474355
ECE1	39.9783095286532	37.3851779961763	-0.0967510674902312	0.0370954925702529
