KB528_6	CCS1477_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	40.0858091276294	34.9252372121632	-0.198821680717398	0.198682528284784
LOC100133331	1.28167034745702	1.18377407195056	-0.114631477624606	0.773843806920916
LOC100288069	10.2441702254238	8.35799783498041	-0.293573841172151	0.193943221216515
LINC00115	2.49490626419651	2.26735175189871	-0.137977388334526	0.70303988525849
LINC01128	6.06810737425211	7.7046503016475	0.344482863158872	0.00716344944271265
NOC2L	110.195027398658	110.138011126109	-0.00074666147250742	0.980750802611681
KLHL17	14.8396133804223	12.7812872168345	-0.215420366678318	0.339460272686472
PLEKHN1	2.49408206819119	5.3781469383447	1.10860023408254	0.000479509016708263
ISG15	21.9693539672288	22.0637440610338	0.00618518046290337	0.975047315590077
AGRN	0.537330193013224	0.983561037698242	0.872205679345548	0.00428725477804435
C1orf159	16.7012145420633	12.5097618088852	-0.416898701620664	0.0296576272967508
SDF4	238.687953054796	210.599649659065	-0.180622716852294	0.071472995703067
B3GALT6	22.5543965852654	18.0836622167178	-0.318721814032353	0.0176739976841076
UBE2J2	80.0104061822672	80.7855106853429	0.01390891144479	0.734207768855743
SCNN1D	0.486588291171296	0.927218404305828	0.930207597639902	0.179332946888578
ACAP3	26.7900970280927	31.6327429584024	0.239718854836266	0.118099377124537
PUSL1	42.8440483718013	40.3242548275385	-0.0874469347219161	0.227826032629205
CPSF3L	82.4569457517588	77.933319753924	-0.0814007513845828	0.168349358232559
CPTP	58.7528614958958	56.3145082472854	-0.0611524681316027	0.118906096965175
TAS1R3	0.228150188347353	0.473167552439391	1.05236729917742	0.0655039342408619
DVL1	29.3260092540236	23.352810784283	-0.328584553798497	0.00256773843988408
AURKAIP1	278.168595841867	217.144913705789	-0.357301394167497	0.100055561182672
CCNL2	85.5919166638665	118.674054705798	0.471458098620245	0.0936626659466761
LOC148413	61.1256313495396	69.2039847958861	0.179077649933643	0.0100773807807808
MRPL20	238.671290593048	188.888832514702	-0.33748762802821	0.053840418642844
ATAD3C	20.0040743466055	16.7585762211455	-0.255394286613045	0.0995449112748942
ATAD3B	26.9437709200389	29.5832581101464	0.134829172797387	0.438683632987233
ATAD3A	44.8833235849565	36.3407798646148	-0.30459013085997	0.0106353566240842
SSU72	179.006905164829	132.899186513534	-0.429682966519971	0.0130375176757356
MIB2	10.2084130975744	9.53574252427738	-0.0983414289920742	0.531433438641797
CDK11B	48.0305562895319	42.7349125280609	-0.168537348548751	0.0227853211424595
