KB528_6	GNE781_0	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	40.0858091276294	34.4344129481236	-0.219240513580573	0.117220271761757
LOC100133331	1.28167034745702	0.710462812232232	-0.851194199159722	0.185682599965112
LOC100288069	10.2441702254238	5.36811805780707	-0.932314825907617	0.0574286540169088
LINC00115	2.49490626419651	3.0033722088186	0.26759766633379	0.425813723935932
LINC01128	6.06810737425211	4.63293866020875	-0.389319032769826	0.144133535036789
NOC2L	110.195027398658	107.261958628848	-0.0389206204311391	0.808282327152658
KLHL17	14.8396133804223	10.7092433402195	-0.470596955295657	0.11194098767012
PLEKHN1	2.49408206819119	4.42248049260808	0.826346841184916	0.0141736532822881
ISG15	21.9693539672288	18.9875584098274	-0.210438043591135	0.624351589901017
AGRN	0.537330193013224	0.509241851737855	-0.0774579153675282	0.622924829717549
C1orf159	16.7012145420633	17.156131024785	0.0387712174102785	0.567360886889985
SDF4	238.687953054796	219.501738282872	-0.120893388409682	0.501530523683184
B3GALT6	22.5543965852654	26.4506792816275	0.229896083692792	0.465091245665222
UBE2J2	80.0104061822672	73.9324369529138	-0.113980181562616	0.516819331480123
SCNN1D	0.486588291171296	0.455419755481163	-0.0955047300072577	0.602214419329251
ACAP3	26.7900970280927	26.8449386469321	0.00295030135102584	0.985982268938396
PUSL1	42.8440483718013	51.6218552390626	0.26888718336237	0.431052848569704
CPSF3L	82.4569457517588	70.8517717197341	-0.218837094406219	0.112478420932652
CPTP	58.7528614958958	48.2568342839939	-0.283925842482924	0.0653738502142455
TAS1R3	0.228150188347353	0.610530163877226	1.42007873003322	0.0823884473891288
DVL1	29.3260092540236	34.3873053694838	0.229695309549919	0.0386195521487138
AURKAIP1	278.168595841867	317.065779574328	0.188822623584311	0.702849442433962
CCNL2	85.5919166638665	69.101418794903	-0.308759221913604	0.225111661645242
LOC148413	61.1256313495396	79.7638261927938	0.383957154732098	0.0285962784097882
MRPL20	238.671290593048	255.953403846104	0.100856155155804	0.728198776711279
ATAD3C	20.0040743466055	31.6340793536486	0.66118573767207	0.0424057695491943
ATAD3B	26.9437709200389	44.0752690387478	0.710017598330502	0.101164194266861
ATAD3A	44.8833235849565	56.2927659161805	0.326770025366637	0.0930244445872958
SSU72	179.006905164829	277.613207670909	0.633060966611838	0.109811961657659
MIB2	10.2084130975744	12.2095603431046	0.258252634870082	0.0689030086131759
CDK11B	48.0305562895319	28.473012248349	-0.754357389614056	0.000890129790790047
SLC35E2B	38.2647720261674	40.6740521325562	0.0880919213483539	0.748294400331956
CDK11A	17.7226430633812	10.8681419853863	-0.705488457327604	0.018960967185379
SLC35E2	8.24664129047587	9.16058877949246	0.151633672701829	0.453864511783038
NADK	44.7609660126388	60.945477444038	0.445277995042901	0.0133054977569285
GNB1	188.453608763478	172.080477415148	-0.131125989483242	0.383506521670281
TMEM52	5.53949760966744	2.51045060821521	-1.14180879970674	0.0106279182607602
FAAP20	9.29097059464475	10.5817932566363	0.187682913451962	0.655642365744573
SKI	21.1192441028402	11.3981198765632	-0.88976232785579	0.00102867316930018
MORN1	1.2075874020171	0.726135364885998	-0.733817188239273	0.0451520755446187
RER1	109.511345235339	97.5765930244027	-0.16647332268559	0.0437064254280212
PEX10	34.9221277122542	23.9282189536606	-0.545428444292161	0.00385473402672601
PANK4	32.1446073108121	23.7816207920417	-0.43472968377605	0.0110575120318331
LOC115110	4.84022865777111	15.4653276905245	1.67589029387823	0.00342485866984228
TNFRSF14	30.333105262386	51.1702145709195	0.754411085800024	0.000818980690161381
FAM213B	12.8998524577986	8.54639418151125	-0.59396680045936	0.00291273917845514
TPRG1L	110.798644520809	57.4455751865864	-0.947672555002449	0.00432452909840361
WRAP73	61.6700287946604	37.9609043113022	-0.700055159030021	0.00225555736297009
TP73	20.951161248676	7.82964787367883	-1.42001087851149	0.000766333212433831
TP73-AS1	2.9708671713322	1.69882252068829	-0.806348963917167	0.114319751784144
