To,From,type
KIF20A,GNA11,PPI
SLC25A3,GNA11,PPI
KIF14,GNA11,PPI
GART,GNA11,PPI
PIK3CA,GNA11,PPI
PTCD3,MRPS35,PPI
DAP3,MRPS35,PPI
TFAM,MRPS35,PPI
ILF3,MRPS35,PPI
RPL10,MRPS35,PPI
KIF14,MRPS35,PPI
MRTO4,MRPS35,PPI
SOD2,MRPS35,PPI
RPL9,MRPS35,PPI
MRPS27,MRPS35,PPI
GRSF1,MRPS35,PPI
MIB1,MRPS35,PPI
MRPL49,MRPS35,PPI
AURKA,MRPS35,PPI
RPL26L1,MRPS35,PPI
NOL12,MRPS35,PPI
TCF3,NDUFB4,PPI
XRCC5,TFAP4,PPI
EXOSC8,TFAP4,PPI
SP1,TFAP4,PPI
CUL1,TFAP4,PPI
SMARCE1,TFAP4,PPI
HNRNPL,TFAP4,PPI
HMGB1,TFAP4,PPI
MDM2,TFAP4,PPI
BPTF,TFAP4,PPI
FBXW11,TFAP4,PPI
CTBP1,TFAP4,PPI
TTF2,TFAP4,PPI
SKP1,TFAP4,PPI
SIN3A,TFAP4,PPI
HDAC1,TFAP4,PPI
HDAC3,TFAP4,PPI
RUNX2,TFAP4,PPI
TCF3,TFAP4,PPI
SMARCB1,TFAP4,PPI
RNF20,SNAP29,PPI
HNRNPL,SNAP29,PPI
MYC,SNAP29,PPI
COG4,SNAP29,PPI
RNF40,SNAP29,PPI
GOSR2,SNAP29,PPI
CHCHD2,SNAP29,PPI
BNIP1,SNAP29,PPI
OGT,SNAP29,PPI
ATF4,SNAP29,PPI
IGF1R,SNAP29,PPI
VPS51,SNAP29,PPI
ITSN2,SNAP29,PPI
ILF2,RTCB,PPI
ABCF1,RTCB,PPI
HNRNPH1,RTCB,PPI
DDX21,RTCB,PPI
DDX3X,RTCB,PPI
DHX9,RTCB,PPI
PABPC1,RTCB,PPI
RPL26L1,RTCB,PPI
CIT,RTCB,PPI
DNM2,RTCB,PPI
RFC4,RTCB,PPI
MTA2,RTCB,PPI
HNRNPM,RTCB,PPI
PPP1R8,RTCB,PPI
KIF20A,RTCB,PPI
KIF14,RTCB,PPI
HSPA8,MCM5,PPI
CDK2,MCM5,PPI
POU5F1B,MCM5,PPI
ILF2,MCM5,PPI
CCNA2,MCM5,PPI
KIF20A,MCM5,PPI
PRMT5,MCM5,PPI
SUMO2,MCM5,PPI
CDK6,MCM5,PPI
CIT,MCM5,PPI
ORC1,MCM5,PPI
PSMD4,MCM5,PPI
YWHAZ,MCM5,PPI
BCAS2,MCM5,PPI
CCNE2,MCM5,PPI
CHMP4B,MCM5,PPI
KIF14,MCM5,PPI
YBX1,MCM5,PPI
SMARCA5,MCM5,PPI
GSPT1,MCM5,PPI
ILF3,MCM5,PPI
EP300,MCM5,PPI
COPE,MCM5,PPI
MCM3,MCM5,PPI
CDK4,MCM5,PPI
KIF18A,MYH9,PPI
CIT,MYH9,PPI
MEN1,MYH9,PPI
NFKB2,MYH9,PPI
COPS3,MYH9,PPI
CDC42,MYH9,PPI
KIF20A,MYH9,PPI
YWHAZ,MYH9,PPI
GRB2,MYH9,PPI
ARF6,MYH9,PPI
MIB1,MYH9,PPI
PES1,MYH9,PPI
CFL1,MYH9,PPI
MTOR,MYH9,PPI
RAB6A,MYH9,PPI
PAICS,MYH9,PPI
COPS8,MYH9,PPI
ACTR10,MYH9,PPI
PTMA,MYH9,PPI
SYVN1,MYH9,PPI
KRAS,MYH9,PPI
HSP90B1,MYH9,PPI
NRAS,MYH9,PPI
PPP1R12A,MYH9,PPI
RHOA,MYH9,PPI
CHD4,MYH9,PPI
EXOC6,MYH9,PPI
ACTR8,MYH9,PPI
KIF14,MYH9,PPI
PPP2CA,MYH9,PPI
ACTR2,MYH9,PPI
PPIA,MYH9,PPI
SUMO2,MYH9,PPI
CHMP4B,MYH9,PPI
TAF1,MYH9,PPI
USP7,MYH9,PPI
CDK2,MYH9,PPI
HNRNPU,MYH9,PPI
HUWE1,MYH9,PPI
ACTG1,MYH9,PPI
RBBP5,RBX1,PPI
ERCC3,RBX1,PPI
SUMO2,RBX1,PPI
EP300,RBX1,PPI
IRS1,RBX1,PPI
RELA,RBX1,PPI
GTF2H1,RBX1,PPI
CCNA2,RBX1,PPI
SKP2,RBX1,PPI
UBE2N,RBX1,PPI
GTF2H4,RBX1,PPI
FBXO11,RBX1,PPI
COPS2,RBX1,PPI
RFC5,RBX1,PPI
MNAT1,RBX1,PPI
UBE2L3,RBX1,PPI
SYVN1,RBX1,PPI
RUNX2,RBX1,PPI
AURKA,RBX1,PPI
ING3,RBX1,PPI
CCND2,RBX1,PPI
CBFB,RBX1,PPI
CDK2,RBX1,PPI
PDCD6,RBX1,PPI
GTF2H3,RBX1,PPI
PPP2R1A,RBX1,PPI
FBXW11,RBX1,PPI
CCND1,RBX1,PPI
MDM2,RBX1,PPI
MIB1,RBX1,PPI
YWHAZ,RBX1,PPI
COPS3,RBX1,PPI
CUL1,RBX1,PPI
NFKB1,RBX1,PPI
ARIH1,RBX1,PPI
PFDN5,RBX1,PPI
GPS1,RBX1,PPI
USP7,RBX1,PPI
SKP1,RBX1,PPI
NFKBIA,RBX1,PPI
PLRG1,RBX1,PPI
RFC4,RBX1,PPI
CCNH,RBX1,PPI
COPS8,RBX1,PPI
HSPA8,RBX1,PPI
VHL,RBX1,PPI
ACTG1,RBX1,PPI
RICTOR,RBX1,PPI
PLK4,RBX1,PPI
PPP2CA,RBX1,PPI
MYC,RBX1,PPI
CTBP1,ACO2,PPI
ALDOA,ACO2,PPI
PPIAL4G,ACO2,PPI
SIN3A,ACO2,PPI
PAICS,ACO2,PPI
ENO1,ACO2,PPI
SUMO2,ACO2,PPI
HSPA8,ACO2,PPI
PPIA,ACO2,PPI
GPI,ACO2,PPI
RRP12,ACO2,PPI
SLC25A3,ACO2,PPI
PSMD4,ACO2,PPI
RPL10,ACO2,PPI
GAPDH,ACO2,PPI
SDHA,ACO2,PPI
SOD1,ACO2,PPI
TPI1,ACO2,PPI
MRPL49,ACO2,PPI
KIF14,ACO2,PPI
SOD2,ACO2,PPI
MRTO4,ACO2,PPI
DAP3,ACO2,PPI
RANBP2,ACO2,PPI
SENP6,ACO2,PPI
NME2,ACO2,PPI
NFKB1,NFKBIA,PPI
COPS2,NFKBIA,PPI
CREBBP,NFKBIA,PPI
RHOA,NFKBIA,PPI
CSNK2B,NFKBIA,PPI
NFKB2,NFKBIA,PPI
TUBB,NFKBIA,PPI
DNAJA3,NFKBIA,PPI
HSPA8,NFKBIA,PPI
COPS3,NFKBIA,PPI
RBBP6,NFKBIA,PPI
SKP1,NFKBIA,PPI
CLTC,NFKBIA,PPI
HNRNPU,NFKBIA,PPI
MYC,NFKBIA,PPI
ATF4,NFKBIA,PPI
HDAC3,NFKBIA,PPI
FBXW11,NFKBIA,PPI
PSMD13,NFKBIA,PPI
SUMO2,NFKBIA,PPI
AURKA,NFKBIA,PPI
MTOR,NFKBIA,PPI
IKBKB,NFKBIA,PPI
CUL1,NFKBIA,PPI
SUZ12,NFKBIA,PPI
RELA,NFKBIA,PPI
GPS1,NFKBIA,PPI
UBE2L3,NFKBIA,PPI
STAG2,NFKBIA,PPI
YWHAZ,NFKBIA,PPI
HDAC1,NFKBIA,PPI
PIK3CA,NFKBIA,PPI
ACTG1,NFKBIA,PPI
MLST8,NFKBIA,PPI
EP300,NFKBIA,PPI
TUBB,AURKA,PPI
PPP6C,AURKA,PPI
CDK2,AURKA,PPI
BUB1,AURKA,PPI
BCL2L1,AURKA,PPI
DHX9,AURKA,PPI
UBE2N,AURKA,PPI
KIF20A,AURKA,PPI
IKBKB,AURKA,PPI
PLK4,AURKA,PPI
CUL1,AURKA,PPI
OGT,AURKA,PPI
MED26,AURKA,PPI
SEC61B,AURKA,PPI
CCND2,AURKA,PPI
CENPA,AURKA,PPI
WAC,AURKA,PPI
MED16,AURKA,PPI
AK6,AURKA,PPI
NFKB1,AURKA,PPI
GTF3C2,AURKA,PPI
PPP1CB,AURKA,PPI
TCF3,AURKA,PPI
NFYB,AURKA,PPI
SREBF2,AURKA,PPI
SETD1A,AURKA,PPI
VHL,AURKA,PPI
SCYL1,AURKA,PPI
CCNB1,AURKA,PPI
TUBB8,AURKA,PPI
SKP1,AURKA,PPI
CIT,AURKA,PPI
MDM2,AURKA,PPI
ORC1,AURKA,PPI
CCNE2,AURKA,PPI
CENPE,AURKA,PPI
PPP1CA,AURKA,PPI
PDPK1,AURKA,PPI
KIF14,AURKA,PPI
MYC,AURKA,PPI
YY1,AURKA,PPI
CHMP4B,AURKA,PPI
RPRD1B,AURKA,PPI
KIF18A,AURKA,PPI
RELA,AURKA,PPI
DDX21,CHMP4B,PPI
SMARCE1,CHMP4B,PPI
TSG101,CHMP4B,PPI
HNRNPL,CHMP4B,PPI
TFIP11,CHMP4B,PPI
RFC4,CHMP4B,PPI
HNRNPC,CHMP4B,PPI
USP9X,CHMP4B,PPI
ATP6V0D1,CHMP4B,PPI
CSNK2B,CHMP4B,PPI
CDC42,CHMP4B,PPI
SON,CHMP4B,PPI
DHX9,CHMP4B,PPI
ILF2,CHMP4B,PPI
UBR5,CHMP4B,PPI
TAF8,CHMP4B,PPI
IPO7,CHMP4B,PPI
SDHA,CHMP4B,PPI
HMGA1,CHMP4B,PPI
KIF18A,CHMP4B,PPI
GART,CHMP4B,PPI
ALYREF,CHMP4B,PPI
USP37,CHMP4B,PPI
HNRNPM,CHMP4B,PPI
CFL1,CHMP4B,PPI
SRSF10,CHMP4B,PPI
RBMXL1,CHMP4B,PPI
RBMX2,CHMP4B,PPI
SRRM1,CHMP4B,PPI
CLTC,CHMP4B,PPI
SKP1,CHMP4B,PPI
ARF4,CHMP4B,PPI
LONP1,CHMP4B,PPI
RSL1D1,CHMP4B,PPI
RBM14,CHMP4B,PPI
BCLAF1,CHMP4B,PPI
TOP1,CHMP4B,PPI
PCBP1,CHMP4B,PPI
UPF1,CHMP4B,PPI
HNRNPU,CHMP4B,PPI
PABPC1,CHMP4B,PPI
EIF4A1,CHMP4B,PPI
HNRNPH1,CHMP4B,PPI
KPNA2,CHMP4B,PPI
RPL38,CHMP4B,PPI
DDX46,CHMP4B,PPI
EEF1G,CHMP4B,PPI
PPP1R12A,CHMP4B,PPI
RBBP4,CHMP4B,PPI
ILF3,CHMP4B,PPI
PCBP2,CHMP4B,PPI
CIT,CHMP4B,PPI
PAICS,CHMP4B,PPI
HNRNPR,CHMP4B,PPI
KIF14,CHMP4B,PPI
RACGAP1,CHMP4B,PPI
