GENE,type
ARID3A,SE_TF
ATF4,SE_TF
BCL6B,SE_TF
BHLHE41,SE_TF
CAMTA2,SE_TF
CEBPB,SE_TF
CREB3L2,SE_TF
DDIT3,SE_TF
FIZ1,SE_TF
FLI1,SE_TF
IKZF3,SE_TF
IRF2,SE_TF
IRF3,SE_TF
IRF4,SE_TF
JUNB,SE_TF
JUND,SE_TF
KLF13,SE_TF
KLF2,SE_TF
MEF2D,SE_TF
MYBL2,SE_TF
MYC,SE_TF
MZF1,SE_TF
NFE2L1,SE_TF
NFE2L2,SE_TF
NFE2L3,SE_TF
NR1D1,SE_TF
PRDM1,SE_TF
PRDM10,SE_TF
RARA,SE_TF
RFX3,SE_TF
RXRB,SE_TF
SIN3A,Other
SP3,SE_TF
TBX6,SE_TF
XBP1,SE_TF
ZBTB38,SE_TF
ZBTB7B,SE_TF
ZFP91,SE_TF
ZNF217,SE_TF
ZNF524,SE_TF
ZNF580,SE_TF
ZNF581,SE_TF
ZNF775,Other
ZNF784,Other
ARID5A,Other
IKZF1,SE_TF
KLF6,SE_TF
NR3C1,SE_TF
POU2F1,SE_TF
RUNX1,SE_TF
TCF3,SE_TF
TCF4,SE_TF
ZFP62,SE_TF
ZNF689,SE_TF
ATF5,SE_TF
CHD2,Other
FOXO3,SE_TF
KLF10,SE_TF
KLF9,SE_TF
MEF2C,SE_TF
RORA,SE_TF
SMAD7,Other
ZNF114,SE_TF
ARF1,Other
HIVEP2,SE_TF
