Symbol,Type,Cell
ABCD3,down,MM1S
ABCE1,down,MM1S
ABHD10,down,MM1S
ABHD3,down,MM1S
ACAT2,down,MM1S
ACOT7,down,MM1S
ACOT9,down,MM1S
ACSL3,down,MM1S
ADGRG5,down,MM1S
AGPS,down,MM1S
AHNAK,down,MM1S
AHSA1,down,MM1S
AIFM2,down,MM1S
AK6,down,MM1S
ALCAM,down,MM1S
ALDOA,down,MM1S
ALG6,down,MM1S
ALYREF,down,MM1S
AMPD1,down,MM1S
ANLN,down,MM1S
ANO6,down,MM1S
ANP32B,down,MM1S
ANP32E,down,MM1S
ANXA2,down,MM1S
ANXA2P2,down,MM1S
APOBEC3B,down,MM1S
APOO,down,MM1S
ARHGAP11A,down,MM1S
ARL5B,down,MM1S
ARL6IP6,down,MM1S
ARMC1,down,MM1S
ARMT1,down,MM1S
ARNTL2,down,MM1S
ASF1A,down,MM1S
ASF1B,down,MM1S
ATAD2,down,MM1S
ATAD5,down,MM1S
ATG3,down,MM1S
ATL2,down,MM1S
ATP11C,down,MM1S
ATP13A3,down,MM1S
ATP1B3,down,MM1S
ATP6V0A1,down,MM1S
ATP8B2,down,MM1S
AURKB,down,MM1S
B4GALNT1,down,MM1S
BARD1,down,MM1S
BAZ1A,down,MM1S
BCAP29,down,MM1S
BLM,down,MM1S
BRCA1,down,MM1S
BRI3BP,down,MM1S
BRIX1,down,MM1S
BTG3,down,MM1S
C11orf80,down,MM1S
C12orf29,down,MM1S
C12orf75,down,MM1S
C15orf57,down,MM1S
C16orf59,down,MM1S
C16orf87,down,MM1S
C1GALT1,down,MM1S
C1orf106,down,MM1S
C1orf112,down,MM1S
C1orf21,down,MM1S
C1orf27,down,MM1S
C3orf52,down,MM1S
C4orf46,down,MM1S
C5orf30,down,MM1S
C9orf40,down,MM1S
CACYBP,down,MM1S
CALM1,down,MM1S
CALU,down,MM1S
CAND1,down,MM1S
CASC5,down,MM1S
CASP8AP2,down,MM1S
CAV1,down,MM1S
CAV2,down,MM1S
CBFB,down,MM1S
CCDC109B,down,MM1S
CCDC138,down,MM1S
CCDC34,down,MM1S
CCDC58,down,MM1S
CCL3,down,MM1S
CCNA2,down,MM1S
CCNC,down,MM1S
CCND2,down,MM1S
CCND3,down,MM1S
CCNE1,down,MM1S
CCP110,down,MM1S
CCSAP,down,MM1S
CCT6A,down,MM1S
CD58,down,MM1S
CDC25A,down,MM1S
CDC45,down,MM1S
CDC6,down,MM1S
CDC7,down,MM1S
CDCA2,down,MM1S
CDCA3,down,MM1S
CDCA4,down,MM1S
CDCA5,down,MM1S
CDCA7,down,MM1S
CDK1,down,MM1S
CDK2,down,MM1S
CDK5RAP2,down,MM1S
CDK6,down,MM1S
CDKN3,down,MM1S
CEBPZ,down,MM1S
CENPE,down,MM1S
CENPH,down,MM1S
CENPK,down,MM1S
CENPL,down,MM1S
CENPM,down,MM1S
CENPN,down,MM1S
CENPQ,down,MM1S
CENPU,down,MM1S
CEP55,down,MM1S
CEP78,down,MM1S
CEP85,down,MM1S
CERK,down,MM1S
CERS6,down,MM1S
CETN3,down,MM1S
CHAC2,down,MM1S
CHAF1A,down,MM1S
CHAF1B,down,MM1S
CHCHD3,down,MM1S
CHEK1,down,MM1S
CHML,down,MM1S
CHST12,down,MM1S
CHUK,down,MM1S
CKAP2L,down,MM1S
CLIC1,down,MM1S
CLPTM1L,down,MM1S
CLSPN,down,MM1S
CLTC,down,MM1S
CMC2,down,MM1S
CMSS1,down,MM1S
COQ3,down,MM1S
CPOX,down,MM1S
CREG1,down,MM1S
CRY1,down,MM1S
CSE1L,down,MM1S
CTDSPL2,down,MM1S
CTHRC1,down,MM1S
CTNNAL1,down,MM1S
CTPS1,down,MM1S
CXCR3,down,MM1S
CYCS,down,MM1S
CYP26A1,down,MM1S
CYP51A1,down,MM1S
CYSTM1,down,MM1S
DBF4,down,MM1S
DCK,down,MM1S
DCTPP1,down,MM1S
DDIAS,down,MM1S
DDX21,down,MM1S
DDX39A,down,MM1S
DDX46,down,MM1S
DEK,down,MM1S
DEPDC1B,down,MM1S
DERA,down,MM1S
DESI1,down,MM1S
DHCR24,down,MM1S
DHCR7,down,MM1S
DHFR,down,MM1S
DHRS13,down,MM1S
DHX15,down,MM1S
DLAT,down,MM1S
DLGAP5,down,MM1S
DNA2,down,MM1S
DNAJA1,down,MM1S
DNAJC2,down,MM1S
DNAJC9,down,MM1S
DNMT1,down,MM1S
DNTTIP2,down,MM1S
DOCK10,down,MM1S
DOLPP1,down,MM1S
DONSON,down,MM1S
DPY19L1,down,MM1S
DPYSL2,down,MM1S
DSCC1,down,MM1S
DSG2,down,MM1S
DSN1,down,MM1S
DTL,down,MM1S
DTYMK,down,MM1S
DUSP7,down,MM1S
DUT,down,MM1S
E2F1,down,MM1S
E2F2,down,MM1S
E2F7,down,MM1S
E2F8,down,MM1S
EAF2,down,MM1S
EBP,down,MM1S
EEF1E1,down,MM1S
EIF1AX,down,MM1S
EIF4A3,down,MM1S
ELL2,down,MM1S
ELOVL4,down,MM1S
ELOVL7,down,MM1S
ENO2,down,MM1S
ENOPH1,down,MM1S
EPDR1,down,MM1S
EPT1,down,MM1S
ERCC6L,down,MM1S
ERI1,down,MM1S
ERLIN1,down,MM1S
ERO1A,down,MM1S
ESCO2,down,MM1S
ESF1,down,MM1S
ESPL1,down,MM1S
EXO1,down,MM1S
EXOC2,down,MM1S
EXOSC8,down,MM1S
EXOSC9,down,MM1S
EZH2,down,MM1S
FADS1,down,MM1S
FAM111A,down,MM1S
FAM111B,down,MM1S
FAM129A,down,MM1S
FAM136A,down,MM1S
FAM210A,down,MM1S
FAM234B,down,MM1S
FANCG,down,MM1S
FANCI,down,MM1S
FANCL,down,MM1S
FAR1,down,MM1S
FAR2,down,MM1S
FASTKD1,down,MM1S
FBXL7,down,MM1S
FBXO45,down,MM1S
FBXO5,down,MM1S
FDFT1,down,MM1S
FEM1C,down,MM1S
FEN1,down,MM1S
FEZF1-AS1,down,MM1S
FGF13,down,MM1S
FH,down,MM1S
FHL1,down,MM1S
FIGNL1,down,MM1S
FKBP4,down,MM1S
FN3KRP,down,MM1S
FRMD6,down,MM1S
FUBP1,down,MM1S
G3BP1,down,MM1S
GALE,down,MM1S
GALNT3,down,MM1S
GEMIN5,down,MM1S
GFPT1,down,MM1S
GGH,down,MM1S
GINS1,down,MM1S
GINS2,down,MM1S
GINS3,down,MM1S
GINS4,down,MM1S
GJB2,down,MM1S
GLA,down,MM1S
GMNN,down,MM1S
GMPS,down,MM1S
GNL2,down,MM1S
GNPNAT1,down,MM1S
GOLT1B,down,MM1S
GPATCH11,down,MM1S
GPN3,down,MM1S
GPRC5D,down,MM1S
GPRIN1,down,MM1S
GPT2,down,MM1S
GSG2,down,MM1S
GTF2A1,down,MM1S
GXYLT1,down,MM1S
GYG1,down,MM1S
H2AFZ,down,MM1S
HACD3,down,MM1S
HAT1,down,MM1S
HAUS1,down,MM1S
HAUS7,down,MM1S
HBD,down,MM1S
HBS1L,down,MM1S
HELLS,down,MM1S
HERC5,down,MM1S
HES6,down,MM1S
HIGD1A,down,MM1S
HILPDA,down,MM1S
HJURP,down,MM1S
HLA-DPA1,down,MM1S
HLA-DRA,down,MM1S
HLA-DRB1,down,MM1S
HLTF,down,MM1S
HMGA1,down,MM1S
HMGB1,down,MM1S
HMGB3,down,MM1S
HMGCS1,down,MM1S
HMGN1,down,MM1S
HMGN2,down,MM1S
HMGN5,down,MM1S
HN1L,down,MM1S
HNRNPA2B1,down,MM1S
HNRNPAB,down,MM1S
HNRNPD,down,MM1S
HOOK1,down,MM1S
HPRT1,down,MM1S
HSP90AA1,down,MM1S
HSPA4L,down,MM1S
HSPA8,down,MM1S
HSPA9,down,MM1S
HSPB11,down,MM1S
HSPD1,down,MM1S
HSPH1,down,MM1S
ICMT,down,MM1S
IDI1,down,MM1S
IER3IP1,down,MM1S
IGF2BP2,down,MM1S
IGFBP7,down,MM1S
IGLC5,down,MM1S
IGLL1,down,MM1S
IGLL5,down,MM1S
IGLV2-14,down,MM1S
IGLV2-18,down,MM1S
IGLV2-23,down,MM1S
IGLV2-28,down,MM1S
IGLV2-8,down,MM1S
ILKAP,down,MM1S
IMPA2,down,MM1S
