GENE_ID	locusLine	bin_1_29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17.bam
NM_199454	chr1(.):2980741-3360185	1.1894
NM_015215	chr1(.):6840383-7834766	0.6344
NM_001033581	chr1(.):2000085-2121834	1.0242
NM_012405	chr1(.):6276252-6301044	0.2393
NM_017891	chr1(.):1012197-1056736	0.4101
NM_001033582	chr1(.):2031154-2121834	0.9593
NM_002744	chr1(.):1976908-2121834	1.0354
NM_017449	chr1(.):23032330-23246823	1.084
NM_032409	chr1(.):20954947-20983004	0.1438
NM_017900	chr1(.):1304109-1315818	0.0963
NM_001014980	chr1(.):1172832-1187102	1.2469
NM_003820	chr1(.):2482804-2500267	0.3828
NM_003036	chr1(.):2155133-2246652	0.1639
NM_152492	chr1(.):3663964-3693209	1.2012
NM_001409	chr1(.):3399505-3533059	1.5176
NM_007274	chr1(.):6319331-6458826	0.0993
NM_001042663	chr1(.):6521151-6562484	1.1636
NM_181864	chr1(.):6319331-6450883	0.0916
NM_198681	chr1(.):6521151-6585069	1.095
NM_001079843	chr1(.):10691665-10861707	1.553
NM_017766	chr1(.):10702269-10861707	1.6194
NM_004958	chr1(.):11161587-11327608	0.0512
NM_020350	chr1(.):11791141-11815828	0.1186
NM_007365	chr1(.):17388255-17450948	1.1746
NM_013358	chr1(.):17526620-17577501	1.1751
NR_026567	chr1(.):17012712-17051652	2.9771
NM_018125	chr1(.):17861329-18029370	1.0747
NM_001011722	chr1(.):17902047-18029370	1.1101
NM_013945	chr1(.):18952499-19067632	1.1021
NM_001135254	chr1(.):18952499-19080360	1.0531
NR_033887	chr1(.):20681293-20760287	0.7793
NM_000478	chr1(.):21830857-21909905	1.0368
NM_014870	chr1(.):22773343-22862650	0.0765
NM_005704	chr1(.):29558027-29658325	0.9798
NM_002379	chr1(.):31179123-31201432	0.4078
NR_034182	chr1(.):31186618-31204593	0.1849
NM_000831	chr1(.):37256127-37504844	0.6565
NM_004952	chr1(.):155046347-155065014	1.6397
NM_178229	chr1(.):156490196-156547396	0.1091
NM_144702	chr1(.):156885423-156907880	1.3273
NM_138795	chr1(.):202096976-202118866	0.1306
NM_001017403	chr1(.):202158117-202293889	0.6814
NM_021636	chr1(.):202167904-202293889	0.5832
NM_001017404	chr1(.):202178282-202293889	0.5695
NM_015090	chr1(.):204792781-204996950	0.4262
NM_032129	chr1(.):896876-915484	0.4815
NM_152486	chr1(.):856120-884961	1.8653
NM_198317	chr1(.):890966-906099	0.1722
NR_027055	chr1(.):798450-817182	0.5737
NM_015658	chr1(.):874582-899679	0.4974
NR_026874	chr1(.):847952-859817	2.2444
NR_027693	chr1(.):905578-922473	1.3738
NM_001142467	chr1(.):929343-940552	1.5793
NM_005101	chr1(.):943846-954919	0.7201
NM_021170	chr1(.):929341-940552	1.5793
NM_198576	chr1(.):950502-996492	1.3436
NM_001130045	chr1(.):1104285-1138313	1.5389
NR_029639	chr1(.):1097483-1107578	1.9815
NM_016547	chr1(.):1147287-1172447	0.2767
NM_080605	chr1(.):1162628-1175420	0.5924
NM_153254	chr1(.):1110076-1126243	1.7012
NM_003327	chr1(.):1141705-1154512	1.1321
NM_004195	chr1(.):1133887-1147089	1.7238
NR_029834	chr1(.):1098242-1108332	1.9589
NR_029957	chr1(.):1099384-1109467	1.9048
NM_001127230	chr1(.):1304110-1315562	0.0985
NM_001127229	chr1(.):1304109-1315580	0.0983
NM_022834	chr1(.):1365902-1383262	1.0353
NM_030937	chr1(.):1316090-1339718	0.0943
NM_031921	chr1(.):1402163-1436582	0.1074
