#12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_ROSE/12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X12_0EWY_0229Kronos_MM1S.No.Treatment.2_H3K27Ac_hs.dm_i21.bam
#Using cutoff of 21686.6089 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X12_0EWY_0229Kronos_MM1S.No.Treatment.2_H3K27Ac_hs.dm_i21.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
8_MACS_peak_18147_lociStitched	chr3	141079083	141160634	8	67000	328177.5342	18267.424	1	1
5_MACS_peak_13974_lociStitched	chr2	99054428	99132454	5	64134	302241.5136	17914.7696	2	1
6_MACS_peak_22574_lociStitched	chr6	108878218	108975008	6	86823	199029.277	16318.794	3	1
7_MACS_peak_9342_lociStitched	chr16	11765873	11843329	7	70424	195832.0048	16745.9872	4	1
8_MACS_peak_1311_lociStitched	chr1	118136975	118219316	8	61173	225095.5917	10300.8591	5	1
1_MACS_peak_21575_lociStitched	chr6	7878028	7920367	1	42340	266375.8185	12257.1405	6	1
9_MACS_peak_7925_lociStitched	chr14	91812871	91885875	9	62826	182276.3872	8650.974	7	1
4_MACS_peak_13355_lociStitched	chr2	37526045	37586500	4	50771	227951.623	13306.1455	8	1
6_MACS_peak_15510_lociStitched	chr20	30249136	30312238	6	55790	174104.7282	13017.9426	9	1
5_MACS_peak_1598_lociStitched	chr1	154908006	154957995	5	38035	203385.2454	15576.5724	10	1
4_MACS_peak_11521_lociStitched	chr18	9101617	9158228	4	48609	158471.1723	11650.5438	11	1
5_MACS_peak_21472_lociStitched	chr6	290045	337873	5	35766	187069.6564	16122.8188	12	1
4_MACS_peak_11111_lociStitched	chr17	62132919	62187423	4	47161	112469.004	11331.3816	13	1
5_MACS_peak_22195_lociStitched	chr6	52392441	52443078	5	42828	109112.6076	10892.0187	14	1
1_MACS_peak_2776_lociStitched	chr10	11202461	11224351	1	21891	162290.271	5708.912	15	1
3_MACS_peak_4542_lociStitched	chr11	65183322	65214694	3	25158	153453.0008	8068.8784	16	1
4_MACS_peak_10633_lociStitched	chr17	34597879	34641474	4	36277	117649.8265	11469.8445	17	1
7_MACS_peak_15557_lociStitched	chr20	32398778	32452254	7	40420	93192.6252	11106.9652	18	1
2_MACS_peak_5908_lociStitched	chr12	53573107	53604040	2	25201	136940.391	7222.8555	19	1
6_MACS_peak_20912_lociStitched	chr5	131789644	131837968	6	33748	112111.68	10930.8888	20	1
5_MACS_peak_16979_lociStitched	chr3	5221718	5257157	5	33299	107011.6044	7700.8947	21	1
4_MACS_peak_20022_lociStitched	chr5	1311482	1346061	4	27526	125532.1437	7382.6165	22	1
2_MACS_peak_2167_lociStitched	chr1	203255008	203281716	2	21988	141304.0156	9219.6016	23	1
6_MACS_peak_10585_lociStitched	chr17	32690467	32727021	6	26773	125647.0642	8210.0284	24	1
5_MACS_peak_11768_lociStitched	chr18	46440302	46483076	5	38035	74751.8424	8011.5702	25	1
2_MACS_peak_16457_lociStitched	chr22	23221486	23247674	2	25167	125699.7812	4808.1168	26	1
6_MACS_peak_15489_lociStitched	chr20	25261410	25303004	6	27554	118364.0458	7095.9364	27	1
2_MACS_peak_19359_lociStitched	chr4	90204950	90230282	2	25118	122832.3348	6001.1508	28	1
3_MACS_peak_6455_lociStitched	chr12	109009148	109036353	3	24247	123494.377	6610.815	29	1
7_MACS_peak_9860_lociStitched	chr16	68269905	68320910	7	35353	81730.412	9670.548	30	1
7_MACS_peak_5409_lociStitched	chr12	7045079	7085909	7	30788	101262.483	7741.368	31	1
4_MACS_peak_10629_lociStitched	chr17	34509792	34539869	4	27032	115369.3566	8656.1606	32	1
2_MACS_peak_8080_lociStitched	chr14	106024501	106052797	2	26788	108851.8824	5124.4056	33	1
6_MACS_peak_21364_lociStitched	chr5	173310059	173357109	6	36959	55020.27	7805.595	34	1
5_MACS_peak_25479_lociStitched	chr8	120912554	120948116	5	33579	77788.3188	7201.305	35	1
6_MACS_peak_8211_lociStitched	chr15	31616886	31660608	6	32418	79307.3358	7231.6188	36	1
4_MACS_peak_12092_lociStitched	chr19	2595011	2628928	4	18711	127582.1872	9924.1142	37	1
2_MACS_peak_5250_lociStitched	chr11	128583454	128618473	2	28674	94922.5014	7728.6933	38	1
1_MACS_peak_22542_lociStitched	chr6	106530512	106555925	1	25414	104610.0732	6134.6982	39	1
1_MACS_peak_24492_lociStitched	chr7	150062646	150085026	1	22381	111765.72	6532.722	40	1
2_MACS_peak_16459_lociStitched	chr22	23269422	23286287	2	16842	121490.4005	4734.0055	41	1
3_MACS_peak_12068_lociStitched	chr19	2073555	2098539	3	17286	123068.6856	7844.976	42	1
4_MACS_peak_24040_lociStitched	chr7	102063471	102093248	4	23561	105723.2385	6294.8578	43	1
5_MACS_peak_18508_lociStitched	chr3	183224314	183261408	5	26455	101073.7312	12163.1226	44	1
3_MACS_peak_20909_lociStitched	chr5	131744809	131774311	3	23182	106522.8714	6791.3604	45	1
4_MACS_peak_10366_lociStitched	chr17	16863550	16895316	4	22436	108782.667	7188.6458	46	1
2_MACS_peak_5923_lociStitched	chr12	53845127	53876649	2	31479	69461.8792	6578.6414	47	1
4_MACS_peak_3843_lociStitched	chr10	125822026	125854590	4	29778	74633.4316	6395.5696	48	1
4_MACS_peak_11345_lociStitched	chr17	76711025	76746825	4	25224	95822.28	7478.62	49	1
1_MACS_peak_5505_lociStitched	chr12	12866204	12882037	1	15834	113728.439	3807.8365	50	1
3_MACS_peak_11035_lociStitched	chr17	56404974	56431112	3	20734	105631.4994	6973.6184	51	1
3_MACS_peak_8690_lociStitched	chr15	68568534	68599527	3	29398	68937.7299	6006.4434	52	1
2_MACS_peak_1648_lociStitched	chr1	156115376	156137324	2	21861	100603.0476	7260.3984	53	1
3_MACS_peak_1658_lociStitched	chr1	156449675	156476233	3	24942	90398.1204	8267.5054	54	1
3_MACS_peak_2781_lociStitched	chr10	11278676	11313063	3	27453	76421.6688	6633.2523	55	1
4_MACS_peak_16303_lociStitched	chr21	45552574	45580620	4	17961	108538.02	7266.7186	56	1
3_MACS_peak_24579_lociStitched	chr8	2027160	2050919	3	18776	103313.6356	4825.4529	57	1
2_MACS_peak_13175_lociStitched	chr2	20397178	20426422	2	23702	89121.09	5819.556	58	1
4_MACS_peak_1476_lociStitched	chr1	149802784	149834669	4	19506	105092.96	9026.6435	59	1
