GENE	CHROM	START	STOP	ENHANCER_ID
AIRE	chr21	45659783	45664983	1_MACS_peak_17528_lociStitched
ARF1	chr1	228268925	228279620	1_MACS_peak_2687_lociStitched
ARGFX	chr3	121303170	121313598	2_MACS_peak_19295_lociStitched
ARID3B	chr15	74827194	74846185	3_MACS_peak_9384_lociStitched
ARID5A	chr2	97190710	97220693	5_MACS_peak_14959_lociStitched
ATF3	chr1	212779676	212788839	2_MACS_peak_2513_lociStitched
ATF4	chr22	39909921	39929600	4_MACS_peak_18014_lociStitched
ATF5	chr19	50369490	50382218	3_MACS_peak_13815_lociStitched
BARX2	chr11	129233677	129249856	3_MACS_peak_5652_lociStitched
BCL6B	chr17	6915080	6926253	2_MACS_peak_10966_lociStitched
BCLAF1	chr6	136609224	136612794	1_MACS_peak_24679_lociStitched
BHLHE41	chr12	26265739	26280345	2_MACS_peak_6025_lociStitched
BHLHE41	chr12	26306093	26312280	1_MACS_peak_6027_lociStitched
CAMTA2	chr17	4842159	4854549	2_MACS_peak_10931_lociStitched
CTCF	chr16	67562639	67601619	6_MACS_peak_10524_lociStitched
CTCFL	chr20	56047512	56058450	2_MACS_peak_17109_lociStitched
DDIT3	chr12	57912601	57917836	1_MACS_peak_6448_lociStitched
E2F2	chr1	23849572	23858918	1_MACS_peak_294_lociStitched
ETV6	chr12	11901542	11920186	5_MACS_peak_5879_lociStitched
FIZ1	chr19	56145484	56168153	4_MACS_peak_13899_lociStitched
FLI1	chr11	128584853	128610119	1_MACS_peak_5643_lociStitched
FOSL2	chr2	28612540	28617302	1_MACS_peak_14231_lociStitched
FOXO3	chr6	108878216	108974516	5_MACS_peak_24402_lociStitched
FOXO3	chr6	108985725	108999007	1_MACS_peak_24407_lociStitched
FOXP2	chr7	113723742	113728496	1_MACS_peak_26153_lociStitched
FOXR1	chr11	118887846	118902011	3_MACS_peak_5517_lociStitched
GZF1	chr20	23329737	23347986	4_MACS_peak_16613_lociStitched
HES1	chr3	193817761	193823085	1_MACS_peak_20090_lociStitched
HES5	chr1	2476942	2489198	2_MACS_peak_53_lociStitched
HINFP	chr11	118963502	118979917	3_MACS_peak_5523_lociStitched
HIVEP2	chr6	143162861	143179961	4_MACS_peak_24781_lociStitched
IKZF1	chr7	50343493	50358006	2_MACS_peak_25553_lociStitched
IKZF3	chr17	37924829	37938280	1_MACS_peak_11428_lociStitched
IKZF3	chr17	38016428	38024968	1_MACS_peak_11434_lociStitched
IRF1	chr5	131789749	131837841	6_MACS_peak_22610_lociStitched
IRF2	chr4	185302120	185308438	1_MACS_peak_21529_lociStitched
IRF2	chr4	185317572	185350401	5_MACS_peak_21530_lociStitched
IRF2	chr4	185454453	185460732	1_MACS_peak_21541_lociStitched
IRF2	chr4	185366663	185381454	4_MACS_peak_21535_lociStitched
IRF3	chr19	50166021	50182952	3_MACS_peak_13806_lociStitched
IRF4	chr6	389106	404016	2_MACS_peak_23210_lociStitched
IRF5	chr7	128572530	128582346	2_MACS_peak_26302_lociStitched
JUNB	chr19	12898837	12918235	3_MACS_peak_13174_lociStitched
KLF1	chr19	13043285	13057905	2_MACS_peak_13183_lociStitched
KLF13	chr15	31616817	31660648	5_MACS_peak_8798_lociStitched
KLF13	chr15	31546648	31560846	2_MACS_peak_8796_lociStitched
KLF16	chr19	1846993	1865764	4_MACS_peak_12887_lociStitched
KLF2	chr19	16476063	16484512	2_MACS_peak_13261_lociStitched
KLF3	chr4	38307085	38322317	3_MACS_peak_20483_lociStitched
KLF6	chr10	3823775	3828982	1_MACS_peak_2920_lociStitched
KLF9	chr9	73026777	73036524	2_MACS_peak_28327_lociStitched
LHX8	chr1	75596079	75612377	2_MACS_peak_1049_lociStitched
MAZ	chr16	29815280	29837079	5_MACS_peak_10241_lociStitched
MEF2C	chr5	88111219	88131044	1_MACS_peak_22275_lociStitched
MEF2C	chr5	88170918	88187016	1_MACS_peak_22276_lociStitched
MEF2C	chr5	88565548	88569863	1_MACS_peak_22279_lociStitched
MEF2C	chr5	88635274	88641048	1_MACS_peak_22283_lociStitched
MEF2D	chr1	156449649	156476186	3_MACS_peak_1784_lociStitched
MEIS1	chr2	66659587	66667900	1_MACS_peak_14660_lociStitched
MNT	chr17	2294396	2306167	3_MACS_peak_10878_lociStitched
MXI1	chr10	111966926	111986765	4_MACS_peak_4013_lociStitched
MYBL2	chr20	42307503	42312551	1_MACS_peak_16866_lociStitched
MYC	chr14	106145177	106173012	4_MACS_peak_8665_lociStitched
MYC	chr14	106323793	106329585	1_MACS_peak_8671_lociStitched
MYNN	chr3	169480842	169492599	3_MACS_peak_19786_lociStitched
MZF1	chr19	59065221	59071956	1_MACS_peak_13957_lociStitched
NFE2L1	chr17	46124132	46134964	3_MACS_peak_11641_lociStitched
NFE2L3	chr7	26191096	26198399	1_MACS_peak_25295_lociStitched
NFIL3	chr9	94180338	94195996	2_MACS_peak_28478_lociStitched
NFIX	chr19	13043285	13057905	2_MACS_peak_13183_lociStitched
NFKB1	chr4	103532196	103542782	2_MACS_peak_20973_lociStitched
NFKB2	chr10	104153075	104160017	2_MACS_peak_3933_lociStitched
NR3C1	chr5	142774722	142785970	1_MACS_peak_22789_lociStitched
NR4A2	chr2	157188254	157200617	2_MACS_peak_15456_lociStitched
POU5F1	chr6	31157564	31172917	3_MACS_peak_23668_lociStitched
PRDM1	chr6	106530330	106555910	1_MACS_peak_24364_lociStitched
PRDM1	chr6	106609819	106617435	1_MACS_peak_24368_lociStitched
PRDM1	chr6	106585425	106595719	3_MACS_peak_24365_lociStitched
PRDM1	chr6	106439424	106446710	1_MACS_peak_24362_lociStitched
PRDM10	chr11	129871089	129874554	1_MACS_peak_5662_lociStitched
RARA	chr17	38465576	38484050	2_MACS_peak_11450_lociStitched
RARG	chr12	53573162	53604053	2_MACS_peak_6342_lociStitched
RFX3	chr9	3524263	3528199	1_MACS_peak_27926_lociStitched
RREB1	chr6	7134866	7148065	3_MACS_peak_23301_lociStitched
RUNX1	chr21	36236500	36248352	2_MACS_peak_17384_lociStitched
RUNX2	chr6	45386541	45402613	2_MACS_peak_23937_lociStitched
SIN3A	chr15	75742318	75749138	1_MACS_peak_9425_lociStitched
SMAD7	chr18	46440229	46480190	4_MACS_peak_12575_lociStitched
SOX15	chr17	7474956	7488453	2_MACS_peak_10990_lociStitched
SP3	chr2	174826823	174831569	1_MACS_peak_15621_lociStitched
STAT2	chr12	56726400	56734378	2_MACS_peak_6412_lociStitched
TCF3	chr19	1647822	1672608	5_MACS_peak_12881_lociStitched
TCF4	chr18	52930569	52938201	1_MACS_peak_12651_lociStitched
USF1	chr1	161007869	161019256	2_MACS_peak_1855_lociStitched
USF1	chr1	161028913	161041502	3_MACS_peak_1857_lociStitched
XBP1	chr22	29185817	29199729	1_MACS_peak_17771_lociStitched
XBP1	chr22	29206905	29221456	2_MACS_peak_17772_lociStitched
ZBED6	chr1	203722244	203736403	2_MACS_peak_2350_lociStitched
ZBTB32	chr19	36230721	36240239	3_MACS_peak_13480_lociStitched
ZBTB38	chr3	141079120	141159727	12_MACS_peak_19545_lociStitched
ZBTB7B	chr1	154907953	154957879	5_MACS_peak_1718_lociStitched
ZBTB7B	chr1	154970811	154979802	1_MACS_peak_1723_lociStitched
ZFP62	chr5	180228390	180249556	3_MACS_peak_23179_lociStitched
ZFP91	chr11	58339861	58348075	1_MACS_peak_4734_lociStitched
ZNF114	chr19	48824076	48838067	3_MACS_peak_13757_lociStitched
ZNF184	chr6	27439271	27448129	2_MACS_peak_23592_lociStitched
ZNF215	chr11	6946407	6957876	2_MACS_peak_4329_lociStitched
ZNF217	chr20	52194862	52215901	2_MACS_peak_17047_lociStitched
ZNF217	chr20	52267741	52278968	3_MACS_peak_17052_lociStitched
ZNF334	chr20	45172762	45191653	4_MACS_peak_16934_lociStitched
ZNF335	chr20	44598466	44601954	1_MACS_peak_16926_lociStitched
ZNF443	chr19	12588335	12596447	2_MACS_peak_13159_lociStitched
ZNF460	chr19	57790634	57796236	1_MACS_peak_13917_lociStitched
ZNF490	chr19	12713675	12726046	2_MACS_peak_13163_lociStitched
ZNF524	chr19	56145484	56168153	4_MACS_peak_13899_lociStitched
ZNF543	chr19	57790634	57796236	1_MACS_peak_13917_lociStitched
ZNF580	chr19	56145484	56168153	4_MACS_peak_13899_lociStitched
ZNF581	chr19	56145484	56168153	4_MACS_peak_13899_lociStitched
ZNF592	chr15	85277062	85293291	3_MACS_peak_9575_lociStitched
ZNF672	chr1	249111822	249121980	1_MACS_peak_2880_lociStitched
ZNF688	chr16	30537117	30547331	2_MACS_peak_10281_lociStitched
ZNF689	chr16	30661186	30672957	2_MACS_peak_10288_lociStitched
ZNF692	chr1	249111822	249121980	1_MACS_peak_2880_lociStitched
ZNF709	chr19	12588335	12596447	2_MACS_peak_13159_lociStitched
ZNF710	chr15	90573901	90591759	4_MACS_peak_9645_lociStitched
ZNF740	chr12	53573162	53604053	2_MACS_peak_6342_lociStitched
ZNF764	chr16	30537117	30547331	2_MACS_peak_10281_lociStitched
ZNF768	chr16	30537117	30547331	2_MACS_peak_10281_lociStitched
ZNF775	chr7	150062710	150084687	2_MACS_peak_26515_lociStitched
ZNF775	chr7	150100714	150113972	2_MACS_peak_26517_lociStitched
ZNF775	chr7	150125493	150133880	2_MACS_peak_26519_lociStitched
ZNF784	chr19	56145484	56168153	4_MACS_peak_13899_lociStitched
ZNF785	chr16	30537117	30547331	2_MACS_peak_10281_lociStitched
ZNF791	chr19	12713675	12726046	2_MACS_peak_13163_lociStitched
ZNF805	chr19	57790634	57796236	1_MACS_peak_13917_lociStitched
