BAM	GENE_ID	NAME	LOCUSLINE	COLOR1	COLOR2	COLOR3	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9	bin_10	bin_11	bin_12	bin_13	bin_14	bin_15	bin_16	bin_17	bin_18	bin_19	bin_20	bin_21	bin_22	bin_23	bin_24	bin_25	bin_26	bin_27	bin_28	bin_29	bin_30	bin_31	bin_32	bin_33	bin_34	bin_35	bin_36	bin_37	bin_38	bin_39	bin_40	bin_41	bin_42	bin_43	bin_44	bin_45	bin_46	bin_47	bin_48	bin_49	bin_50	bin_51	bin_52	bin_53	bin_54	bin_55	bin_56	bin_57	bin_58	bin_59	bin_60	bin_61	bin_62	bin_63	bin_64	bin_65	bin_66	bin_67	bin_68	bin_69	bin_70	bin_71	bin_72	bin_73	bin_74	bin_75	bin_76	bin_77	bin_78	bin_79	bin_80	bin_81	bin_82	bin_83	bin_84	bin_85	bin_86	bin_87	bin_88	bin_89	bin_90	bin_91	bin_92	bin_93	bin_94	bin_95	bin_96	bin_97	bin_98	bin_99	bin_100	bin_101	bin_102	bin_103	bin_104	bin_105	bin_106	bin_107	bin_108	bin_109	bin_110	bin_111	bin_112	bin_113	bin_114	bin_115	bin_116	bin_117	bin_118	bin_119	bin_120	bin_121	bin_122	bin_123	bin_124	bin_125	bin_126	bin_127	bin_128	bin_129	bin_130	bin_131	bin_132	bin_133	bin_134	bin_135	bin_136	bin_137	bin_138	bin_139	bin_140	bin_141	bin_142	bin_143	bin_144	bin_145	bin_146	bin_147	bin_148	bin_149	bin_150	bin_151	bin_152	bin_153	bin_154	bin_155	bin_156	bin_157	bin_158	bin_159	bin_160	bin_161	bin_162	bin_163	bin_164	bin_165	bin_166	bin_167	bin_168	bin_169	bin_170	bin_171	bin_172	bin_173	bin_174	bin_175	bin_176	bin_177	bin_178	bin_179	bin_180	bin_181	bin_182	bin_183	bin_184	bin_185	bin_186	bin_187	bin_188	bin_189	bin_190	bin_191	bin_192	bin_193	bin_194	bin_195	bin_196	bin_197	bin_198	bin_199	bin_200
01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam		H3K18Ac_0	chr17(+):37847100-38060047	220	220	220	0.3234	0.3786	0.3595	0.4817	0.5408	0.6013	0.6425	0.6919	1.262	1.6552	3.6912	5.5775	5.8272	4.7532	2.4088	2.1353	2.1393	1.6348	1.2416	0.783	0.6611	0.7295	0.8007	1.0517	1.1377	1.0954	0.7212	0.3608	0.3473	0.3618	0.3337	0.4705	0.6349	0.4753	0.4292	3.8673	5.8559	7.163	5.6735	0.9326	0.6187	0.7875	2.2678	4.8264	6.9887	6.9822	3.7929	1.2765	0.7086	0.7994	0.8196	0.6513	0.5426	0.6023	0.8215	1.0695	1.555	5.6803	17.5349	36.4515	50.5021	50.4667	36.3888	18.247	8.0357	3.6882	2.0578	1.2263	1.2915	1.4803	1.6822	2.0689	4.8621	9.6419	13.391	15.2853	11.6987	8.1603	10.6545	13.0944	17.1749	17.7705	12.7123	8.2435	4.3572	3.0019	2.0461	1.3329	1.2663	1.3976	1.4506	1.0343	0.6566	0.525	1.4937	4.503	8.1622	8.906	7.3662	4.5181	2.6241	3.5756	4.6297	5.2314	4.4978	1.9516	0.6204	0.6085	0.5182	0.7043	0.9954	0.7749	0.9562	0.9733	0.8958	1.0069	0.9107	1.42	4.919	10.7021	14.2725	14.2009	10.2056	5.0797	2.1655	0.9911	1.0157	1.3179	1.2796	0.8819	0.5582	0.5095	0.6668	0.9145	0.9522	1.0099	1.0797	0.8427	0.7515	0.9288	1.1319	1.9909	3.3415	3.6989	3.2036	2.3537	2.8088	3.6772	3.2941	2.551	1.3904	0.7872	0.8643	0.9129	0.8898	1.0451	1.0945	1.6301	4.7721	8.0173	10.618	14.1642	16.3324	16.5316	17.39	17.4585	15.0445	9.4415	2.2978	0.8073	0.6394	0.5459	0.6118	0.6144	0.4593	0.3188	0.3249	0.5598	0.7945	0.8319	0.6713	0.5889	0.6448	0.7641	0.8048	0.5219	0.4333	0.6351	0.8887	0.9898	0.8937	0.7167	0.7363	0.7478	0.6296	0.5719	0.4521	0.3329	0.1962	0.1497
02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam		H3K18Ac_0	chr17(+):37847100-38060047	240	240	240	0.2015	0.3637	0.4663	0.409	0.4312	0.6808	0.6882	0.4475	0.5961	1.5034	3.4879	5.2968	6.0245	4.8974	2.7313	2.297	1.9599	1.1284	0.8024	0.6658	0.6461	0.8245	0.8494	0.7102	0.6123	0.6137	0.6566	0.5242	0.5432	0.7031	0.6172	0.5009	0.478	0.4868	0.6405	3.3636	5.3441	5.4182	3.9048	0.873	0.6096	1.0989	2.3628	4.7488	6.7117	6.5575	3.5738	1.458	0.7908	0.5336	0.7635	0.9307	0.8737	0.8255	1.1438	1.2382	1.1765	4.8757	16.6853	36.5404	48.7691	48.622	35.8182	16.827	7.1333	3.4722	1.7479	1.1954	1.5583	1.806	1.872	2.1029	4.5683	9.1764	13.6148	16.481	12.9842	8.2845	9.1969	11.3466	15.5827	15.9337	12.6681	8.9116	4.8693	4.0665	3.2793	2.15	1.4616	1.3387	1.2996	0.9475	0.6022	0.854	2.246	4.7363	8.5452	9.6504	7.5443	5.4019	3.4249	3.6288	5.5039	6.5846	5.0424	2.0853	0.8624	1.0403	1.1145	0.9984	1.0587	1.146	1.319	1.0193	0.7331	0.7531	0.7822	1.2485	5.1846	9.875	13.3619	13.7566	9.563	5.1122	2.3337	1.5283	1.278	1.2091	0.9631	0.5954	0.358	0.3834	0.6447	0.9326	0.9572	1.0124	1.3058	1.3424	1.0534	0.9712	0.9766	2.1117	3.4115	3.6669	3.4252	2.2167	2.3555	3.1245	3.0111	2.4732	1.5346	1.0391	1.2371	1.2326	1.1132	1.158	0.9202	1.4359	3.8482	6.4376	9.4633	13.3688	15.2293	16.3759	19.3712	18.8493	14.946	10.0329	2.9805	0.7754	0.5101	0.496	0.7784	0.8374	0.7054	0.7199	0.5281	0.5019	0.4687	0.3742	0.4839	0.4708	0.7699	1.0718	0.864	0.5579	0.6356	0.7504	0.7555	0.6043	0.3771	0.2156	0.2401	0.5156	0.5757	0.4649	0.4941	0.5871	0.4823	0.2304
03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05.bam		H3K18Ac_1	chr17(+):37847100-38060047	90	90	90	0.2882	0.3226	0.3811	0.4072	0.3011	0.4563	0.5485	0.418	0.599	0.7997	1.8974	2.7374	2.1332	2.2754	2.4596	1.9147	1.3328	0.8914	0.837	0.8539	0.7705	0.6744	0.6226	0.6756	0.752	0.6091	0.4591	0.5608	0.6059	0.4048	0.3407	0.6042	0.8986	0.6564	0.4284	4.2738	6.5997	7.2053	5.5847	0.9054	0.6105	0.5241	1.159	3.2301	4.0986	4.1574	2.792	0.735	0.3476	0.4255	0.4473	0.4601	0.439	0.4964	0.6948	0.7725	0.8579	5.914	24.5311	49.762	65.4957	61.34	39.5062	19.2342	8.7421	2.9265	1.1624	1.1021	1.1146	0.9329	1.0267	1.1729	2.7179	6.9054	9.5083	9.8911	7.1825	4.137	6.2748	8.3591	11.2449	11.4208	8.4288	5.5894	2.7171	2.1886	1.7115	1.4141	1.0531	0.7641	0.7471	0.6353	0.5574	0.5	0.8074	2.1334	4.3117	5.0719	4.1665	2.7549	1.8695	2.7386	3.7308	3.8308	2.8716	1.2295	0.7185	0.9513	0.9345	0.8464	0.8795	0.7931	0.7611	0.7543	0.7407	0.6757	0.5117	0.7591	2.8871	7.3625	10.351	10.0999	7.0232	2.9794	0.9756	0.6888	0.8722	0.7989	0.5936	0.4551	0.5287	0.57	0.56	0.7989	0.7713	0.7668	0.7631	0.6066	0.6287	0.7865	0.9815	1.8893	2.8672	2.8138	2.1489	1.3699	1.5291	1.8513	1.975	1.3662	0.5172	0.3121	0.5538	0.563	0.3974	0.5234	0.4989	0.5987	2.1695	4.8098	8.1834	13.636	17.8912	21.9642	26.6183	24.3148	20.1297	13.1494	2.5435	0.5242	0.482	0.5497	0.534	0.3498	0.3428	0.3249	0.3846	0.2883	0.2439	0.5323	0.7436	0.72	0.6135	0.6931	0.7308	0.6825	0.68	0.7569	0.8371	0.6044	0.5681	0.479	0.6227	1.0304	0.7967	0.482	0.5276	0.4551	0.5146	0.5231
04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam		H3K18Ac_1	chr17(+):37847100-38060047	65	65	65	0.2408	0.2819	0.4549	0.4728	0.4241	0.699	0.8728	0.6955	0.5439	0.6083	1.8999	2.9123	2.9248	2.532	1.429	1.0363	1.0554	0.9342	0.9543	0.7345	0.5179	0.4273	0.3685	0.5624	0.7304	0.8151	0.6906	0.4779	0.4353	0.4971	0.5348	0.6756	0.7257	0.9571	0.9382	3.8249	5.5263	5.7909	4.568	0.7392	0.5048	0.641	1.4172	3.3327	4.3191	3.8483	2.2753	1.0418	0.7658	0.7352	0.7226	0.8199	0.7399	0.6035	0.719	0.9855	1.2212	6.1431	22.5212	47.0219	61.7663	58.4264	38.8565	18.2364	8.4414	3.4868	1.4461	0.7486	0.9347	1.1806	1.0372	1.152	3.2428	7.6225	9.9093	9.4856	6.6057	4.2502	6.3419	7.6932	8.9769	8.614	6.2813	4.6074	2.6425	1.8186	1.3147	0.8575	0.7528	0.9326	0.9847	0.8462	0.6859	0.8053	1.2547	2.3409	4.2144	4.3427	2.9195	1.7349	1.2821	2.0598	3.1625	3.4472	2.8603	1.4417	0.7407	0.8173	0.7219	0.7505	0.9453	0.9272	0.6414	0.4697	0.4988	0.5201	0.4769	0.6025	3.028	7.1814	9.3808	9.1536	5.9939	2.6211	1.298	0.9384	1.0496	0.9777	0.969	1.0001	0.846	0.6692	0.6085	0.7631	0.8316	0.8438	0.9389	0.9511	0.7715	0.6824	0.7957	1.259	2.1971	2.7248	2.5417	1.3546	1.1402	2.0763	2.0365	1.5082	0.8765	0.5758	0.5975	0.617	0.604	0.547	0.6106	0.9024	2.2086	4.4648	7.369	13.2478	15.9035	17.8085	22.8058	21.891	19.9514	13.3781	2.6537	0.6352	0.6786	0.7616	0.6821	0.6459	0.6801	0.5531	0.2635	0.4798	0.7176	0.6316	0.5589	0.6211	0.9418	0.9314	0.5788	0.5887	0.7331	0.7957	0.8615	0.7022	0.8348	0.9652	0.6461	0.4573	0.5017	0.4328	0.5101	0.7621	0.5653	0.2857
05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam		H3K18Ac_3	chr17(+):37847100-38060047	90	90	90	0.1804	0.3764	0.4909	0.4453	0.481	0.5243	0.4771	0.4646	0.8335	0.9959	2.0931	3.1893	3.3631	2.8539	1.6908	1.322	0.9056	0.5414	0.5877	0.6212	0.4755	0.3337	0.4447	0.5049	0.4462	0.6224	0.5346	0.4934	0.4936	0.4133	0.3492	0.2668	0.3071	0.4696	0.691	4.4164	6.6691	8.4201	7.0635	1.1215	0.3221	0.4173	1.9284	5.0284	7.5091	7.4936	4.8276	2.0893	0.7612	0.5365	0.4197	0.3064	0.2414	0.3587	0.6614	0.8288	0.9426	8.018	25.2962	47.2094	62.0245	57.5569	35.9637	15.1677	6.4227	2.7485	1.5097	1.2827	1.1301	1.2638	1.6596	2.3808	4.5354	8.8739	11.8962	12.6838	9.6498	6.8309	11.3452	15.81	22.297	22.6215	15.1479	10.272	4.6395	2.2383	1.4857	1.1724	1.2479	1.2348	1.1102	0.8958	0.8843	0.9316	2.0123	5.065	8.2537	8.7061	6.6423	3.5521	1.872	2.8887	4.2816	4.4186	3.7831	1.9048	0.7193	0.7498	0.7536	0.5178	0.5657	0.7214	0.8568	0.7237	0.7323	0.9558	1.3358	1.4799	3.8229	9.2607	13.8718	14.1411	8.9699	3.8909	1.6239	0.99	0.9844	0.8262	0.6004	0.6831	0.7794	0.6467	0.5821	0.8	1.0607	1.2777	1.1188	0.642	0.6798	1.0559	1.3411	2.7885	4.8647	5.8145	4.808	2.3812	2.4844	4.2859	4.675	3.6598	1.8959	0.7337	0.5781	0.5421	0.6087	0.6202	0.5824	1.5128	5.5968	10.7275	15.8516	20.9032	21.2648	21.9745	23.5148	20.172	17.8804	12.4069	2.5569	0.7617	0.9064	0.8418	0.5446	0.5746	0.588	0.3927	0.4421	0.4581	0.2858	0.3427	0.5262	0.5725	0.6603	0.7318	0.5919	0.4717	0.7152	0.7923	0.5689	0.4005	0.2784	0.2885	0.5203	0.7226	0.7556	0.6095	0.4184	0.4552	0.6562	0.4736
06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13.bam		H3K18Ac_3	chr17(+):37847100-38060047	65	65	65	0.172	0.2621	0.2934	0.2841	0.3408	0.5655	0.4929	0.3134	0.4466	0.7863	2.1964	3.3723	3.5889	3.1387	1.8426	1.3677	1.0403	0.5279	0.4356	0.509	0.4091	0.3555	0.3611	0.3299	0.4575	0.6149	0.5171	0.4378	0.4615	0.5701	0.664	0.5799	0.533	0.5521	0.5182	4.0002	6.3524	6.9296	5.4626	1.1831	0.4796	0.4479	1.5461	4.4056	6.0863	6.1286	3.9567	1.2648	0.3698	0.3406	0.5069	0.4123	0.3018	0.3487	0.6777	0.8767	0.8446	6.4439	22.747	48.7262	66.1487	60.7741	39.2983	17.1612	6.9352	3.1666	1.8729	1.5284	1.3381	1.1369	1.2289	1.5277	4.333	10.109	13.8685	15.8462	12.0627	7.5678	12.618	18.8273	26.5013	26.9145	19.037	12.6422	6.1764	3.1733	2.1615	1.7723	1.5727	1.1214	0.7957	0.6266	0.5452	0.6306	1.8397	5.0706	8.8332	10.1715	8.2682	4.7	2.7255	4.357	7.0474	7.7893	5.804	2.4816	1.1266	0.912	0.6367	0.7337	1.1703	1.0524	0.9444	0.989	0.7452	0.6515	0.6354	0.8086	4.6111	11.4862	15.7459	16.0589	10.8382	4.3115	1.6283	1.3193	1.3514	1.22	0.7935	0.3434	0.3899	0.5394	0.5663	0.8101	0.9982	1.1944	0.9144	0.5062	0.5666	0.8403	1.0629	2.7837	5.5811	5.817	4.8776	3.1691	2.6514	3.8013	4.3616	3.3558	1.6347	1.1553	1.4392	1.3602	0.9136	1.1113	1.234	1.3908	6.3873	12.5914	17.4773	23.5298	23.669	23.2915	25.8623	22.6903	18.1318	11.6068	2.298	0.5177	0.4012	0.5281	0.6062	0.3052	0.2741	0.5906	0.6688	0.4965	0.4182	0.4562	0.3935	0.4375	0.5221	0.5337	0.7009	0.7155	0.5933	0.498	0.6428	0.7277	0.4351	0.2957	0.3619	0.6622	0.5808	0.3202	0.4323	0.4788	0.4681	0.422
07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam		H3K18Ac_6	chr17(+):37847100-38060047	90	90	90	0.312	0.2948	0.3888	0.4952	0.3514	0.4537	0.652	0.535	0.5012	0.6517	2.2359	3.7742	3.8082	3.1054	1.8148	1.1027	0.8732	0.5717	0.3669	0.3961	0.4855	0.3674	0.2686	0.2386	0.4535	0.7163	0.765	0.7491	0.8132	0.5965	0.2248	0.4239	0.6438	0.679	0.7672	4.403	6.6821	7.332	5.6554	0.8769	0.331	0.4765	2.2331	6.3458	8.8535	8.8055	5.3377	1.5936	0.668	0.5321	0.4489	0.4698	0.6446	0.5714	0.6435	0.7694	0.8256	7.4043	27.5335	58.1737	77.5979	73.2268	46.2853	17.3886	6.3292	2.7431	1.2497	0.9761	0.986	0.7808	1.0769	1.9878	4.9472	10.7981	14.437	15.0298	10.6934	6.8254	14.4902	22.8904	33.36	34.6647	25.5203	16.2446	6.3808	4.0097	2.7663	1.8744	1.6575	1.1844	1.0258	0.8965	0.9037	1.2197	2.5348	6.0275	10.5862	11.7774	8.4247	3.8174	1.8328	3.8681	6.1202	6.2533	4.9572	2.124	0.8125	0.7486	0.7932	0.7352	0.6462	0.8862	0.8608	0.5544	0.6132	0.6595	0.6044	0.9405	4.3295	10.7733	14.851	14.7013	9.1642	3.7234	1.9408	1.2278	0.8193	0.6815	0.8763	0.6758	0.5585	0.5388	0.5564	0.8032	0.9907	0.897	0.6643	0.5911	0.5609	0.5967	0.649	2.1498	4.7437	4.8761	4.0894	2.5003	1.9772	2.9303	2.6612	2.0458	1.2232	0.754	0.8916	1.0288	0.8738	0.808	0.8426	1.352	6.224	12.2278	17.1328	23.6302	25.0249	26.3732	29.5855	25.8179	20.6286	12.9128	2.5473	0.8419	0.841	0.7974	0.6834	0.4587	0.2839	0.2313	0.3662	0.5602	0.5673	0.603	0.5039	0.3635	0.5452	0.6076	0.5378	0.53	0.4937	0.534	0.6141	0.4364	0.271	0.3364	0.5075	0.6728	0.7878	0.6307	0.3488	0.5881	0.715	0.4542
08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16.bam		H3K18Ac_6	chr17(+):37847100-38060047	65	65	65	0.2903	0.5014	0.5072	0.3404	0.426	0.5049	0.3601	0.331	0.3978	0.5201	2.004	3.1368	3.3249	3.3263	2.1583	1.4246	1.072	0.7485	0.5821	0.693	0.7763	0.5302	0.366	0.4199	0.5292	0.5357	0.5874	0.6084	0.5775	0.4952	0.3652	0.2643	0.2202	0.2807	0.5996	3.9684	5.7655	6.2023	5.0025	1.1705	0.7143	0.7155	2.435	6.5163	8.9286	8.4406	4.9686	1.5885	0.5181	0.2917	0.2476	0.2832	0.3317	0.4444	0.6814	0.8231	1.1281	7.64	29.3027	63.0365	83.0763	76.6081	48.0283	19.2827	7.243	2.5673	1.3627	1.2687	1.2529	1.0081	1.0898	1.6219	4.9026	12.5307	16.6325	16.6018	12.1572	8.3751	15.6843	23.5315	32.0738	34.3339	26.4932	17.0322	7.5283	4.7861	2.8649	1.1501	1.2249	1.1305	0.6439	0.5306	0.6119	0.7789	2.9965	7.4005	11.8631	12.5153	8.8507	4.1843	2.031	3.4557	5.7003	6.8366	5.5167	2.2496	0.7979	0.7984	0.7464	0.6782	0.7777	0.9897	1.0804	0.8453	0.7498	0.824	0.9032	0.9545	4.8265	12.9435	17.6974	16.2512	10.3079	4.7665	1.993	0.9358	0.8044	0.681	0.6973	0.9208	0.9751	0.7849	0.5819	0.9933	1.2541	1.3652	1.1568	0.7625	0.7363	0.8185	0.8965	2.1035	4.8873	6.2276	5.3971	2.8661	2.0685	3.3887	3.836	2.7236	1.1532	0.6771	0.8443	0.9022	0.8324	0.8521	0.9647	1.6263	6.8739	12.7612	18.5982	26.2771	27.4745	27.9678	32.3841	28.283	22.7025	14.9264	2.7218	0.9594	0.7642	0.6318	0.5511	0.5383	0.3893	0.26	0.5657	0.6756	0.5985	0.648	0.4105	0.2618	0.3745	0.45	0.5878	0.5108	0.4538	0.6634	0.7184	0.697	0.6595	0.6536	0.6123	0.5673	0.5023	0.4666	0.4449	0.4121	0.346	0.1529
09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam		H3K18Ac_24	chr17(+):37847100-38060047	90	90	90	0.0499	0.0707	0.1182	0.246	0.3071	0.4123	0.4523	0.4766	0.3998	0.3435	1.9931	3.3364	4.2498	3.9586	1.8875	1.1194	0.939	0.6215	0.3967	0.4911	0.5474	0.4538	0.3377	0.4261	0.4291	0.5207	0.6359	0.752	0.5916	0.455	0.4788	0.4374	0.4784	0.4552	0.7042	5.0375	7.3394	8.0232	6.3117	0.9739	0.5293	0.5861	2.0082	4.747	6.5574	6.6616	4.4494	2.002	0.7894	0.6619	0.6748	0.3746	0.2648	0.2503	0.534	0.8281	0.9528	8.009	29.3785	70.5209	97.9425	90.1999	61.6635	29.3166	11.554	5.1398	2.6154	1.5657	1.4227	1.5639	1.9412	2.7433	6.6656	13.2296	17.7128	18.3051	13.6133	9.9927	17.0326	28.4664	43.9522	47.5486	36.8261	25.0412	11.3777	6.5034	4.5865	2.7339	2.1427	1.4241	0.933	0.9576	0.8383	1.0354	3.6507	7.9475	12.7721	14.181	11.4142	6.7065	3.5149	6.5617	10.1347	10.8156	8.5827	3.2819	1.1547	1.1932	0.9218	0.8062	0.868	0.9604	0.939	0.7228	0.7389	0.9204	1.2447	2.1151	8.3225	21.0427	31.5864	31.3476	19.4466	7.7669	2.4854	1.1993	0.8814	0.6462	0.6075	0.8561	0.8123	0.5711	0.6769	0.8459	1.263	1.3318	1.1081	1.1052	0.8826	0.7436	0.9421	2.2895	4.4649	5.5731	4.8258	2.4517	2.399	4.2543	5.069	3.8144	1.5411	0.662	0.7266	0.7654	0.4952	0.5532	0.7604	1.6305	6.1677	13.9953	22.3021	31.3961	34.292	32.7679	33.4757	27.9066	20.8787	13.2411	2.606	0.5316	0.3174	0.5385	0.5065	0.5072	0.5692	0.4795	0.3907	0.4046	0.5376	0.5595	0.4315	0.2958	0.5042	0.6208	0.6355	0.7409	0.5883	0.4392	0.597	0.5306	0.3546	0.5356	0.4691	0.3568	0.2897	0.1458	0.2192	0.3846	0.4405	0.3445
10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam		H3K18Ac_24	chr17(+):37847100-38060047	65	65	65	0.2192	0.4436	0.5018	0.3608	0.1738	0.1687	0.3091	0.4618	0.6417	0.8018	2.4273	3.9631	3.967	3.0779	1.5926	1.2761	1.0776	0.623	0.6169	0.5212	0.3183	0.3307	0.4822	0.504	0.3446	0.2961	0.603	0.7419	0.4264	0.2123	0.2195	0.392	0.5287	0.3985	0.4314	5.0297	7.9731	9.3496	7.5915	1.2783	0.5411	0.7247	2.2164	4.8582	7.3231	7.4832	4.2313	1.5795	0.5627	0.3596	0.2876	0.3839	0.6326	0.7872	0.8892	1.1381	0.9679	8.1661	29.6788	67.3987	97.0597	94.5327	65.8231	32.2669	13.0517	5.1835	2.1406	1.4853	1.4126	1.7842	2.2149	2.2498	5.4443	12.4528	17.349	18.8789	14.638	10.9505	19.3576	29.4387	44.0844	49.1435	37.8581	24.9723	11.6346	7.199	4.716	2.2665	1.8255	1.5982	1.0582	0.8411	0.7705	1.1535	3.9711	9.3676	14.9683	14.6855	10.7454	6.6101	3.8947	6.625	10.3817	10.5928	7.902	3.553	1.3149	1.3831	1.2435	1.0156	1.033	1.144	1.1016	0.8428	0.6935	0.6477	0.7661	1.3702	8.2426	22.0461	31.879	31.8047	20.9044	8.7118	2.6376	1.0815	1.1646	1.1323	0.8152	0.5576	0.3967	0.3289	0.5578	0.8812	0.852	0.8403	0.7731	0.8051	0.7702	0.5848	0.8809	2.4995	4.6851	5.6637	4.7681	2.6786	2.7845	4.1057	4.6602	3.382	1.3693	0.8133	0.95	0.8608	0.9175	0.9875	1.0642	2.2788	7.6618	14.5049	21.6019	29.0506	31.3533	32.1154	30.8718	24.4728	20.8849	13.9499	2.5231	0.7059	0.6067	0.6116	0.5448	0.3707	0.3559	0.4394	0.4606	0.451	0.4737	0.4444	0.3818	0.3243	0.3616	0.3508	0.3516	0.5458	0.831	0.6656	0.3951	0.4289	0.3337	0.2186	0.2609	0.5043	0.6906	0.5853	0.4887	0.4614	0.3461	0.2175
