GENE_ID	locusLine	bin_1_MM24.jin.bam
NM_021222	chr1(.):150975972-151013189	0.3566
NM_032236	chr1(.):21999791-22114688	0.3723
NM_021642	chr1(.):161470204-161494360	0.3403
NM_201569	chr1(.):183436505-183528328	0.3612
NM_001198993	chr1(.):1677670-1715297	0.8458
NM_023018	chr1(.):1677670-1714909	0.8531
NM_033487	chr1(.):1566099-1660775	0.2996
NM_001198994	chr1(.):1677670-1716508	0.8214
NM_003820	chr1(.):2482804-2500267	0.5526
NM_012102	chr1(.):8407463-8882699	0.2417
NM_015001	chr1(.):16169358-16271950	0.5058
NM_001113348	chr1(.):21538739-21677034	0.308
NM_001013693	chr1(.):22133757-22156714	0.2137
NM_020379	chr1(.):25938958-26116258	0.1522
NM_002379	chr1(.):31179123-31201432	0.1864
NR_034182	chr1(.):31186618-31204593	0.2332
NM_032017	chr1(.):36800224-36856485	0.4376
NM_174964	chr1(.):44168217-44401831	0.1988
NM_001981	chr1(.):51814934-51989995	0.3429
NM_002227	chr1(.):65293905-65437187	0.3188
NM_002600	chr1(.):66253855-66845262	0.2409
NM_001037341	chr1(.):66253192-66845262	0.2407
NM_001037340	chr1(.):66453389-66845262	0.2922
NM_024763	chr1(.):67273571-67395570	0.0859
NM_207014	chr1(.):67298281-67395570	0.0991
NM_153713	chr1(.):145472084-145504091	0.352
NM_001002812	chr1(.):144885590-145000022	0.5772
NM_014644	chr1(.):144846426-145000022	0.4567
NM_001198834	chr1(.):144846423-145000033	0.4566
NM_001198832	chr1(.):144846423-145044992	0.434
NM_207168	chr1(.):150594521-150607098	0.808
NM_207042	chr1(.):150589598-150607098	0.8412
NM_207044	chr1(.):150590753-150607098	0.8912
NM_020699	chr1(.):153772202-153900451	0.2177
NM_020524	chr1(.):154911558-154933567	0.6279
NM_181359	chr1(.):154372668-154445188	0.846
NM_002249	chr1(.):154674914-154847754	0.2669
NM_170782	chr1(.):154674914-154837338	0.2698
NM_005572	chr1(.):156079460-156112657	0.24
NM_005973	chr1(.):156732273-156775609	0.4753
NM_012394	chr1(.):161065345-161092866	0.3434
NM_052862	chr1(.):167594473-167680486	0.3344
NM_014412	chr1(.):174963891-174986163	1.1344
NM_014857	chr1(.):174123633-174932327	0.1231
NM_001007214	chr1(.):174963570-174986163	1.1192
NM_145034	chr1(.):179804101-179851941	0.3635
NM_022347	chr1(.):179823164-179851941	0.572
NM_002293	chr1(.):182987594-183119727	0.4753
NM_025191	chr1(.):184654624-184729041	0.6172
NM_144977	chr1(.):197516384-197749623	0.2432
NM_001195215	chr1(.):197468878-197749623	0.2142
NM_138795	chr1(.):202096976-202118866	0.3539
NM_001017403	chr1(.):202158117-202293889	0.0432
NM_021636	chr1(.):202167904-202293889	0.0423
NM_014935	chr1(.):204182980-204334044	0.0691
NM_201630	chr1(.):204581302-204659597	0.4006
NM_006338	chr1(.):204581302-204659481	0.4008
NM_182663	chr1(.):206675878-206767616	0.8641
NM_182838	chr1(.):1658680-1682431	0.6809
NM_024011	chr1(.):1629169-1660791	0.2098
NM_001198995	chr1(.):1677670-1695081	0.2866
NM_014638	chr1(.):2402753-2441964	0.0676
NM_001010926	chr1(.):2455183-2466684	0.677
NR_026927	chr1(.):2476358-2489284	2.2234
NM_018216	chr1(.):2434974-2463035	0.3064
NM_001195741	chr1(.):2513188-2527908	0.5785
NR_036638	chr1(.):2512898-2527908	0.5727
NM_001089591	chr1(.):16128656-16139194	0.0484
NR_024279	chr1(.):16155709-16179642	2.77
NM_014675	chr1(.):17243444-17304474	0.0945
NM_001397	chr1(.):21538739-21621982	0.3068
NM_001113347	chr1(.):21538739-21611183	0.12
NM_001113349	chr1(.):21538739-21621766	0.3029
NM_001032730	chr1(.):22049338-22114688	0.5384
NM_001031680	chr1(.):25221001-25296501	0.383
NM_004350	chr1(.):25221001-25261770	0.5978
NM_015627	chr1(.):25865075-25900377	0.7845
NR_026685	chr1(.):26432655-26457026	0.9411
NM_152835	chr1(.):26433267-26457026	0.9628
NM_032588	chr1(.):26372797-26399121	0.0294
NR_023345	chr1(.):26498981-26521375	0.1858
NM_024869	chr1(.):26480510-26494119	0.163
NM_015871	chr1(.):26491387-26502364	0.2641
NM_006314	chr1(.):26498980-26521375	0.1858
NM_017837	chr1(.):27109485-27129887	0.9639
NM_006015	chr1(.):27017521-27113601	0.652
NM_018066	chr1(.):27200872-27221869	0.2743
NM_032283	chr1(.):27148200-27187211	0.7047
NM_006142	chr1(.):27184632-27195947	0.4548
NM_014280	chr1(.):28521789-28564542	0.256
NM_016311	chr1(.):28557610-28569611	0.7159
NM_001164721	chr1(.):28468676-28525447	0.1446
NM_001164722	chr1(.):28468676-28525437	0.1444
NM_031459	chr1(.):28581005-28614002	0.1613
NM_006762	chr1(.):31200314-31235683	0.6509
NM_005202	chr1(.):36555843-36570850	0.1028
NM_018067	chr1(.):36616802-36651441	0.7588
NM_014408	chr1(.):36597172-36620067	0.5601
NM_206837	chr1(.):36888900-36921086	0.0575
NM_032881	chr1(.):36854030-36868493	0.8177
NM_022756	chr1(.):37953175-37985364	0.1749
NM_025079	chr1(.):37935118-37954978	1.8775
NR_002983	chr1(.):40028045-40038182	0.6896
NR_003929	chr1(.):39982951-40030370	0.5935
NM_001135653	chr1(.):40021484-40047521	1.0375
NM_001198979	chr1(.):40854016-40893998	0.1372
NM_001198978	chr1(.):40835304-40893998	0.4417
NM_001198980	chr1(.):40857471-40893998	0.1112
NM_022733	chr1(.):40834377-40893998	0.4353
NM_006516	chr1(.):43386045-43429847	0.6051
NR_033967	chr1(.):43419719-43454029	0.2891
NM_002228	chr1(.):59241462-59254785	1.6041
NR_034015	chr1(.):59245822-59370384	0.3526
NR_037443	chr1(.):65518437-65528525	0.16
NR_029516	chr1(.):65519116-65529191	0.1894
NM_001037339	chr1(.):66792792-66845262	1.0475
NM_001077702	chr1(.):67385577-67459302	0.4423
NM_001077704	chr1(.):67390925-67459302	0.4472
NM_017709	chr1(.):118143603-118176011	0.9971
NM_001123068	chr1(.):143762143-143772881	0.043
NR_027469	chr1(.):143713512-143749587	0.7688
NR_027468	chr1(.):143713512-143749457	0.7714
NM_001002811	chr1(.):144885590-144937032	0.7931
NM_032305	chr1(.):145451235-145475387	0.9941
NM_202004	chr1(.):145408190-145422545	0.0743
NM_006472	chr1(.):145433461-145447628	1.9167
NM_001039888	chr1(.):145465507-145480647	0.7707
NM_005105	chr1(.):145502637-145516444	0.5624
NR_027468	chr1(.):147901021-147936980	0.6168
NM_001161334	chr1(.):149749244-149788928	0.1629
NM_001034077	chr1(.):149799220-149809616	0.3642
NM_001005464	chr1(.):149807258-149817765	0.7753
NM_001040874	chr1(.):149808784-149819318	0.7944
NM_001123375	chr1(.):149779779-149790236	0.2904
NM_000566	chr1(.):149749249-149769074	0.1491
NM_016074	chr1(.):149866154-149877348	0.1087
NM_003528	chr1(.):149851009-149863232	0.801
NM_003517	chr1(.):149853524-149863961	0.9172
NM_175065	chr1(.):149854018-149864466	0.9042
NR_036461	chr1(.):149816758-149827340	0.7753
NM_001040874	chr1(.):149817627-149828161	0.7265
NM_001005464	chr1(.):149819180-149829687	0.7049
NM_001034077	chr1(.):149827329-149837725	0.3333
NM_019032	chr1(.):150516897-150538412	1.2459
NM_207046	chr1(.):150589598-150606609	0.8634
NM_207047	chr1(.):150590753-150606609	0.9166
NR_036211	chr1(.):150519404-150529490	0.1203
NM_001197320	chr1(.):150542026-150557214	2.3319
NM_001163258	chr1(.):150964300-150985854	0.5919
NM_001163260	chr1(.):150964300-150984273	0.6316
NM_001040217	chr1(.):150964300-150984385	0.6283
NM_020239	chr1(.):151018446-151037125	1.2827
NM_138278	chr1(.):151004028-151025076	0.4171
NM_006818	chr1(.):151027150-151045973	1.315
NM_017860	chr1(.):151015258-151028871	0.7711
NM_144618	chr1(.):151038079-151096007	0.1966
NM_014437	chr1(.):153926587-153945188	1.0687
NM_130898	chr1(.):153935396-153951832	1.1392
NM_181715	chr1(.):153915151-153936043	0.8064
NM_006694	chr1(.):153941744-153955451	0.556
NM_002870	chr1(.):153949127-153963806	0.79
NM_014856	chr1(.):153896976-153924154	0.3013
NM_001030	chr1(.):153958238-153969631	0.7112
NM_020452	chr1(.):154295275-154328780	0.6951
NM_001005855	chr1(.):154293035-154315322	0.7226
NM_080429	chr1(.):154288591-154302801	0.8435
NM_006556	chr1(.):154892207-154914484	1.0562
NM_001130041	chr1(.):154929773-154951959	0.8966
NM_001130040	chr1(.):154929773-154948223	0.8755
NM_201398	chr1(.):154950769-154970587	0.2646
NM_015872	chr1(.):154970111-154995999	0.7998
NM_001184892	chr1(.):154950769-154966488	0.2708
NM_018655	chr1(.):154961061-154971791	0.2506
NM_001143687	chr1(.):155001281-155028406	0.1144
NR_024163	chr1(.):154942117-154956725	1.0166
NM_144622	chr1(.):154986002-155011257	0.1486
NM_138300	chr1(.):154924501-154939258	0.6914
