GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
TMEM121	NM_025268	chr14:106024801-106050944,chr14:105947340-105949463	1,241	1	0.4337
IGLL5	NM_001178126	chr22:23234496-23239781,chr22:23268930-23279605	3,201	1	1.4577
MEF2D	NM_005920	chr1:156455897-156472906	4	1	1.6847
NEAT1	NR_028272	chr11:65183942-65193155,chr11:65148019-65151047	5,237	1	4.4784
FRMD8	NM_031904	chr11:65183942-65193155,chr11:65148019-65151047	5,237	1	0.947
MIR612	NR_030343	chr11:65183942-65193155,chr11:65259178-65269260,chr11:65243674-65245833	5,22,183	1	0.6533
SLC25A45	NM_001077241	chr11:65148019-65151047,chr11:65183942-65193155	5,237	1	1.3353
SNAR-C3	NR_024221	chr19:48448483-48462583,chr19:48427241-48435286,chr19:48438222-48447357,chr19:48411643-48415566	6,25,27,42	1	4.3417
SNAR-C2	NR_024217	chr19:48448483-48462583,chr19:48427241-48435286,chr19:48438222-48447357,chr19:48411643-48415566	6,25,27,42	1	3.4423
SNAR-A12	NR_004437	chr19:48448483-48462583,chr19:48427241-48435286,chr19:48438222-48447357,chr19:48411643-48415566	6,25,27,42	1	0.0
SNAR-C5	NR_024219	chr19:48448483-48462583,chr19:48427241-48435286,chr19:48438222-48447357,chr19:48411643-48415566	6,25,27,42	1	3.5284
SNAR-A2	NR_004436	chr19:48448483-48462583,chr19:48427241-48435286,chr19:48438222-48447357,chr19:48411643-48415566	6,25,27,42	1	2.3955
SNAR-A7	NR_024224	chr19:48448483-48462583,chr19:48427241-48435286,chr19:48438222-48447357,chr19:48411643-48415566	6,25,27,42	1	2.0368
SNAR-C4	NR_024218	chr19:48438222-48447357,chr19:48448483-48462583,chr19:48427241-48435286,chr19:48411643-48415566	6,25,27,42	1	2.698
SNAR-A13	NR_024216	chr19:48448483-48462583,chr19:48427241-48435286,chr19:48438222-48447357,chr19:48411643-48415566	6,25,27,42	1	3.2376
SNAR-C1	NR_024220	chr19:48448483-48462583,chr19:48427241-48435286,chr19:48438222-48447357,chr19:48411643-48415566	6,25,27,42	1	0.0
ELSPBP1	NM_022142	chr19:48448483-48462583	6	1	0.0716
BSPH1	NM_001128326	chr19:48448483-48462583,chr19:48438222-48447357	6,27	1	0.0664
MUTED-TXNDC5	NR_037616	chr6:7904698-7919315	7	1	0.5216
TXNDC5	NM_001145549	chr6:7904698-7919315	7	1	1.3115
DUSP22	NM_020185	chr6:291125-301198,chr6:315682-321467,chr6:303366-307849,chr6:325435-331065	9,52,77,88	1	1.767
SDHAP2	NR_003265	chr3:195356874-195362973	10	1	0.4673
APOD	NM_001647	chr3:195356874-195362973	10	1	0.0835
ABCB9	NM_019624	chr12:123411149-123424018	11	1	1.1352
OGFOD2	NM_024623	chr12:123411149-123424018	11	1	1.4285
ARL6IP4	NM_016638	chr12:123411149-123424018	11	1	1.2552
VPS37B	NM_024667	chr12:123370476-123374362,chr12:123354682-123358951,chr12:123411149-123424018	11,51,103	1	1.8172
ADAMTSL4	NM_019032	chr1:150533468-150541749,chr1:150550602-150553048	12,311	1	1.3192
MIR4257	NR_036211	chr1:150533468-150541749,chr1:150550602-150553048	12,311	1	0.5229
MCL1	NM_001197320	chr1:150550602-150553048,chr1:150533468-150541749	12,311	1	1.1951
HIST2H2AA4	NM_001040874	chr1:149820843-149826350,chr1:149810596-149815558,chr1:149856008-149861023,chr1:149831306-149834676,chr1:149802056-149805472	13,14,19,120,124	1	3.579
HIST2H3A	NM_001005464	chr1:149820843-149826350,chr1:149810596-149815558,chr1:149856008-149861023,chr1:149831306-149834676,chr1:149802056-149805472	13,14,19,120,124	1	3.6187
HIST2H2BC	NR_036461	chr1:149820843-149826350,chr1:149810596-149815558,chr1:149856008-149861023,chr1:149831306-149834676,chr1:149802056-149805472	13,14,19,120,124	1	3.5819
HIST2H4B	NM_001034077	chr1:149831306-149834676,chr1:149802056-149805472,chr1:149820843-149826350,chr1:149810596-149815558	13,14,120,124	1	1.9558
HIST2H2AC	NM_003517	chr1:149856008-149861023,chr1:149820843-149826350,chr1:149810596-149815558,chr1:149831306-149834676	13,14,19,120	1	3.1446
BOLA1	NM_016074	chr1:149820843-149826350,chr1:149856008-149861023,chr1:149831306-149834676	13,19,120	1	1.02
HIST2H2BF	NM_001161334	chr1:149820843-149826350,chr1:149810596-149815558,chr1:149831306-149834676,chr1:149802056-149805472	13,14,120,124	1	0.4183
HIST2H3D	NM_001123375	chr1:149820843-149826350,chr1:149810596-149815558,chr1:149831306-149834676,chr1:149802056-149805472	13,14,120,124	1	0.9196
HIST2H2BE	NM_003528	chr1:149856008-149861023,chr1:149820843-149826350,chr1:149810596-149815558,chr1:149831306-149834676	13,14,19,120	1	2.7131
HIST2H2AB	NM_175065	chr1:149856008-149861023,chr1:149820843-149826350,chr1:149810596-149815558,chr1:149831306-149834676	13,14,19,120	1	3.1325
FAM100B	NM_182565	chr17:74257786-74268824	15	1	2.146
RNF157	NM_052916	chr17:74257786-74268824	15	1	0.4785
QRICH2	NM_032134	chr17:74257786-74268824	15	1	0.2979
RASA3	NM_007368	chr13:114828050-114835321	16	1	0.6267
ZBTB38	NM_001080412	chr3:141097484-141108388	17	1	0.4167
CLPTM1L	NM_030782	chr5:1312298-1320172	18	1	1.1699
TERT	NM_001193376	chr5:1312298-1320172	18	1	0.3362
SV2A	NM_014849	chr1:149856008-149861023	19	1	0.646
