GENE_ID	locusLine	bin_1_MM3_jia.bam
NM_173083	chr1(.):226413860-226502198	0.1773
NM_001006605	chr1(.):93302720-93432079	0.3716
NM_201569	chr1(.):183436505-183528328	0.2556
NM_012102	chr1(.):8407463-8882699	0.2642
NM_015001	chr1(.):16169358-16271950	0.2658
NM_001113348	chr1(.):21538739-21677034	0.2086
NM_002379	chr1(.):31179123-31201432	0.3103
NR_034182	chr1(.):31186618-31204593	0.4065
NM_032017	chr1(.):36800224-36856485	0.434
NM_007170	chr1(.):45804554-45961840	0.2196
NM_001981	chr1(.):51814934-51989995	0.2326
NM_002600	chr1(.):66253855-66845262	0.1573
NM_001037341	chr1(.):66253192-66845262	0.1572
NM_001037340	chr1(.):66453389-66845262	0.1828
NM_003567	chr1(.):94022348-94152385	0.2147
NM_198459	chr1(.):115122195-115217732	0.1868
NM_153713	chr1(.):145472084-145504091	0.2458
NM_207168	chr1(.):150594521-150607098	0.3893
NM_005572	chr1(.):156079460-156112657	0.2142
NM_005973	chr1(.):156732273-156775609	0.176
NM_007348	chr1(.):161731083-161933852	0.1842
NM_001677	chr1(.):169070946-169106960	0.3623
NM_014857	chr1(.):174123633-174932327	0.103
NM_144977	chr1(.):197516384-197749623	0.1531
NM_001195215	chr1(.):197468878-197749623	0.1455
NM_002221	chr1(.):226814390-226931876	0.5203
NM_001042682	chr1(.):8407463-8488747	0.3568
NM_001089591	chr1(.):16128656-16139194	0.0805
NR_024279	chr1(.):16155709-16179642	1.1997
NM_001397	chr1(.):21538739-21621982	0.2372
NM_001113347	chr1(.):21538739-21611183	0.1048
NM_001113349	chr1(.):21538739-21621766	0.234
NM_015484	chr1(.):25543766-25564013	0.3077
NM_001127691	chr1(.):25593980-25661936	0.1076
NM_020317	chr1(.):25563739-25578985	0.5699
NR_026685	chr1(.):26432655-26457026	0.9312
NM_152835	chr1(.):26433267-26457026	0.9534
NM_032588	chr1(.):26372797-26399121	0.0625
NR_023345	chr1(.):26498981-26521375	0.0861
NM_024869	chr1(.):26480510-26494119	0.0778
NM_015871	chr1(.):26491387-26502364	0.1727
NM_006314	chr1(.):26498980-26521375	0.0861
NR_002997	chr1(.):28155911-28166077	0.2571
NM_001039477	chr1(.):28194054-28218193	0.784
NM_014474	chr1(.):28256503-28290663	0.1572
NM_002946	chr1(.):28213048-28246236	0.3957
NM_014280	chr1(.):28521789-28564542	0.1674
NM_016311	chr1(.):28557610-28569611	0.3476
NM_001164721	chr1(.):28468676-28525447	0.1663
NM_001164722	chr1(.):28468676-28525437	0.1664
NM_031459	chr1(.):28581005-28614002	0.1566
NM_006762	chr1(.):31200314-31235683	0.9874
NM_005202	chr1(.):36555843-36570850	0.0912
NM_018067	chr1(.):36616802-36651441	0.6924
NM_014408	chr1(.):36597172-36620067	0.3011
NM_206837	chr1(.):36888900-36921086	0.1209
NM_032881	chr1(.):36854030-36868493	0.7677
NM_001038633	chr1(.):38071950-38105491	0.0807
