GENE_ID	locusLine	bin_1_EJM.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):28604-29829	3.6791
1_MACS_peak_2_lociStitched	chr1(.):713148-715462	3.0465
1_MACS_peak_3_lociStitched	chr1(.):761977-763579	3.6533
1_MACS_peak_4_lociStitched	chr1(.):879658-880269	1.0662
1_MACS_peak_5_lociStitched	chr1(.):893832-894784	2.2455
1_MACS_peak_6_lociStitched	chr1(.):895583-896086	1.445
1_MACS_peak_7_lociStitched	chr1(.):901597-902430	2.1181
1_MACS_peak_8_lociStitched	chr1(.):948230-949403	1.5022
1_MACS_peak_9_lociStitched	chr1(.):955027-955312	0.8108
1_MACS_peak_10_lociStitched	chr1(.):1050985-1051553	2.3028
2_MACS_peak_11_lociStitched	chr1(.):1071474-1074711	2.3288
3_MACS_peak_13_lociStitched	chr1(.):1078845-1082617	2.1325
1_MACS_peak_16_lociStitched	chr1(.):1092785-1094062	3.6041
1_MACS_peak_17_lociStitched	chr1(.):1102876-1103372	1.3262
1_MACS_peak_18_lociStitched	chr1(.):1166333-1167418	2.7325
1_MACS_peak_19_lociStitched	chr1(.):1185377-1185872	1.3266
2_MACS_peak_20_lociStitched	chr1(.):1207781-1209696	1.9268
1_MACS_peak_22_lociStitched	chr1(.):1240483-1241739	2.0144
3_MACS_peak_23_lociStitched	chr1(.):1242479-1244782	2.5969
2_MACS_peak_26_lociStitched	chr1(.):1259427-1262715	3.1554
1_MACS_peak_28_lociStitched	chr1(.):1265423-1267606	4.6525
2_MACS_peak_29_lociStitched	chr1(.):1283323-1284469	1.2158
1_MACS_peak_31_lociStitched	chr1(.):1284985-1285398	1.5386
1_MACS_peak_32_lociStitched	chr1(.):1309535-1311494	2.8463
1_MACS_peak_33_lociStitched	chr1(.):1333682-1336121	2.8818
1_MACS_peak_34_lociStitched	chr1(.):1341748-1343652	3.2675
1_MACS_peak_35_lociStitched	chr1(.):1396826-1398723	3.2094
1_MACS_peak_36_lociStitched	chr1(.):1405372-1408278	2.3637
2_MACS_peak_37_lociStitched	chr1(.):1440560-1441606	1.3285
2_MACS_peak_39_lociStitched	chr1(.):1445745-1448718	3.9068
1_MACS_peak_41_lociStitched	chr1(.):1509081-1511005	5.7678
1_MACS_peak_42_lociStitched	chr1(.):1544926-1546891	2.5549
1_MACS_peak_43_lociStitched	chr1(.):1549402-1551934	3.801
1_MACS_peak_44_lociStitched	chr1(.):1565857-1566260	1.4348
1_MACS_peak_45_lociStitched	chr1(.):1589727-1591497	3.7935
1_MACS_peak_46_lociStitched	chr1(.):1606713-1608252	2.1003
1_MACS_peak_47_lociStitched	chr1(.):1608979-1610660	2.8848
1_MACS_peak_48_lociStitched	chr1(.):1623140-1625472	4.5444
1_MACS_peak_49_lociStitched	chr1(.):1654995-1656743	3.492
1_MACS_peak_50_lociStitched	chr1(.):1668991-1671206	2.3957
1_MACS_peak_51_lociStitched	chr1(.):1676118-1678661	3.404
1_MACS_peak_52_lociStitched	chr1(.):1689670-1691113	1.7897
3_MACS_peak_53_lociStitched	chr1(.):1706934-1715157	3.9049
1_MACS_peak_56_lociStitched	chr1(.):1772034-1775538	2.1216
3_MACS_peak_57_lociStitched	chr1(.):1821118-1823401	2.4136
2_MACS_peak_60_lociStitched	chr1(.):1828177-1829119	1.4609
3_MACS_peak_62_lociStitched	chr1(.):1838288-1841738	2.1325
1_MACS_peak_65_lociStitched	chr1(.):1849979-1850678	1.2856
2_MACS_peak_66_lociStitched	chr1(.):1980921-1982434	1.5919
2_MACS_peak_68_lociStitched	chr1(.):2120612-2121917	1.706
2_MACS_peak_70_lociStitched	chr1(.):2125765-2127247	1.9201
1_MACS_peak_72_lociStitched	chr1(.):2158764-2159088	3.6668
2_MACS_peak_73_lociStitched	chr1(.):2322334-2324225	2.2207
2_MACS_peak_75_lociStitched	chr1(.):2343124-2345137	2.4469
1_MACS_peak_77_lociStitched	chr1(.):2455040-2455724	1.3262
1_MACS_peak_78_lociStitched	chr1(.):2457036-2458110	1.8649
2_MACS_peak_79_lociStitched	chr1(.):2472406-2473733	1.3423
3_MACS_peak_81_lociStitched	chr1(.):2477034-2480960	3.2765
1_MACS_peak_84_lociStitched	chr1(.):2487048-2488965	3.1954
1_MACS_peak_85_lociStitched	chr1(.):2509354-2510181	1.9541
1_MACS_peak_86_lociStitched	chr1(.):2516830-2518142	3.0238
1_MACS_peak_87_lociStitched	chr1(.):2573931-2574780	3.1861
3_MACS_peak_88_lociStitched	chr1(.):3540614-3542326	1.4753
1_MACS_peak_91_lociStitched	chr1(.):3565875-3566649	1.9918
2_MACS_peak_92_lociStitched	chr1(.):3712042-3713485	1.7233
2_MACS_peak_94_lociStitched	chr1(.):3773072-3774823	1.9382
1_MACS_peak_96_lociStitched	chr1(.):3816025-3817985	3.795
1_MACS_peak_97_lociStitched	chr1(.):4237653-4238181	1.3806
3_MACS_peak_98_lociStitched	chr1(.):6051601-6055433	2.1701
2_MACS_peak_101_lociStitched	chr1(.):6085175-6087137	2.4918
1_MACS_peak_103_lociStitched	chr1(.):6258859-6260427	3.7498
1_MACS_peak_104_lociStitched	chr1(.):6265591-6266601	1.9644
2_MACS_peak_105_lociStitched	chr1(.):6295243-6296653	2.312
1_MACS_peak_107_lociStitched	chr1(.):6419270-6419867	1.0185
1_MACS_peak_108_lociStitched	chr1(.):6453552-6454484	2.5958
1_MACS_peak_109_lociStitched	chr1(.):6550065-6551485	1.8251
1_MACS_peak_110_lociStitched	chr1(.):6613673-6615867	3.0556
1_MACS_peak_111_lociStitched	chr1(.):6619763-6620964	1.7559
2_MACS_peak_112_lociStitched	chr1(.):6627758-6631544	2.6929
4_MACS_peak_114_lociStitched	chr1(.):6639410-6643067	1.964
1_MACS_peak_118_lociStitched	chr1(.):6647475-6648525	1.2754
1_MACS_peak_119_lociStitched	chr1(.):6660152-6664690	4.4704
3_MACS_peak_120_lociStitched	chr1(.):6672595-6675641	2.2242
1_MACS_peak_123_lociStitched	chr1(.):6684715-6686249	1.8115
1_MACS_peak_124_lociStitched	chr1(.):6760988-6761940	4.36
4_MACS_peak_125_lociStitched	chr1(.):6843851-6846458	2.5008
5_MACS_peak_129_lociStitched	chr1(.):6977839-6983652	1.6438
1_MACS_peak_134_lociStitched	chr1(.):7021799-7022427	2.0046
2_MACS_peak_135_lociStitched	chr1(.):7465962-7468432	1.5092
1_MACS_peak_137_lociStitched	chr1(.):7830907-7832169	2.1929
1_MACS_peak_138_lociStitched	chr1(.):7843492-7843783	0.9018
1_MACS_peak_139_lociStitched	chr1(.):8013948-8014725	2.3847
1_MACS_peak_140_lociStitched	chr1(.):8020826-8022440	2.9439
2_MACS_peak_141_lociStitched	chr1(.):8482864-8484653	1.9692
1_MACS_peak_143_lociStitched	chr1(.):8655861-8656234	1.141
1_MACS_peak_144_lociStitched	chr1(.):8656746-8656998	0.9026
3_MACS_peak_145_lociStitched	chr1(.):8661834-8663665	1.8372
1_MACS_peak_148_lociStitched	chr1(.):8688783-8690464	1.8334
2_MACS_peak_149_lociStitched	chr1(.):8761840-8763521	2.0797
2_MACS_peak_151_lociStitched	chr1(.):8876857-8878697	2.1143
1_MACS_peak_153_lociStitched	chr1(.):8936561-8939824	4.3609
1_MACS_peak_154_lociStitched	chr1(.):9129107-9129627	1.2146
1_MACS_peak_155_lociStitched	chr1(.):9135936-9136731	1.3333
3_MACS_peak_156_lociStitched	chr1(.):9138792-9142253	2.0139
2_MACS_peak_159_lociStitched	chr1(.):9188534-9190058	1.5523
1_MACS_peak_161_lociStitched	chr1(.):9222200-9225708	4.4578
1_MACS_peak_162_lociStitched	chr1(.):9241503-9244079	2.6912
1_MACS_peak_163_lociStitched	chr1(.):9294799-9295650	2.6568
2_MACS_peak_164_lociStitched	chr1(.):9335126-9336239	1.3351
3_MACS_peak_166_lociStitched	chr1(.):9352422-9356300	1.7479
1_MACS_peak_169_lociStitched	chr1(.):9374220-9381276	4.2642
1_MACS_peak_170_lociStitched	chr1(.):9465497-9466919	2.1932
1_MACS_peak_171_lociStitched	chr1(.):9472357-9474325	2.9914
1_MACS_peak_172_lociStitched	chr1(.):9485086-9487342	2.7395
2_MACS_peak_173_lociStitched	chr1(.):9488109-9489809	2.3173
2_MACS_peak_175_lociStitched	chr1(.):9501654-9503438	1.825
1_MACS_peak_177_lociStitched	chr1(.):9536927-9537755	2.0486
1_MACS_peak_178_lociStitched	chr1(.):9576443-9576836	1.4016
2_MACS_peak_179_lociStitched	chr1(.):9598800-9600533	1.8555
2_MACS_peak_181_lociStitched	chr1(.):9648891-9649710	1.538
1_MACS_peak_183_lociStitched	chr1(.):9747201-9747765	1.3505
1_MACS_peak_184_lociStitched	chr1(.):9776807-9778716	3.7185
2_MACS_peak_185_lociStitched	chr1(.):9847163-9848473	1.6983
3_MACS_peak_187_lociStitched	chr1(.):9882985-9884722	1.5589
1_MACS_peak_190_lociStitched	chr1(.):9960521-9961070	1.1876
1_MACS_peak_191_lociStitched	chr1(.):9969602-9970108	2.0969
1_MACS_peak_192_lociStitched	chr1(.):9970672-9971728	2.1958
1_MACS_peak_193_lociStitched	chr1(.):10002776-10004206	3.1515
1_MACS_peak_194_lociStitched	chr1(.):10092918-10094004	5.1561
2_MACS_peak_195_lociStitched	chr1(.):10249288-10250764	1.3142
3_MACS_peak_197_lociStitched	chr1(.):10269958-10271713	1.8601
1_MACS_peak_200_lociStitched	chr1(.):10459031-10460227	2.6738
1_MACS_peak_201_lociStitched	chr1(.):10490416-10491312	2.4716
2_MACS_peak_202_lociStitched	chr1(.):10517226-10518460	1.3108
3_MACS_peak_204_lociStitched	chr1(.):10531925-10533658	1.4775
1_MACS_peak_207_lociStitched	chr1(.):10534396-10535974	1.9717
1_MACS_peak_208_lociStitched	chr1(.):10554867-10555222	1.0018
1_MACS_peak_209_lociStitched	chr1(.):10999753-11000228	1.7473
1_MACS_peak_210_lociStitched	chr1(.):11072358-11073676	5.5772
2_MACS_peak_211_lociStitched	chr1(.):11118892-11121242	2.1058
1_MACS_peak_213_lociStitched	chr1(.):11159247-11160318	3.7457
2_MACS_peak_214_lociStitched	chr1(.):11321890-11323114	3.0659
1_MACS_peak_216_lociStitched	chr1(.):11333201-11334311	4.4222
1_MACS_peak_217_lociStitched	chr1(.):11538936-11539282	1.5629
1_MACS_peak_218_lociStitched	chr1(.):11740340-11742072	2.2602
1_MACS_peak_219_lociStitched	chr1(.):11779374-11779814	1.4375
