#H929_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/H929_H3K27ac_ROSE/H929_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by H929_jia.bam
#Using cutoff of 17919.36 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isSuper
9_MACS_peak_23199_lociStitched	chr3	141078882	141164546	9	75843	298890.2624	1	1
1_MACS_peak_27479_lociStitched	chr6	7878325	7921702	1	43378	278632.1595	2	1
4_MACS_peak_2081_lociStitched	chr1	156441145	156480251	4	35006	275204.5644	3	1
5_MACS_peak_2246_lociStitched	chr1	162529903	162584181	5	52647	262781.5092	4	1
5_MACS_peak_18062_lociStitched	chr2	99053010	99135819	5	68661	238788.0324	5	1
1_MACS_peak_17987_lociStitched	chr2	89129615	89171449	1	41835	227426.3576	6	1
3_MACS_peak_22657_lociStitched	chr3	98448030	98511346	3	60515	225303.6544	7	1
8_MACS_peak_28200_lociStitched	chr6	45381213	45445766	8	55447	214541.8955	8	1
8_MACS_peak_14172_lociStitched	chr17	62133099	62210706	8	67025	204998.8905	9	1
7_MACS_peak_2010_lociStitched	chr1	154907463	154957603	7	37000	203829.128	10	1
1_MACS_peak_2091_lociStitched	chr1	156624248	156648750	1	24503	201325.5834	11	1
2_MACS_peak_1883_lociStitched	chr1	150531292	150554189	2	22844	189088.0054	12	1
6_MACS_peak_2198_lociStitched	chr1	161122617	161164068	6	32727	186376.1313	13	1
9_MACS_peak_2751_lociStitched	chr1	203236322	203298469	9	43431	184899.7544	14	1
3_MACS_peak_1860_lociStitched	chr1	149801037	149835801	3	31407	181436.7924	15	1
5_MACS_peak_1679_lociStitched	chr1	118147672	118218918	5	64532	177245.7988	16	1
5_MACS_peak_27371_lociStitched	chr6	290981	337956	5	38688	173906.1475	17	1
4_MACS_peak_1989_lociStitched	chr1	154370039	154400837	4	27375	167482.6038	18	1
1_MACS_peak_17153_lociStitched	chr2	20403114	20425865	1	22752	166926.3621	19	1
3_MACS_peak_2054_lociStitched	chr1	155929545	155960053	3	25628	166613.3404	20	1
5_MACS_peak_2105_lociStitched	chr1	157132958	157169896	5	29729	165711.2556	21	1
5_MACS_peak_10021_lociStitched	chr14	91812631	91885839	5	65703	160794.0512	22	1
4_MACS_peak_2179_lociStitched	chr1	160673361	160719132	4	34905	156944.1819	23	1
2_MACS_peak_24478_lociStitched	chr4	71513338	71558576	2	43456	151212.5388	24	1
2_MACS_peak_17979_lociStitched	chr2	88889862	88928714	2	38837	150434.944	25	1
5_MACS_peak_32349_lociStitched	chr8	98634581	98675116	5	39382	143611.4515	26	1
4_MACS_peak_28752_lociStitched	chr6	109186250	109228564	4	36532	142881.6838	27	1
4_MACS_peak_8329_lociStitched	chr12	123344730	123387339	4	35516	142071.1887	28	1
5_MACS_peak_28564_lociStitched	chr6	90048565	90086102	5	34719	138725.4909	29	1
2_MACS_peak_28694_lociStitched	chr6	106530977	106560378	2	29135	137088.0427	30	1
7_MACS_peak_16291_lociStitched	chr19	39137374	39186991	7	40920	134199.0999	31	1
6_MACS_peak_26644_lociStitched	chr5	131789423	131842687	6	40514	131913.6224	32	1
6_MACS_peak_4852_lociStitched	chr10	125812510	125868074	6	42787	131847.8156	33	1
4_MACS_peak_5808_lociStitched	chr11	65183158	65225559	4	26810	131616.9441	34	1
4_MACS_peak_21161_lociStitched	chr22	29183513	29227412	4	39303	130634.6442	35	1
2_MACS_peak_2551_lociStitched	chr1	184703830	184725893	2	21716	129004.5673	36	1
4_MACS_peak_1629_lociStitched	chr1	115210314	115260546	4	46331	128819.964	37	1
7_MACS_peak_27287_lociStitched	chr5	176829437	176883742	7	31558	125949.5865	38	1
2_MACS_peak_32070_lociStitched	chr8	71498585	71530574	2	26603	124635.5418	39	1
7_MACS_peak_15017_lociStitched	chr18	46439206	46480207	7	33314	124356.033	40	1
6_MACS_peak_14322_lociStitched	chr17	72732198	72782200	6	41178	122044.8816	41	1
4_MACS_peak_7434_lociStitched	chr12	53573067	53616734	4	35808	118992.575	42	1
12_MACS_peak_4682_lociStitched	chr10	112146713	112189340	12	32719	118413.5433	43	1
6_MACS_peak_32152_lociStitched	chr8	81032226	81084673	6	38567	117906.1007	44	1
3_MACS_peak_31582_lociStitched	chr8	27218260	27255143	3	30078	112246.0339	45	1
2_MACS_peak_21060_lociStitched	chr22	23219750	23249185	2	27996	110604.956	46	1
2_MACS_peak_25693_lociStitched	chr5	27446155	27477269	2	29058	110532.485	47	1
7_MACS_peak_11855_lociStitched	chr16	11794059	11838081	7	35617	106863.405	48	1
