ENHANCER_ID	CHROM	START	STOP	GENE_LIST
5_MACS_peak_20235_lociStitched	chr3	141078470	141174818	RASA2,ZBTB38
2_MACS_peak_23457_lociStitched	chr5	131742460	131837964	IRF1,SLC22A5,MIR3936,IL5,C5ORF56
8_MACS_peak_26186_lociStitched	chr7	7998671	8132723	GLCCI1
8_MACS_peak_13197_lociStitched	chr19	2031006	2100152	MKNK2,BTBD2,IZUMO4,MOBKL2A
6_MACS_peak_8808_lociStitched	chr14	91781098	91886415	CCDC88C
18_MACS_peak_25349_lociStitched	chr6	108861974	109025351	FOXO3,NCRNA00222
4_MACS_peak_27179_lociStitched	chr7	104617051	104662775	LOC100216545,LOC723809,MLL5
3_MACS_peak_5715_lociStitched	chr11	128552866	128610620	FLI1
1_MACS_peak_9002_lociStitched	chr14	106024104	106059077	TMEM121
13_MACS_peak_27584_lociStitched	chr7	137604293	137717908	CREB3L2,AKR1D1
1_MACS_peak_9132_lociStitched	chr15	31614741	31663531	KLF13
6_MACS_peak_23589_lociStitched	chr5	139011059	139081870	CXXC5
6_MACS_peak_10142_lociStitched	chr15	93423796	93482129	MIR3175,LOC100507217,CHD2
2_MACS_peak_4877_lociStitched	chr11	65234863	65279223	MALAT1,NEAT1,MIR612,SCYL1,LTBP3
3_MACS_peak_20712_lociStitched	chr3	183218497	183279463	KLHL6
2_MACS_peak_4874_lociStitched	chr11	65181980	65214649	NEAT1,FRMD8,SLC25A45,MIR612
1_MACS_peak_9011_lociStitched	chr14	106144721	106180015	TMEM121
4_MACS_peak_26675_lociStitched	chr7	50339191	50370885	IKZF1
7_MACS_peak_27272_lociStitched	chr7	114555155	114629532	MDFIC
8_MACS_peak_20361_lociStitched	chr3	151984798	152058804	MBNL1,LOC401093,TMEM14E
6_MACS_peak_30347_lociStitched	chr9	134493769	134555882	RAPGEF1
3_MACS_peak_18065_lociStitched	chr22	23240977	23299319	IGLL5
12_MACS_peak_2473_lociStitched	chr1	203235960	203309836	LOC730227,CHIT1,BTG2,FMOD
1_MACS_peak_29545_lociStitched	chr9	66454407	66462206	LOC442421
6_MACS_peak_25232_lociStitched	chr6	90020116	90086502	UBE2J1,GABRR2,RRAGD
7_MACS_peak_1976_lociStitched	chr1	160574951	160662894	SLAMF1,SLAMF7,CD84,CD48
