GENE	TF	CHROM	START	STOP	ENHANCER_ID
AANAT	0	chr17	74487383	74490643	1_MACS_peak_13798_lociStitched
ABCF1	0	chr6	30581471	30586485	3_MACS_peak_27230_lociStitched
ABCF2	0	chr7	150929258	150931088	1_MACS_peak_30349_lociStitched
ABHD12	0	chr20	25288966	25292607	2_MACS_peak_19071_lociStitched
ABHD12	0	chr20	25274881	25279521	3_MACS_peak_19065_lociStitched
ABHD14A	0	chr3	52027404	52030195	2_MACS_peak_21743_lociStitched
ABHD14B	0	chr3	52027404	52030195	2_MACS_peak_21743_lociStitched
ACBD3	0	chr1	226372810	226375199	1_MACS_peak_3131_lociStitched
ACBD3	0	chr1	226314351	226316901	1_MACS_peak_3123_lociStitched
ACBD4	0	chr17	43237390	43239909	4_MACS_peak_13172_lociStitched
ACO2	0	chr22	41840578	41844631	1_MACS_peak_20761_lociStitched
ACTN4	0	chr19	39173308	39178277	1_MACS_peak_15537_lociStitched
ACTR8	0	chr3	53924109	53926807	1_MACS_peak_21834_lociStitched
ACY1	0	chr3	52027404	52030195	2_MACS_peak_21743_lociStitched
ACYP2	0	chr2	54342082	54343459	1_MACS_peak_16759_lociStitched
ADAM15	0	chr1	154971389	154978479	1_MACS_peak_1954_lociStitched
ADAM17	0	chr2	9687199	9694027	6_MACS_peak_16231_lociStitched
ADAM17	0	chr2	9694560	9696989	1_MACS_peak_16237_lociStitched
ADAMTS4	0	chr1	161151195	161157398	2_MACS_peak_2204_lociStitched
ADAMTSL4	0	chr1	150532135	150541883	3_MACS_peak_1823_lociStitched
ADAMTSL4	0	chr1	150545230	150553040	2_MACS_peak_1826_lociStitched
ADCK3	0	chr1	227126066	227128942	2_MACS_peak_3164_lociStitched
ADCY10	0	chr1	167904388	167907341	1_MACS_peak_2322_lociStitched
ADM	0	chr11	10326477	10332207	3_MACS_peak_4963_lociStitched
ADM2	0	chr22	50968385	50971195	1_MACS_peak_20940_lociStitched
ADORA2A	0	chr22	24827519	24833103	4_MACS_peak_20343_lociStitched
AEN	0	chr15	89180579	89184804	4_MACS_peak_10946_lociStitched
AEN	0	chr15	89164604	89171477	7_MACS_peak_10934_lociStitched
AFF1	0	chr4	87855305	87862358	3_MACS_peak_24210_lociStitched
AFF1	0	chr4	87926017	87930355	3_MACS_peak_24219_lociStitched
AFF4	0	chr5	132298010	132300135	1_MACS_peak_26039_lociStitched
AFG3L1P	0	chr16	90059857	90063994	1_MACS_peak_12318_lociStitched
AFTPH	0	chr2	64750667	64754198	3_MACS_peak_16908_lociStitched
AGER	0	chr6	32156626	32160965	1_MACS_peak_27319_lociStitched
AGPAT1	0	chr6	32156626	32160965	1_MACS_peak_27319_lociStitched
AIG1	0	chr6	143380272	143382951	1_MACS_peak_28494_lociStitched
AIM2	0	chr1	159043438	159048455	2_MACS_peak_2119_lociStitched
AK1	0	chr9	130671948	130675556	2_MACS_peak_32906_lociStitched
AK1	0	chr9	130676313	130679430	2_MACS_peak_32908_lociStitched
AKAP5	0	chr14	64969316	64972411	3_MACS_peak_9120_lociStitched
AKAP8	0	chr19	15441529	15444804	4_MACS_peak_15194_lociStitched
AKIRIN2	0	chr6	88408263	88412584	5_MACS_peak_27917_lociStitched
AKT1S1	0	chr19	50378624	50381522	1_MACS_peak_15964_lociStitched
AKT1S1	0	chr19	50353545	50355074	1_MACS_peak_15961_lociStitched
ALCAM	0	chr3	105085650	105089029	1_MACS_peak_22164_lociStitched
ALDH1L2	0	chr12	105476303	105478482	1_MACS_peak_7776_lociStitched
ALDOA	0	chr16	30074841	30078596	2_MACS_peak_11642_lociStitched
ALG12	0	chr22	50353190	50361856	4_MACS_peak_20902_lociStitched
ALG12	0	chr22	50327081	50331303	1_MACS_peak_20901_lociStitched
ALG2	0	chr9	101983271	101986223	1_MACS_peak_32564_lociStitched
ALKBH5	0	chr17	18085474	18090410	4_MACS_peak_12653_lociStitched
ALOX12	0	chr17	6915151	6919147	3_MACS_peak_12494_lociStitched
ALOX5	0	chr10	45913630	45917987	2_MACS_peak_3852_lociStitched
ALOXE3	0	chr17	8064630	8067365	1_MACS_peak_12556_lociStitched
AMDHD2	0	chr16	2563227	2565592	1_MACS_peak_11251_lociStitched
