REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
12_MACS_peak_19581_lociStitched	chr3	141079237	141160651	12	67201	505947.303	15989.7096	1	ZBTB38	RASA2	ZBTB38	ZBTB38	3.6307	1	1
8_MACS_peak_9970_lociStitched	chr16	11761624	11843184	8	69849	295548.972	14599.24	2	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	3.7737000000000003	2	1
7_MACS_peak_24380_lociStitched	chr6	108878091	108960787	7	76772	182311.6016	11850.3368	3	FOXO3		FOXO3	FOXO3	1.6412	3	1
9_MACS_peak_14419_lociStitched	chr2	37525743	37606696	9	60463	312527.1518	15049.1627	4	QPCT,PRKD3		QPCT	QPCT	4.2553	4	1
8_MACS_peak_8471_lociStitched	chr14	91812872	91885991	8	60313	220409.9136	6683.0766	5	CCDC88C		CCDC88C	CCDC88C	1.5467000000000002	5	1
1_MACS_peak_23289_lociStitched	chr6	7878401	7919873	1	41473	302417.9712	8651.0592	6	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.9895000000000005	6	1
4_MACS_peak_16716_lociStitched	chr20	30261876	30312405	4	49323	205471.1256	10287.7044	7	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.9184	7	1
6_MACS_peak_15099_lociStitched	chr2	99054702	99108245	6	46912	218332.2911	10740.7258	8	INPP4A		INPP4A	INPP4A	1.444	8	1
3_MACS_peak_8632_lociStitched	chr14	106023355	106052918	3	28277	265330.8813	4993.1907	9		TMEM121	TMEM121	TMEM121	0.1006	9	1
6_MACS_peak_23170_lociStitched	chr6	290082	337919	6	33435	243351.6027	15585.2946	10	DUSP22		DUSP22	DUSP22	3.2743	10	1
6_MACS_peak_16762_lociStitched	chr20	32398606	32452433	6	39602	167052.0945	9538.1444	11	CHMP4B		CHMP4B	CHMP4B	2.5751999999999997	11	1
3_MACS_peak_1419_lociStitched	chr1	118141992	118188232	3	38187	147690.56	5067.904	12	FAM46C		FAM46C	FAM46C	3.7309	12	1
4_MACS_peak_12635_lociStitched	chr18	46440389	46480229	4	37541	113759.136	6844.512	13	SMAD7		SMAD7	SMAD7	2.579	13	1
