GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
QPCT	NM_012413	chr2:37525621-37625069	1	1	4.8463
PRKD3	NM_005813	chr2:37525621-37625069	1	1	0.915
FOXO3	NM_201559	chr6:108878187-108959062,chr6:108986391-108997733	2,512	1	1.3589
SNN	NM_003498	chr16:11754576-11843345,chr16:11712314-11723874	3,920	1	2.6841999999999997
TXNDC11	NM_015914	chr16:11754576-11843345	3	1	3.0976999999999997
ZC3H7A	NM_014153	chr16:11754576-11843345	3	1	0.2857
ZBTB38	NM_001080412	chr3:141078676-141160679	4	1	3.013
RASA2	NM_006506	chr3:141078676-141160679	4	1	0.0
FAM46C	NM_017709	chr1:118141760-118219457	5	1	2.5314
CCDC88C	NM_001080414	chr14:91812950-91886136,chr14:91781617-91801960	6,358	1	1.3069
BTG2	NM_006763	chr1:203236298-203308648	7	1	5.2097999999999995
LOC730227	NR_034150	chr1:203236298-203308648	7	1	7.7168
CHIT1	NM_003465	chr1:203236298-203308648	7	1	0.0
FMOD	NM_002023	chr1:203236298-203308648	7	1	0.10189999999999999
CD28	NM_006139	chr2:204513797-204587796	8	1	1.9568
IGLL5	NM_001178126	chr22:23188726-23249117,chr22:23262040-23286791	9,105	1	7.8832
MIR650	NR_030755	chr22:23188726-23249117	9	1	1.4933999999999998
SKAP1	NM_003726	chr17:46506224-46571645	10	1	0.0
HOXB1	NM_002144	chr17:46506224-46571645,chr17:46580334-46596204	10,313	1	0.00040000000000001146
CHMP4B	NM_176812	chr20:32398793-32474510,chr20:32360853-32381348	11,803	1	1.7684
INPP4A	NM_004027	chr2:99054655-99108655	12	1	1.4526999999999999
CCL4L1	NM_001001435	chr17:34596839-34645474,chr17:34508407-34544047	14,32	1	5.8079
CCL3L1	NM_021006	chr17:34596839-34645474,chr17:34508407-34544047	14,32	1	6.4912
CCL3L3	NM_001001437	chr17:34596839-34645474,chr17:34508407-34544047	14,32	1	6.488899999999999
TBC1D3C	NM_001001418	chr17:34596839-34645474,chr17:34508407-34544047	14,32	1	0.008900000000000019
TNFRSF13B	NM_012452	chr17:16846732-16895754	15	1	2.4821999999999997
LOC541471	NR_015395	chr2:112186226-112242293	16	1	0.7806
CCL1	NM_002981	chr17:32688272-32729903	17	1	3.7781
CCL8	NM_005623	chr17:32688272-32729903	17	1	0.0
CCL13	NM_005408	chr17:32688272-32729903	17	1	0.604
SMAD7	NM_005904	chr18:46439099-46483178	18	1	1.9135
TRAM2	NM_012288	chr6:52392472-52443046	19	1	1.3702
BFSP2	NM_003571	chr3:133177773-133227080,chr3:133159746-133169880	20,644	1	1.9069000000000003
C5orf56	NM_001013717	chr5:131789292-131842653,chr5:131744670-131775215	21,62	1	3.2641
IRF1	NM_002198	chr5:131789292-131842653	21	1	1.0840999999999998
RAD50	NM_005732	chr5:131789292-131842653	21	1	0.0416
IL5	NM_000879	chr5:131789292-131842653	21	1	0.0
BCL2L1	NM_001191	chr20:30271601-30312241	22	1	2.1494999999999997
COX4I2	NM_032609	chr20:30271601-30312241	22	1	0.007900000000000004
TPX2	NM_012112	chr20:30271601-30312241	22	1	0.0022999999999999965
CCR3	NM_001837	chr3:46317415-46365252,chr3:46244847-46265384	23,197	1	0.024800000000000003
CCR2	NM_001123396	chr3:46388477-46439610,chr3:46317415-46365252	23,29	1	2.303
CCR5	NM_001100168	chr3:46388477-46439610,chr3:46317415-46365252	23,29	1	0.9952000000000001
DUSP22	NM_020185	chr6:289904-338121	24	1	2.1237
PLA2G15	NM_012320	chr16:68269565-68321032	25	1	2.0106
SLC7A6	NM_003983	chr16:68269565-68321032	25	1	1.2136
ESRP2	NM_024939	chr16:68269565-68321032	25	1	0.3909
PRMT7	NM_001184824	chr16:68269565-68321032	25	1	0.3496
SLC7A6OS	NM_032178	chr16:68269565-68321032	25	1	0.1555
KLF13	NM_015995	chr15:31616454-31660697	26	1	1.5601
ERN1	NM_001433	chr17:62149798-62187405,chr17:62195572-62210969	27,265	1	1.3952
SNORD104	NR_004380	chr17:62149798-62187405,chr17:62195572-62210969	27,265	1	0.4982
SNORA76	NR_002995	chr17:62149798-62187405,chr17:62195572-62210969	27,265	1	0.4949
DEPDC6	NM_022783	chr8:120915106-120951105,chr8:120962112-120976609	28,622	1	1.0571000000000002
DSCC1	NM_024094	chr8:120915106-120951105	28	1	0.034000000000000016
CCRL2	NM_003965	chr3:46388477-46439610	29	1	0.1709
KLHL6	NM_130446	chr3:183220039-183261513,chr3:183267880-183279004	30,856	1	2.1848
GPRIN3	NM_198281	chr4:90204439-90253354	31	1	2.3857
TBC1D3B	NM_001001417	chr17:34508407-34544047	32	1	0.10170000000000001
MUTED-TXNDC5	NR_037616	chr6:7887588-7921791	33	1	1.0136
TXNDC5	NM_001145549	chr6:7887588-7921791	33	1	2.9874
TMEM121	NM_025268	chr14:106023124-106056535	34	1	0.1033
CEACAM21	NM_001098506	chr19:42022229-42070730	35	1	0.009999999999999995
ARMC2	NM_032131	chr6:109186260-109232635	37	1	1.0322
CHST15	NM_015892	chr10:125821669-125855029	38	1	1.3171000000000002
RGS1	NM_002922	chr1:192542093-192551366,chr1:192475695-192521245,chr1:192560779-192579520	39,179,770	1	1.8725999999999998
PTK2B	NM_004103	chr8:27208517-27253616	40	1	0.7314
TRIM35	NM_171982	chr8:27208517-27253616	40	1	0.038400000000000004
VOPP1	NM_030796	chr7:55568606-55606328,chr7:55615820-55643863	42,53	1	1.8200999999999998
NCRNA00152	NR_024204	chr2:87782386-87821835,chr2:87765679-87775516	43,810	1	1.0675
FEM1B	NM_015322	chr15:68568475-68599552	44	1	1.7666
ITGA11	NM_001004439	chr15:68568475-68599552	44	1	0.15170000000000003
CLN6	NM_017882	chr15:68568475-68599552,chr15:68478009-68486184	44,986	1	0.6362
CYBB	NM_000397	chrX:37634647-37685574,chrX:37604467-37625612	45,373	1	1.0592000000000001
DYNLT3	NM_006520	chrX:37634647-37685574	45	1	0.034
UTP3	NM_020368	chr4:71523614-71555458	46	1	0.8524999999999999
IGJ	NM_144646	chr4:71523614-71555458	46	1	2.6574
ENAM	NM_031889	chr4:71523614-71555458	46	1	0.0
RUFY3	NM_001130709	chr4:71523614-71555458	46	1	0.052599999999999994
HECW2	NM_020760	chr2:197065073-197115396,chr2:197126506-197142373	47,696	1	0.2078
STK17B	NM_004226	chr2:197023159-197053672,chr2:197065073-197115396	47,65	1	0.8242
PHF19	NM_015651	chr9:123630341-123668201,chr9:123688105-123707726	48,342	1	1.0462
TRAF1	NM_005658	chr9:123630341-123668201,chr9:123688105-123707726	48,342	1	1.0486
LOC253039	NR_024408	chr9:123630341-123668201	48	1	0.27090000000000003
PSMD5	NM_005047	chr9:123630341-123668201	48	1	0.1311
RBM20	NM_001134363	chr10:112596716-112633415	49	1	0.30289999999999995
PDCD4	NM_145341	chr10:112596716-112633415	49	1	0.7225
LOC282997	NR_026932	chr10:112596716-112633415	49	1	5.189299999999999
SHOC2	NM_007373	chr10:112596716-112633415	49	1	0.02650000000000001
NCRNA00081	NM_001195306	chr10:112596716-112633415	49	1	0.2179
CPEB4	NM_030627	chr5:173309919-173344077	50	1	0.5756000000000001
TPD52	NM_005079	chr8:81046239-81084510	54	1	0.6552
PCBP2	NM_001128914	chr12:53845723-53874632	55	1	0.7708999999999999
MAP3K12	NM_006301	chr12:53845723-53874632	55	1	0.5620999999999999
AMHR2	NM_001164691	chr12:53845723-53874632	55	1	0.0
PRR13	NM_001005354	chr12:53845723-53874632	55	1	0.2105
TARBP2	NM_134323	chr12:53845723-53874632	55	1	0.7038
NPFF	NM_003717	chr12:53845723-53874632	55	1	0.0858
NDUFV2	NM_021074	chr18:9094917-9126518,chr18:9132797-9154919,chr18:9053773-9085567	56,80,108	1	2.1884
C1orf186	NM_001007544	chr1:206271511-206311220	57	1	1.8389
AVPR1B	NM_000707	chr1:206271511-206311220	57	1	0.07479999999999998
CTSE	NM_148964	chr1:206271511-206311220	57	1	0.021299999999999986
ZDHHC14	NM_024630	chr6:157975471-158007580	58	1	0.3611
MIR3692	NR_037463	chr6:157975471-158007580	58	1	0.021900000000000003
REPIN1	NM_013400	chr7:150052910-150084976,chr7:150100700-150134446	60,136	1	4.446400000000001
ZNF775	NM_173680	chr7:150052910-150084976,chr7:150100700-150134446	60,136	1	1.9443000000000001
LRRC61	NM_001142928	chr7:150052910-150084976	60	1	0.6682
C7orf29	NM_138434	chr7:150052910-150084976	60	1	0.0
LOC728743	NR_027237	chr7:150100700-150134446,chr7:150052910-150084976	60,136	1	2.54
LOC285972	NR_034033	chr7:150100700-150134446,chr7:150052910-150084976	60,136	1	1.6376
ACTR3C	NM_001164458	chr7:150052910-150084976	60	1	0.16159999999999997
RARRES2	NM_002889	chr7:150052910-150084976	60	1	0.0
FNDC3B	NM_001135095	chr3:171801747-171828813	61	1	0.379
SLC22A5	NM_003060	chr5:131744670-131775215	62	1	0.06209999999999999
MIR3936	NR_037500	chr5:131744670-131775215	62	1	0.1736
ARL8B	NM_018184	chr3:5221770-5256417	63	1	0.18259999999999998
EDEM1	NM_014674	chr3:5221770-5256417	63	1	1.3136
PRDM1	NM_001198	chr6:106530283-106556567	64	1	2.8695
VPS37B	NM_024667	chr12:123354777-123387459	67	1	1.0945
HIP1R	NM_003959	chr12:123354777-123387459	67	1	0.0233
CELF2	NM_001083591	chr10:11282104-11313468,chr10:11201828-11224736	69,94	1	1.1314000000000002
FLI1	NM_002017	chr11:128585190-128610652	70	1	0.9101
RAC2	NM_002872	chr22:37609340-37642346	71	1	1.9529
CYTH4	NM_013385	chr22:37609340-37642346	71	1	0.25739999999999996
C1QTNF6	NM_031910	chr22:37609340-37642346	71	1	0.0
SSTR3	NM_001051	chr22:37609340-37642346	71	1	0.8695
PRKRIP1	NM_024653	chr7:102063365-102093384	73	1	1.447
ORAI2	NM_032831	chr7:102063365-102093384	73	1	2.2393
LRWD1	NM_152892	chr7:102063365-102093384	73	1	0.1976
ALKBH4	NM_017621	chr7:102063365-102093384	73	1	0.34850000000000003
POLR2J	NM_006234	chr7:102063365-102093384	73	1	0.06669999999999998
SDC1	NM_002997	chr2:20391273-20426627	74	1	2.8825
LOC646214	NR_027053	chr15:21975886-22004848	75	1	0.0968
CXADRP2	NR_024387	chr15:21975886-22004848	75	1	0.0
GAS2	NM_001143830	chr11:22676317-22704716	76	1	0.7083999999999999
FANCF	NM_022725	chr11:22676317-22704716	76	1	0.3974
IRF2	NM_002199	chr4:185317572-185350150,chr4:185366575-185381383,chr4:185300409-185308961	77,564,895	1	2.1485
UBE2J1	NM_016021	chr6:90053749-90086268	79	1	1.2976999999999999
RRAGD	NM_021244	chr6:90053749-90086268	79	1	0.34140000000000004
GABRR2	NM_002043	chr6:90053749-90086268	79	1	0.23259999999999997
ANKRD12	NM_001083625	chr18:9132797-9154919,chr18:9094917-9126518	80,108	1	0.2862
BCAS1	NM_003657	chr20:52530311-52567041	81	1	0.2853
SUMO1P1	NR_002189	chr20:52480899-52491335,chr20:52530311-52567041,chr20:52454543-52465393	81,668,797	1	2.6595
WWOX	NM_016373	chr16:78768985-78805255	82	1	0.027500000000000004
CSK	NM_001127190	chr15:75063283-75093124	83	1	2.0157
CYP1A2	NM_000761	chr15:75063283-75093124	83	1	0.0
LMAN1L	NM_021819	chr15:75063283-75093124	83	1	0.0
CPLX3	NM_001030005	chr15:75063283-75093124	83	1	0.0
CYP1A1	NM_000499	chr15:75063283-75093124	83	1	0.0
ULK3	NM_001099436	chr15:75063283-75093124	83	1	0.08279999999999998
HDAC7	NM_001098416	chr12:48195986-48220916	84	1	1.9450000000000003
SLC48A1	NM_017842	chr12:48195986-48220916,chr12:48134146-48153679	84,994	1	0.1885
RAPGEF3	NM_001098532	chr12:48134146-48153679,chr12:48195986-48220916	84,994	1	0.2924
COQ2	NM_015697	chr4:84130532-84164362,chr4:84171924-84182175	85,631	1	0.31779999999999997
LOC100289673	NR_033175	chr5:109247507-109282915,chr5:109187849-109202467	86,351	1	0.0
NAALADL2	NM_207015	chr3:175049666-175074652,chr3:174863712-174873739	87,656	1	0.17279999999999998
CDC6	NM_001254	chr17:38459045-38484806	88	1	0.13350000000000004
RARA	NM_000964	chr17:38459045-38484806	88	1	2.5025
GJD3	NM_152219	chr17:38459045-38484806	88	1	0.014799999999999994
RAB8A	NM_005370	chr19:16243849-16272849,chr19:16221414-16232511,chr19:16180271-16198265	89,652,839	1	1.1229
HSH2D	NM_032855	chr19:16243849-16272849,chr19:16221414-16232511,chr19:16180271-16198265	89,652,839	1	1.7435
CIB3	NM_054113	chr19:16243849-16272849	89	1	0.2339
FAM32A	NM_014077	chr19:16243849-16272849	89	1	0.1177
AP1M1	NM_032493	chr19:16243849-16272849	89	1	0.0
PMVK	NM_006556	chr1:154907889-154936001,chr1:154942254-154957673	90,743	1	1.7213999999999998
PBXIP1	NM_020524	chr1:154907889-154936001,chr1:154942254-154957673	90,743	1	3.547
PYGO2	NM_138300	chr1:154907889-154936001,chr1:154942254-154957673	90,743	1	3.1862000000000004
SHC1	NM_001130041	chr1:154907889-154936001,chr1:154942254-154957673	90,743	1	1.6626
CKS1B	NR_024163	chr1:154942254-154957673,chr1:154907889-154936001	90,743	1	1.5687000000000002
MIR4258	NR_036212	chr1:154942254-154957673,chr1:154907889-154936001	90,743	1	2.0149
FLAD1	NM_201398	chr1:154942254-154957673,chr1:154907889-154936001	90,743	1	0.08279999999999998
LENEP	NM_018655	chr1:154907889-154936001,chr1:154942254-154957673	90,743	1	0.0582
ZBTB7B	NM_015872	chr1:154907889-154936001,chr1:154942254-154957673	90,743	1	1.1627
TXNIP	NM_006472	chr1:145426791-145457959	91	1	3.6841
POLR3GL	NM_032305	chr1:145426791-145457959	91	1	2.0785
HFE2	NM_202004	chr1:145426791-145457959	91	1	0.0
ANKRD34A	NM_001039888	chr1:145426791-145457959	91	1	0.2188
LIX1L	NM_153713	chr1:145426791-145457959	91	1	0.06130000000000002
RBM8A	NM_005105	chr1:145426791-145457959	91	1	0.8759
IER5	NM_016545	chr1:181095185-181129712	92	1	0.9294000000000001
ATN1	NM_001007026	chr12:7045695-7080825,chr12:7022649-7038759	93,504	1	1.0237
C12orf57	NM_138425	chr12:7045695-7080825,chr12:7022649-7038759	93,504	1	1.4037000000000002
PTPN6	NM_080548	chr12:7045695-7080825,chr12:7022649-7038759	93,504	1	2.2061
MIR200C	NR_029779	chr12:7045695-7080825,chr12:7022649-7038759	93,504	1	1.2400000000000002
MIR141	NR_029682	chr12:7045695-7080825,chr12:7022649-7038759	93,504	1	0.9041000000000001
EMG1	NM_006331	chr12:7045695-7080825,chr12:7022649-7038759	93,504	1	0.1262
PHB2	NM_007273	chr12:7045695-7080825,chr12:7022649-7038759	93,504	1	0.3255
SCARNA12	NR_003010	chr12:7045695-7080825,chr12:7022649-7038759	93,504	1	0.25260000000000005
LRRC23	NM_006992	chr12:7022649-7038759,chr12:7045695-7080825	93,504	1	0.3517
ENO2	NM_001975	chr12:7022649-7038759,chr12:7045695-7080825	93,504	1	0.8028000000000001
LPCAT3	NM_005768	chr12:7045695-7080825	93	1	0.0
CDK14	NM_012395	chr7:90329825-90368180	95	1	0.12999999999999998
LAPTM5	NM_006762	chr1:31213470-31236577	96	1	2.972
LOC100129196	NR_034182	chr1:31213470-31236577	96	1	0.14799999999999996
MATN1	NM_002379	chr1:31213470-31236577	96	1	0.1023
PSMA8	NM_144662	chr18:23739164-23772097	97	1	1.3352
TAF4B	NM_005640	chr18:23739164-23772097	97	1	0.0039000000000000007
SRP14	NM_003134	chr15:40330037-40358849	98	1	0.2349
BMF	NM_001003942	chr15:40386097-40409338,chr15:40330037-40358849	98,168	1	3.5783
SELPLG	NM_003006	chr12:109008375-109036234,chr12:109071677-109087908	99,628	1	5.356
TMEM119	NM_181724	chr12:109008375-109036234,chr12:108953743-108973076	99,170	1	0.0010000000000000009
RAB37	NM_001163989	chr17:72732825-72757130	100	1	1.5920999999999998
SLC9A3R1	NM_004252	chr17:72732825-72757130	100	1	0.7713
MIR3615	NR_037409	chr17:72732825-72757130	100	1	1.1889
TMEM104	NM_017728	chr17:72732825-72757130	100	1	0.0
