GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ENGASE	NM_001042573	chr17:77078373-77298211,chr17:77015612-77047863	1,243	1	0.9019999999999999
RBFOX3	NM_001082575	chr17:77078373-77298211,chr17:77345858-77493841,chr17:77520048-77546115	1,10,471	1	1.4936
C1QTNF1	NM_198593	chr17:77015612-77047863,chr17:77078373-77298211	1,243	1	1.4214
BAIAP2	NM_017451	chr17:78991249-79160327	2	1	2.251
MIR3065	NR_036151	chr17:78991249-79160327	2	1	1.6916
LOC388428	NR_027255	chr17:78991249-79160327	2	1	1.6858
FLJ90757	NR_026857	chr17:78991249-79160327	2	1	2.0937
AATK	NM_001080395	chr17:78991249-79160327	2	1	1.8467
MIR657	NR_030394	chr17:78991249-79160327	2	1	1.6375
MIR338	NR_029897	chr17:78991249-79160327	2	1	1.6927
MIR1250	NR_031652	chr17:78991249-79160327	2	1	1.9763999999999997
CHMP6	NM_024591	chr17:78991249-79160327	2	1	0.306
AZI1	NM_001009811	chr17:78991249-79160327	2	1	0.0702
ATCAY	NM_033064	chr19:3773167-3953641	3	1	1.4013
ITGB1BP3	NM_170678	chr19:3773167-3953641	3	1	1.817
MATK	NM_002378	chr19:3773167-3953641	3	1	1.4037
ZFR2	NM_015174	chr19:3773167-3953641	3	1	1.9271
TJP3	NM_014428	chr19:3708026-3747017,chr19:3773167-3953641	3,178	1	1.2202000000000002
MRPL54	NM_172251	chr19:3773167-3953641,chr19:3708026-3747017	3,178	1	0.0
APBA3	NM_004886	chr19:3773167-3953641,chr19:3708026-3747017	3,178	1	0.06359999999999999
RAX2	NM_032753	chr19:3773167-3953641,chr19:3708026-3747017	3,178	1	0.34530000000000005
MIR637	NR_030367	chr19:3773167-3953641	3	1	0.0
DAPK3	NM_001348	chr19:3773167-3953641	3	1	0.0179
SNORD37	NR_002602	chr19:3773167-3953641	3	1	0.0
EEF2	NM_001961	chr19:3773167-3953641	3	1	0.0
ONECUT3	NM_001080488	chr19:1670438-1812373	4	1	2.2807999999999997
ATP8B3	NM_138813	chr19:1670438-1812373	4	1	1.8637
LOC100288123	NR_034114	chr19:1670438-1812373	4	1	0.0
TCF3	NM_001136139	chr19:1670438-1812373	4	1	0.0
MIR1909	NR_031730	chr19:1670438-1812373	4	1	0.25939999999999996
REXO1	NM_020695	chr19:1670438-1812373	4	1	0.06470000000000001
EGFL7	NM_016215	chr9:139477045-139614251	5	1	2.289
MIR126	NR_029695	chr9:139477045-139614251	5	1	2.1725
FAM69B	NM_152421	chr9:139477045-139614251,chr9:139627977-139659079	5,227	1	1.1724999999999999
AGPAT2	NM_006412	chr9:139477045-139614251,chr9:139627977-139659079	5,227	1	2.2675
LOC100128593	NR_033913	chr9:139627977-139659079,chr9:139477045-139614251	5,227	1	2.1352
NOTCH1	NM_017617	chr9:139477045-139614251	5	1	0.0305
SNORA43	NR_002975	chr9:139477045-139614251,chr9:139627977-139659079	5,227	1	0.223
SNORA17	NR_002958	chr9:139477045-139614251,chr9:139627977-139659079	5,227	1	0.20470000000000002
SNHG7	NR_024542	chr9:139477045-139614251,chr9:139627977-139659079	5,227	1	0.27949999999999997
LCN10	NM_001001712	chr9:139627977-139659079,chr9:139477045-139614251	5,227	1	2.0726
LCN6	NM_198946	chr9:139627977-139659079,chr9:139477045-139614251	5,227	1	2.1866000000000003
LCN8	NM_178469	chr9:139627977-139659079,chr9:139477045-139614251	5,227	1	1.6418000000000001
LCN15	NM_203347	chr9:139627977-139659079,chr9:139477045-139614251	5,227	1	1.1493
ARHGEF16	NM_014448	chr1:3393889-3536409,chr1:3365813-3392404,chr1:3296826-3362080	6,60,324	1	1.4738
MEGF6	NM_001409	chr1:3393889-3536409	6	1	1.7952000000000001
MIR551A	NR_030277	chr1:3393889-3536409	6	1	1.7573
TPRG1L	NM_182752	chr1:3393889-3536409	6	1	0.023700000000000013
TP73	NM_005427	chr1:3393889-3536409	6	1	0.0
